Year	Ifaty4_SrCa	Ifaty4_d18O	Zimbabwe_rainfall_recon	Kalahari_precip	Eastern_Cape_precip	Lesotho_precip	Mayotte	Ifaty1_SrCa	Ifaty1_d18O
1658	8.799166	NA	NA	NA	NA	NA	NA	NA	NA
1659	8.869166	NA	NA	NA	NA	NA	NA	NA	NA
1660	8.856166	NA	NA	NA	NA	NA	NA	NA	NA
1661	8.804166	-4.7512088	NA	NA	NA	NA	NA	NA	NA
1662	8.906166	-4.7231868	NA	NA	NA	NA	NA	NA	NA
1663	8.922166	-4.6634066	NA	NA	NA	NA	NA	NA	NA
1664	8.873166	-4.6463388	NA	NA	NA	NA	NA	NA	NA
1665	8.902167	-4.6848352	NA	NA	NA	NA	NA	NA	NA
1666	8.819167	-4.5871429	NA	NA	NA	NA	NA	NA	NA
1667	8.891167	-4.3298352	NA	NA	NA	NA	NA	NA	NA
1668	8.788167	-4.6480874	NA	NA	NA	NA	NA	NA	NA
1669	8.861167	-4.5231868	NA	NA	NA	NA	NA	NA	NA
1670	8.863167	-4.8371978	NA	NA	NA	NA	NA	NA	NA
1671	8.857167	-4.854011	NA	NA	NA	NA	NA	NA	NA
1672	8.858167	-4.6298361	NA	NA	NA	NA	NA	NA	NA
1673	8.882167	-4.5641758	NA	NA	NA	NA	NA	NA	NA
1674	8.857167	-4.5325824	NA	NA	NA	NA	NA	NA	NA
1675	8.963168	-4.5992857	NA	NA	NA	NA	NA	NA	NA
1676	8.926168	-4.5367213	NA	NA	NA	NA	NA	NA	NA
1677	8.867168	-4.6672527	NA	NA	NA	NA	NA	NA	NA
1678	8.985168	-4.5747253	NA	NA	NA	NA	NA	NA	NA
1679	8.885168	-4.8203846	NA	NA	NA	NA	NA	NA	NA
1680	8.890168	-4.8044809	NA	NA	NA	NA	NA	NA	NA
1681	8.877168	-4.6741758	NA	NA	NA	NA	NA	NA	NA
1682	8.819168	-4.8021978	NA	NA	NA	NA	NA	NA	NA
1683	8.891168	-4.5192857	NA	NA	NA	NA	NA	NA	NA
1684	8.813168	-4.4515847	NA	NA	NA	NA	NA	NA	NA
1685	8.923169	-4.1867033	NA	NA	NA	NA	NA	NA	NA
1686	8.837169	-4.5808242	NA	NA	NA	NA	NA	NA	NA
1687	8.865169	-4.5297802	NA	NA	NA	NA	NA	NA	NA
1688	8.886169	-4.4982514	NA	NA	NA	NA	NA	NA	NA
1689	8.795169	-4.5115385	NA	NA	NA	NA	NA	NA	NA
1690	8.780169	-4.5857143	NA	NA	NA	NA	NA	NA	NA
1691	8.81617	-4.5863736	NA	NA	NA	NA	NA	NA	NA
1692	8.75917	-4.5130055	NA	NA	NA	NA	NA	NA	NA
1693	8.84317	-4.5465934	NA	NA	NA	NA	NA	NA	NA
1694	8.81117	-4.4646154	NA	NA	NA	NA	NA	NA	NA
1695	8.98517	-4.7267582	NA	NA	NA	NA	NA	NA	NA
1696	8.79317	-3.9937158	NA	NA	NA	NA	NA	NA	NA
1697	8.87917	-4.4302198	NA	NA	NA	NA	NA	NA	NA
1698	8.92817	-4.5657692	NA	NA	NA	NA	NA	NA	NA
1699	8.92217	-4.3434066	NA	NA	NA	NA	NA	NA	NA
1700	8.92317	-4.4063187	NA	NA	NA	NA	NA	NA	NA
1701	8.94017	-4.3205495	NA	NA	NA	NA	NA	NA	NA
1702	8.89617	-4.5696703	NA	NA	NA	NA	NA	NA	NA
1703	8.81517	-4.3914286	NA	NA	NA	NA	NA	NA	NA
1704	8.77417	-4.7208197	NA	NA	NA	NA	NA	NA	NA
1705	8.81717	-4.6623077	NA	NA	NA	NA	NA	NA	NA
1706	8.87217	-4.4116484	NA	NA	NA	NA	NA	NA	NA
1707	8.95817	-4.5558242	NA	NA	NA	NA	NA	NA	NA
1708	9.00017	-4.6188525	NA	NA	NA	NA	NA	NA	NA
1709	9.011171	-4.7518681	NA	NA	NA	NA	NA	NA	NA
1710	8.940171	-4.4618681	NA	NA	NA	NA	NA	NA	NA
1711	8.901171	-4.2655495	NA	NA	NA	NA	NA	NA	NA
1712	8.861171	-4.5108743	NA	NA	NA	NA	NA	NA	NA
1713	8.801171	-4.6306593	NA	NA	NA	NA	NA	NA	NA
1714	8.903171	-4.4282967	NA	NA	NA	NA	NA	NA	NA
1715	8.787172	-4.4726374	NA	NA	NA	NA	NA	NA	NA
1716	8.944172	-4.472459	NA	NA	NA	NA	NA	NA	NA
1717	8.863172	-4.0821978	NA	NA	NA	NA	NA	NA	NA
1718	8.941172	-4.2147253	NA	NA	NA	NA	NA	NA	NA
1719	8.909172	-4.5267582	NA	NA	NA	NA	NA	NA	NA
1720	8.854172	-4.5185792	NA	NA	NA	NA	NA	NA	NA
1721	8.880172	-4.5814286	NA	NA	NA	NA	NA	NA	NA
1722	8.873172	-4.5673626	NA	NA	NA	NA	NA	NA	NA
1723	8.858172	-4.6785165	NA	NA	NA	NA	NA	NA	NA
1724	8.857173	-4.6334973	NA	NA	NA	NA	NA	NA	NA
1725	8.918173	-4.619011	NA	NA	NA	NA	NA	NA	NA
1726	8.912173	-4.4555495	NA	NA	NA	NA	NA	NA	NA
1727	8.935173	-4.4110989	NA	NA	NA	NA	NA	NA	NA
1728	8.878173	-4.4705464	NA	NA	NA	NA	NA	NA	NA
1729	8.912173	-4.5159341	NA	NA	NA	NA	NA	NA	NA
1730	8.882173	-4.5668132	NA	NA	NA	NA	NA	NA	NA
1731	8.885173	-4.2386264	NA	NA	NA	NA	NA	NA	NA
1732	8.908173	-4.4619126	NA	NA	NA	NA	NA	NA	NA
1733	8.922173	-4.450989	NA	NA	NA	NA	NA	NA	NA
1734	8.896173	-4.5075275	NA	NA	NA	NA	NA	NA	NA
1735	8.862174	-4.6197802	NA	NA	NA	NA	NA	NA	NA
1736	8.938174	-4.6118579	NA	NA	NA	NA	NA	NA	NA
1737	8.817174	-4.5747253	NA	NA	NA	NA	NA	NA	NA
1738	8.906174	-4.5378571	NA	NA	NA	NA	NA	NA	NA
1739	8.872174	-4.5543407	NA	NA	NA	NA	NA	NA	NA
1740	8.859174	-4.6001639	NA	NA	NA	NA	NA	NA	NA
1741	8.900174	-4.5528571	NA	NA	NA	NA	NA	NA	NA
1742	8.895174	-4.5250549	NA	NA	NA	NA	NA	NA	NA
1743	8.886174	-4.3631868	NA	NA	NA	NA	NA	NA	NA
1744	8.873174	-4.5542077	NA	NA	NA	NA	NA	NA	NA
1745	8.880175	-4.5515385	NA	NA	NA	NA	NA	NA	NA
1746	8.905175	-4.4971978	NA	NA	NA	NA	NA	NA	NA
1747	8.898175	-4.5429121	NA	NA	NA	NA	NA	NA	NA
1748	8.872175	-4.5952459	NA	NA	NA	NA	NA	NA	NA
1749	8.845175	-4.4637363	NA	NA	NA	NA	NA	NA	NA
1750	8.901175	-4.4512088	NA	NA	NA	NA	NA	NA	NA
1751	8.851175	-4.4621429	NA	NA	NA	NA	NA	NA	NA
1752	8.926175	-4.500929	NA	NA	NA	NA	NA	NA	NA
1753	8.830175	-4.6820879	NA	NA	NA	NA	NA	NA	NA
1754	8.899176	-4.7359341	NA	NA	NA	NA	NA	NA	NA
1755	8.941176	-4.6587912	NA	NA	NA	NA	NA	NA	NA
1756	8.884176	-4.5115847	NA	NA	NA	NA	NA	NA	NA
1757	8.835176	-4.5275824	NA	NA	NA	NA	NA	NA	NA
1758	8.893176	-4.6236264	NA	NA	NA	NA	NA	NA	NA
1759	8.940176	-4.6267033	NA	NA	NA	NA	NA	NA	NA
1760	8.875176	-4.6843169	NA	NA	NA	NA	NA	NA	NA
1761	8.885176	-4.4259341	NA	NA	NA	NA	NA	NA	NA
1762	8.849176	-4.4755495	NA	NA	NA	NA	NA	NA	NA
1763	8.886176	-4.5831319	NA	NA	NA	NA	NA	NA	NA
1764	8.881177	-4.5564481	NA	NA	NA	NA	NA	NA	NA
1765	8.936177	-4.4826374	NA	NA	NA	NA	NA	NA	NA
1766	8.893177	-4.6253846	NA	NA	NA	NA	NA	NA	NA
1767	8.817177	-4.4871978	NA	NA	NA	NA	NA	NA	NA
1768	8.800177	-4.5490164	NA	NA	NA	NA	NA	NA	NA
1769	8.870177	-4.9478022	NA	NA	NA	NA	NA	NA	NA
