# Houtman Abrolhos Island Sr/Ca, Oxygen Isotopes, SST and Sea-Level Reconstruction Data from 1795-2010
#-----------------------------------------------------------------------
#              World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                       NOAA Paleoclimatology Program 
#-----------------------------------------------------------------------
# NOTE: Please cite original publication, online resource and date accessed when using this data.
# If there is no publication information, please cite Investigator, title, online resource and date accessed.
#
#  Online_Resource: http://www.hurricane.ncdc.noaa.gov/pls/paleox/f?p=519:1:::::P1_STUDY_ID:16316
# 
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/contributions_by_author/zinke2014/zinke2014-hab10a.txt
#
# Archive: Corals and Sclerosponges
#
#--------------------------------
# Contribution_Date
#    Date: 2014-04-07
#--------------------------------
# Title:     Houtman Abrolhos Island Sr/Ca, Oxygen Isotopes, SST and Sea-Level Reconstruction Data from 1795-2010
#--------------------------------
# Investigators: Zinke, J.; Rountrey, A.; Feng, M.; Xie, S.P.; Dissard, D.; Rankenburg, K.; Lough, J.; McCulloch, M.T.
#--------------------
# Description and Notes: 
# The dataset contains mean annual Sr/Ca and oxygen isotope data, SST reconstructions and sea-level reconstructions relative to the 1900-1993 mean.
#
# Southeastern Indian Ocean, Sr/Ca, stable isotopes, SST, sea-level height
#--------------------
# Publication 
#   Authors: Zinke, J., A. Rountrey,M. Feng, S.P. Xie, D. Dissard, K. Rankenburg,J. Lough, and M.T. McCulloch
#   Journal_Name: Nature Communications
#   Published_Title: Corals record long-term Leeuwin Current variability including Ningaloo Niño/Niña since 1795
#   Published_Date_or_Year: 2014
#   Volume: 5
#   Pages: 
#   Report Number: 3607
#   DOI: 10.1038/ncomms4607
#  Abstract: Variability of the Leeuwin current (LC) off Western Australia is a footprint of interannual and decadal climate variations in the tropical Indo-Pacific. La Niña events often result in a strengthened LC, high coastal sea levels and unusually warm sea surface temperatures (SSTs), termed Ningaloo Niño. The rarity of such extreme events and the response of the southeastern Indian Ocean to regional and remote climate forcing are poorly understood owing to the lack of long-term records. Here we use well-replicated coral SST records from within the path of the LC, together with a reconstruction of the El Niño-Southern Oscillation to hindcast historical SST and LC strength from 1795 to 2010. We show that interannual and decadal variations in SST and LC strength characterized the past 215 years and that the most extreme sea level and SST anomalies occurred post 1980. These recent events were unprecedented in severity and are likely aided by accelerated global ocean warming and sea-level rise.--------------------------------
#--------------------------------
# Funding_Agency: 
#    Funding_Agency_Name:
#    Grant:
#--------------------------------
# Site Information: 
#   Site_Name: Houtman Abrolhos Islands
#   Country: Australia
#   Location: Indian Ocean
#	Northernmost_Latitude:  -28.47
# 	Southernmost_Latitude:  -28.47
# 	Easternmost_Longitude: 113.75
# 	Westernmost_Longitude: 113.75
# 	Elevation: -3.5 to 8.5 m
#--------------------------------
# Data Collection 
# Collection_Name: HAB10A Sr/Ca d18O Z14
# Oldest_Year: 1847
# Most_Recent_Year: 2010
# Time_Unit: Year AD
# Core_Length: 1.29 m
# Notes: Water Depth: 8.5 m
#--------------------------------
# Chronology    
#--------------------------------
# Variables    
# 
# Data variables follow (have double marker- "##")
# Data line variables format:  Variables list, one per line, shortname-tab-nine components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
## age_AD	age	,,,	years AD,, ,,,N
## d18OPor.nm00-93	delta 18O,Porites sp.,,per mil VPDB,,Corals and Sclerosponges,normalized to 1900-1993,,N
## d18OPor.ann	delta 18O annual mean,Porites sp.,,per mil VPDB,,Corals and Sclerosponges,,,N
## Sr/Ca-Por	Strontium Calcium ratio,Porites sp.,,mmol/mol,,Corals and Sclerosponges,normalized to 1900-1993,,N
## Sr/Ca-Por.ann	Strontium Calcium ratio annual mean,Porites sp.,,mmol/mol,,Corals and Sclerosponges,,,N
# Data:
# Missing Value: -999
age_AD	d18OPor.nm00-93	d18OPor.ann	Sr/Ca-Por	Sr/Ca-Por.ann
1847	2.144933638	-2.963531469	-999	-999
1848	2.498622034	-2.889080062	0.447536514	9.238645786
1849	1.404447829	-3.119403732	0.224472524	9.22468198
1850	0.579350085	-3.293086807	-0.634798463	9.170891616
1851	1.070729951	-3.189651345	0.039715508	9.213116191
1852	1.130378737	-3.177095276	-0.298538354	9.191941499
1853	0.847769622	-3.236584495	0.761377092	9.258292206
1854	3.039928197	-2.775135115	2.627212994	9.375093533
1855	1.702428988	-3.056678698	0.638441949	9.250596466
1856	0.666589719	-3.274722864	-0.020485185	9.209347627
1857	1.009241776	-3.202594606	-0.195593447	9.19838585
1858	0.978431995	-3.209080065	0.170685258	9.221314897
1859	1.925586395	-3.009704064	1.535759936	9.306768572
1860	1.797026182	-3.036765989	0.575250112	9.246640657
1861	0.980796925	-3.208582247	0.482159851	9.240813207
1862	0.978234918	-3.20912155	0.089126037	9.21620929
1863	-1.167233205	-3.66074259	-0.007671297	9.210149777
1864	0.658615114	-3.276401518	-0.15741569	9.200775778
1865	0.494864248	-3.310871076	-0.162773417	9.200440384
1866	1.940371098	-3.006591884	0.421644391	9.237024939
1867	-999	-999	0.369066262	9.233733548
1868	-1.112300805	-3.64917932	-0.470181253	9.181196654
1869	1.229912067	-3.15614351	-999	-999
1870	-0.509389697	-3.522266531	0.174260695	9.22153872
1871	-0.141828418	-3.444894882	-0.302475244	9.19169505
1872	-0.54257335	-3.52925169	-999	-999
1873	-1.152061399	-3.657548925	-0.485596453	9.180231662
1874	-0.585472938	-3.538282053	-0.516484404	9.178298076
1875	-0.663947794	-3.554801011	-0.373178881	9.187269002
1876	-1.201238976	-3.667900804	-0.035200049	9.208426477
1877	1.183873485	-3.165834632	0.306262298	9.22980202
1878	0.228049737	-3.36703553	0.968813452	9.271277722
1879	-0.249600554	-3.467580917	-0.009241618	9.210051475
1880	-0.266341857	-3.471104961	-0.592112344	9.173563767
1881	-0.221349606	-3.461634092	-0.04847706	9.207595336
1882	0.734844222	-3.260355291	-0.172779401	9.199814009
1883	0.918105305	-3.221778833	0.239788592	9.225640766
1884	0.8663119	-3.232681345	0.76998033	9.258830769
1885	0.879391043	-3.229928185	0.767845252	9.258697113
1886	0.131264081	-3.387408911	1.548428602	9.307561631
1887	-999	-999	2.137033212	9.344408279
1888	-999	-999	2.494758134	9.366801859
1889	1.451734327	-3.109449924	0.560134284	9.245694406
1890	1.077670846	-3.188190287	0.516137114	9.242940183
1891	1.320419734	-3.137091646	0.700429188	9.254476867
1892	0.632456829	-3.281907838	0.955098044	9.270419138
1893	0.998672824	-3.204819371	-999	-999
1894	0.740228965	-3.259221803	0.53129219	9.243888891
1895	0.603682715	-3.287964789	1.219116482	9.286946692
1896	1.418774887	-3.116387886	1.387247424	9.297471689
1897	1.737382803	-3.04932092	2.097854227	9.341955675
1898	1.501958235	-3.098877792	1.521719336	9.30588963
1899	0.498003242	-3.310210318	0.867275386	9.264921439
1900	-999	-999	0.340077891	9.231918876
1901	0.346808353	-3.342036842	1.618437915	9.311944213
1902	0.392323769	-3.332455847	-999	-999
1903	1.345008522	-3.131915706	1.131011883	9.281431344
1904	1.134695908	-3.176186511	1.247241166	9.288707297
1905	-999	-999	0.823427802	9.26217658
1906	0.863172906	-3.233342103	1.131059609	9.281434332
1907	0.926475956	-3.220016811	0.892862739	9.266523207
1908	0.732904645	-3.260763572	0.478634295	9.240592507
1909	0.188812309	-3.375295009	0.036725992	9.212929047
1910	0.521022533	-3.305364757	-999	-999
1911	0.251592194	-3.362079843	-999	-999
1912	-999	-999	1.722806181	9.318477667
1913	1.582525754	-3.081918329	2.133718884	9.344200802
1914	2.256363185	-2.94007555	0.915218829	9.267922699
1915	0.936659651	-3.217873143	0.887907991	9.26621304
1916	-0.876763507	-3.599598718	0.347108505	9.232358992
1917	0.443695292	-3.321642141	1.034667568	9.27540019
