# Pedra de Lume, Cape Verde Islands Coral Oxygen Isotope Data 
#----------------------------------------------------------------------- 
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
# Online_Resource: https://www.ncdc.noaa.gov/paleo/study/6184
#
# Original_Source_URL: http://www1.ncdc.noaa.gov/pub/data/paleo/coral/atlantic/pedradelume2006.txt
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Corals and Sclerosponges
#--------------------
# Contribution_Date
#	Date: 2009-01-01
#--------------------
# Title
#	Study_Name: Pedra de Lume - Oxygen Isotope Data 
#--------------------
# Investigators
#       Investigators: Moses, C.S.; Swart, P.K.; Rosenheim, B. 
#--------------------
# Description_and_Notes
#	Description: Oxygen isotope data from Siderastrea radians coral SAL-4, Pedra de Lume,  Sal Island, Cape Verde Islands.  Data is monthly resolution obtained by  stable isotope mass spectrometry at the University of Miami, RSMAS  Stable Isotope Lab.  Monthly delta 18O and instrumental SST are reported. SST from National Climate Data Center (NCDC) Extended Reconstruction SST  (ERSST), version 2.
#--------------------
# Publication 
#       Authors: Moses, C.S.; Swart, P.K.; Rosenheim, B. 
#       Published_Date_or_Year: 2006
#       Published_Title: Evidence of multidecadal salinity variability in the eastern tropical North Atlantic.
#       Journal_Name: Paleoceanography
#       Volume: 21
#       Edition: 
#       Issue: PA3010
#       Pages: 
#       DOI: 
#       Online_Resource: 
#       Full_Citation: Moses, C.S., P.K. Swart, and B.E. Rosenheim. 2006. Evidence of multidecadal salinity variability in the eastern tropical North Atlantic. Paleoceanography, Vol. 21, PA3010
#       Abstract: Ocean circulation and global climate are strongly influenced by seawater density, which is itself controlled by salinity and temperature. Although  adequate instrumental sea surface temperature (SST) records exist for most  of the surface oceans over the past 100-150 years, records of salinity  really only exist for the last 40-50 years. Here we show that longer proxy  records from corals (Siderastrea radians) in the eastern tropical North Atlantic are dominated by multidecadal variations in salinity which are  correlated with the relationship between SST and the North Atlantic  Oscillation (NAO) over the course of the 20th century. The data reveal  an increase in eastern tropical North Atlantic salinity of +0.5 practical  salinity units (psu) between about 1950 and 1990.  Rather than a monotonic  secular increase, as indicated by some instrumental records, the  preinstrumental coral proxy records presented here suggest that salinity  in the tropical North Atlantic is periodic on a decadal to multidecadal scale.
#------------------
# Funding_Agency 
#       Funding_Agency_Name: US National Science Foundation 
#       Grant: OCE0081770
#------------------
# Funding_Agency 
#       Funding_Agency_Name: Mary Roche Fellowship
#       Grant: 
#------------------
# Site_Information 
#       Site_Name: Pedra de Lume, Sal Island, Cape Verde Islands
#       Location: Ocean>Atlantic Ocean>North Atlantic Ocean>Cape Verde
#	Country: Cape Verde 
#	Northernmost_Latitude: 16.77 
# 	Southernmost_Latitude: 16.77 
# 	Easternmost_Longitude: -22.88 
# 	Westernmost_Longitude: -22.88 
# 	Elevation: -3 m  
#------------------
# Data_Collection   
#	Collection_Name: 06cape01a 
#	Earliest_Year: 1928
#	Most_Recent_Year: 2002
#	Time_Unit: AD
#	Core_Length: 
#	Notes: 
#------------------
# Species
#	Species_Name: Siderastrea radians 
#	Common_Name: 
#------------------
# Chronology_Information
#	Chronology: 
# 
#----------------
# Variables 
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age	age, , ,years AD, , , , ,N
##sst	sea surface temperature, , ,degrees Celsius, , Instrumental, , ERSST version 2, N
##d18O	delta 18O, Siderastrea radians, , permil VPDB, , Corals and Sclerosponges, , ,N
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: NAN
#
age	sst	d18O
1928.96	23.37	-3.11
1929.04	22.56	-2.9
1929.12	22.23	-2.88
1929.21	22.34	-2.73
1929.29	22.52	-2.73
1929.37	22.63	-2.84
1929.46	23.32	-2.85
1929.54	24.59	-3.23
1929.62	25.59	-3.29
1929.71	26.21	-3.35
1929.79	26.21	-3.13
1929.87	24.86	-3.13
1929.96	23.38	-3.04
1930.04	22.03	-2.83
1930.12	21.66	-2.56
1930.21	21.96	-2.38
1930.29	21.83	-2.85
1930.37	22.08	-2.99
1930.46	22.92	-3.09
1930.54	24.22	-2.99
1930.62	25.77	-2.79
1930.71	26.68	-3.17
1930.79	26.95	-2.69
1930.87	26.29	-2.81
1930.96	24.17	-2.87
1931.04	22.83	-2.66
1931.12	21.94	-2.61
1931.21	22.81	-2.92
1931.29	23.18	-3.06
1931.37	23.36	-3.04
1931.46	24.31	-3.01
1931.54	25.01	-2.98
1931.62	25.67	-3.23
1931.71	26.41	-3.52
1931.79	26.74	-2.28
1931.87	25.85	-2.41
1931.96	24.21	-2.55
1932.04	22.88	-2.68
1932.12	22.87	-2.81
1932.21	23.19	-2.94
1932.29	23.22	-3.01
1932.37	23.28	-3.02
1932.46	23.82	-3.03
1932.54	24.3	-3.04
1932.62	25.66	-3.05
1932.71	26.74	-3.06
1932.79	26.65	-2.78
1932.87	25.76	-2.89
1932.96	24.17	-2.93
1933.04	22.48	-2.64
1933.12	22.61	-2.49
1933.21	22.4	-2.62
1933.29	23.04	-2.71
1933.37	23.61	-2.76
1933.46	23.89	-2.68
1933.54	24.75	-2.54
1933.62	25.88	-2.85
1933.71	26.56	-3.24
1933.79	26.83	-2.59
1933.87	25.65	-3.02
1933.96	23.59	-3.04
1934.04	22.01	-2.52
1934.12	21.28	-2.57
1934.21	21.07	-2.6
1934.29	21.64	-2.35
1934.37	22.29	-2.54
1934.46	22.99	-2.86
1934.54	24.11	-2.85
1934.62	25.53	-2.98
1934.71	26.24	-3.21
1934.79	26.24	-2.41
1934.87	25.11	-2.51
1934.96	23.69	-2.61
1935.04	23.09	-2.5
1935.12	21.78	-2.34
1935.21	21.49	-2.37
1935.29	22.05	-2.55
1935.37	22.83	-2.63
1935.46	23.4	-2.58
1935.54	24.47	-2.59
1935.62	25.48	-2.87
1935.71	26.22	-3.14
1935.79	25.98	-2.81
1935.87	25.05	-2.33
1935.96	24.04	-2.81
1936.04	23.13	-2.65
1936.12	22.98	-2.76
1936.21	23.06	-2.61
1936.29	23.46	-2.43
1936.37	23.73	-2.49
1936.46	24.6	-2.53
1936.54	25.02	-2.95
1936.62	25.95	-2.85
1936.71	26.6	-3.28
1936.79	26.63	-2.84
1936.87	25.33	-2.9
1936.96	24.11	-2.97
1937.04	22.99	-2.78
1937.12	23.03	-2.53
1937.21	22.96	-2.51
1937.29	23.03	-2.65
1937.37	23.38	-2.69
1937.46	24.54	-2.58
1937.54	25.31	-2.58
1937.62	26.42	-3.03
1937.71	27.26	-3.47
1937.79	26.95	-2.69
1937.87	26.49	-3.11
1937.96	25.56	-3.18
1938.04	23.6	-2.8
1938.12	23.1	-2.69
1938.21	22.98	-2.6
1938.29	23.5	-2.49
1938.37	23.59	-2.66
1938.46	24.06	-2.89
1938.54	24.85	-2.7
1938.62	25.96	-2.82
1938.71	26.55	-3.18
1938.79	26.46	-2.68
1938.87	25.74	-2.96
1938.96	23.95	-2.15
1939.04	22.53	-2.47
1939.12	22.03	-2.1
1939.21	21.85	-2.84
1939.29	22.17	-2.58
1939.37	22.83	-2.63
1939.46	23.72	-2.1
1939.54	24.86	-2.7
1939.62	25.91	-2.32
1939.71	26.64	-2.89
1939.79	26.51	-2.53
1939.87	25.55	-2.31
1939.96	24.21	-2.53
1940.04	23.25	-2.82
1940.12	22.53	-2.52
1940.21	22.8	-2.73
1940.29	23.19	-2.69
1940.37	23.63	-2.43
1940.46	24.29	-2.78
1940.54	25.17	-2.72
