# Looe Key, Florida Coral Stable Isotope and Trace Metal Data from 1947-2002 CE
#-----------------------------------------------------------------------
#               World Data Service for Paleoclimatology, Boulder
#                                   and
#                      NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# Template Version 3.0
# Encoding: UTF-8
# NOTE: Please cite original publication, online resource and date accessed when using this data.
# If there is no publication information, please cite Investigator, title, online resource and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Online_Resource: https://www.ncdc.noaa.gov/paleo/study/29952
#      Description: NOAA Landing Page
# Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/coral/atlantic/smith2006/smith2006-lk23.txt
#      Description: NOAA location of the template
#
#
# Data_Type: Corals and Sclerosponges
#
# Dataset_DOI:
#
# Parameter_Keywords: carbon isotopes, oxygen isotopes, trace metals
#---------------------------------------
# Contribution_Date
#    Date: 2020-06-04
#---------------------------------------
# File_Last_Modified_Date
#    Date: 2020-06-04
#---------------------------------------
# Title
#    Study_Name: Looe Key, Florida Coral Stable Isotope and Trace Metal Data from 1947-2002 CE
#---------------------------------------
# Investigators
#      Investigators: Smith, Jennifer M.; Quinn, Terrence M.; Helmle, Kevin P.; Halley, Robert B.
#---------------------------------------
# Description_Notes_and_Keywords
#        Description: Time assigned by counting years in seasonal geochemistry and comparing to sampling paths on x-radiographs images.
#         Provided Keywords: Montastraea, geochemistry, replication, Florida Keys, salinity, sea surface temperature
#---------------------------------------
# Publication
# Authors: Smith, Jennifer M., Terrence M. Quinn, Kevin P. Helmle, and Robert B. Halley
# Published_Date_or_Year: 2006
# Published_Title: Reproducibility of geochemical and climatic signals in the Atlantic coral Montastraea faveolata 
# Journal_Name: Paleoceanography
# Volume: 21
# Edition: 
# Issue: 
# Pages: PA1010
# Report_Number: 
# DOI: 10.1029/2005PA001187
# Online_Resource: https://agupubs.onlinelibrary.wiley.com/doi/10.1029/2005PA001187
# Full_Citation: 
# Abstract: Monthly resolved, 41-year-long stable isotopic and elemental ratio time series were generated from two separate heads of Montastraea faveolata from Looe Key, Florida, to assess the fidelity of using geochemical variations in Montastraea , the dominant reef-building coral of the Atlantic, to reconstruct sea surface environmental conditions at this site. The stable isotope time series of the two corals replicate well; mean values of d18O and d13C are indistinguishable between cores (compare 0.70‰ versus 0.68‰ for d13C and -3.90‰ versus -3.94‰ for d18O). Mean values from the Sr/Ca time series differ by 0.037 mmol/mol, which is outside of analytical error and indicates that nonenvironmental factors are influencing the coral Sr/Ca records at Looe Key. We have generated significant d18O-sea surface temperature (SST) (R = -0.84) and Sr/Ca-SST (R = -0.86) calibration equations at Looe Key; however, these equations are different from previously published equations for Montastraea . Variations in growth parameters or kinetic effects are not sufficient to explain either the observed differences in the mean offset between Sr/Ca time series or the disagreement between previous calibrations and our calculated d18O-SST and Sr/Ca-SST relationships. Calibration differences are most likely due to variations in seawater chemistry in the continentally influenced waters at Looe Key. Additional geochemical replication studies of Montastraea are needed and should include multiple coral heads from open ocean localities complemented whenever possible by seawater chemistry determinations.
#---------------------------------------
# Publication
# Authors: Jennifer M. Smith
# Published_Date_or_Year: 2006
# Published_Title: Geochemical Signatures in the Coral Montastraea: Modern and Mid-Holocene Perspectives
# Journal_Name: Thesis
# Volume: 
# Edition: 
# Issue: 
# Pages: 
# Report_Number: 
# DOI: 
# Online_Resource: https://scholarcommons.usf.edu/etd/2706/
# Full_Citation: Smith, Jennifer M. Geochemical Signatures in the Coral Montastraea: Modern and Mid-Holocene, Dissertation, University of South Florida, 2006
# Abstract: 
#---------------------------------------
# Funding_Agency
#    Funding_Agency_Name: NOAA Office of Global Programs
#    Grant: 
#---------------------------------------
# Funding_Agency
#    Funding_Agency_Name: NOAA Coastal Ocean Program
#    Grant: NA160A1443
#---------------------------------------
# Funding_Agency
#    Funding_Agency_Name: the St. Petersburg Progress Endowed Fellowship in Coastal Science
#    Grant: 
#---------------------------------------
# Funding_Agency
#    Funding_Agency_Name: Gulf Oceanographic Charitable Trust
#    Grant: 
#---------------------------------------
# Site_Information
# Site_Name: Looe Key, Florida
# Location: Florida
# Northernmost_Latitude: 24.556667
# Southernmost_Latitude: 24.556667
# Easternmost_Longitude: -81.4125
# Westernmost_Longitude: -81.4125
# Elevation: -4
#---------------------------------------
# Data_Collection
#   Collection_Name: LK23 isotopes and trace metals Smith2006
#   First_Year: 1960.96539408867
#   Last_Year: 2002.625
#   Time_Unit: AD
#   Core_Length: 0.315
#   Notes: 
#---------------------------------------
# Species
#	Species_Name: Montastraea faveolata
#	Common_Name: 
#------------------
# Chronology_Information 
# Chronology: 
# Time assigned by counting years in seasonal geochemistry and comparing to sampling paths on x-radiographs images.
#---------------------------------------
# Variables
# Data variables follow that are preceded by "##" in columns one and two.
# Variables list, one per line, shortname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
## Sample	sample identification,,,,,corals and sclerosponges,,,C,LK23 is coral Looe Key23
## Depth	depth,,,centimeter,,corals and sclerosponges,raw,continuous line,N,sampling interval set by micromill interval
## Time	age,,,year Common Era,,corals and sclerosponges,,,N,time assigned by pairing maximum (minimum) Sr/Ca values with minimum (maximum) SST using the Analyseries software
## d13C_Mont	delta 13C,Montastraea sp.,,per mil PDB,,corals and sclerosponges,raw,isotope ratio mass spectrometry,N,0.02‰ 1 sigma analytical precision
## d18O_Mont	delta 18O,Montastraea sp.,,per mil PDB,,corals and sclerosponges,raw,isotope ratio mass spectrometry,N,0.06‰ 1 sigma analytical precision
## Sr/Ca_Mont	strontium/calcium,Montastraea sp.,,millimole per mole,,corals and sclerosponges,raw,elemental analysis,N,0.009 mmol/mol 1 sigma analytical precision
## Mg/Ca_Mont	magnesium/calcium,Montastraea sp.,,millimole per mole,,corals and sclerosponges,raw,elemental analysis,N,0.013 mmol/mol 1 sigma analytical precision
#------------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing_Values: NaN
Sample	Depth	Time	d13C_Mont	d18O_Mont	Sr/Ca_Mont	Mg/Ca_Mont	
LK 23-1	0.05	2002.63	-0.08	-3.98	9.125	8.382	
LK 23-2	0.10	2002.57	-1.25	-4.30	9.049	33.780	
LK 23-3	0.15	2002.51	-1.49	-4.56	9.133	23.522	
LK 23-4	0.20	2002.45	-1.14	-4.30	9.061	23.119	
LK 23-5	0.25	2002.39	-0.74	-4.16	9.059	22.413	
LK 23-6	0.30	2002.34	-0.60	-4.05	9.168	11.896	
LK 23-7	0.35	2002.28	-0.81	-4.24	9.192	11.864	
LK 23-8	0.40	2002.22	-1.17	-3.99	9.218	12.294	
LK 23-9	0.45	2002.17	-1.73	-3.78	9.255	15.383	
LK 23-10	0.50	2002.11	-1.81	-3.53	9.267	12.868	
LK 23-11	0.55	2002.06	-2.16	-3.57	9.318	8.004	
LK 23-12	0.60	2002.00	-2.30	-3.67	9.335	9.016	
LK 23-13	0.65	2001.95	-1.96	-3.56	9.253	7.964	
LK 23-14	0.70	2001.89	-2.45	-3.72	9.238	7.082	
LK 23-15	0.75	2001.84	-1.53	-3.58	9.227	6.759	
LK 23-16	0.80	2001.79	-2.05	-3.63	9.229	6.584	
LK 23-17	0.85	2001.73	-2.46	-3.76	9.172	6.768	
LK 23-18	0.90	2001.68	-1.81	-4.01	9.175	7.543	
LK 23-19	0.95	2001.63	-1.94	-4.04	9.151	6.845	
LK 23-20	1.00	2001.57	-0.68	-3.76	9.167	6.681	
LK 23-21	1.05	2001.52	-1.08	-4.09	9.233	8.823	
LK 23-22	1.10	2001.47	-1.23	-4.43	9.108	6.498	
LK 23-23	1.15	2001.42	-1.51	-4.44	9.117	8.564	
LK 23-24	1.20	2001.37	-1.46	-4.29	9.133	7.672	
LK 23-25	1.25	2001.32	-1.27	-3.91	9.208	6.855	
LK 23-26	1.30	2001.27	-0.94	-3.80	9.394	6.818	
LK 23-27	1.35	2001.23	-0.35	-3.42	9.295	6.371	
LK 23-28	1.40	2001.18	-0.41	-3.48	9.306	6.569	
LK 23-29	1.45	2001.13	-0.87	-3.45	9.348	6.323	
LK 23-30	1.50	2001.08	-1.55	-3.50	9.349	5.800	
LK 23-31	1.55	2001.03	-1.94	-3.46	9.242	6.032	
LK 23-32	1.60	2000.98	-1.59	-3.29	9.212	6.078	
LK 23-33	1.65	2000.94	-1.74	-3.59	9.318	6.217	
LK 23-34	1.70	2000.89	-1.73	-3.51	9.136	5.799	
LK 23-35	1.75	2000.84	-1.98	-3.87	9.259	5.457	
LK 23-36	1.80	2000.78	-1.49	-3.55	9.214	5.727	
LK 23-37	1.85	2000.73	-1.45	-4.09	9.142	5.485	
LK 23-38	1.90	2000.68	-1.27	-4.26	9.110	6.092	
LK 23-39	1.95	2000.63	-1.02	-4.05	9.061	6.457	
LK 23-40	2.00	2000.57	-1.09	-4.26	9.033	6.765	
LK 23-41	2.05	2000.52	-1.46	-4.27	9.008	7.193	
LK 23-42	2.10	2000.46	-1.27	-4.47	9.056	9.249	
LK 23-43	2.15	2000.41	-1.40	-4.24	9.036	10.612	
LK 23-44	2.20	2000.36	-0.95	-3.85	9.083	11.932	
LK 23-45	2.25	2000.30	-0.99	-3.86	9.153	8.657	
LK 23-46	2.30	2000.25	-1.04	-3.71	9.174	7.569	
LK 23-47	2.35	2000.19	-1.25	-3.65	9.170	9.539	
LK 23-48	2.40	2000.14	-1.14	-3.63	9.185	9.052	
LK 23-49	2.45	2000.08	-1.29	-3.54	9.330	7.260	
LK 23-50	2.50	2000.02	-1.44	-3.50	9.237	7.103	
LK 23-51	2.55	1999.96	-2.02	-3.69	9.219	7.663	
LK 23-52	2.60	1999.90	-1.84	-3.84	9.200	9.481	
LK 23-53	2.65	1999.83	-2.04	-3.90	9.180	8.726	
LK 23-54	2.70	1999.77	-1.80	-3.97	9.143	6.729	
LK 23-55	2.75	1999.70	-2.12	-4.28	9.063	6.851	
LK 23-56	2.80	1999.63	-2.20	-4.42	9.114	6.175	
LK 23-57	2.85	1999.55	-1.33	-4.30	9.035	6.038	
LK 23-58	2.90	1999.47	-0.93	-4.45	9.004	7.657	
LK 23-59	2.95	1999.39	-1.29	-4.47	NaN	6.453	
LK 23-60	3.00	1999.31	-1.45	-4.34	9.096	6.176	
LK 23-61	3.05	1999.23	-1.12	-4.21	9.100	10.803	
LK 23-62	3.10	1999.14	-0.42	-3.98	9.211	7.793	
LK 23-63	3.15	1999.05	-0.16	-3.82	9.220	6.933	
LK 23-64	3.20	1998.97	-0.46	-3.57	9.260	5.869	
LK 23-65	3.25	1998.88	-0.59	-3.56	9.310	5.608	
LK 23-66	3.30	1998.79	-0.87	-3.70	9.268	6.008	
LK 23-67	3.35	1998.71	-0.80	-3.57	9.347	5.407	
LK 23-68	3.40	1998.63	-0.98	-3.95	9.226	13.135	
LK 23-69	3.45	1998.54	-1.10	-4.03	9.116	14.927	
LK 23-70	3.50	1998.46	-0.47	-4.38	9.082	12.670	
LK 23-71	3.55	1998.37	-0.23	-3.85	9.140	13.523	
LK 23-72	3.60	1998.29	-0.36	-3.90	9.261	15.741	
LK 23-73	3.65	1998.20	-0.59	-3.53	9.356	6.959	
LK 23-74	3.70	1998.12	-1.39	-3.49	9.374	6.510	
LK 23-75	3.75	1998.03	-2.15	-3.29	9.302	6.458	
LK 23-76	3.80	1997.95	-1.46	-3.55	9.301	5.339	
LK 23-77	3.85	1997.87	-1.23	-3.75	9.251	7.701	
LK 23-78	3.90	1997.78	-1.34	-4.04	9.170	5.304	
LK 23-79	3.95	1997.70	-1.30	-4.07	9.147	5.418	
LK 23-80	4.00	1997.63	-0.99	-4.07	9.143	5.224	
LK 23-81	4.05	1997.55	-0.35	-4.38	9.077	5.267	
LK 23-82	4.10	1997.47	-0.75	-4.26	9.111	6.254	
LK 23-83	4.15	1997.40	-0.31	-4.10	9.129	8.528	
LK 23-84	4.20	1997.33	-0.39	-4.02	9.177	7.037	
LK 23-85	4.25	1997.25	-0.44	-3.89	9.210	5.923	
LK 23-86	4.30	1997.18	-0.36	-3.66	9.253	6.877	
