#Bahamas Sclerosponge Sr/Ca and Oxygen Isotope Data
#-----------------------------------------------------------------------
#               World Data Center for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
#NOTE: PLEASE CITE CONTRIBUTORS WHEN USING THIS DATA!!!!!
#
#
#NAME OF DATA SET: Bahamas Sclerosponge Sr/Ca and Oxygen Isotope Data
#LAST UPDATE: 11/2005 (Original receipt by WDC Paleo)
#CONTRIBUTOR: Brad Rosenheim, Woods Hole Oceanographic Institution
#
#IGBP PAGES/WDCA CONTRIBUTION SERIES NUMBER: 2005-076
#
#SUGGESTED DATA CITATION: Rosenheim, B.E., et al. 2005. 
#Bahamas Sclerosponge Sr/Ca and Oxygen Isotope Data.
#IGBP PAGES/World Data Center for Paleoclimatology 
#Data Contribution Series # 2005-076.
#NOAA/NCDC Paleoclimatology Program, Boulder CO, USA.
#
#
#ORIGINAL REFERENCE: Rosenheim, B.E., P.K. Swart, S.R. Thorrold, A. Eisenhauer, 
#and P. Willenz. 2005.  Salinity change in the subtropical Atlantic: 
#Secular increase and teleconnections to the North Atlantic Oscillation.
#Geophysical Research Letters, Vol. 32, L02603, January 2005.
#doi:10.1029/2004GL021499.
#
#ABSTRACT:
#Recent studies comparing shipboard data between the
#1950's and the 1990's have shown significant,
#heterogeneous adjustments of the temperature-salinity
#structure of the N. Atlantic Ocean. Here, we present
#proxy records of temperature and salinity from aragonite
#sclerosponge skeletons, extending existing records of the
#Salinity Maximum Waters (SMW) of the N. Atlantic back to
#1890. These proxy records show secular temperature
#increases of 1.6�2.0C, higher than published global
#averages, and salinity increases of 0.35�0.5 psu, smaller
#than short-term secular trends recently measured. Salinity
#reconstructions vary more significantly on the decadal scale,
#showing changes that are related to low-frequency
#variations of the North Atlantic Oscillation (NAO). On
#both secular and decadal time scales, the records indicate
#significant thermohaline changes in the SMW, either via
#forcing at the surface or increasing depths of density
#surfaces in the Bahamas. 
#
#ADDITIONAL REFERENCE:   Swart, P.K., S. Torrold, A. Esienhauer, 
#B. Rosenheim, C.G.A. Harrison, M. Grammer, and C. Latkoczy. 2002. 
#Intra-annual variation in the stable oxygen and carbon and 
#trace element composition of sclerosponges. 
#Paleoceanography 17(3), 1029/2000PA000622. 
#
#GEOGRAPHIC REGION: Bahamas, tropical Atlantic Ocean
#PERIOD OF RECORD:  1890-1990 AD 
#
#DESCRIPTION:
#Two continuous, century long sclerosponge records of d18O and Sr/Ca, used 
#to deconvolve temperature and salinity, from two of the Bahamas' deep channels, 
#Exuma Sound and Tongue of the Ocean (TOTO).  Sr/Ca and d18O data interpolated 
#at yearly resolution, using rectangular interpolation.  
#
#The data are indexed by the Sr/Ca cycle age model that was developed in 
#Swart et al, 2002.  
#---------------------------------------
# Location: Exuma Sound, Bahamas
# Northernmost_Latitude: 23.67	
# Southernmost_Latitude: 23.67
# Easternmost_Longitude: -75.75
# Westernmost_Longitude: -75.75
# Elevation: -136 m
#---------------------------------------
# Data_Collection
#   Collection_Name: Bahamas-Sclerosponse
#   First_Year: 1890
#   Last_Year: 1990
#---------------------------------------
# Species
#   Species_Name: Porites sp.
#   Common_Name: 
#------------------
Year    Sr/Ca   d18O
1890    10.43     0.58
1891    10.42     0.52
1892    10.35     0.31
1893    10.35     0.36
1894    10.24     0.31
1895    10.22     0.28
1896    10.28     0.42
1897    10.31     0.62
1898    10.36     0.63
1899    10.41     0.53
1900    10.17     0.44
1901    10.13     0.48
1902    10.33     0.44
1903    10.38     0.46
1904    10.33     0.42
1905    10.48     0.54
1906    10.33      0.4
1907    10.25      0.4
1908     10.3     0.48
1909    10.36     0.64
1910     10.2      0.6
1911     10.2     0.61
1912    10.23     0.47
1913    10.18     0.46
1914    10.28     0.53
1915    10.24     0.62
1916    10.18     0.63
1917    10.19     0.51
1918     10.2     0.43
1919    10.29     0.33
1920     10.3     0.27
1921     10.2      0.1
1922    10.32     0.28
1923    10.28     0.52
1924    10.23     0.49
1925    10.18     0.49
1926    10.17     0.48
1927    10.38     0.39
1928    10.31     0.38
1929    10.23     0.43
1930     10.1     0.35
1931    10.28     0.06
1932    10.45     0.25
1933    10.33     0.16
1934    10.25     0.27
1935    10.22      0.3
1936    10.32     0.23
1937    10.32     0.37
1938     10.4     0.46
1939    10.39     0.49
1940    10.33      0.5
1941    10.28     0.43
1942     10.2     0.35
1943    10.18      0.4
1944    10.14     0.25
1945    10.14     0.37
1946     10.2     0.32
1947    10.14     0.31
1948    10.12     0.27
1949    10.09     0.19
1950    10.14     0.41
1951     10.1     0.46
1952    10.06     0.48
1953    10.19     0.43
1954    10.25     0.47
1955    10.31     0.48
1956    10.31     0.47
1957    10.23     0.39
1958    10.26      0.4
1959    10.09     0.47
1960     10.3     0.42
1961    10.43     0.45
1962    10.37     0.37
1963    10.17     0.41
1964    10.26     0.45
1965    10.27     0.36
1966    10.23     0.41
1967    10.25      0.4
1968    10.22     0.42
1969    10.21     0.39
1970    10.27     0.45
1971    10.34     0.51
1972     10.2     0.48
1973    10.12     0.42
1974    10.13     0.35
1975    10.16     0.28
1976    10.13     0.23
1977    10.16      0.4
1978    10.24     0.53
1979    10.15     0.51
1980    10.16     0.48
1981    10.17     0.46
1982    10.13     0.43
1983    10.06     0.43
1984    10.11     0.43
1985    10.09     0.45
1986    10.11     0.43
1987    10.18     0.38
1988    10.18     0.28
1989     10.1      0.5
1990    10.07      0.4
