# Mesoamerican Orbicella faveolata stable isotope records 1922-2006 AD
#-----------------------------------------------------------------------
#               World Data Center for Paleoclimatology, Boulder
#                                   and
#                      NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite original publication, online resource and date accessed when using this data.
# If there is no publication information, please cite Investigator, title, online resource and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Online_Resource: http://www.ncdc.noaa.gov/paleo/study/17378
# Online_Resource: http://www1.ncdc.noaa.gov/pub/data/paleo/coral/caribbean/carilli2013/carilli2013-cmf-4.txt
#
# Archive: Corals and Sclerosponges
#---------------------------------------
# Contribution_Date
#    Date: 2014-10-30
#---------------------------------------
# Title
#    Study_Name: Mesoamerican Orbicella faveolata stable isotope records 1922-2006 AD
#---------------------------------------
# Investigators
#      Investigators: Carilli, J.E.; Charles, C.D.; Garren, M.; McField, M.; Norris, R.D.
#---------------------------------------
# Description and Notes
#        Description: Errors: d18O Orbicella faveolata = 0.11 per mil, d13C 0.066 per mil.
#---------------------------------------
# Publication
# Authors: Carilli, J.E., C.D. Charles, M. Garren, M. McField, and R.D. Norris
# Published_Date_or_Year: 2013
# Published_Title: Baseline shifts in coral skeletal oxygen isotopic composition: a signature of symbiont shuffling? 
# Journal_Name: Coral Reefs
# Volume: 32
# Issue: 2
# Pages: 559-571
# Report Number: 
# DOI: 10.1007/s00338-012-1004-y
# Abstract: Decades-long records of the stable isotopic composition of coral skeletal cores were analyzed from four sites on the Mesoamerican Reef. Two of the sites exhibited baseline shifts in oxygen isotopic composition after known coral bleaching events. Changes in pH at the calcification site caused by a change in the associated symbiont community are invoked to explain the observed shift in the isotopic composition. To test the hypothesis that changes in symbiont clade could affect skeletal chemistry, additional coral samples were collected from Belize for paired Symbiodinium identification and skeletal stable isotopic analysis. We found some evidence that skeletal stable isotopic composition may be affected by symbiont clade and suggest this is an important topic for future investigation. If different Symbiodinium clades leave consistent signatures in skeletal geochemical composition, the signature will provide a method to quantify past symbiont shuffling events, important for understanding how corals are likely to respond to climate change.
#---------------------------------------
# Funding_Agency
#    Funding_Agency_Name: Mia Tegner Memorial Grant
#    Grant: 
#---------------------------------------
# Funding_Agency
#    Funding_Agency_Name: B. Katz private donor
#    Grant: 
#---------------------------------------
# Funding_Agency
#    Funding_Agency_Name: Anonymous donors
#    Grant: 
#---------------------------------------
# Site Information
# Site_Name: Pelican Point, Peli 2, Cayos Cochinos
# Location: Caribbean
# Country: Honduras
# Northernmost_Latitude: 15.978056
# Southernmost_Latitude: 15.978056
# Easternmost_Longitude: -86.485
# Westernmost_Longitude: -86.485
# Elevation: -5.5
#---------------------------------------
# Data_Collection
#   Collection_Name: CMF-4 Isotopes Ca13
#   First_Year: 1922
#   Last_Year: 2006
#   Time_Unit: years AD
#   Core_Length: 
#   Notes: 
#---------------------------------------
# Species
#   Species_Name: Orbicella faveolata
#   Common_Name: 
#------------------
# Chronology: 
#---------------------------------------
# Variables
# Data variables follow that are preceded by "##" in columns one and two.
# Variables list, one per line, shortname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
## age_AD  Age,,,years AD,,,,,N
## d18Oo.fave  delta 18O,Orbicella faveolata,,per mil VPDB,,corals and sclerosponges,,analytical technique: isotope ratio mass spectrometry,N
## d13Co.fave  delta 13C,Orbicella faveolata,,per mil VPDB,,corals and sclerosponges,,analytical technique: isotope ratio mass spectrometry,N
# Data
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Value: -999
age_AD	d18Oo.fave	d13Co.fave	
1922.09	-4.04	-1.325
1922.17	-3.85	-0.727
1922.25	-3.90	-0.597
1922.42	-3.93	-0.284
1922.58	-3.83	-0.127
1922.67	-4.08	-0.871
1922.75	-4.06	-0.411
1922.84	-4.11	-0.355
1922.92	-4.03	-0.391
1923.00	-4.09	-1.320
1923.17	-3.79	-1.240
1923.33	-3.80	-0.923
1923.42	-3.78	-0.026
1923.50	-3.97	-0.386
1923.58	-4.06	-0.669
1923.67	-4.06	-0.856
1923.75	-3.92	-0.371
1923.84	-4.06	-0.978
1923.92	-4.03	-1.622
1924.00	-4.09	-1.859
1924.09	-3.93	-1.525
1924.17	-3.78	-0.340
1924.28	-3.88	-1.379
1924.39	-3.84	-0.923
1924.50	-4.03	-0.713
1924.61	-4.07	-0.394
1924.72	-4.20	-0.629
1924.84	-4.19	-1.189
1924.95	-4.01	-0.116
1925.06	-4.04	0.244
1925.17	-3.91	-0.648
1925.29	-3.95	-1.414
1925.42	-3.88	0.012
1925.54	-4.63	1.605
1925.67	-3.70	1.375
1927.67	-3.55	1.406
1927.79	-3.68	0.954
1927.92	-3.84	0.171
1928.04	-3.83	-0.550
1928.17	-3.74	0.356
1928.42	-3.80	0.519
1928.54	-3.82	0.583
1928.79	-3.85	0.918
1929.04	-3.92	0.239
1929.17	-3.87	-0.668
1929.33	-3.74	1.164
1929.50	-3.70	1.116
1930.30	-4.15	-0.891
1930.33	-3.85	-0.297
1930.44	-3.80	0.044
1930.59	-3.71	1.058
1930.73	-3.94	0.138
1930.88	-4.11	-0.225
1931.02	-4.11	-0.782
1931.17	-3.96	-0.921
1931.50	-3.76	-0.049
1931.67	-3.56	1.753
1931.84	-4.02	0.065
1932.17	-3.98	-0.913
1932.29	-3.86	-0.127
1932.42	-3.99	0.430
1932.54	-4.11	0.112
1932.67	-3.98	1.020
1932.79	-4.13	-0.514
1932.92	-4.25	-0.969
1933.04	-4.20	-1.153
1933.17	-4.05	-0.653
1933.29	-3.99	-0.740
1933.42	-4.20	-0.739
1933.54	-4.13	-0.089
1933.67	-3.72	0.294
1933.79	-3.72	0.163
1933.92	-3.83	0.244
1934.04	-3.82	0.278
1934.17	-3.83	0.751
1934.33	-3.86	1.161
1934.50	-3.89	0.921
1934.67	-3.80	0.599
1935.17	-4.00	-1.499
1935.25	-4.08	-1.082
1935.33	-4.09	-0.287
1935.42	-3.82	0.182
1935.50	-4.18	-0.119
1935.67	-4.24	-0.131
1936.00	-4.26	-2.419
1936.33	-3.80	-0.620
1936.67	-3.92	0.106
1937.01	-4.00	-0.691
1937.17	-3.86	0.126
1937.29	-4.26	-1.647
1937.42	-4.26	-2.100
1937.54	-3.80	0.000
1937.67	-3.99	0.388
1937.92	-4.07	0.370
1938.04	-3.98	0.619
1938.17	-3.97	0.491
1938.25	-4.20	0.186
1938.33	-4.17	0.340
1938.42	-3.97	-0.003
1938.50	-3.79	0.363
1938.59	-4.16	-0.194
1938.67	-3.94	0.551
1938.75	-4.10	0.349
1938.84	-4.12	0.302
1938.92	-4.09	-0.051
1939.00	-4.24	-0.279
1939.09	-4.11	-1.485
1939.17	-3.91	-1.060
1939.44	-4.10	-0.240
1939.59	-3.75	0.011
1939.73	-3.99	-0.546
1939.88	-4.10	-0.434
1940.02	-3.82	0.674
1940.17	-3.80	1.002
1940.28	-3.89	0.724
1940.50	-4.03	-1.342
1940.72	-4.03	-1.678
1940.84	-3.92	-0.731
1940.95	-3.96	-1.046
1941.06	-4.02	-0.007
1941.17	-3.94	0.200
1941.30	-3.96	0.220
1941.59	-3.80	0.702
1941.73	-3.79	-0.927
1941.88	-4.02	-2.217
1942.02	-3.76	-0.493
1942.17	-3.76	0.042
1942.25	-3.82	0.868
1942.33	-3.97	0.356
1942.42	-3.99	0.073
1942.50	-4.16	-0.321
1942.59	-4.24	-1.686
1942.75	-4.11	-1.714
1942.84	-3.98	-0.975
1942.92	-4.15	-1.079
1943.00	-4.05	-0.183
1943.09	-3.64	1.078
1943.17	-3.64	1.281
1943.25	-3.85	0.545
1943.37	-3.90	-0.353
1943.50	-3.77	0.073
1943.58	-4.02	-0.499
1943.67	-3.73	0.660
1943.75	-3.88	0.050
1943.84	-3.86	0.092
1943.92	-4.27	-1.919
1944.00	-4.23	-1.490
1944.09	-4.09	-0.838
1944.17	-4.12	-1.195
1944.25	-4.26	-1.290
1944.33	-4.24	-0.767
1944.42	-4.20	-0.426
1944.50	-3.79	0.620
1944.59	-3.67	0.880
1944.67	-3.63	0.682
1944.75	-3.68	-0.335
1944.84	-3.66	-0.066
1944.92	-3.57	-0.037
1945.01	-3.58	0.245
1945.09	-3.66	0.581
1945.17	-3.59	1.259
1945.28	-3.83	-0.110
1945.39	-3.83	0.772
1945.50	-4.11	-1.711
1945.61	-4.03	-1.401
1945.72	-3.89	-1.134
1945.84	-3.76	-0.387
1945.94	-3.66	0.345
1946.06	-3.67	0.314
1946.17	-3.65	1.060
1946.33	-3.92	-0.183
1946.50	-4.20	-0.423
1946.67	-4.56	-2.184
1947.00	-3.96	-0.542
1947.17	-3.91	-0.430
1947.29	-3.96	-0.378
1947.37	-4.06	-0.119
1947.49	-4.17	-0.633
1948.17	-3.91	0.043
1948.34	-4.15	-0.937
1948.50	-4.27	-1.431
1948.67	-4.07	0.007
1948.84	-3.85	0.656
1949.01	-4.00	-0.499
1949.17	-3.95	-0.563
1949.30	-4.05	-1.330
1949.44	-4.11	-1.170
1949.59	-3.90	0.127
1949.73	-4.21	-1.017
1949.88	-3.94	0.814
1950.02	-4.20	0.183
1950.17	-3.83	0.920
1950.26	-4.09	-0.274
1950.35	-4.23	-1.414
1950.44	-4.02	-0.909
1950.53	-4.65	-1.449
1950.62	-4.08	-0.719
1950.72	-3.88	-0.006
1950.81	-3.97	0.041
1950.90	-3.96	0.312
1950.99	-4.01	0.203
1951.08	-3.98	-0.064
1951.17	-3.70	-0.010
1951.23	-3.79	-0.119
1951.30	-3.93	-1.129
1951.56	-3.87	-0.549
1951.63	-3.91	-0.512
1951.83	-4.09	-0.544
1951.96	-3.94	-0.739
1952.17	-3.84	0.694
1952.29	-4.01	0.186
1952.42	-4.32	-0.005
1952.54	-4.01	-0.328
1952.67	-4.07	-0.355
1952.79	-4.31	-0.657
1952.92	-4.16	-0.803
1953.04	-4.16	-1.125
1953.17	-3.94	-0.490
1953.28	-4.12	-1.292
1953.39	-4.21	-1.099
1953.50	-4.30	-0.968
1953.61	-4.32	-0.895
1953.72	-4.11	-0.556
1953.84	-4.19	-2.373
1953.94	-4.04	-2.650
1954.06	-3.78	-0.888
1954.17	-3.75	-0.940
1954.33	-3.97	-0.139
1954.50	-4.07	0.504
1954.67	-4.11	-0.718
1954.84	-4.14	-1.187
1955.00	-4.28	-2.514
1955.17	-3.86	-0.942
1955.30	-3.75	0.548
1955.59	-3.72	1.146
1955.73	-4.06	-0.335
1956.17	-3.71	-0.019
1956.26	-3.90	-0.476
1956.35	-3.92	-0.147
1956.53	-3.86	0.349
1956.63	-4.23	-0.371
1956.72	-4.39	-0.470
1956.81	-4.42	-1.977
1956.90	-3.94	-0.935
1956.99	-3.94	-0.670
1957.08	-3.78	0.469
1957.17	-3.72	0.852
1957.30	-3.85	0.221
1957.44	-3.94	-0.414
1957.59	-3.77	0.980
1957.73	-3.87	1.045
1957.88	-3.81	0.462
1958.02	-3.79	-0.164
1958.17	-3.63	1.010
1958.33	-3.74	0.913
1958.50	-3.62	1.624
1958.67	-3.83	0.357
1958.84	-3.95	0.077
1959.00	-3.79	-0.226
1959.17	-3.76	0.328
1959.33	-4.09	-1.160
1959.50	-3.90	-0.929
1959.67	-3.73	-0.617
1960.00	-3.58	0.825
1960.17	-3.47	1.093
1960.42	-3.83	-1.137
1960.67	-3.92	-0.420
1960.92	-3.92	-0.514
1961.17	-3.80	-0.022
1961.26	-3.91	0.632
1961.35	-4.25	-1.089
1961.44	-4.05	-2.632
1961.53	-3.95	-2.198
1961.72	-3.95	-1.625
1961.81	-3.96	-1.546
1961.90	-4.05	-1.471
1961.99	-4.07	-1.065
1962.08	-4.07	-0.109
1962.17	-4.04	-0.040
1962.39	-4.10	-0.710
1962.50	-3.94	-1.010
1962.61	-4.19	-1.262
1962.72	-4.04	-0.563
1962.84	-4.15	-0.867
1962.94	-4.14	-0.830
1963.06	-4.36	-2.139
1963.17	-3.99	-1.418
1963.29	-3.95	-1.031
1963.42	-4.03	-1.235
1963.54	-3.93	-0.578
1963.67	-4.07	-0.328
1963.79	-3.84	-1.243
1963.92	-3.97	-0.445
1964.04	-3.93	-0.364
1964.17	-3.86	-0.691
1964.34	-4.00	-1.156
1964.50	-3.89	-0.334
1964.67	-4.17	-0.876
1964.84	-4.27	-1.363
1965.01	-4.25	-0.861
1965.17	-3.93	-0.096
1965.33	-3.95	-0.313
1965.50	-4.09	-1.944
1965.67	-4.10	-0.264
1965.84	-3.89	0.745
1966.01	-4.12	-0.659
1966.17	-3.88	0.629
1966.30	-4.113	-1.934
1966.44	-4.298	-2.264
1966.59	-4.103	-1.349
1966.73	-4.1	-1.278
1966.88	-4.075	-0.951
1967.02	-4.112	-0.203
1967.17	-4.036	-0.369
1967.33	-4.262	-1.766
1967.50	-4.373	-2.208
1967.67	-4.094	-1.353
1967.84	-4.006	-1.177
1968.00	-4.08	-1.106
1968.17	-3.892	0.241
1968.29	-4.149	-0.394
1968.42	-4.092	-1.824
1968.54	-4.045	-1.507
1968.79	-4.044	-1.269
1968.92	-4.085	-1.005
1969.04	-3.987	-0.413
1969.17	-3.92	0.939
1969.45	-4.386	-1.861
1969.62	-4.045	-1.587
1969.87	-4.049	-1.163
1970.05	-4.082	-1.316
1970.17	-3.864	-0.274
1970.42	-4.535	-1.843
1970.54	-4.132	-1.994
1970.67	-4.061	-1.212
1970.79	-3.962	-0.227
1970.92	-4.142	-0.457
1971.04	-4.003	0.813
1971.17	-4	0.646
1971.30	-4.348	-0.982
1971.44	-4.167	-1.59
1971.59	-3.92	-1.159
