# Mesoamerican Orbicella faveolata stable isotope records 1922-2006 AD
#-----------------------------------------------------------------------
#               World Data Center for Paleoclimatology, Boulder
#                                   and
#                      NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite original publication, online resource and date accessed when using this data.
# If there is no publication information, please cite Investigator, title, online resource and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Online_Resource: http://www.ncdc.noaa.gov/paleo/study/17378
# Online_Resource: http://www1.ncdc.noaa.gov/pub/data/paleo/coral/caribbean/carilli2013/carilli2013-umf-6.txt
#
# Archive: Corals and Sclerosponges
#---------------------------------------
# Contribution_Date
#    Date: 2014-10-30
#---------------------------------------
# Title
#    Study_Name: Mesoamerican Orbicella faveolata stable isotope records 1922-2006 AD
#---------------------------------------
# Investigators
#      Investigators: Carilli, J.E.; Charles, C.D.; Garren, M.; McField, M.; Norris, R.D.
#---------------------------------------
# Description and Notes
#        Description: Errors: d18O Orbicella faveolata = 0.11 per mil, d13C 0.066 per mil.
#---------------------------------------
# Publication
# Authors: Carilli, J.E., C.D. Charles, M. Garren, M. McField, and R.D. Norris
# Published_Date_or_Year: 2013
# Published_Title: Baseline shifts in coral skeletal oxygen isotopic composition: a signature of symbiont shuffling? 
# Journal_Name: Coral Reefs
# Volume: 32
# Issue: 2
# Pages: 559-571
# Report Number: 
# DOI: 10.1007/s00338-012-1004-y
# Abstract: Decades-long records of the stable isotopic composition of coral skeletal cores were analyzed from four sites on the Mesoamerican Reef. Two of the sites exhibited baseline shifts in oxygen isotopic composition after known coral bleaching events. Changes in pH at the calcification site caused by a change in the associated symbiont community are invoked to explain the observed shift in the isotopic composition. To test the hypothesis that changes in symbiont clade could affect skeletal chemistry, additional coral samples were collected from Belize for paired Symbiodinium identification and skeletal stable isotopic analysis. We found some evidence that skeletal stable isotopic composition may be affected by symbiont clade and suggest this is an important topic for future investigation. If different Symbiodinium clades leave consistent signatures in skeletal geochemical composition, the signature will provide a method to quantify past symbiont shuffling events, important for understanding how corals are likely to respond to climate change.
#---------------------------------------
# Funding_Agency
#    Funding_Agency_Name: Mia Tegner Memorial Grant
#    Grant: 
#---------------------------------------
# Funding_Agency
#    Funding_Agency_Name: B. Katz private donor
#    Grant: 
#---------------------------------------
# Funding_Agency
#    Funding_Agency_Name: Anonymous donors
#    Grant: 
#---------------------------------------
# Site Information
# Site_Name: Diamond Caye, Utila
# Location: Caribbean
# Country: Honduras
# Northernmost_Latitude: 16.064444
# Southernmost_Latitude: 16.064444
# Easternmost_Longitude: -86.950833
# Westernmost_Longitude: -86.950833
# Elevation: -6
#---------------------------------------
# Data_Collection
#   Collection_Name: UMF-6 Isotopes Ca13
#   First_Year: 1940
#   Last_Year: 2006
#   Time_Unit: years AD
#   Core_Length: 
#   Notes: 
#---------------------------------------
# Chronology: 
#---------------------------------------
# Variables
# Data variables follow that are preceded by "##" in columns one and two.
# Variables list, one per line, shortname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
## age_AD  Age,,,years AD,,,,,N
## d18Oo.fave  delta 18O,Orbicella faveolata,,per mil VPDB,,corals and sclerosponges,,analytical technique: isotope ratio mass spectrometry,N
## d13Co.fave  delta 13C,Orbicella faveolata,,per mil VPDB,,corals and sclerosponges,,analytical technique: isotope ratio mass spectrometry,N
# Data
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Value: -999
age_AD	d18Oo.fave	d13Co.fave	
1940.00	-3.957	-1.202
1940.09	-3.94	-1.121
1940.17	-3.803	-0.525
1940.35	-3.794	-0.202
1940.44	-4.054	-0.834
1940.53	-3.979	-0.551
1940.63	-4.055	-1.027
1940.72	-4.003	-0.912
1940.81	-3.946	-0.581
1940.90	-4.116	-1.049
1940.99	-3.895	-1.266
1941.17	-3.68	-0.206
1941.27	-3.852	-0.535
1941.47	-4.005	0.012
1941.57	-3.916	0.057
1941.67	-3.986	-0.312
1941.77	-4.03	-0.231
1941.88	-4.261	-0.923
1941.97	-4.201	-1.46
1942.08	-4.055	-0.719
1942.17	-3.966	-0.898
1942.25	-3.924	-0.913
1942.33	-3.907	-0.605
1942.42	-4.16	-0.798
1942.50	-4.088	-1.006
1942.59	-3.905	0.046
1944.75	-4.013	-1.033
1944.84	-4.029	-0.81
1945.01	-4.004	-0.402
1945.09	-4.007	-1.138
1945.17	-3.885	-1.026
1945.35	-3.647	-0.816
1945.44	-3.686	-0.807
1945.53	-3.461	-0.224
1945.62	-3.54	-0.289
1945.72	-4.047	-0.989
1945.81	-3.785	-0.17
1945.90	-4.009	-0.363
1945.99	-3.973	-0.145
1946.08	-4.121	-0.938
1946.17	-3.791	-0.826
1946.26	-3.735	-0.676
1946.35	-3.771	-0.844
1946.44	-3.761	-0.945
1946.53	-3.833	-0.797
1946.62	-3.614	-0.613
1946.72	-3.85	0.053
1946.81	-3.734	-0.277
1946.90	-3.971	-0.466
1946.99	-3.959	0.09
1947.17	-3.681	-0.326
1947.24	-3.908	-0.749
1947.31	-3.842	-0.597
1947.38	-3.801	-0.176
1947.52	-3.638	-0.041
1947.60	-3.737	-0.056
1947.67	-4.039	-0.751
1947.74	-3.866	-0.434
1947.81	-3.895	-0.425
1947.88	-3.926	-0.824
1947.92	-4.015	-1.203
1948.26	-3.843	-0.457
1948.44	-3.798	-0.294
1948.53	-3.951	-0.308
1948.72	-4.137	-0.85
1948.81	-3.815	-0.905
1948.90	-3.901	-0.612
1949.08	-4.008	-1.035
1949.17	-4.023	-0.598
1949.27	-4.023	-0.282
1949.37	-4.15	-0.386
1949.47	-4.384	-0.769
1949.57	-4.039	-0.488
1949.67	-3.677	-0.609
1949.77	-3.568	-0.368
1949.88	-3.679	-0.651
1949.98	-3.909	-0.385
1950.08	-3.719	0.133
1950.17	-3.66	0.399
1950.25	-4.031	-0.178
1950.33	-3.773	-0.494
1950.42	-3.564	-0.145
1950.50	-3.627	-0.339
1950.59	-3.727	-0.32
1950.67	-3.622	0.18
1950.75	-3.966	-0.496
1950.84	-3.765	0.133
1950.92	-3.949	-0.866
1951.00	-4.064	-0.712
1951.09	-3.918	-0.852
1951.17	-3.789	-0.61
1951.35	-3.744	-0.982
1951.44	-3.835	-0.191
1951.53	-3.602	-0.088
1951.72	-3.446	-0.301
1951.81	-4.24	-0.638
1951.90	-4.239	-0.373
1951.99	-4.382	-1.16
1952.08	-4.151	-1.494
1952.17	-3.978	-1.319
1952.27	-4.182	-1.16
1952.37	-4.07	-0.92
1952.47	-4.431	-1.248
1952.67	-4.667	-1.214
1952.77	-4.676	-1.32
1952.88	-4.063	-0.121
1952.98	-4.299	-0.336
1953.08	-4.222	-1.177
1953.17	-4.14	-1.083
1953.27	-4.123	-0.85
1953.37	-3.831	-0.794
1953.47	-3.989	-0.679
1953.57	-4.355	-1.045
1953.57	-4.325	-1.187
1953.67	-4.215	-0.298
1953.77	-3.803	0.225
1953.88	-4.35	-1.474
