# Mesoamerican Orbicella faveolata stable isotope records 1922-2006 AD
#-----------------------------------------------------------------------
#               World Data Center for Paleoclimatology, Boulder
#                                   and
#                      NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite original publication, online resource and date accessed when using this data.
# If there is no publication information, please cite Investigator, title, online resource and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Online_Resource: http://www.ncdc.noaa.gov/paleo/study/17378
# Online_Resource: http://www1.ncdc.noaa.gov/pub/data/paleo/coral/caribbean/carilli2013/carilli2013-hmf-1.txt
#
# Archive: Corals and Sclerosponges
#---------------------------------------
# Contribution_Date
#    Date: 2014-10-30
#---------------------------------------
# Title
#    Study_Name: Mesoamerican Orbicella faveolata stable isotope records 1922-2006 AD
#---------------------------------------
# Investigators
#      Investigators: Carilli, J.E.; Charles, C.D.; Garren, M.; McField, M.; Norris, R.D.
#---------------------------------------
# Description and Notes
#        Description: Errors: d18O Orbicella faveolata = 0.11 per mil, d13C 0.066 per mil.
#---------------------------------------
# Publication
# Authors: Carilli, J.E., C.D. Charles, M. Garren, M. McField, and R.D. Norris
# Published_Date_or_Year: 2013
# Published_Title: Baseline shifts in coral skeletal oxygen isotopic composition: a signature of symbiont shuffling? 
# Journal_Name: Coral Reefs
# Volume: 32
# Issue: 2
# Pages: 559-571
# Report Number: 
# DOI: 10.1007/s00338-012-1004-y
# Abstract: Decades-long records of the stable isotopic composition of coral skeletal cores were analyzed from four sites on the Mesoamerican Reef. Two of the sites exhibited baseline shifts in oxygen isotopic composition after known coral bleaching events. Changes in pH at the calcification site caused by a change in the associated symbiont community are invoked to explain the observed shift in the isotopic composition. To test the hypothesis that changes in symbiont clade could affect skeletal chemistry, additional coral samples were collected from Belize for paired Symbiodinium identification and skeletal stable isotopic analysis. We found some evidence that skeletal stable isotopic composition may be affected by symbiont clade and suggest this is an important topic for future investigation. If different Symbiodinium clades leave consistent signatures in skeletal geochemical composition, the signature will provide a method to quantify past symbiont shuffling events, important for understanding how corals are likely to respond to climate change.
#---------------------------------------
# Funding_Agency
#    Funding_Agency_Name: Mia Tegner Memorial Grant
#    Grant: 
#---------------------------------------
# Funding_Agency
#    Funding_Agency_Name: B. Katz private donor
#    Grant: 
#---------------------------------------
# Funding_Agency
#    Funding_Agency_Name: Anonymous donors
#    Grant: 
#---------------------------------------
# Site Information
# Site_Name: Harry Jones, Turneffe Atoll
# Location: Caribbean
# Country: Belize
# Northernmost_Latitude: 17.306944
# Southernmost_Latitude: 17.306944
# Easternmost_Longitude: -87.801111
# Westernmost_Longitude: -87.801111
# Elevation: -5.8
#---------------------------------------
# Data_Collection
#   Collection_Name: HMF-1 Isotopes Ca13
#   First_Year: 1929
#   Last_Year: 2005
#   Time_Unit: years AD
#   Core_Length: 
#   Notes: 
#---------------------------------------
# Chronology: 
#---------------------------------------
# Variables
# Data variables follow that are preceded by "##" in columns one and two.
# Variables list, one per line, shortname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
## age_AD  Age,,,years AD,,,,,N
## d18Oo.fave  delta 18O,Orbicella faveolata,,per mil VPDB,,corals and sclerosponges,,analytical technique: isotope ratio mass spectrometry,N
## d13Co.fave  delta 13C,Orbicella faveolata,,per mil VPDB,,corals and sclerosponges,,analytical technique: isotope ratio mass spectrometry,N
# Data
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Value: -999
age_AD	d18Oo.fave	d13Co.fave	
1929.92	-4.186	-0.901
1930.04	-3.923	-0.664
1930.17	-3.725	-0.068
1930.25	-4.126	-0.696
1930.33	-4.276	-0.721
1930.42	-4.149	-0.261
1930.50	-4.05	-0.075
1930.59	-4.146	-1.317
1930.67	-4.379	-1.055
1931.09	-4.067	-1.652
1931.13	-4.024	-1.164
1931.17	-3.962	-1.207
1931.28	-4.015	-1.411
1931.38	-4.083	-0.898
1931.50	-4.499	-0.111
1931.61	-4.33	-0.29
1931.72	-4.542	-1.284
1932.17	-4.177	-1.052
1932.33	-4.371	0.132
1932.50	-4.358	-0.824
1932.67	-999	0.284
1932.84	-4.17	-0.323
1933.01	-4.007	-0.137
1933.17	-3.874	-0.852
1933.42	-4.036	-0.858
1933.54	-3.955	-0.564
1933.67	-4.211	-0.627
1933.92	-4.118	0.147
1934.17	-4.202	-0.417
1934.39	-4.07	-1.025
1934.72	-3.814	0.095
1934.94	-4.04	0.617
1935.06	-4.002	0.715
1935.17	-3.777	1.183
1935.37	-4.019	-0.481
1935.47	-3.742	0.127
1935.57	-3.7	0.236
1935.67	-3.674	0.596
1935.77	-3.953	0.691
1935.87	-3.997	0.652
1935.97	-3.996	0.317
1936.07	-3.875	0.141
1936.17	-3.774	0.092
1936.30	-3.935	-0.3
1936.44	-3.839	0.04
1936.59	-3.815	0.657
1936.73	-4.065	0.116
1936.88	-4.31	-0.219
1937.02	-4.28	-0.338
1937.17	-4.112	-0.349
1937.50	-4.375	-1.031
1937.67	-4.057	0.183
1937.84	-3.804	0.684
1938.00	-4.165	0.322
1938.17	-3.996	0.362
1938.30	-3.962	-0.892
1938.43	-3.954	-0.18
1938.50	-3.91	0.417
1938.56	-4.243	-0.43
1938.63	-4.083	-0.276
1938.70	-4.192	0.237
1938.77	-4.01	0.598
1938.90	-4.031	-1.209
1938.96	-3.994	-0.884
1939.03	-3.929	-1.322
1939.10	-3.898	-0.31
1939.17	-3.873	0.029
1939.33	-3.909	0.115
1939.50	-4.123	0.005
1939.67	-4.276	-0.491
1939.84	-4.184	-1.377
1940.00	-4.098	-0.762
1940.17	-3.816	-0.91
1940.33	-4.48	-1.015
1940.50	-4.154	-1.258
1940.67	-4.381	0.054
1940.84	-4.056	-0.807
1941.17	-3.758	-0.385
1941.30	-3.855	-0.499
1941.44	-4.297	-1.195
1941.59	-4.296	-1.199
1941.73	-4.152	-1.051
1941.88	-4.097	-1.312
1942.02	-4.1	-1.603
1942.17	-4.071	-1.189
1942.30	-3.96	-0.58
1942.44	-4.176	-0.802
1942.59	-4.217	-1.185
1942.88	-4.03	-0.915
1943.02	-3.992	-1.246
1943.17	-3.868	-0.869
1943.29	-3.951	-1.437
1943.35	-999	-1.165
1943.44	-3.98	-1.182
1943.53	-4.092	-0.83
1943.72	-3.961	0.292
1943.81	-4.058	-0.575
1943.90	-3.746	-0.176
1944.08	-999	-1.488
1944.17	-4.053	-1.289
1944.29	-4.082	-0.671
1944.42	-4.055	-0.539
1944.54	-4.15	-0.347
1944.67	-4.018	-0.361
1944.79	-3.948	-0.857
1944.92	-3.821	-0.926
1945.04	-3.771	-0.946
1945.17	-3.69	-0.538
1945.33	-3.79	-0.027
1945.50	-4.01	-0.409
1945.67	-4.093	-0.391
1945.84	-4.067	-0.175
1946.01	-4.215	-0.659
1946.17	-4.22	-0.868
1946.28	-4.364	-1.795
1946.39	-4.208	-1.424
1946.50	-3.938	-0.21
1946.61	-4.41	-1.341
1946.72	-4.3	-0.406
1946.84	-4.843	-0.677
