# Caribbean Sclerosponge Oxygen Isotope and Sr/Ca Data
#----------------------------------------------------------------------- 
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
# Online_Resource: https://www.ncdc.noaa.gov/paleo/study/1878
#
# Original_Source_URL: http://www1.ncdc.noaa.gov/pub/data/paleo/coral/caribbean/montego_bay_2003.txt
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Corals and Sclerosponges
#--------------------
# Contribution_Date
#	Date: 2003-10-01
#--------------------
# Title
#	Study_Name: Montego Bay, Pedro Bank - Sclerosponge Oxygen Isotope and Sr/Ca Data
#--------------------
# Investigators
#       Investigators: Haase-Schramm, A.; Böhm, F.; Eisenhauer, A.; Dullo, W.C.; Joachimski, M.M.; Hansen, B.; Reitner, J.
#--------------------
# Description_and_Notes
#	Description: Sr/Ca and oxygen isotope values (VPDB) were measured on aragonitic skeletons  of sclerosponges Ceratoporella nicholsoni. Sr/Ca values were measured with  ICP-AES with external reproducibility of 0.6% (2sem). External precision for  d18O is 0.07 permil (2sd). Age model is based on U/Th dating with average  error of 3%.  sample Pb19: Pedro Bank, 17�32�N, 78�57�W ; 125 mbsl
#--------------------
# Publication 
#       Authors: Haase-Schramm, A.; Böhm, F.; Eisenhauer, A.; Dullo, W.C.; Joachimski, M.M.; Hansen, B.; Reitner, J.
#       Published_Date_or_Year: 2003     
#       Published_Title: Sr/Ca ratios and oxygen isotopes from sclerosponges:  Temperature history of the Caribbean mixed layer and  thermocline during the Little Ice Age
#       Journal_Name: Paleoceanography
#       Volume: 18
#       Edition: 3
#       Issue: 
#       Pages: 1073
#       DOI: 10.1029/2002PA000830
#       Online_Resource: 
#       Full_Citation: Haase-Schramm, A., F. B�hm, A. Eisenhauer,  W.-C. Dullo, M.M. Joachimski, B. Hansen, and J. Reitner, 2003,  Sr/Ca ratios and oxygen isotopes from sclerosponges:  Temperature history of the Caribbean mixed layer and  thermocline during the Little Ice Age, Paleoceanography, Vol. 18, No. 3, 1073, doi:10.1029/2002PA000830.
#       Abstract: We investigate aragonitic skeletons of the Caribbean sclerosponge  Ceratoporella nicholsoni from Jamaica, 20 m below sea level (mbsl),  and Pedro Bank, 125 mbsl. We use d18O and Sr/Ca ratios as temperature  proxies to reconstruct the Caribbean mixed layer and thermocline  temperature history since 1400 A.D. with a decadal time resolution.  Our age models are based on U/Th dating and locating of the radiocarbon  bomb spike. The modern temperature difference between the two sites  is used to tentatively calibrate the C. nicholsoni Sr/Ca thermometer.  The resulting calibration points to a temperature sensitivity of  Sr/Ca in C. nicholsoni aragonite of about -0.1 mmol/mol/K. Our Sr/Ca  records reveal a pronounced warming from the early 19th to the  late 20th century, both at 20 and 125 mbsl. Two temperature minima  in the shallow water record during the late 17th and early 19th century  correspond to the Maunder and Dalton sunspot minima, respectively.  Another major cooling occurred in the late 16th century and is not  correlatable with a sunspot minimum. The temperature contrast between  the two sites decreased from the 14th century to a minimum in the  late 17th century and subsequently increased to modern values  in the early 19th century. This is interpreted as a long-term deepening  and subsequent shoaling of the Caribbean thermocline. The major trends  of the Sr/Ca records are reproduced in both specimens but hardly  reflected in the d18O records.
#------------------
# Funding_Agency 
#       Funding_Agency_Name: 
#       Grant: 
#------------------
# Site_Information 
#       Site_Name: Montego Bay, Jamaica
#       Location: Ocean>Atlantic Ocean>North Atlantic Ocean>Caribbean Sea>Jamaica
#	Country: Jamaica 
#	Northernmost_Latitude: 18.47
# 	Southernmost_Latitude: 18.47
# 	Easternmost_Longitude: -77.95 
# 	Westernmost_Longitude: -77.95 
# 	Elevation: -20 m  
#------------------
# Data_Collection   
#	Collection_Name: 03jama02a
#	Earliest_Year: 1344
#	Most_Recent_Year: 1991
#	Time_Unit: AD
#	Core_Length: 
#	Notes: Core name- Sclerosponge Ce96
#------------------
# Species
#	Species_Name: Ceratoporella nicholsoni 
#	Common_Name: 
#------------------
# Chronology_Information
# 	Chronology: Age model is based on U/Th dating with average error of 3%. Our age models are based on U/Th dating and locating of the radiocarbon bomb spike.
# 
#----------------
# Variables 
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age	age, , ,years AD, , , , ,N
##d18O	delta 18O, Ceratoporella nicholsoni, , permil PDB, , corals and sclerosponges, , ,N
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: NAN 
age	d18O
1991	-0.91
1986	-0.79
1982	-0.88
1976	-0.82
1971	-0.72
1967	-0.77
1960	-0.91
1954	-0.89
1947	-0.87
1940	-0.85
1932	-0.78
1926	-0.78
1921	-0.89
1915	-0.86
1909	-0.87
1904	-0.78
1899	-0.87
1893	-0.82
1888	-0.82
1883	-0.84
1878	-0.94
1873	-0.84
1869	-0.83
1864	-0.82
1864	-0.81
1860	-0.87
1855	-0.91
1850	-0.74
1845	-0.87
1840	-0.80
1834	-0.71
1830	-0.68
1826	-0.73
1821	-0.66
1817	-0.68
1813	-0.68
1808	-0.65
1805	-0.95
1800	-0.73
1795	-0.77
1784	-0.61
1780	-0.67
1775	-0.79
1770	-0.68
1765	-0.71
1761	-0.76
1756	-0.78
1754	-0.75
1747	-0.67
1744	-0.76
1739	-0.74
1735	-0.77
1730	-0.79
1726	-0.78
1722	-0.84
1718	-0.72
1714	-0.78
1705	-0.80
1705	-0.75
1701	-0.78
1698	-0.80
1694	-0.78
1690	-0.81
1686	-0.81
1682	-0.76
1682	-0.73
1677	-0.82
1674	-0.75
1671	-0.84
1667	-0.82
1663	-0.77
1660	-0.76
1656	-0.69
1654	-0.81
1650	-0.73
1646	-0.81
1643	-0.70
1639	-0.73
1636	-0.68
1633	-0.77
1630	-0.81
1627	-0.77
1624	-0.67
1624	-0.74
1622	-0.73
1621	-0.81
1618	-0.76
1618	-0.74
1616	-0.81
1614	-0.74
1612	-0.72
1612	-0.76
1610	-0.68
1609	-0.72
1606	-0.67
1605	-0.74
1603	-0.75
1600	-0.76
1597	-0.77
1594	-0.85
1591	-0.75
1589	-0.73
1585	-0.82
1582	-0.74
1580	-0.81
1577	-0.87
1575	-0.76
1572	-0.84
1570	-0.79
1567	-0.81
1565	-0.86
1562	-0.81
1559	-0.76
1555	-0.87
1551	-0.81
1548	-0.78
1546	-0.79
1544	-0.88
1541	-0.89
1537	-0.86
1535	-0.74
1532	-0.85
1529	-0.84
1527	-0.80
1524	-0.83
1520	-0.87
1517	-0.86
1514	-0.82
1510	-0.80
1510	-0.76
1508	-0.78
1505	-0.82
1503	-0.88
1503	-0.88
1500	-0.94
1496	-0.87
1493	-0.90
1490	-0.91
1486	-0.87
1483	-0.78
1480	-0.85
1477	-0.75
1475	-0.81
1472	-0.78
1469	-0.79
1466	-0.72
1466	-0.77
1463	-0.78
1460	-0.78
1457	-0.81
1454	-0.80
1451	-0.78
1447	-0.78
1447	-0.71
1445	-0.72
1445	-0.71
1441	-0.67
1438	-0.77
1436	-0.77
1433	-0.86
1430	-0.73
1427	-0.83
1425	-0.78
1421	-0.81
1418	-0.73
1416	-0.82
1412	-0.82
1409	-0.85
1405	-0.76
1402	-0.87
1399	-0.76
1395	-0.92
1393	-0.79
1390	-0.83
1386	-0.82
1383	-0.85
1380	-0.81
1377	-0.86
1372	-0.84
1369	-0.84
1365	-0.86
1361	-0.83
1356	-0.84
1353	-0.86
1348	-0.81
1344	-0.85
