# Los Roques, Venezuela 90 Year Monthly Coral d18O Data 
#----------------------------------------------------------------------- 
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
# Online_Resource: https://www.ncdc.noaa.gov/paleo/study/12891
#
# Original_Source_URL: http://www1.ncdc.noaa.gov/pub/data/paleo/coral/caribbean/losroques2008.txt
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Corals and Sclerosponges
#--------------------
# Contribution_Date
#	Date: 2012-04-01
#--------------------
# Title
#	Study_Name: Los Roques, Venezuela 90 Year Monthly Coral d18O Data 
#--------------------
# Investigators
#       Investigators: Hetzinger, S.; Pfeiffer, M.; Dullo, W.-C.; Keenlyside, N.S.; Latif, M.; Zinke, J.  
#--------------------
# Description_and_Notes
#	Description: Coral stable isotope (d18O) data at monthly and annual resolution  for the last 90 years from the Los Roques Archipelago, Venezuela.   Core Roq6 was collected from a Diploria strigosa coral specimen  in December 2004. 
#--------------------
# Publication 
#       Authors: Hetzinger, S.; Pfeiffer, M.; Dullo, W.-C.; Keenlyside, N.S.; Latif, M.; Zinke, J.
#       Published_Date_or_Year: 2008-01     
#       Published_Title: Caribbean coral tracks Atlantic Multidecadal Oscillation and past hurricane activity
#       Journal_Name: Geology
#       Volume: 36
#       Edition: 
#       Issue: 
#       Pages: 11-14
#       DOI: 10.1130/G24321A.1
#       Online_Resource: 
#       Full_Citation: Hetzinger, S., M. Pfeiffer, W.-C. Dullo, N. Keenlyside, M. Latif, and J. Zinke. 2008. Caribbean coral tracks Atlantic Multidecadal Oscillation and past hurricane activity. Geology, January 2008, Vol. 36, pp. 11-14. doi:10.1130/G24321A.1 
#       Abstract: It is highly debated whether global warming contributed to  the strong hurricane activity observed during the last decade.  The crux of the recent debate is the limited length of the  reliable instrumental record that exacerbates the detection  of possible long-term changes in hurricane activity,  which naturally exhibits strong multidecadal variations  that are associated with the Atlantic Multidecadal Oscillation  (AMO). The AMO, itself a major mode of climate variability,  remains also poorly understood because of limited data.  Here, we present the first coral-based proxy record (d18O)  that clearly captures multidecadal variations in the AMO  and the hurricane activity. Our record, obtained from a brain  coral situated in the Atlantic hurricane domain, is equally  sensitive to variations in sea surface temperature (SST)  and seawater d18O, with the latter being strongly linked  to precipitation, by this means amplifying large-scale climate  signals in coral d18O. The SST and precipitation signals  in the coral provide the longest, thus far, continuous  proxy-based record of hurricane activity that interestingly  exhibits a long-term increase over the last century.  As multidecadal SST variations in this region are closely  related to the AMO, this study raises new possibilities  to extend the limited observations and to gain new insights  into the mechanisms underlying the AMO and long-term  hurricane variations. 
#------------------
# Funding_Agency 
#       Funding_Agency_Name: Deutsche Forschungsgemeinschaft
#       Grant: Sonderforschungsbereich 460-B1, Du129/33
#------------------
# Funding_Agency 
#       Funding_Agency_Name: DYNAMITE
#       Grant: GOCE 00393
#------------------
# Site_Information 
#       Site_Name: Cayo Sal, Los Roques Archipelago, Venezuela
#       Location: South America>Venezuela
#	Country: Venezuela
#	Northernmost_Latitude: 11.77
# 	Southernmost_Latitude: 11.77
# 	Easternmost_Longitude: -66.75
# 	Westernmost_Longitude: -66.75
# 	Elevation: -2 m
#------------------
# Data_Collection   
#	Collection_Name: 08vene01a
#	Earliest_Year: 1917
#	Most_Recent_Year: 2004
#	Time_Unit: AD
#	Core_Length: 
#	Notes:  
#------------------
# Species
#	Species_Name: Diploria strigosa 
#	Common_Name: 
#------------------
# Chronology_Information
#	Chronology: 
# 
#----------------
# Variables 
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age	age, , ,years AD, , , , ,N
##d18O	delta 18O, Diploria strigosa, , permil VPDB, , Corals and Sclerosponges, , ,N
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: NAN
#
age	d18O
1917.79	-3.812
1917.87	-3.731
1917.96	-3.749
1918.04	-3.666
1918.12	-3.700
1918.21	-3.546
1918.29	-3.694
1918.37	-3.725
1918.46	-3.754
1918.54	-3.800
1918.62	-3.796
1918.71	-3.909
1918.79	-3.846
1918.87	-3.726
1918.96	-3.555
1919.04	-3.502
1919.12	-3.657
1919.21	-3.691
1919.29	-3.777
1919.37	-3.954
1919.46	-4.002
1919.54	-4.011
1919.62	-3.971
1919.71	-3.971
1919.79	-4.002
1919.87	-3.962
1919.96	-3.722
1920.04	-3.701
1920.12	-3.578
1920.21	-3.538
1920.29	-3.516
1920.37	-3.527
1920.46	-3.581
1920.54	-3.641
1920.62	-3.672
1920.71	-3.721
1920.79	-3.785
1920.87	-3.625
1920.96	-3.700
1921.04	-3.622
1921.12	-3.603
1921.21	-3.622
1921.29	-3.629
1921.37	-3.766
1921.46	-3.695
1921.54	-3.918
1921.62	-4.012
1921.71	-4.104
1921.79	-4.389
1921.87	-4.242
1921.96	-3.990
1922.04	-3.889
1922.12	-3.776
1922.21	-3.735
1922.29	-3.747
1922.37	-3.850
1922.46	-3.919
1922.54	-3.983
1922.62	-4.076
1922.71	-4.193
1922.79	-4.329
1922.87	-4.379
1922.96	-4.106
1923.04	-3.830
1923.12	-3.538
1923.21	-3.617
1923.29	-3.764
1923.37	-3.895
1923.46	-3.869
1923.54	-4.008
1923.62	-4.103
1923.71	-4.093
1923.79	-3.921
1923.87	-3.899
1923.96	-3.914
1924.04	-3.774
1924.12	-3.827
1924.21	-3.798
1924.29	-3.874
1924.37	-3.982
1924.46	-3.989
1924.54	-4.171
1924.62	-4.244
1924.71	-4.269
1924.79	-4.331
1924.87	-4.188
1924.96	-3.907
1925.04	-3.588
1925.12	-3.762
1925.21	-3.742
1925.29	-3.764
1925.37	-3.861
1925.46	-4.017
1925.54	-4.165
1925.62	-4.149
1925.71	-4.134
1925.79	-4.118
1925.87	-4.117
1925.96	-4.047
1926.04	-3.900
1926.12	-3.697
1926.21	-3.632
1926.29	-3.780
1926.37	-3.810
1926.46	-3.952
1926.54	-4.093
1926.62	-4.188
1926.71	-4.288
1926.79	-4.244
1926.87	-4.300
1926.96	-3.992
1927.04	-3.851
1927.12	-3.873
1927.21	-3.806
1927.29	-3.851
1927.37	-3.975
1927.46	-4.049
1927.54	-4.111
1927.62	-4.207
1927.71	-4.177
1927.79	-4.369
1927.87	-4.197
1927.96	-4.028
1928.04	-3.891
1928.12	-3.830
1928.21	-3.778
1928.29	-3.662
1928.37	-3.652
1928.46	-3.802
1928.54	-3.983
1928.62	-4.141
1928.71	-4.098
1928.79	-4.066
1928.87	-3.937
1928.96	-3.889
1929.04	-3.744
1929.12	-3.569
1929.21	-3.653
1929.29	-3.702
1929.37	-3.690
1929.46	-3.785
1929.54	-3.894
1929.62	-3.908
1929.71	-3.959
1929.79	-4.039
1929.87	-4.078
1929.96	-3.991
1930.04	-3.675
1930.12	-3.721
1930.21	-3.632
1930.29	-3.755
1930.37	-3.756
1930.46	-3.778
1930.54	-3.874
1930.62	-3.929
1930.71	-3.932
1930.79	-3.951
1930.87	-3.942
1930.96	-3.950
1931.04	-3.911
1931.12	-3.838
1931.21	-3.855
1931.29	-3.871
1931.37	-3.980
1931.46	-4.089
1931.54	-4.130
1931.62	-4.168
1931.71	-4.153
1931.79	-4.134
1931.87	-4.127
1931.96	-4.119
1932.04	-4.143
1932.12	-3.803
1932.21	-3.875
1932.29	-3.960
1932.37	-4.011
1932.46	-3.946
1932.54	-4.162
1932.62	-4.273
1932.71	-4.356
1932.79	-4.520
1932.87	-4.499
1932.96	-4.246
1933.04	-4.037
1933.12	-4.008
1933.21	-4.016
1933.29	-4.105
1933.37	-4.209
1933.46	-4.209
1933.54	-4.245
1933.62	-4.356
1933.71	-4.434
1933.79	-4.357
1933.87	-4.336
1933.96	-4.210
1934.04	-4.045
1934.12	-3.827
1934.21	-3.860
1934.29	-4.115
1934.37	-3.971
1934.46	-3.958
1934.54	-4.155
1934.62	-4.120
1934.71	-4.162
1934.79	-4.160
1934.87	-4.129
1934.96	-4.088
1935.04	-4.082
