# Ta'u, American Samoa Coral d18O Data from 1520-2011 CE
#----------------------------------------------------------------------- 
#                World Data Service for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------------------------- 
# Template Version 3.0
# Encoding: UTF-8
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
#
# Online_Resource: https://www.ncdc.noaa.gov/paleo/study/25270
#       Description: NOAA Landing Page
# Online_Resource: https://www1.ncdc.noaa.gov/pub/data/paleo/coral/central_pacific/tangri2018/tangri2018.txt
#       Description: NOAA location of this template
#
# Original_Source_URL: 
#       Description:
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Corals and Sclerosponges
#
# Dataset_DOI:
#
# Parameter_Keywords: oxygen isotopes
#
#--------------------
# Contribution_Date
#	Date:  2018-09-27
#--------------------
# File_Last_Modified_Date
#	Date:  2018-09-27
#--------------------
# Title
#	Study_Name: Ta'u, American Samoa Coral d18O Data from 1520-2011 CE
#--------------------
# Investigators
#	Investigators:  Tangri, N; Dunbar, R.B; Linsley, B.K; Mucciarone, D.M.
#--------------------
# Description_Notes_and_Keywords
#	Description: This is the d18O data from the Tau-1 core, linearly interpolated to monthly basis. Dates are reported as decimal years AD.
#--------------------
# Publication 
#	Authors: Tangri, N; Dunbar, R.B; Linsley, B.K; Mucciarone, D.M.
#	Published_Date_or_Year:  2018      
#	Published_Title: ENSO's Shrinking 20th Century Footprint Revealed in a Half-millennium Coral Core from the South Pacific Convergence Zone
#	Journal_Name: Paleoceanography and Paleoclimatology
#	Volume: 
#	Edition: 
#	Issue: 
#	Pages:
#	Report_Number: 
#	DOI: 
#	Online_Resource: 
#	Full_Citation: 
#	Abstract: A 492-year long, continuous d18O time series from a massive Porites coral colony in Ta'u, American Samoa, records contrasting responses to different types of ENSO (El Niño-Southern Oscillation) through a mixed sea surface temperature (SST) and salinity signal. Currently, conventional El Niño (La Niña) events generate cold and salty (warm and fresh) anomalies at Ta'u, while Modoki El Niño (La Niña) events warm (cool) the waters at Ta'u. Over the course of the 20th century, the Ta'u d18O record underwent a polarity shift in its response to conventional ENSO: a warm and fresh (cool and salty) response to El Niño (La Niña) was replaced by the opposite pattern. We interpret this as evidence for the movement of the Eastern Pacific ENSO null zone, the narrow band of the surface ocean where SST variability is not on average correlated with ENSO. This movement appears to be related to overall shrinking of the ENSO footprint over the 20th century. We infer no such trend in the Modoki footprint. The five century long Ta'u record shows dramatic, century-scale changes in ENSO-band variability. Comparisons with other ENSO reconstructions lead to conflicting interpretations: the Ta'u coral may have recorded changes in the strength of ENSO or in its spatial footprint. Changes in the spatial footprint manifest as a changing sensitivity to ENSO at any given location, presenting challenges to established methods of ENSO reconstruction.
#------------------
# Funding_Agency 
#	Funding_Agency_Name: US National Science Foundation Ocean Sciences
#	Grant: OCE-1203999, OCE-1203783
#------------------
# Funding_Agency 
#	Funding_Agency_Name: Vetlesen Foundation
#	Grant: 
#------------------
# Funding_Agency 
#	Funding_Agency_Name: Stanford University
#	Grant: McGee/Levorsen grant program
#------------------
# Site_Information 
#	Site_Name: Ta'u, American Samoa
#	Location: Ocean>Pacific Ocean>West Pacific Ocean>American Samoa
#	Country: American Samoa, USA
#	Northernmost_Latitude: -14.27
# 	Southernmost_Latitude: -14.27
# 	Easternmost_Longitude: -169.50
# 	Westernmost_Longitude: -169.60
# 	Elevation:  
#------------------
# Data_Collection   
#	Collection_Name: tau-1 d18O Tangri2018
#	Earliest_Year: 1520
#	Most_Recent_Year: 2011
#	Time_Unit: AD
#	Core_Length: 6.01
#	Notes: Longest of three cores from the massive Ta'u coral.
#------------------
# Species 
#	Species_Name: 
#
#------------------
# Chronology_Information
#	Chronology: 
# 	
#----------------	
# Variables 
#
# Data variables follow are preceded by "##" in columns one and two.
# *** MORE DETAILED INSTRUCTIONS are available at www1.ncdc.noaa.gov/pub/data/paleo/templates/Variable_naming_guide.pdf
# Data line variables format:  one per line, shortname-tab-variable components (what, material, error, units, seasonality, data type,detail, method, C or N for Character or Numeric data, additional information) 
#
## date	age,,,year Common Era,,corals and sclerosponges,,,N, 
## d18O_porite	delta 18O,Porites sp.,,per mil VPDB,,corals and sclerosponges,corrected; resampled,isotope ratio mass spectrometry,N,interpolated linearly to monthly time steps
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing_Values:  NA
date	d18O_porite
2011.875	-4.96
2011.792	-5.199175852
2011.708	-5.204065105
2011.625	-5.224374016
2011.542	-5.207290026
2011.458	-5.164579688
2011.375	-5.210206037
2011.292	-5.27
2011.208	-5.241199934
2011.125	-5.209839886
2011.042	-5.170000069
2010.958	-5.161611364
2010.875	-5.18437713
2010.792	-5.142857035
2010.708	-5.080576286
2010.625	-5.152288057
2010.542	-5.235999789
2010.458	-5.34095991
2010.375	-5.438128102
2010.292	-5.47
2010.208	-5.364080074
2010.125	-5.396125837
2010.042	-5.224284656
2009.958	-5.177748515
2009.875	-5.092651547
2009.792	-5.012857672
2009.708	-4.85120059
2009.625	-4.999840159
2009.542	-4.96
2009.458	-5.080240118
2009.375	-5.11011988
2009.292	-5.14
2009.208	-5.13135998
2009.125	-5.115645636
2009.042	-5.127142857
2008.958	-5.10952017
2008.875	-5.009280101
2008.792	-4.835714036
2008.708	-4.690640315
2008.625	-4.770719283
2008.542	-4.95
2008.458	-5.191120551
2008.375	-5.330239761
2008.292	-5.39
2008.208	-5.289200288
2008.125	-5.189600055
2008.042	-5.101428424
2007.958	-5.058228548
2007.875	-5.245256585
2007.792	-5.29857182
2007.708	-5.070384187
2007.625	-5.11212795
2007.542	-5.135999923
2007.458	-5.030592132
2007.375	-5.105344252
2007.292	-5.57
2007.208	-5.517840255
2007.125	-5.44709711
2007.042	-5.37571458
2006.958	-5.18549701
2006.875	-5.181885843
2006.792	-5.047143602
2006.708	-4.950336167
2006.625	-5.012448088
2006.542	-5.083999899
2006.458	-5.132239134
2006.375	-5.326336268
2006.292	-5.41
2006.208	-5.384080074
2006.125	-5.335405622
2006.042	-5.318571473
2005.958	-5.298468564
2005.875	-5.255303093
2005.792	-5.167143254
2005.708	-5.090768374
2005.625	-5.168191924
2005.542	-5.207999578
2005.458	-5.20127988
2005.375	-5.299088204
2005.292	-5.5
2005.208	-5.283999506
2005.125	-5.278708728
2005.042	-5.301428571
2004.958	-5.292582954
2004.875	-5.255542881
2004.792	-5.177142416
2004.708	-4.921904946
2004.625	-5.069719945
2004.542	-5.047999966
2004.458	-5.06
2004.375	-5.090280223
2004.292	-5.4
2004.208	-5.349199952
2004.125	-5.327257127
2004.042	-5.308571502
2003.958	-5.293714364
2003.875	-5.409484349
2003.792	-5.108571478
2003.708	-5.021152561
2003.625	-5.152447824
2003.542	-5.146000499
2003.458	-5.363791832
2003.375	-5.294704132
2003.292	-5.45
2003.208	-5.350399938
2003.125	-5.351771382
2003.042	-5.362856996
2002.958	-5.32
2002.875	-5.073772071
2002.792	-5.11857182
2002.708	-4.881632803
2002.625	-5.037712113
2002.542	-5.018
2002.458	-5.139247883
2002.375	-5.359006984
2002.292	-5.4
2002.208	-5.399839921
2002.125	-5.379800199
2002.042	-5.33
2001.958	-5.248959488
2001.875	-5.118801195
2001.792	-4.82
2001.708	-4.781120551
2001.625	-4.899280708
2001.542	-4.9
2001.458	-5.071120551
2001.375	-5.10063937
2001.292	-5.34
2001.208	-5.263359922
2001.125	-5.213594381
2001.042	-5.091428787
2000.958	-4.97701716
2000.875	-4.987268716
2000.792	-4.958571752
2000.708	-4.832593275
2000.625	-5.073376246
2000.542	-5.034
2000.458	-5.142191982
2000.375	-5.319006984
2000.292	-5.55
2000.208	-5.33984105
2000.125	-5.080320227
2000.042	-5.159999863
1999.958	-5.09549701
1999.875	-4.998434247
1999.792	-4.870000549
1999.708	-4.850176087
1999.625	-5.087912036
1999.542	-5.119999472
1999.458	-5.336175981
1999.375	-5.588528433
1999.292	-5.63
1999.208	-5.538879449
1999.125	-5.399720279
1999.042	-5.33
1998.958	-5.319839921
1998.875	-5.298681315
1998.792	-4.97
1998.708	-4.750672331
1998.625	-4.854815679
1998.542	-5.046
1998.458	-5.123904009
1998.375	-5.055616387
1998.292	-5.35
1998.208	-5.159599803
1998.125	-5.109280717
1998.042	-4.93
1997.958	-4.971840905
1997.875	-5.199800199
1997.792	-5.15
1997.708	-4.881280624
1997.625	-4.931488202
1997.542	-5.106000691
1997.458	-5.315023904
1997.375	-5.209408264
1997.292	-5.35
1997.208	-5.229039724
1997.125	-5.231531546
1997.042	-5.171428571
1996.958	-5.12
1996.875	-5.102651457
1996.792	-5.054285656
1996.708	-5.022593257
1996.625	-5.15156817
1996.542	-5.30799987
1996.458	-5.329727838
1996.375	-5.370360283
1996.292	-5.5
1996.208	-5.341600453
1996.125	-5.254114309
1996.042	-5.217142808
1995.958	-5.202742849
