# Dominican Republic Late Miocene Fossil Coral Stable Isotope Data
#----------------------------------------------------------------------- 
#                World Data Service for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------------------------- 
# Template Version 3.0
# Encoding: UTF-8
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
# Online_Resource: https://www.ncdc.noaa.gov/paleo/study/22050 
#       Description: 
# Online_Resource: https://www1.ncdc.noaa.gov/pub/data/paleo/coral/caribbean/cibao2017iso2resid.txt
#       Description:
#
# Original_Source_URL:  
#       Description:
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Corals and Sclerosponges
#
# Dataset DOI: 
#
# Parameter_Keywords: oxygen isotopes, carbon isotopes
#--------------------
# Contribution_Date
#	Date: 2017-05-01
#--------------------
# File_Last_Modified_Date
#	Date: 2017-05-01
#--------------------
# Title
#	Study_Name: Dominican Republic Late Miocene Fossil Coral Stable Isotope Data
#--------------------
# Investigators
#	Investigators: Weiss, T.L.; Denniston, R.F.; Wanamaker, A.D. Jr.; Villarini, G.; von der Heydt, A.S.
#--------------------
# Description_Notes_and_Keywords
#	Description: Fossil coral stable isotope (d18O and d13C) data from 2 corallites collected from the Miocene Gurabo Formation, Cibao Valley, Dominican Republic.
#	Residual isotope values by month for Corallite 2.
#	Provided Keywords: sea surface temperature, Caribbean, ENSO, coral
#--------------------
# Publication 
#	Authors: Thomas L. Weiss, Rhawn F. Denniston, Alan D. Wanamaker, Jr., Gabriele Villarini, and Anna S. von der Heydt 
#	Published_Date_or_Year: 2017-05-01     
#	Published_Title: El Nino-Southern Oscillation-like variability in a late Miocene Caribbean coral 
#	Journal_Name: Geology
#	Volume: 
#	Edition: 
#	Issue: 
#	Pages:
#	Report_Number: 
#	DOI: 10.1130/G38796.1
#	Online_Resource: http://geology.gsapubs.org/content/early/2017/05/01/G38796.1.abstract
#	Full_Citation: 
#	Abstract: Reconstructions of Pliocene sea-surface temperature (SST) gradients and thermocline depths suggest that the zonal temperature gradient of the tropical Pacific was distinct from the modern. However, the nature of any El Nino-Southern Oscillation (ENSO) variability superimposed on this mean state is difficult to determine. We developed monthly resolved multidecadal stable isotopic time series from an extremely well preserved central Caribbean coral dating to the Miocene-Pliocene transition, prior to closure of the Central American Seaway (CAS). Paleoceanographic modeling suggests that the flow of water associated with El Nino and La Nina events through the CAS allowed Caribbean corals to record the ENSO-related SST anomalies. Spectral analysis of coral oxygen isotope ratios reveals periodicities similar to modern ENSO signatures, suggesting that ENSO-like variability characterized the Miocene-Pliocene transition. 
#------------------
# Funding_Agency 
#	Funding_Agency_Name: US National Science Foundation
#	Grant: OCE-1536440
#------------------
# Funding_Agency 
#	Funding_Agency_Name: Petroleum Research Fund
#	Grant: 
#------------------
# Site_Information 
#	Site_Name: Cibao Valley 
#	Location: Ocean>Atlantic Ocean>North Atlantic Ocean>Caribbean Sea>Dominican Republic
#	Country: Dominican Republic
#	Northernmost_Latitude: 19.5
# 	Southernmost_Latitude: 19.5
# 	Easternmost_Longitude: -71.15
# 	Westernmost_Longitude: -71.15
# 	Elevation:  m
#------------------
# Data_Collection   
#	Collection_Name: CibaoCorallite2 
#	Earliest_Year: 5520029
#	Most_Recent_Year: 5520000
#	Time_Unit: Cal. Year BP
#	Core_Length: 
#	Notes: 
#------------------
# Chronology_Information
#	Chronology: 
# 	
#----------------
# Variables 
#
# Data variables follow are preceded by "##" in columns one and two.
# Data line variables format:  one per line, shortname-tab-variable components (what, material, error, units, seasonality, data type,detail, method, C or N for Character or Numeric data, free text) 
#
#----------------
# Variables 
#
# Data variables follow are preceded by "##" in columns one and two.
# Data line variables format:  one per line, shortname-tab-variable components (what, material, error, units, seasonality, data type,detail, method, C or N for Character or Numeric data, free text) 
#
## depth_um	depth, , , um, , , , ,N,
## d13CVPDB	delta13C, Goniopora hilli, , per mil VPDB, ,corals and sclerosponges, ,isotope ratio mass spectrometry,N,
## d18OVPDB	delta18O, Goniopora hilli, , per mil VPDB, ,corals and sclerosponges, ,isotope ratio mass spectrometry,N,
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values:  
# 
depth_um	d13CVPDB	d18OVPDB
150	-0.47	-2.24
300	-0.54	-2.36
450	-0.31	-2.19
600	-0.40	-2.31
750	-0.69	-2.39
900	-1.00	-2.57
1050	-1.04	-2.64
1200	-0.82	-2.69
1350	-0.72	-2.52
1500	-0.47	-2.71
1650	-0.11	-2.50
1800	-0.11	-2.39
1950	0.02	-2.35
2100	0.25	-2.39
2250	0.48	-2.38
2400	0.19	-2.22
2550	-0.30	-2.42
2700	-0.26	-2.32
2850	-0.26	-2.37
3000	-0.59	-2.29
3150	-0.82	-2.51
3300	-0.74	-2.49
3450	-0.81	-2.81
3600	-0.45	-2.85
3750	-0.47	-2.80
3900	-0.31	-2.66
4050	-0.17	-2.32
4200	0.49	-2.13
4350	0.27	-2.33
4500	0.16	-2.35
4650	0.27	-2.10
4800	-0.04	-2.27
4950	-0.47	-2.17
5100	-1.00	-2.27
5250	-1.27	-2.22
5400	-1.27	-2.47
5550	-0.81	-2.50
5700	-0.44	-2.40
5850	-0.32	-2.39
6000	-0.14	-2.33
6150	-0.15	-2.18
6300	-0.07	-2.28
6450	-0.01	-2.26
6600	0.26	-2.17
6750	0.30	-2.18
6900	0.29	-2.02
7050	0.06	-2.23
7200	-0.21	-2.20
7350	-0.46	-2.26
7500	-0.69	-2.23
7650	-0.92	-2.36
7800	-0.94	-2.43
7950	-0.49	-2.44
8100	-0.28	-3.56
8250	-0.20	-2.41
8400	0.20	-2.28
8550	0.14	-2.27
8700	0.41	-2.30
8850	0.33	-2.30
9000	0.42	-2.19
9150	0.35	-2.28
9300	0.22	-2.25
9450	0.24	-2.17
9600	0.46	-2.31
9750	0.25	-2.12
9900	0.05	-2.40
10050	-0.12	-2.35
10200	-0.31	-2.40
10350	-0.34	-3.09
10500	-0.37	-2.57
10650	-0.33	-2.49
10800	-0.06	-2.56
10950	-0.07	-2.42
11100	-0.07	-2.56
11250	-0.08	-2.26
11400	0.21	-2.30
11550	0.06	-2.39
11700	0.05	-2.11
11850	0.14	-2.13
12000	0.25	-2.27
12150	0.19	-2.26
12300	0.07	-2.40
12450	0.07	-2.33
12600	-0.06	-2.29
12750	-0.32	-2.48
12900	-0.41	-2.65
13050	-0.18	-2.49
13200	-0.20	-2.64
13350	-0.07	-2.54
13500	0.03	-2.57
13650	0.28	-2.69
13800	0.37	-2.62
14100	-0.08	-2.45
14250	-0.06	-2.66
14400	-0.17	-2.67
14550	-0.37	-2.64
14700	-0.50	-2.73
14850	-0.53	-2.61
15000	-0.64	-2.66
15150	-0.71	-2.75
15300	-0.32	-2.66
15450	-0.31	-2.55
15600	-0.40	-2.81
15750	-0.11	-2.70
15900	0.16	-2.54
16050	0.22	-2.57
16200	0.51	-2.43
16350	0.35	-2.37
16500	0.21	-2.43
16650	0.12	-2.43
16800	-0.38	-2.37
16950	-0.51	-2.62
17100	-0.52	-2.51
17250	-0.40	-2.43
17400	-0.61	-2.79
17550	-0.39	-2.50
17700	-0.26	-2.49
17850	-0.27	-2.58
18000	0.05	-2.60
18150	0.17	-2.68
18300	0.20	-2.66
18450	0.29	-2.82
18600	0.74	-2.64
18750	0.75	-2.54
18900	0.41	-2.45
19050	0.22	-2.46
19200	-0.03	-2.46
19350	-0.19	-2.46
19500	-0.41	-2.51
19650	-0.32	-2.54
19800	-0.41	-2.69
19950	-0.35	-2.71
20100	-0.07	-2.68
20250	0.16	-2.66
20400	0.32	-2.48
20550	0.44	-2.58
20700	0.62	-2.58
20850	0.67	-2.47
21000	0.83	-1.92
21150	0.70	-2.12
21300	0.42	-2.33
21450	0.28	-2.33
21600	0.03	-2.47
21750	-0.10	-2.45
21900	-0.35	-2.57
22050	-0.59	-2.81
22200	-0.44	-2.80
22350	-0.19	-2.45
22500	-0.23	-2.63
22650	-0.16	-2.54
22800	0.09	-2.41
22950	0.12	-2.54
23100	0.42	-2.41
23250	0.50	-2.48
23400	0.51	-2.37
23550	0.44	-2.44
23700	0.51	-2.18
23850	0.37	-2.40
24000	0.32	-2.41
24150	0.29	-2.42
24300	-0.01	-2.47
24450	-0.17	-2.44
24600	-0.13	-2.55
24750	-0.27	-2.78
24900	0.02	-2.79
25050	0.13	-2.76
25200	0.38	-2.78
25350	0.36	-2.66
25500	0.67	-2.70
25650	0.47	-2.79
25800	0.97	-2.04
25950	0.50	-2.85
26100	0.69	-2.50
26250	0.63	-2.72
26400	0.59	-2.56
26550	0.45	-2.49
26700	0.24	-2.47
26850	-0.01	-2.59
27000	0.05	-2.28
27150	-0.13	-2.47
27300	-0.10	-2.53
27450	-0.55	-3.05
27600	-0.35	-2.54
27750	-0.21	-2.59
27900	-0.15	-2.86
28050	0.07	-2.65
28200	0.25	-2.85
28350	0.25	-2.51
28500	0.44	-2.57
28650	0.45	-2.65
28800	0.47	-2.45
28950	0.73	-2.72
29100	0.70	-2.29
29250	0.78	-2.44
29400	0.68	-2.42
29550	0.76	-2.45
29700	0.82	-2.56
29850	0.94	-2.52
30000	0.67	-2.45
30150	0.58	-2.40
30300	0.34	-2.63
30450	0.05	-2.79
30600	-0.12	-2.74
30750	0.08	-2.56
30900	-0.17	-2.86
31050	0.03	-2.68
31200	0.15	-2.63
31350	0.41	-2.45
31500	0.40	-2.56
31650	0.55	-2.70
31800	0.77	-2.36
31950	0.66	-2.50
32100	0.66	-2.29
32250	0.68	-2.78
32400	0.55	-2.53
32550	0.48	-2.36
32700	0.49	-2.16
32850	0.12	-2.53
33000	0.01	-2.54
33150	0.14	-2.48
33300	-0.14	-2.46
33450	-0.10	-2.63
33600	-0.01	-2.63
33750	-0.22	-2.42
33900	0.15	-2.54
34050	0.18	-2.62
34200	0.28	-2.24
34350	0.77	-2.31
34500	0.75	-2.42
34650	0.87	-2.36
34800	0.93	-2.21
34950	0.99	-2.06
35100	0.72	-2.43
35250	0.63	-2.26
35400	0.31	-2.47
35550	0.06	-2.37
35700	-0.16	-2.68
35850	-0.08	-2.55
36000	-0.20	-2.44
36150	-0.18	-2.60
36300	-0.09	-2.46
36450	0.14	-2.33
36600	0.17	-2.31
36750	0.41	-2.02
36900	0.53	-2.25
37050	0.94	-2.06
37200	0.90	-2.05
37350	0.94	-2.10
37500	0.74	-2.01
37650	0.82	-1.71
37800	0.57	-2.05
37950	0.22	-2.08
38100	-0.13	-2.25
38250	-0.10	-2.25
38400	0.10	-2.12
38550	0.04	-2.54
38700	0.08	-2.41
38850	0.32	-2.47
39000	0.40	-2.58
39150	0.59	-2.24
39300	0.83	-2.31
39450	0.33	-2.58
39600	0.58	-2.39
39750	0.67	-2.09
39900	0.37	-2.28
40050	0.16	-2.23
40200	-0.07	-2.40
40350	0.06	-2.25
40500	-0.03	-2.46
40650	0.07	-2.48
40800	0.18	-2.59
40950	0.35	-2.41
41100	0.64	-2.33
41250	0.48	-2.45
41400	0.55	-2.39
41550	0.56	-2.32
41700	0.53	-2.32
41850	0.68	-2.26
42000	0.64	-2.27
42150	0.53	-2.48
42300	0.48	-2.40
42450	0.18	-2.56
42600	0.21	-2.49
42750	0.16	-2.46
42900	-0.34	-2.69
43050	-0.60	-2.76
43200	-0.66	-2.53
43350	-1.00	-2.84
43500	-0.82	-2.90
43650	-0.71	-2.85
43800	-0.29	-2.67
43950	-0.32	-2.86
44100	-0.01	-2.65
44250	-0.05	-2.79
44400	0.19	-2.76
44550	0.17	-2.56
44700	0.34	-2.58
44850	0.44	-2.53
45000	0.29	-2.61
45150	0.24	-2.53
45300	0.05	-2.66
45450	-0.17	-2.43
45600	-0.52	-2.57
45750	-0.52	-2.45
45900	-0.64	-2.62
46050	-0.47	-2.67
46200	-0.19	-2.48
46350	-0.12	-2.54
46500	-0.10	-2.64
46650	0.07	-2.70
46800	0.00	-2.62
46950	0.32	-2.56
47100	0.22	-2.42
47250	0.08	-2.48
47400	0.21	-2.29
47550	-0.02	-2.28
