# Line Islands Modern and Fossil Coral d18O Data
#----------------------------------------------------------------------- 
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
# Online_Resource: https://www.ncdc.noaa.gov/study/13672
#
# Original_Source_URL: http://www1.ncdc.noaa.gov/pub/data/paleo/coral/east_pacific/line-islands2013.txt
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Corals and Sclerosponges
#--------------------
# Contribution_Date
#	Date: 2013-01-01
#--------------------
# Title
#	Study_Name: Line Islands Modern and Fossil Coral d18O Data
#--------------------
# Investigators
#       Investigators: Cobb, K.M.; Westphal, N.; Sayani, H.R.; Watson, J.T.; Di Lorenzo, E.; Cheng, H.; Edwards, R.L.; Charles, C.D.   
#--------------------
# Description_and_Notes
#	Description: 
#--------------------
# Publication 
#       Authors: Cobb, K.M.; Westphal, N.; Sayani, H.R.; Watson, J.T.; Di Lorenzo, E.; Cheng, H.; Edwards, R.L.; Charles, C.D.  
#       Published_Date_or_Year: 2013-01-04     
#       Published_Title: Highly Variable El Ni�o-Southern Oscillation Throughout the Holocene
#       Journal_Name: Science
#       Volume: 339
#       Edition: 
#       Issue: 6115
#       Pages: 67-70
#       DOI: 10.1126/science.1228246 
#       Online_Resource: 
#       Full_Citation: Cobb, K.M., N. Westphal, H.R. Sayani, J.T. Watson, E. Di Lorenzo, H. Cheng, R. L. Edwards, and C.D. Charles. 2013. Highly Variable El Niño-Southern Oscillation Throughout the Holocene. Science, Vol. 339, no. 6115, pp. 67-70, 4 January 2013. DOI: 10.1126/science.1228246 
#       Abstract: The El Ni�o-Southern Oscillation (ENSO) drives large changes in global  climate patterns from year to year, yet its sensitivity to continued  anthropogenic greenhouse forcing is uncertain. We analyzed fossil coral  reconstructions of ENSO spanning the past 7000 years from the Northern  Line Islands, located in the center of action for ENSO. The corals  document highly variable ENSO activity, with no evidence for a systematic  trend in ENSO variance, which is contrary to some models that exhibit  a response to insolation forcing over this same period. Twentieth-century  ENSO variance is significantly higher than average fossil coral ENSO  variance but is not unprecedented. Our results suggest that forced changes  in ENSO, whether natural or anthropogenic, may be difficult to detect  against a background of large internal variability. 
#--------------------
# Publication 
#       Authors: Zaunbracher, L.K.; Cobb, K.M.; Beck, J.W.; Charles, C.D.; Druffel, E.R.M. 
#       Published_Date_or_Year: 2010     
#       Published_Title: Coral records of central tropical Pacific radiocarbon variability  during the last millennium
#       Journal_Name: Paleoceanography
#       Volume: 25
#       Edition: 
#       Issue: PA4212
#       Pages: 
#       DOI: 10.1029/2009PA001788 
#       Online_Resource: 
#       Full_Citation: Zaunbrecher, L.K., K.M. Cobb, J.W. Beck, C.D. Charles, E.R.M. Druffel,  R.G. Fairbanks, S. Griffin, and H. Sayani.   2010.  Coral records of central tropical Pacific radiocarbon variability  during the last millennium.  Paleoceanography 25, PA4212, doi:10.1029/2009PA001788.
#       Abstract: 
#------------------
# Funding_Agency 
#       Funding_Agency_Name: US National Science Foundation (NSF) Division of Ocean Sciences 
#       Grant: 0752091
#------------------
# Funding_Agency 
#       Funding_Agency_Name: National Natural Science Foundation of China
#       Grant: 41230524
#------------------
# Funding_Agency 
#       Funding_Agency_Name: US National Science Foundation (NSF) Division of Atmospheric Sciences
#       Grant: 1103403
#------------------
# Funding_Agency 
#       Funding_Agency_Name: US Department of Energy (DOE)
#       Grant: DOE-SC0005597
#------------------
# Site_Information 
#       Site_Name: Kiritimati Island, Line Islands, Kiribati
#       Location: Ocean>Pacific Ocean>Central Pacific Ocean>Kiribati
#	Country: Republic of Kiribati
#	Northernmost_Latitude: 1.867
# 	Southernmost_Latitude: 1.867
# 	Easternmost_Longitude: -157.4
# 	Westernmost_Longitude: -157.4
# 	Elevation:
#------------------
# Data_Collection   
#	Collection_Name: 13kiri02b
#	Earliest_Year: 388
#	Most_Recent_Year: 434
#	Time_Unit: cal yr BP 
#	Core_Length: 
#	Notes: Christmas fossil sample m2 (Zaunbrecher et al. 2010)
#------------------
# Species
#	Species_Name:  Porites sp.
#	Common_Name: 
#------------------
# Chronology_Information
#	Chronology: 
# 
#----------------
# Variables 
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age	age, , , calendar years before 1950 AD, , , , ,N
##d18O	delta 18O, Porites sp., , permil VPDB, , Corals and Sclerosponges, , ,N
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: NAN
#
age	d18O
434.29	-4.18
434.21	-4.19
434.12	-4.14
434.04	-4.00
433.96	-4.04
433.87	-4.34
433.79	-4.36
433.71	-4.25
433.62	-4.33
433.54	-4.40
433.46	-4.56
433.37	-4.55
433.29	-4.61
433.21	-4.63
433.12	-4.52
433.04	-4.45
432.96	-4.57
432.87	-4.71
432.79	-4.56
432.71	-4.42
432.62	-4.58
432.54	-4.36
432.46	-4.37
432.37	-4.34
432.29	-4.53
432.21	-4.54
432.12	-4.33
432.04	-4.39
431.96	-4.27
431.87	-4.41
431.79	-4.40
431.71	-4.30
431.62	-4.32
431.54	-4.24
431.46	-4.15
431.37	-3.99
431.29	-4.11
431.21	-4.18
431.12	-4.13
431.04	-4.02
430.96	-4.00
430.87	-3.97
430.79	-4.23
430.71	-4.09
430.62	-3.82
430.54	-3.78
430.46	-3.77
430.37	-3.85
430.29	-3.94
430.21	-4.09
430.12	-4.03
430.04	-3.97
429.96	-3.92
429.87	-4.05
429.79	-4.19
429.71	-4.00
429.62	-4.15
429.54	-4.19
429.46	-4.23
429.37	-4.23
429.29	-4.27
429.21	-4.24
429.12	-4.22
429.04	-4.18
428.96	-4.26
428.87	-4.29
428.79	-4.48
428.71	-4.51
428.62	-4.45
428.54	-4.43
428.46	-4.37
428.37	-4.27
428.29	-4.27
428.21	-4.28
428.12	-4.30
428.04	-4.30
427.96	-4.34
427.87	-4.40
427.79	-4.39
427.71	-4.30
427.62	-4.41
427.54	-4.41
427.46	-4.44
427.37	-4.40
427.29	-4.38
427.21	-4.45
427.12	-4.35
427.04	-4.29
426.96	-4.38
426.87	-4.59
426.79	-4.66
426.71	-4.46
426.62	-4.24
426.54	-4.22
426.46	-4.29
426.37	-4.30
426.29	-4.30
426.21	-4.28
426.12	-4.26
426.04	-4.12
425.96	-3.99
425.87	-4.16
425.79	-4.13
425.71	-4.09
425.62	-4.07
425.54	-4.21
425.46	-4.10
425.37	-4.15
425.29	-4.19
425.21	-4.11
425.12	-4.06
425.04	-4.05
424.96	-4.04
424.87	-4.13
424.79	-4.10
424.71	-4.11
424.62	-4.05
424.54	-4.06
424.46	-4.02
424.37	-3.87
424.29	-3.67
424.21	-3.79
424.12	-3.98
424.04	-3.85
423.96	-3.94
423.87	-4.14
423.79	-4.24
423.71	-4.36
423.62	-4.37
423.54	-4.38
423.46	-4.25
423.37	-4.14
423.29	-3.94
423.21	-4.02
423.12	-4.03
423.04	-4.05
422.96	-4.09
422.87	-4.38
422.79	-4.34
422.71	-4.39
422.62	-4.38
422.54	-4.36
422.46	-4.17
422.37	-4.17
422.29	-4.19
422.21	-4.28
422.12	-4.37
422.04	-4.08
421.96	-4.02
421.87	-4.39
421.79	-4.51
421.71	-4.46
421.62	-4.32
421.54	-4.32
421.46	-4.06
421.37	-3.98
421.29	-3.96
421.21	-4.12
421.12	-4.16
421.04	-4.05
420.96	-4.04
420.87	-4.23
420.79	-4.21
420.71	-4.13
420.62	-4.06
420.54	-4.02
420.46	-4.04
420.37	-4.11
420.29	-4.17
420.21	-4.24
420.12	-4.11
420.04	-3.99
419.96	-4.08
419.87	-4.23
419.79	-4.25
419.71	-4.39
419.62	-4.41
419.54	-4.41
419.46	-4.45
419.37	-4.48
419.29	-4.44
419.21	-4.47
419.12	-4.45
419.04	-4.29
418.96	-4.38
418.87	-4.44
418.79	-4.31
418.71	-4.22
418.62	-4.20
418.54	-4.22
418.46	-4.22
418.37	-4.22
418.29	-4.14
418.21	-4.25
418.12	-4.40
418.04	-4.36
417.96	-4.36
417.87	-4.75
417.79	-4.79
417.71	-4.66
417.62	-4.65
417.54	-4.54
417.46	-4.47
417.37	-4.55
417.29	-4.42
417.21	-4.34
417.12	-4.21
417.04	-4.11
416.96	-4.08
416.87	-4.12
416.79	-4.19
416.71	-4.15
416.62	-3.97
416.54	-4.04
416.46	-4.29
416.37	-4.20
416.29	-4.19
416.21	-4.38
416.12	-4.36
416.04	-4.18
415.96	-4.24
415.87	-4.45
415.79	-4.45
415.71	-4.34
415.62	-4.38
415.54	-4.41
415.46	-4.39
415.37	-4.31
415.29	-4.16
415.21	-4.13
415.12	-4.23
415.04	-4.12
414.96	-4.12
414.87	-4.22
414.79	-4.15
414.71	-4.08
414.62	-4.36
414.54	-4.25
414.46	-4.17
414.37	-4.17
414.29	-4.07
414.21	-4.05
414.12	-4.00
414.04	-4.06
413.96	-4.09
413.87	-4.06
413.79	-4.26
413.71	-4.44
413.62	-4.27
413.54	-4.13
413.46	-4.03
413.37	-3.97
413.29	-3.97
413.21	-4.07
413.12	-4.10
413.04	-4.14
412.96	-4.18
412.87	-4.42
412.79	-4.60
412.71	-4.51
412.62	-4.60
412.54	-4.49
412.46	-4.48
412.37	-4.64
412.29	-4.51
412.21	-4.53
412.12	-4.61
412.04	-4.46
411.96	-4.52
411.87	-4.72
411.79	-4.84
411.71	-4.90
411.62	-4.98
411.54	-4.71
411.46	-4.67
411.37	-4.67
411.29	-4.55
411.21	-4.66
411.12	-4.65
411.04	-4.53
410.96	-4.32
410.87	-4.44
410.79	-4.29
410.71	-4.15
410.62	-4.06
410.54	-3.94
