# Moorea Coral Stable Isotope Data
#----------------------------------------------------------------------- 
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
# Online_Resource: https://www.ncdc.noaa.gov/study/1876
#
# Original_Source_URL: http://www1.ncdc.noaa.gov/pub/data/paleo/coral/east_pacific/moorea_1999.txt
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Corals and Sclerosponges
#--------------------
# Contribution_Date
#	Date: 2003-08-01
#--------------------
# Title
#	Study_Name: Moorea Lagoon - del18O and del13C Data
#--------------------
# Investigators
#       Investigators: Boiseau, M.; Ghil, M.; Juillet-Leclerc, A.
#--------------------
# Description_and_Notes
#	Description: Coral Stable Isotope data at annual and monthly resolution from Moorea Lagoon, French Polynesia (17 30'S, 149 50'W).  The chronology has been established by associating each maximum and minimum  in d18O with each minimum (August) and maximum (March) in the SST record,  assuming a constant linear extension rate between these 2 months.
#--------------------
# Publication 
#       Authors: Boiseau, M.; Ghil, M.; Juillet-Leclerc, A.
#       Published_Date_or_Year: 1999
#       Published_Title: Climatic trends and interdecadal variability from South-Central Pacific  coral records
#       Journal_Name: Geophysical Research Letters
#       Volume: 26
#       Edition: 18
#       Issue: 
#       Pages: 2881-2884
#       DOI: 
#       Online_Resource: 
#       Full_Citation: Boiseau, M., M. Ghil, and A. Juillet-Leclerc, 1999, Climatic trends and interdecadal variability from South-Central Pacific  coral records, Geophysical Research Letters, v. 26, No.18, pp. 2881-2884,  September 15, 1999.
#       Abstract: We study climate variability over interdecadal time scales from d13C and d18O  records, measured in a Porites lutea coral core drilled in the Moorea lagoon.  Previously, we demonstrated that the annual d18O variations reflect those  in sea-surface temperature (SST), while the annual d13C variations record  primarily cloud-cover changes.  We apply two distinct spectral analysis methods  to the d13C and d18O time series from 1853 to 1989. Our analysis of the d18O  record shows a secular warming trend and a 35-year oscillation in temperatures  over the last 137 years. A trend and a 34-year cycle are also found in the  d13C record. The latter trend may be caused by either anthropogenic effects or a cloud-cover increase in this region of the Pacific Ocean, while the  interdecadal oscillation appears to be related to changes in cloud cover,  as well as in precipitation.
#--------------------
# Publication 
#       Authors: Boiseau, M.; Juillet-Leclerc, A.; Yiou, P.; Salvat, B.; Isdale, P.; Guillaume, M.
#       Published_Date_or_Year: 1998
#       Published_Title: Atmospheric and oceanic evidences of El Ni�o-Southern  Oscillation events in the south central Pacific Ocean from coral stable  isotopic records over the last 137 years
#       Journal_Name: Paleoceanography
#       Volume: 13
#       Edition: 6
#       Issue: 
#       Pages: 671
#       DOI: 
#       Online_Resource: 
#       Full_Citation: Boiseau, M., A. Juillet-Leclerc, P. Yiou, B. Salvat, P. Isdale, and  M. Guillaume, 1998, Atmospheric and oceanic evidences of El Ni�o-Southern  Oscillation events in the south central Pacific Ocean from coral stable  isotopic records over the last 137 years,  Paleoceanography, Vol. 13, No. 6, p. 671 (98PA02502). 
#       Abstract: 
#------------------
# Funding_Agency 
#       Funding_Agency_Name: Societe de Secours des Amis de la Science
#       Grant: 
#------------------
# Funding_Agency 
#       Funding_Agency_Name: Institute of Geophysics and Planetary Physics Director's Laboratory Fund
#       Grant: 
#------------------
# Funding_Agency 
#       Funding_Agency_Name: U.S. National Science Foundation Special Creativity Award
#       Grant:
#------------------
# Site_Information 
#       Site_Name: Moorea Lagoon, French Polynesia
#       Location: Ocean>Pacific Ocean>South Pacific Ocean>Polynesia>French Polynesia
#	Country: France 
#	Northernmost_Latitude: -17.5 
# 	Southernmost_Latitude: -17.5 
# 	Easternmost_Longitude: -149.83 
# 	Westernmost_Longitude: -149.83 
# 	Elevation:   
#------------------
# Data_Collection   
#	Collection_Name: 99fpol01b
#	Earliest_Year: 1852
#	Most_Recent_Year: 1990
#	Time_Unit: AD
#	Core_Length: 
#	Notes: 
#------------------
# Species
#	Species_Name: Porites lutea
#	Common_Name: 
#------------------
# Chronology_Information
#	Chronology: 
# 
#----------------
# Variables 
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age	age, , ,years AD, , , , ,N
##d18O	delta 18O, Porites lutea, , permil PDB, , Corals and Sclerosponges, averaged, ,N
##d13C	delta 13C, Porites lutea, , permil PDB, , Corals and Sclerosponges, averaged , ,N
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: NAN
#
age	d18O	d13C
1990.5	-4.62	-0.09
1989.5	-4.47	0.12
1988.5	-4.47	-0.09
1987.5	-4.45	-0.14
1986.5	-4.48	-0.02
1985.5	-4.43	0
1984.5	-4.53	0.1
1983.5	-4.33	-0.16
1982.5	-4.27	0
1981.5	-4.3	-0.06
1980.5	-4.43	-0.21
1979.5	-4.27	-0.02
1978.5	-4.41	-0.47
1977.5	-4.25	0.03
1976.5	-4.18	0.31
1975.5	-4.21	0.1
1974.5	-4.26	0.04
1973.5	-4.53	0.17
1972.5	-4.31	0.15
1971.5	-4.13	0.22
1970.5	-4.25	0.03
1969.5	-4.29	-0.12
1968.5	-4.24	0.03
1967.5	-4.25	0
1966.5	-4.25	0.08
1965.5	-4.19	-0.08
1964.5	-4.26	-0.02
1963.5	-4.18	0.19
1962.5	-4.22	0.26
1961.5	-4.28	0.18
1960.5	-4.22	0.19
1959.5	-4.47	0.31
1958.5	-4.44	0.02
1957.5	-4.34	0.12
1956.5	-4.2	0.11
1955.5	-4.17	0.52
1954.5	-4.4	-0.12
1953.5	-4.34	0.1
1952.5	-4.39	0.28
1951.5	-4.43	-0.03
1950.5	-4.32	-0.3
1949.5	-4.4	-0.54
1948.5	-4.39	-0.09
1947.5	-4.25	-0.01
1946.5	-4.32	0.01
1945.5	-4.36	-0.2
1944.5	-4.28	-0.19
1943.5	-4.22	-0.49
1942.5	-4.26	-0.74
1941.5	-4.2	-0.26
1940.5	-4.18	-0.32
1939.5	-4.05	-0.21
1938.5	-4.11	0.29
1937.5	-4.09	0.29
1936.5	-4.18	0.46
1935.5	-4.01	0.6
1934.5	-4.26	-0.01
1933.5	-4.07	0.39
1932.5	-4.31	0.32
1931.5	-4.26	0.3
1930.5	-4.18	0.03
1929.5	-4.05	0.27
1928.5	-4.06	0.35
1927.5	-4.2	0.55
1926.5	-4.1	0.44
1925.5	-3.92	0.45
1924.5	-3.98	0.34
1923.5	-4.12	0.42
1922.5	-4.25	0.39
1921.5	-4.19	0.27
1920.5	-4.18	0.08
1919.5	-4.3	0.57
1918.5	-4.45	0.68
1917.5	-4.14	0.51
1916.5	-4.16	0.09
1915.5	-4.26	-0.08
1914.5	-4.17	0.02
1913.5	-4.12	0.12
1912.5	-4.05	0.49
1911.5	-4.12	0.79
1910.5	-4.01	0.96
1909.5	-3.88	0.99
1908.5	-4.02	0.8
1907.5	-4.03	0.49
1906.5	-3.93	0.24
1905.5	-4.22	0.35
1904.5	-3.97	0.65
1903.5	-3.93	0.91
1902.5	-3.83	0.94
1901.5	-4.03	0.37
1900.5	-4.16	0.49
1899.5	-4.01	0.59
1898.5	-3.94	0.65
1897.5	-3.93	1.01
1896.5	-3.94	1.02
1895.5	-4.15	0.89
1894.5	-4.26	0.63
1893.5	-4.09	0.74
1892.5	-4.15	0.79
1891.5	-4.14	0.75
1890.5	-4.21	0.84
1889.5	-4.21	0.61
1888.5	-4.3	0.81
1887.5	-4.05	0.59
1886.5	-4.15	0.69
1885.5	-4.24	0.43
1884.5	-4.08	0.68
1883.5	-4.07	0.61
1882.5	-4.18	0.78
1881.5	-4.18	0.7
1880.5	-4.23	0.65
1879.5	-3.98	0.61
1878.5	-4.11	0.13
1877.5	-4.16	0.48
1876.5	-4.26	0.4
1875.5	-4.23	0.39
1874.5	-4.08	0.28
1873.5	-4.17	0.56
1872.5	-4.13	0.29
1871.5	-4.17	0.33
1870.5	-3.94	0.59
1869.5	-4	0.32
1868.5	-4.05	0.74
1867.5	-4.08	0.94
1866.5	-4.07	0.86
1865.5	-3.97	0.8
1864.5	-4.07	0.8
1863.5	-3.87	0.9
1862.5	-3.97	0.94
1861.5	-4	0.79
1860.5	-4.05	0.87
1859.5	-4.18	0.64
1858.5	-4.05	0.57
1857.5	-4.03	0.54
1856.5	-3.93	0.69
1855.5	-4.06	0.14
1854.5	-4.01	0.16
1853.5	-4	0.44
1852.5	-4.15	0.65
