# Moorea Coral Stable Isotope Data
#----------------------------------------------------------------------- 
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
# Online_Resource: https://www.ncdc.noaa.gov/study/1876
#
# Original_Source_URL: http://www1.ncdc.noaa.gov/pub/data/paleo/coral/east_pacific/moorea_1999.txt
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Corals and Sclerosponges
#--------------------
# Contribution_Date
#	Date: 2003-08-01
#--------------------
# Title
#	Study_Name: Moorea Lagoon - del18O and del13C Data
#--------------------
# Investigators
#       Investigators: Boiseau, M.; Ghil, M.; Juillet-Leclerc, A.
#--------------------
# Description_and_Notes
#	Description: Coral Stable Isotope data at annual and monthly resolution from Moorea Lagoon, French Polynesia (17 30'S, 149 50'W).  The chronology has been established by associating each maximum and minimum  in d18O with each minimum (August) and maximum (March) in the SST record,  assuming a constant linear extension rate between these 2 months.
#--------------------
# Publication 
#       Authors: Boiseau, M.; Ghil, M.; Juillet-Leclerc, A.
#       Published_Date_or_Year: 1999
#       Published_Title: Climatic trends and interdecadal variability from South-Central Pacific  coral records
#       Journal_Name: Geophysical Research Letters
#       Volume: 26
#       Edition: 18
#       Issue: 
#       Pages: 2881-2884
#       DOI: 
#       Online_Resource: 
#       Full_Citation: Boiseau, M., M. Ghil, and A. Juillet-Leclerc, 1999, Climatic trends and interdecadal variability from South-Central Pacific  coral records, Geophysical Research Letters, v. 26, No.18, pp. 2881-2884,  September 15, 1999.
#       Abstract: We study climate variability over interdecadal time scales from d13C and d18O  records, measured in a Porites lutea coral core drilled in the Moorea lagoon.  Previously, we demonstrated that the annual d18O variations reflect those  in sea-surface temperature (SST), while the annual d13C variations record  primarily cloud-cover changes.  We apply two distinct spectral analysis methods  to the d13C and d18O time series from 1853 to 1989. Our analysis of the d18O  record shows a secular warming trend and a 35-year oscillation in temperatures  over the last 137 years. A trend and a 34-year cycle are also found in the  d13C record. The latter trend may be caused by either anthropogenic effects or a cloud-cover increase in this region of the Pacific Ocean, while the  interdecadal oscillation appears to be related to changes in cloud cover,  as well as in precipitation.
#--------------------
# Publication 
#       Authors: Boiseau, M.; Juillet-Leclerc, A.; Yiou, P.; Salvat, B.; Isdale, P.; Guillaume, M.
#       Published_Date_or_Year: 1998
#       Published_Title: Atmospheric and oceanic evidences of El Ni�o-Southern  Oscillation events in the south central Pacific Ocean from coral stable  isotopic records over the last 137 years
#       Journal_Name: Paleoceanography
#       Volume: 13
#       Edition: 6
#       Issue: 
#       Pages: 671
#       DOI: 
#       Online_Resource: 
#       Full_Citation: Boiseau, M., A. Juillet-Leclerc, P. Yiou, B. Salvat, P. Isdale, and  M. Guillaume, 1998, Atmospheric and oceanic evidences of El Ni�o-Southern  Oscillation events in the south central Pacific Ocean from coral stable  isotopic records over the last 137 years,  Paleoceanography, Vol. 13, No. 6, p. 671 (98PA02502). 
#       Abstract: 
#------------------
# Funding_Agency 
#       Funding_Agency_Name: Societe de Secours des Amis de la Science
#       Grant: 
#------------------
# Funding_Agency 
#       Funding_Agency_Name: Institute of Geophysics and Planetary Physics Director's Laboratory Fund
#       Grant: 
#------------------
# Funding_Agency 
#       Funding_Agency_Name: U.S. National Science Foundation Special Creativity Award
#       Grant:
#------------------
# Site_Information 
#       Site_Name: Moorea Lagoon, French Polynesia
#       Location: Ocean>Pacific Ocean>South Pacific Ocean>Polynesia>French Polynesia
#	Country: France 
#	Northernmost_Latitude: -17.5 
# 	Southernmost_Latitude: -17.5 
# 	Easternmost_Longitude: -149.83 
# 	Westernmost_Longitude: -149.83 
# 	Elevation:   
#------------------
# Data_Collection   
#	Collection_Name: 99fpol01a
#	Earliest_Year: 1852
#	Most_Recent_Year: 1990
#	Time_Unit: AD
#	Core_Length: 
#	Notes: 
#------------------
# Species
#	Species_Name: Porites lutea
#	Common_Name: 
#------------------
# Chronology_Information
#	Chronology: 
# 
#----------------
# Variables 
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age	age, , ,years AD, , , , ,N
##d18O	delta 18O, Porites lutea, , permil PDB, , Corals and Sclerosponges, , ,N
##d13C	delta 13C, Porites lutea, , permil PDB, , Corals and Sclerosponges, , ,N
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: NAN
#
age	d18O	d13C
1990.375	4.68	0.29
1990.292	4.53	0.32
1990.208	4.70	0.14
1990.125	4.63	0.16
1990.042	4.55	0.16
1989.875	4.59	0.01
1989.792	4.39	0.28
1989.625	4.29	0.19
1989.208	4.60	0.40
1988.958	4.57	0.23
1988.875	4.33	0.16
1988.625	4.17	0.04
1988.542	4.40	0.52
1988.375	4.58	0.18
1988.208	4.74	0.25
1987.958	4.52	0.31
1987.792	4.30	0.06
1987.625	4.24	0.13
1987.458	4.41	0.30
1987.375	4.50	0.63
1987.208	4.61	0.01
1987.042	4.56	0.11
1986.792	4.31	0.13
1986.625	4.28	0.05
1986.542	4.41	0.56
1986.292	4.66	0.18
1986.208	4.74	0.17
1985.875	4.33	0.10
1985.792	4.23	0.06
1985.625	4.22	0.03
1985.542	4.54	0.32
1985.375	4.58	0.39
1985.208	4.70	0.27
1984.625	4.22	0.02
1984.458	4.30	0.29
1984.375	4.72	0.07
1984.292	4.69	0.38
1984.208	4.79	0.51
1984.042	4.47	0.04
1983.875	4.27	0.03
1983.625	4.22	0.30
1983.458	4.23	0.05
1983.292	4.33	0.07
1983.208	4.57	0.45
1982.875	4.10	0.23
1982.625	4.05	0.07
1982.458	4.20	0.15
1982.208	4.51	0.21
1982.125	4.48	0.06
1981.958	4.45	0.08
1981.875	4.30	0.37
1981.708	4.12	0.32
1981.625	4.04	0.03
1981.458	4.35	0.15
1981.375	4.36	0.47
1981.208	4.45	0.41
1980.958	4.29	0.14
1980.625	4.22	0.20
1980.542	4.35	0.08
1980.458	4.47	0.38
1980.292	4.58	0.26
1980.208	4.59	0.65
1980.125	4.48	0.46
1979.875	4.10	0.05
1979.792	4.10	0.02
1979.625	4.07	0.29
1979.375	4.49	0.30
1979.208	4.59	0.12
1978.708	4.32	0.31
1978.625	4.38	0.29
1978.208	4.54	0.62
1978.042	4.47	0.72
1977.958	4.40	0.37
1977.875	4.52	0.37
1977.708	4.33	0.45
1977.625	4.05	0.33
1977.542	4.19	0.16
1977.458	4.01	0.09
1977.375	4.24	0.39
1977.292	4.45	0.20
1977.208	4.53	0.21
1977.042	4.26	0.09
1976.792	4.23	0.77
1976.625	4.02	0.28
1976.458	4.06	0.01
1976.292	4.25	0.14
1976.208	4.35	0.36
1975.958	4.25	0.39
1975.792	4.10	0.27
1975.625	4.07	0.09
1975.208	4.36	0.12
1975.042	4.26	0.10
1974.875	4.34	0.67
1974.625	4.12	0.32
1974.542	4.13	0.01
1974.458	4.17	0.18
1974.375	4.23	0.42
1974.208	4.39	0.29
1974.125	4.39	0.17
1974.042	4.33	0.38
1973.875	4.51	0.61
1973.792	4.49	0.46
1973.625	4.45	0.29
1973.208	4.62	0.17
1973.042	4.58	0.25
1972.958	4.25	0.71
1972.792	4.25	0.08
1972.625	4.19	0.14
1972.542	4.34	0.26
1972.208	4.53	0.10
1971.958	4.05	0.45
1971.625	3.95	0.22
1971.458	4.15	0.11
1971.208	4.39	0.09
1970.875	4.03	0.41
1970.625	3.94	0.39
1970.542	4.14	0.01
1970.458	4.39	0.24
1970.375	4.42	0.15
1970.208	4.52	0.43
1969.958	4.44	0.18
1969.625	4.13	0.29
1969.542	4.14	0.03
1969.458	4.22	0.56
1969.375	4.34	0.52
1969.292	4.38	0.13
1969.208	4.46	0.04
1969.125	4.33	0.46
1968.958	4.18	0.18
1968.792	4.37	0.17
1968.625	4.03	0.03
1968.375	4.24	0.11
1968.208	4.35	0.36
1968.042	4.27	0.29
1967.875	4.07	0.29
1967.625	3.98	0.10
1967.542	4.30	0.39
1967.375	4.31	0.35
1967.292	4.38	0.05
1967.208	4.48	0.21
1966.875	4.24	0.07
1966.625	4.05	0.13
1966.375	4.31	0.22
1966.208	4.40	0.20
1966.125	4.23	0.20
1965.875	4.28	0.28
1965.792	4.11	0.43
1965.625	4.00	0.41
1965.458	4.09	0.25
1965.375	4.31	0.07
1965.208	4.34	0.12
1964.792	4.19	0.25
1964.625	4.11	0.08
1964.542	4.21	0.03
1964.458	4.30	0.22
1964.375	4.24	0.45
1964.292	4.32	0.06
1964.208	4.43	0.26
1963.875	4.15	0.47
1963.625	3.93	0.40
1963.542	4.22	0.22
1963.458	4.11	0.01
1963.375	4.28	0.13
1963.208	4.39	0.18
1962.958	4.20	0.42
1962.625	4.05	0.43
1962.375	4.27	0.11
1962.208	4.36	0.10
1961.958	4.32	0.49
1961.875	4.21	0.30
1961.625	3.93	0.25
1961.542	4.24	0.07
1961.458	4.22	0.28
1961.292	4.52	0.15
1961.208	4.54	0.17
1960.958	4.24	0.45
1960.625	4.04	0.37
1960.542	4.06	0.02
1960.375	4.32	0.17
1960.292	4.25	0.07
