"Clipperton core 2B as in Linsley et al., Coral Reefs 18: 13-27, 1999."				

2B year	2B d13C	2B d13C-ave	2B d18O	2B d18O -ave
1994.12	-2.5	0.1	-5.84	-0.12
1994.04	-2.71	-0.1	-5.89	-0.17
1993.95	-2.87	-0.27	-5.88	-0.16
1993.87	-2.94	-0.33	-5.85	-0.13
1993.79	-2.8	-0.2	-5.77	-0.06
1993.7	-2.75	-0.14	-5.8	-0.08
1993.62	-2.76	-0.15	-5.9	-0.18
1993.54	-2.68	-0.08	-5.92	-0.2
1993.45	-2.58	0.02	-5.92	-0.2
1993.37	-2.41	0.2	-5.86	-0.14
1993.29	-2.23	0.37	-5.8	-0.08
1993.2	-1.77	0.83	-5.61	0.11
1993.12	-1.44	1.17	-5.44	0.27
1993.04	-3.55	-0.95	-5.73	-0.02
1992.95	-3	-0.39	-5.77	-0.05
1992.87	-2.59	0.02	-5.63	0.09
1992.79	-2.6	0.01	-5.68	0.04
1992.7	-2.53	0.07	-5.76	-0.04
1992.62	-2.97	-0.37	-5.79	-0.08
1992.54	-3.36	-0.76	-5.9	-0.18
1992.45	-3.03	-0.43	-5.87	-0.15
1992.37	-2.82	-0.22	-5.84	-0.12
1992.29	-2.69	-0.08	-5.79	-0.07
1992.2	-2.78	-0.17	-5.68	0.04
1992.12	-3.29	-0.69	-5.48	0.23
1992.04	-3.18	-0.58	-5.57	0.14
1991.95	-2.31	0.29	-5.6	0.11
1991.87	-2.43	0.17	-5.68	0.04
1991.79	-2.91	-0.31	-5.7	0.02
1991.7	-3.09	-0.48	-5.75	-0.04
1991.62	-3.09	-0.49	-5.82	-0.1
1991.54	-3.07	-0.46	-5.92	-0.2
1991.45	-2.61	-0.01	-6.08	-0.36
1991.37	-3.6	-0.99	-5.74	-0.02
1991.29	-2.53	0.08	-5.67	0.04
1991.2	-2.67	-0.07	-5.6	0.12
1991.12	-2.91	-0.3	-5.63	0.09
1991.04	-2.74	-0.13	-5.66	0.06
1990.95	-2.76	-0.16	-5.65	0.07
1990.87	-2.54	0.06	-5.77	-0.05
1990.79	-2.73	-0.13	-5.87	-0.16
1990.7	-2.79	-0.18	-5.86	-0.14
1990.62	-2.68	-0.08	-5.88	-0.17
1990.54	-2.77	-0.17	-5.95	-0.24
1990.45	-2.88	-0.28	-6.04	-0.32
1990.37	-3.75	-1.15	-5.79	-0.07
1990.29	-2.41	0.19	-5.74	-0.02
1990.2	-2.08	0.53	-5.67	0.05
1990.12	-2.45	0.15	-5.48	0.23
1990.04	-2.48	0.13	-5.56	0.16
1989.95	-2.57	0.04	-5.63	0.08
1989.87	-2.74	-0.14	-5.71	0.01
1989.79	-2.67	-0.07	-5.73	-0.01
1989.7	-2.54	0.06	-5.73	-0.01
1989.62	-2.37	0.24	-5.67	0.05
1989.54	-2.37	0.24	-5.69	0.03
1989.45	-2.48	0.12	-5.76	-0.04
1989.37	-2.46	0.14	-5.67	0.05
1989.29	-2.1	0.5	-5.6	0.11
1989.2	-2.23	0.37	-5.55	0.17
1989.12	-2.56	0.04	-5.6	0.12
1989.04	-2.66	-0.06	-5.6	0.12
1988.95	-2.52	0.08	-5.56	0.16
1988.87	-2.61	0	-5.67	0.04
1988.79	-2.6	0	-5.74	-0.02
1988.7	-2.5	0.1	-5.76	-0.04
1988.62	-2.47	0.14	-5.78	-0.06
1988.54	-2.53	0.08	-5.82	-0.1
1988.45	-2.68	-0.08	-5.88	-0.16
1988.37	-3.22	-0.62	-5.74	-0.03
1988.29	-2.49	0.11	-5.68	0.03
1988.2	-2.34	0.26	-5.53	0.19
1988.12	-2.34	0.26	-5.58	0.13
1988.04	-2.34	0.26	-5.64	0.08
1987.95	-2.39	0.22	-5.68	0.04
1987.87	-2.52	0.09	-5.7	0.02
1987.79	-2.64	-0.04	-5.72	-0.01
1987.7	-2.69	-0.09	-5.76	-0.05
1987.62	-2.71	-0.11	-5.81	-0.09
1987.54	-2.67	-0.07	-5.83	-0.11
1987.45	-1.92	0.68	-5.6	0.12
1987.37	-2.69	-0.08	-5.56	0.16
1987.29	-2.86	-0.25	-5.61	0.11
1987.2	-2.44	0.16	-5.63	0.09
1987.12	-2.35	0.26	-5.5	0.21
1987.04	-2.33	0.28	-5.59	0.12
1986.95	-2.5	0.11	-5.69	0.03
1986.87	-2.76	-0.15	-5.74	-0.02
1986.79	-2.64	-0.03	-5.8	-0.08
1986.7	-2.49	0.11	-5.76	-0.04
1986.62	-2.53	0.07	-5.79	-0.07
1986.54	-3.02	-0.42	-5.84	-0.12
1986.45	-3.09	-0.49	-5.9	-0.18
1986.37	-2.72	-0.12	-5.73	-0.02
1986.29	-2.39	0.21	-5.53	0.18
1986.2	-2.47	0.13	-5.46	0.26
1986.12	-2.58	0.03	-5.51	0.21
1986.04	-2.59	0.01	-5.59	0.13
1985.95	-2.55	0.05	-5.68	0.03
1985.87	-2.47	0.13	-5.77	-0.06
1985.79	-2.49	0.11	-5.85	-0.13
1985.7	-2.63	-0.03	-5.88	-0.16
1985.62	-2.84	-0.24	-5.91	-0.19
1985.54	-3.08	-0.48	-5.94	-0.22
1985.45	-2.96	-0.35	-5.82	-0.1
1985.37	-2.51	0.09	-5.71	0.01
1985.29	-2.65	-0.05	-5.55	0.17
1985.2	-2.86	-0.26	-5.4	0.32
1985.12	-2.87	-0.26	-5.5	0.22
1985.04	-2.83	-0.23	-5.58	0.13
1984.95	-2.76	-0.16	-5.65	0.07
1984.87	-2.85	-0.25	-5.64	0.07
1984.79	-2.84	-0.24	-5.66	0.06
1984.7	-2.72	-0.12	-5.69	0.03
1984.62	-2.9	-0.3	-5.7	0.02
1984.54	-3.15	-0.55	-5.72	0
1984.45	-3.47	-0.87	-5.75	-0.03
1984.37	-3.1	-0.5	-5.72	0
1984.29	-2.74	-0.13	-5.69	0.03
1984.2	-2.66	-0.06	-5.66	0.06
1984.12	-2.6	0.01	-5.63	0.09
1984.04	-2.73	-0.13	-5.68	0.04
1983.95	-2.74	-0.14	-5.71	0.01
1983.87	-2.77	-0.16	-5.73	-0.01
1983.79	-2.89	-0.29	-5.74	-0.02
1983.7	-2.97	-0.36	-5.83	-0.11
1983.62	-2.84	-0.23	-5.85	-0.13
1983.54	-2.7	-0.09	-5.83	-0.12
1983.45	-2.71	-0.11	-5.81	-0.09
1983.37	-3.06	-0.45	-5.71	0.01
1983.29	-3.4	-0.8	-5.6	0.11
1983.2	-3.75	-1.15	-5.5	0.22
1983.12	-2.88	-0.27	-5.61	0.11
1983.04	-2.33	0.27	-5.6	0.11
1982.95	-2.3	0.3	-5.69	0.03
1982.87	-2.4	0.2	-5.72	0
1982.79	-2.5	0.1	-5.68	0.04
1982.7	-2.63	-0.02	-5.67	0.05
1982.62	-2.62	-0.01	-5.73	-0.02
1982.54	-2.27	0.33	-5.76	-0.04
1982.45	-2.44	0.16	-5.88	-0.16
1982.37	-2.46	0.14	-5.87	-0.15
1982.29	-2.89	-0.29	-5.82	-0.1
1982.2	-2.48	0.13	-5.73	-0.01
1982.12	-2.26	0.35	-5.52	0.19
1982.04	-2.45	0.16	-5.62	0.09
1981.95	-2.65	-0.04	-5.74	-0.03
1981.87	-2.56	0.04	-5.85	-0.13
1981.79	-2.7	-0.1	-5.85	-0.13
1981.7	-2.66	-0.05	-5.74	-0.02
1981.62	-2.42	0.18	-5.82	-0.1
1981.54	-2.54	0.06	-5.82	-0.1
1981.45	-2.94	-0.34	-5.84	-0.12
1981.37	-2.62	-0.02	-5.75	-0.03
1981.29	-2.31	0.29	-5.66	0.06
1981.2	-2.4	0.21	-5.6	0.12
