# Palmyra Island Monthly Coral Oxygen Isotope Data
#----------------------------------------------------------------------- 
#                World Data Service for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------------------------- 
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
# Online_Resource: https://www.ncdc.noaa.gov/paleo/study/1865
# Online_Resource: 
#
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/coral/east_pacific/palmyra.txt
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/coral/east_pacific/readme_palmyra.txt
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Corals and Sclerosponges
#--------------------
# Contribution_Date
#	Date: 2001-05-01
#--------------------
# Title
#	Study_Name: Palmyra Island - del18O Data 
#--------------------
# Investigators
#       Investigators: Cobb, K.M.; Charles, C.D.; Hunter, D.E.
#--------------------
# Description_and_Notes
#	Description: Palmyra Island Monthly Coral Oxygen Isotope Data. 112-yr, monthly-resolved coral record from Palmyra Island  (5�52'N, 162�8'W). The coral was drilled in ~30' of water  from the reef flat extending off the west side of the island.  The data are in two columns:  date (in year) and oxygen isotopic  value (per mill).  The data are monthly samples of the raw  dataset and have not been deseasoned or detrended.  We calculate the analytical precision at <0.05 per mill,  based on over 500 measurements of an internal aragonitic  laboratory standard measured while running the Palmyra coral.
#--------------------
# Publication 
#       Authors: Cobb, K.M.; Charles, C.D.; Hunter, D.E.
#       Published_Date_or_Year: 2001-06-01    
#       Published_Title: A central tropical Pacific coral demonstrates Pacific, Indian, and  Atlantic decadal climate connections.
#       Journal_Name: Geophys. Res. Lett.
#       Volume: 28
#       Edition: 
#       Issue: 11
#       Pages: 2209-2212
#       DOI: 10.1029/2001GL012919
#       Online_Resource: http://onlinelibrary.wiley.com/doi/10.1029/2001GL012919/pdf
#       Full_Citation: Cobb, K. M., C.D. Charles, and D.E. Hunter, 2001,  A central tropical Pacific coral demonstrates Pacific, Indian, and  Atlantic decadal climate connections.  Geophys. Res. Lett., Vol. 28 , No. 11 , p. 2209, June 1, 2001.
#       Abstract: While instrumental and proxy-based climate records describe significant decadal-scale climate variability throughout the tropical Pacific, Indian, and Atlantic Oceans, the processes responsible for these variations and their interactions are not readily apparent from the observations. A new 112-yr coral-based sea surface temperature (SST) reconstruction from Palmyra Island in the central tropical Pacific (CTP) exhibits strong decadal variability with an amplitude of roughly 0.3°C. A 12–13yr-period signal in this coral record is highly coherent with long equatorial Atlantic and Indian Ocean climate records, implying a unified phenomenon. The Atlantic pattern suggests that it may fall under direct influence of anomalous SST in the CTP, as it does over inter annual timescales, while the Indian Ocean pattern exhibits maximum response during the switch between warm/cold states in the tropical Pacific. The results demonstrate that the CTP has played a significant role in determining the expression of global decadal climate variability over the twentieth century.
#------------------
# Funding_Agency 
#       Funding_Agency_Name: National Oceanic and Atmospheric Administration Scripps-Lamont Consortium
#       Grant:
#------------------
# Funding_Agency 
#       Funding_Agency_Name: HRH Prince Khaled Bin Sultan Bin Abdulaziz, K.C.B.
#       Grant:
#------------------
# Site_Information 
#       Site_Name: Palmyra Island
#       Location: Ocean>Pacific Ocean>Central Pacific Ocean
#	Country: United States
#	Northernmost_Latitude: 5.867
# 	Southernmost_Latitude: 5.867
# 	Easternmost_Longitude: -162.133
# 	Westernmost_Longitude: -162.133
# 	Elevation: -9 m  
#------------------
# Data_Collection   
#	Collection_Name: 
#	Earliest_Year: 1886
#	Most_Recent_Year: 1998
#	Time_Unit: AD 
#	Core_Length: 3 m
#	Notes: 
#------------------
# Species
#	Species_Name: Porites lutea 
#	Common_Name: 
#------------------
# Chronology_Information
# 	Chronology: 
# 
#----------------
# Variables 
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age	age, , ,years AD, , , , ,N
##d18O	delta 18O, Porites lutea, , permil VPDB, , corals and sclerosponges, , ,N
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: NAN 
#
age	d18O
1886.13	-4.79
1886.20	-4.90
1886.29	-4.81
1886.37	-4.83
1886.46	-4.86
1886.54	-4.82
1886.62	-4.89
1886.71	-4.64
1886.79	-4.62
1886.87	-4.56
1886.96	-4.47
1887.04	-4.30
1887.13	-4.38
1887.20	-4.55
1887.29	-4.56
1887.37	-4.62
1887.46	-4.69
1887.54	-4.71
1887.62	-4.70
1887.71	-4.69
1887.79	-4.65
1887.87	-4.66
1887.96	-4.60
1888.04	-4.49
1888.13	-4.54
1888.21	-4.69
1888.29	-4.80
1888.37	-4.90
1888.46	-4.97
1888.54	-5.03
1888.62	-5.08
1888.71	-5.04
1888.79	-4.93
1888.88	-4.82
1888.96	-4.75
1889.04	-4.67
1889.13	-4.64
1889.20	-4.66
1889.29	-4.67
1889.37	-4.69
1889.46	-4.73
1889.54	-4.76
1889.62	-4.80
1889.71	-4.77
1889.79	-4.64
1889.88	-4.54
1889.96	-4.54
1890.04	-4.57
1890.13	-4.50
1890.20	-4.62
1890.29	-4.78
1890.37	-4.76
1890.46	-4.78
1890.54	-4.87
1890.62	-4.95
1890.71	-4.96
1890.79	-4.80
1890.87	-4.79
1890.96	-4.82
1891.04	-4.76
1891.13	-4.76
1891.20	-4.78
1891.29	-4.79
1891.37	-4.94
1891.46	-4.79
1891.54	-4.89
1891.62	-4.98
1891.71	-5.00
1891.79	-4.89
1891.87	-4.82
1891.96	-4.77
1892.04	-4.65
1892.13	-4.59
1892.21	-4.59
1892.29	-4.65
1892.37	-4.71
1892.46	-4.72
1892.54	-4.74
1892.62	-4.79
1892.71	-4.72
1892.79	-4.68
1892.88	-4.69
1892.96	-4.63
1893.04	-4.57
1893.13	-4.59
1893.20	-4.62
1893.29	-4.58
1893.37	-4.66
1893.46	-4.62
1893.54	-4.62
1893.62	-4.79
1893.71	-4.72
1893.79	-4.51
1893.88	-4.59
1893.96	-4.80
1894.04	-4.62
1894.13	-4.54
1894.20	-4.61
1894.29	-4.62
1894.37	-4.61
1894.46	-4.70
1894.54	-4.77
1894.62	-4.84
1894.71	-4.73
1894.79	-4.77
1894.87	-4.77
1894.96	-4.80
1895.04	-4.76
1895.13	-4.74
1895.20	-4.86
1895.29	-5.00
1895.37	-4.99
1895.46	-5.07
1895.54	-5.09
1895.62	-5.12
1895.71	-5.08
1895.79	-4.99
1895.87	-4.91
1895.96	-4.83
1896.04	-4.82
1896.13	-4.78
1896.21	-4.85
1896.29	-4.97
1896.37	-5.04
1896.46	-5.14
1896.54	-5.22
1896.62	-5.34
1896.71	-5.33
1896.79	-5.05
1896.88	-4.86
1896.96	-4.83
1897.04	-4.76
1897.13	-4.68
1897.20	-4.69
1897.29	-4.67
1897.37	-4.69
1897.46	-4.79
1897.54	-4.85
1897.62	-4.92
1897.71	-4.91
1897.79	-4.86
1897.88	-4.88
1897.96	-4.86
1898.04	-4.66
1898.13	-4.55
1898.20	-4.60
1898.29	-4.60
1898.37	-4.60
1898.46	-4.67
1898.54	-4.74
1898.62	-4.87
1898.71	-4.82
1898.79	-4.87
1898.87	-4.77
1898.96	-4.60
1899.04	-4.58
1899.13	-4.46
1899.20	-4.63
1899.29	-4.75
1899.37	-4.74
1899.46	-4.96
1899.54	-5.16
1899.62	-5.33
1899.71	-5.30
1899.79	-5.17
1899.87	-5.06
1899.96	-4.95
1900.04	-4.83
1900.13	-4.83
1900.21	-4.91
1900.29	-4.99
1900.37	-5.03
1900.46	-5.08
1900.54	-5.08
1900.62	-5.09
1900.71	-5.01
1900.79	-5.07
1900.88	-5.03
1900.96	-4.99
1901.04	-4.78
1901.13	-4.72
1901.20	-4.71
1901.29	-4.77
1901.37	-4.70
1901.46	-4.84
1901.54	-4.90
1901.62	-4.95
1901.71	-4.94
1901.79	-4.83
1901.88	-4.67
1901.96	-4.62
1902.04	-4.62
1902.13	-4.58
1902.20	-4.60
1902.29	-4.71
1902.37	-4.84
1902.46	-4.98
1902.54	-5.10
1902.62	-5.20
1902.71	-5.19
1902.79	-5.19
1902.87	-5.12
1902.96	-5.03
1903.04	-4.94
1903.13	-4.96
1903.20	-5.04
1903.29	-5.02
1903.37	-4.96
1903.46	-4.98
1903.54	-5.03
1903.62	-5.16
1903.71	-5.01
1903.79	-4.89
1903.87	-4.89
1903.96	-4.85
