# Line Islands Modern and Fossil Coral d18O Data
#----------------------------------------------------------------------- 
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
# Online_Resource: https://www.ncdc.noaa.gov/study/13672
#
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/coral/east_pacific/line-islands2013.txt
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Corals and Sclerosponges
#--------------------
# Contribution_Date
#	Date: 2013-01-01
#--------------------
# Title
#	Study_Name: Line Islands Modern and Fossil Coral d18O Data
#--------------------
# Investigators
#       Investigators: Cobb, K.M.; Westphal, N.; Sayani, H.R.; Watson, J.T.; Di Lorenzo, E.; Cheng, H.; Edwards, R.L.; Charles, C.D.   
#--------------------
# Description_and_Notes
#	Description: 
#--------------------
# Publication 
#       Authors: Cobb, K.M.; Westphal, N.; Sayani, H.R.; Watson, J.T.; Di Lorenzo, E.; Cheng, H.; Edwards, R.L.; Charles, C.D.  
#       Published_Date_or_Year: 2013-01-04     
#       Published_Title: Highly Variable El Ni�o-Southern Oscillation Throughout the Holocene
#       Journal_Name: Science
#       Volume: 339
#       Edition: 
#       Issue: 6115
#       Pages: 67-70
#       DOI: 10.1126/science.1228246 
#       Online_Resource: 
#       Full_Citation: Cobb, K.M., N. Westphal, H.R. Sayani, J.T. Watson, E. Di Lorenzo, H. Cheng, R. L. Edwards, and C.D. Charles. 2013. Highly Variable El Niño-Southern Oscillation Throughout the Holocene. Science, Vol. 339, no. 6115, pp. 67-70, 4 January 2013. DOI: 10.1126/science.1228246 
#       Abstract: The El Ni�o-Southern Oscillation (ENSO) drives large changes in global  climate patterns from year to year, yet its sensitivity to continued  anthropogenic greenhouse forcing is uncertain. We analyzed fossil coral  reconstructions of ENSO spanning the past 7000 years from the Northern  Line Islands, located in the center of action for ENSO. The corals  document highly variable ENSO activity, with no evidence for a systematic  trend in ENSO variance, which is contrary to some models that exhibit  a response to insolation forcing over this same period. Twentieth-century  ENSO variance is significantly higher than average fossil coral ENSO  variance but is not unprecedented. Our results suggest that forced changes  in ENSO, whether natural or anthropogenic, may be difficult to detect  against a background of large internal variability. 
#--------------------
# Publication 
#       Authors: Zaunbracher, L.K.; Cobb, K.M.; Beck, J.W.; Charles, C.D.; Druffel, E.R.M. 
#       Published_Date_or_Year: 2010     
#       Published_Title: Coral records of central tropical Pacific radiocarbon variability  during the last millennium
#       Journal_Name: Paleoceanography
#       Volume: 25
#       Edition: 
#       Issue: PA4212
#       Pages: 
#       DOI: 10.1029/2009PA001788 
#       Online_Resource: 
#       Full_Citation: Zaunbrecher, L.K., K.M. Cobb, J.W. Beck, C.D. Charles, E.R.M. Druffel,  R.G. Fairbanks, S. Griffin, and H. Sayani.   2010.  Coral records of central tropical Pacific radiocarbon variability  during the last millennium.  Paleoceanography 25, PA4212, doi:10.1029/2009PA001788.
#       Abstract: 
#------------------
# Funding_Agency 
#       Funding_Agency_Name: US National Science Foundation (NSF) Division of Ocean Sciences 
#       Grant: 0752091
#------------------
# Funding_Agency 
#       Funding_Agency_Name: National Natural Science Foundation of China
#       Grant: 41230524
#------------------
# Funding_Agency 
#       Funding_Agency_Name: US National Science Foundation (NSF) Division of Atmospheric Sciences
#       Grant: 1103403
#------------------
# Funding_Agency 
#       Funding_Agency_Name: US Department of Energy (DOE)
#       Grant: DOE-SC0005597
#------------------
# Site_Information 
#       Site_Name: Fanning Island, Line Islands, Kiribati
#       Location: Ocean>Pacific Ocean>Central Pacific Ocean>Kiribati
#	Country: Republic of Kiribati
#	Northernmost_Latitude: 3.85 
# 	Southernmost_Latitude: 3.85 
# 	Easternmost_Longitude: 159.35 
# 	Westernmost_Longitude: 159.35 
# 	Elevation:   
#------------------
# Data_Collection   
#	Collection_Name: 13kiri01c
#	Earliest_Year: 3075
#	Most_Recent_Year: 2994 
#	Time_Unit: cal yr BP 
#	Core_Length: 
#	Notes: Fanning fossil sample V10
#------------------
# Species
#	Species_Name: Porites sp.
#	Common_Name: 
#------------------
# Chronology_Information
#	Chronology: 
# 
#----------------
# Variables 
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age	age, , ,years before 1950 AD, , , , ,N
##d18o	delta 18O, Porites sp., , per mil VPDB, , Corals and Sclerosponges, , ,N
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: NAN
#
age	d18o
2994.54	-4.06
2994.63	-4.01
2994.71	-3.97
2994.79	-3.87
2994.88	-3.84
2994.96	-3.82
2995.04	-3.65
2995.13	-3.92
2995.21	-4.07
2995.29	-4.04
2995.38	-3.94
2995.46	-4.06
2995.54	-4.10
2995.63	-4.17
2995.71	-4.18
2995.79	-4.23
2995.88	-4.13
2995.96	-4.03
2996.04	-3.92
2996.13	-4.10
2996.21	-4.11
2996.29	-4.25
2996.38	-4.22
2996.46	-4.21
2996.54	-4.25
2996.63	-4.25
2996.71	-4.17
2996.79	-4.05
2996.88	-4.05
2996.96	-4.02
2997.04	-3.75
2997.13	-3.86
2997.21	-4.09
2997.29	-4.07
2997.38	-3.95
2997.46	-3.96
2997.54	-3.98
2997.63	-4.19
2997.71	-4.18
2997.79	-4.19
2997.88	-4.19
2997.96	-4.08
2998.04	-3.87
2998.13	-3.97
2998.21	-4.08
2998.29	-4.21
2998.38	-4.24
2998.46	-4.09
2998.54	-4.20
2998.63	-4.17
2998.71	-4.11
2998.79	-4.16
2998.88	-4.25
2998.96	-4.07
2999.04	-3.86
2999.13	-4.18
2999.21	-4.19
2999.29	-4.17
2999.38	-4.24
2999.46	-4.32
2999.54	-4.50
2999.63	-4.24
2999.71	-4.13
2999.79	-4.25
2999.88	-4.26
2999.96	-4.25
3000.04	-4.13
3000.13	-4.21
3000.21	-4.22
3000.29	-4.40
3000.38	-4.41
3000.46	-4.35
3000.54	-4.29
3000.63	-4.31
3000.71	-4.38
3000.79	-4.40
3000.88	-4.35
3000.96	-4.29
3001.04	-4.19
3001.13	-4.44
3001.21	-4.29
3001.29	-4.33
3001.38	-4.36
3001.46	-4.34
3001.54	-4.38
3001.63	-4.33
3001.71	-4.35
3001.79	-4.32
3001.88	-4.33
3001.96	-4.20
3002.04	-4.14
3002.13	-4.28
3002.21	-4.32
3002.29	-4.34
3002.38	-4.28
3002.46	-4.32
3002.54	-4.34
3002.63	-4.35
3002.71	-4.32
3002.79	-4.14
3002.88	-4.08
3002.96	-4.28
3003.04	-4.01
3003.13	-4.24
3003.21	-4.43
3003.29	-4.33
3003.38	-4.21
3003.46	-4.24
3003.54	-4.38
3003.63	-4.15
3003.71	-4.00
3003.79	-4.20
3003.88	-4.05
3003.96	-4.17
3004.04	-4.06
3004.13	-4.10
3004.21	-4.33
3004.29	-4.37
3004.38	-4.33
3004.46	-4.26
3004.54	-4.26
3004.63	-4.22
3004.71	-4.16
3004.79	-4.15
3004.88	-4.41
3004.96	-4.27
3005.04	-4.05
3005.13	-4.35
3005.21	-4.29
3005.29	-4.31
3005.38	-4.44
3005.46	-4.42
3005.54	-4.40
3005.63	-4.36
3005.71	-4.48
3005.79	-4.39
3005.88	-4.35
3005.96	-4.46
3006.04	-4.27
3006.13	-4.31
3006.21	-4.37
3006.29	-4.42
3006.38	-4.44
3006.46	-4.48
3006.54	-4.52
3006.63	-4.50
3006.71	-4.49
3006.79	-4.40
3006.88	-4.51
3006.96	-4.43
3007.04	-4.25
3007.13	-4.48
3007.21	-4.50
3007.29	-4.39
3007.38	-4.33
3007.46	-4.40
3007.54	-4.46
3007.63	-4.40
3007.71	-4.35
3007.79	-4.41
3007.88	-4.50
3007.96	-4.51
3008.04	-4.43
3008.13	-4.53
3008.21	-4.51
3008.29	-4.67
3008.38	-4.59
3008.46	-4.59
3008.54	-4.41
3008.63	-4.48
3008.71	-4.29
3008.79	-4.34
3008.88	-4.28
3008.96	-4.23
3009.04	-4.14
3009.13	-4.25
3009.21	-4.42
3009.29	-4.34
3009.38	-4.34
3009.46	-4.58
3009.54	-4.59
3009.63	-4.59
3009.71	-4.44
3009.79	-4.58
3009.88	-4.53
3009.96	-4.53
3010.04	-4.40
3010.13	-4.42
3010.21	-4.50
3010.29	-4.71
3010.38	-4.73
3010.46	-4.50
3010.54	-4.37
3010.63	-4.41
3010.71	-4.41
3010.79	-4.34
3010.88	-4.26
3010.96	-4.26
3011.04	-4.14
3011.13	-4.15
3011.21	-4.24
3011.29	-4.36
3011.38	-4.24
3011.46	-4.50
3011.54	-4.27
3011.63	-4.29
3011.71	-4.39
3011.79	-4.50
3011.88	-4.43
3011.96	-4.27
3012.04	-4.11
3012.13	-4.20
3012.21	-4.19
3012.29	-4.17
3012.38	-4.19
3012.46	-4.23
3012.54	-4.19
3012.63	-4.23
3012.71	-4.22
3012.79	-4.30
3012.88	-4.19
3012.96	-4.12
3013.04	-4.04
3013.13	-4.18
3013.21	-4.22
3013.29	-4.20
3013.38	-4.25
3013.46	-4.28
3013.54	-4.24
3013.63	-4.18
3013.71	-4.34
3013.79	-4.21
3013.88	-4.17
3013.96	-4.09
3014.04	-4.03
3014.13	-4.17
3014.21	-4.32
3014.29	-4.48
3014.38	-4.50
