# Line Islands Modern and Fossil Coral d18O Data
#----------------------------------------------------------------------- 
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
# Online_Resource: https://www.ncdc.noaa.gov/study/13672
#
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/coral/east_pacific/line-islands2013.txt
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Corals and Sclerosponges
#--------------------
# Contribution_Date
#	Date: 2013-01-01
#--------------------
# Title
#	Study_Name: Line Islands Modern and Fossil Coral d18O Data
#--------------------
# Investigators
#       Investigators: Cobb, K.M.; Westphal, N.; Sayani, H.R.; Watson, J.T.; Di Lorenzo, E.; Cheng, H.; Edwards, R.L.; Charles, C.D.   
#--------------------
# Description_and_Notes
#	Description: 
#--------------------
# Publication 
#       Authors: Cobb, K.M.; Westphal, N.; Sayani, H.R.; Watson, J.T.; Di Lorenzo, E.; Cheng, H.; Edwards, R.L.; Charles, C.D.  
#       Published_Date_or_Year: 2013-01-04     
#       Published_Title: Highly Variable El Ni�o-Southern Oscillation Throughout the Holocene
#       Journal_Name: Science
#       Volume: 339
#       Edition: 
#       Issue: 6115
#       Pages: 67-70
#       DOI: 10.1126/science.1228246 
#       Online_Resource: 
#       Full_Citation: Cobb, K.M., N. Westphal, H.R. Sayani, J.T. Watson, E. Di Lorenzo, H. Cheng, R. L. Edwards, and C.D. Charles. 2013. Highly Variable El Niño-Southern Oscillation Throughout the Holocene. Science, Vol. 339, no. 6115, pp. 67-70, 4 January 2013. DOI: 10.1126/science.1228246 
#       Abstract: The El Ni�o-Southern Oscillation (ENSO) drives large changes in global  climate patterns from year to year, yet its sensitivity to continued  anthropogenic greenhouse forcing is uncertain. We analyzed fossil coral  reconstructions of ENSO spanning the past 7000 years from the Northern  Line Islands, located in the center of action for ENSO. The corals  document highly variable ENSO activity, with no evidence for a systematic  trend in ENSO variance, which is contrary to some models that exhibit  a response to insolation forcing over this same period. Twentieth-century  ENSO variance is significantly higher than average fossil coral ENSO  variance but is not unprecedented. Our results suggest that forced changes  in ENSO, whether natural or anthropogenic, may be difficult to detect  against a background of large internal variability. 
#--------------------
# Publication 
#       Authors: Zaunbracher, L.K.; Cobb, K.M.; Beck, J.W.; Charles, C.D.; Druffel, E.R.M. 
#       Published_Date_or_Year: 2010     
#       Published_Title: Coral records of central tropical Pacific radiocarbon variability  during the last millennium
#       Journal_Name: Paleoceanography
#       Volume: 25
#       Edition: 
#       Issue: PA4212
#       Pages: 
#       DOI: 10.1029/2009PA001788 
#       Online_Resource: 
#       Full_Citation: Zaunbrecher, L.K., K.M. Cobb, J.W. Beck, C.D. Charles, E.R.M. Druffel,  R.G. Fairbanks, S. Griffin, and H. Sayani.   2010.  Coral records of central tropical Pacific radiocarbon variability  during the last millennium.  Paleoceanography 25, PA4212, doi:10.1029/2009PA001788.
#       Abstract: 
#------------------
# Funding_Agency 
#       Funding_Agency_Name: US National Science Foundation (NSF) Division of Ocean Sciences 
#       Grant: 0752091
#------------------
# Funding_Agency 
#       Funding_Agency_Name: National Natural Science Foundation of China
#       Grant: 41230524
#------------------
# Funding_Agency 
#       Funding_Agency_Name: US National Science Foundation (NSF) Division of Atmospheric Sciences
#       Grant: 1103403
#------------------
# Funding_Agency 
#       Funding_Agency_Name: US Department of Energy (DOE)
#       Grant: DOE-SC0005597
#------------------
# Site_Information 
#       Site_Name: Fanning Island, Line Islands, Kiribati
#       Location: Ocean>Pacific Ocean>Central Pacific Ocean>Kiribati
#	Country: Republic of Kiribati
#	Northernmost_Latitude: 3.85 
# 	Southernmost_Latitude: 3.85 
# 	Easternmost_Longitude: 159.35 
# 	Westernmost_Longitude: 159.35 
# 	Elevation:   
#------------------
# Data_Collection   
#	Collection_Name: 13kiri01d
#	Earliest_Year: 5999
#	Most_Recent_Year: 5958 
#	Time_Unit: cal yr BP 
#	Core_Length: 
#	Notes: Fanning fossil sample V30
#------------------
# Species
#	Species_Name: Porites sp. 
#	Common_Name: 
#------------------
# Chronology_Information
#	Chronology: 
# 
#----------------
# Variables 
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age	age, , ,years before 1950 AD, , , , ,N
##d18o	delta 18O, Porites sp., , per mil VPDB, , Corals and Sclerosponges, , ,N
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: NAN
#
age	d18o
5958.04	-3.63
5958.13	-3.99
5958.21	-4.07
5958.29	-4.04
5958.38	-4.05
5958.46	-3.96
5958.54	-3.97
5958.63	-3.99
5958.71	-3.94
5958.79	-3.91
5958.88	-3.94
5958.96	-3.93
5959.04	-3.63
5959.13	-3.80
5959.21	-3.92
5959.29	-4.10
5959.38	-3.94
5959.46	-4.00
5959.54	-4.23
5959.63	-4.32
5959.71	-4.36
5959.79	-4.14
5959.88	-4.03
5959.96	-4.11
5960.04	-4.02
5960.13	-4.31
5960.21	-4.26
5960.29	-4.20
5960.38	-4.11
5960.46	-3.97
5960.54	-3.93
5960.63	-3.96
5960.71	-4.05
5960.79	-4.13
5960.88	-4.17
5960.96	-4.12
5961.04	-3.79
5961.13	-3.86
5961.21	-4.11
5961.29	-4.08
5961.38	-4.00
5961.46	-4.13
5961.54	-4.12
5961.63	-4.24
5961.71	-4.53
5961.79	-4.45
5961.88	-4.17
5961.96	-4.22
5962.04	-4.20
5962.13	-4.26
5962.21	-4.17
5962.29	-4.23
5962.38	-4.43
5962.46	-4.28
5962.54	-4.22
5962.63	-4.30
5962.71	-4.20
5962.79	-3.98
5962.88	-4.07
5962.96	-3.95
5963.04	-3.77
5963.13	-3.94
5963.21	-3.99
5963.29	-4.00
5963.38	-4.06
5963.46	-4.17
5963.54	-4.18
5963.63	-4.16
5963.71	-4.27
5963.79	-4.29
5963.88	-4.18
5963.96	-4.00
5964.04	-3.76
5964.13	-4.00
5964.21	-4.05
5964.29	-4.34
5964.38	-3.97
5964.46	-4.11
5964.54	-4.23
5964.63	-4.01
5964.71	-4.02
5964.79	-4.15
5964.88	-4.03
5964.96	-3.84
5965.04	-3.65
5965.13	-3.82
5965.21	-3.85
5965.29	-4.02
5965.38	-4.05
5965.46	-3.92
5965.54	-3.66
5965.63	-3.78
5965.71	-4.08
5965.79	-3.88
5965.88	-3.51
5965.96	-3.48
5966.04	-3.40
5966.13	-3.48
5966.21	-3.60
5966.29	-3.57
5966.38	-3.76
5966.46	-3.74
5966.54	-3.60
5966.63	-3.74
5966.71	-3.47
5966.79	-3.87
5966.88	-3.86
5966.96	-3.78
5967.04	-3.59
5967.13	-3.57
5967.21	-3.69
5967.29	-3.86
5967.38	-3.72
5967.46	-3.81
5967.54	-3.67
5967.63	-3.57
5967.71	-3.56
5967.79	-3.71
5967.88	-4.04
5967.96	-3.75
5968.04	-3.65
5968.13	-3.95
5968.21	-4.03
5968.29	-3.98
5968.38	-3.87
5968.46	-3.91
5968.54	-3.86
5968.63	-3.79
5968.71	-3.83
5968.79	-3.84
5968.88	-3.84
5968.96	-3.75
5969.04	-3.53
5969.13	-3.71
5969.21	-3.61
5969.29	-3.75
5969.38	-3.75
5969.46	-3.72
5969.54	-3.62
5969.63	-3.53
5969.71	-3.67
5969.79	-3.97
5969.88	-4.13
5969.96	-3.89
5970.04	-3.60
5970.13	-3.70
5970.21	-3.71
5970.29	-3.62
5970.38	-3.46
5970.46	-3.72
5970.54	-3.65
5970.63	-3.52
5970.71	-3.62
5970.79	-3.52
5970.88	-3.57
5970.96	-3.64
5971.04	-3.62
5971.13	-3.93
5971.21	-4.07
5971.29	-4.05
5971.38	-3.86
5971.46	-3.76
5971.54	-3.77
5971.63	-3.80
5971.71	-3.90
5971.79	-4.09
5971.88	-4.08
5971.96	-3.85
5972.04	-3.40
5972.13	-3.53
5972.21	-3.49
5972.29	-3.66
5972.38	-3.96
5972.46	-4.12
5972.54	-3.95
5972.63	-3.97
5972.71	-3.94
5972.79	-3.86
5972.88	-3.74
5972.96	-3.64
5973.04	-3.53
5973.13	-3.85
5973.21	-3.95
5973.29	-4.03
5973.38	-3.90
5973.46	-3.78
5973.54	-3.68
5973.63	-3.83
5973.71	-3.76
5973.79	-4.07
5973.88	-3.89
5973.96	-3.77
5974.04	-3.72
5974.13	-4.17
5974.21	-4.15
5974.29	-4.12
5974.38	-4.03
5974.46	-4.07
5974.54	-4.15
5974.63	-4.07
5974.71	-3.98
5974.79	-4.24
5974.88	-4.29
5974.96	-4.33
5975.04	-3.89
5975.13	-3.53
5975.21	-4.10
5975.29	-4.23
5975.38	-4.17
5975.46	-3.97
5975.54	-4.02
5975.63	-4.21
5975.71	-4.04
5975.79	-4.12
5975.88	-4.07
5975.96	-4.01
5976.04	-3.81
5976.13	-3.90
5976.21	-4.24
5976.29	-4.29
5976.38	-4.13
5976.46	-4.15
5976.54	-4.25
5976.63	-4.25
5976.71	-4.17
5976.79	-4.14
5976.88	-4.10
5976.96	-3.95
5977.04	-3.83
5977.13	-3.89
5977.21	-4.00
5977.29	-3.93
5977.38	-3.85
5977.46	-3.83
5977.54	-3.79
5977.63	-3.75
5977.71	-3.75
5977.79	-3.68
5977.88	-3.55
