# Line Islands Modern and Fossil Coral d18O Data
#----------------------------------------------------------------------- 
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
# Online_Resource: https://www.ncdc.noaa.gov/study/13672
#
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/coral/east_pacific/line-islands2013.txt
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Corals and Sclerosponges
#--------------------
# Contribution_Date
#	Date: 2013-01-01
#--------------------
# Title
#	Study_Name: Line Islands Modern and Fossil Coral d18O Data
#--------------------
# Investigators
#       Investigators: Cobb, K.M.; Westphal, N.; Sayani, H.R.; Watson, J.T.; Di Lorenzo, E.; Cheng, H.; Edwards, R.L.; Charles, C.D.   
#--------------------
# Description_and_Notes
#	Description: 
#--------------------
# Publication 
#       Authors: Cobb, K.M.; Westphal, N.; Sayani, H.R.; Watson, J.T.; Di Lorenzo, E.; Cheng, H.; Edwards, R.L.; Charles, C.D.  
#       Published_Date_or_Year: 2013-01-04     
#       Published_Title: Highly Variable El Ni�o-Southern Oscillation Throughout the Holocene
#       Journal_Name: Science
#       Volume: 339
#       Edition: 
#       Issue: 6115
#       Pages: 67-70
#       DOI: 10.1126/science.1228246 
#       Online_Resource: 
#       Full_Citation: Cobb, K.M., N. Westphal, H.R. Sayani, J.T. Watson, E. Di Lorenzo, H. Cheng, R. L. Edwards, and C.D. Charles. 2013. Highly Variable El Niño-Southern Oscillation Throughout the Holocene. Science, Vol. 339, no. 6115, pp. 67-70, 4 January 2013. DOI: 10.1126/science.1228246 
#       Abstract: The El Ni�o-Southern Oscillation (ENSO) drives large changes in global  climate patterns from year to year, yet its sensitivity to continued  anthropogenic greenhouse forcing is uncertain. We analyzed fossil coral  reconstructions of ENSO spanning the past 7000 years from the Northern  Line Islands, located in the center of action for ENSO. The corals  document highly variable ENSO activity, with no evidence for a systematic  trend in ENSO variance, which is contrary to some models that exhibit  a response to insolation forcing over this same period. Twentieth-century  ENSO variance is significantly higher than average fossil coral ENSO  variance but is not unprecedented. Our results suggest that forced changes  in ENSO, whether natural or anthropogenic, may be difficult to detect  against a background of large internal variability. 
#--------------------
# Publication 
#       Authors: Zaunbracher, L.K.; Cobb, K.M.; Beck, J.W.; Charles, C.D.; Druffel, E.R.M. 
#       Published_Date_or_Year: 2010     
#       Published_Title: Coral records of central tropical Pacific radiocarbon variability  during the last millennium
#       Journal_Name: Paleoceanography
#       Volume: 25
#       Edition: 
#       Issue: PA4212
#       Pages: 
#       DOI: 10.1029/2009PA001788 
#       Online_Resource: 
#       Full_Citation: Zaunbrecher, L.K., K.M. Cobb, J.W. Beck, C.D. Charles, E.R.M. Druffel,  R.G. Fairbanks, S. Griffin, and H. Sayani.   2010.  Coral records of central tropical Pacific radiocarbon variability  during the last millennium.  Paleoceanography 25, PA4212, doi:10.1029/2009PA001788.
#       Abstract: 
#------------------
# Funding_Agency 
#       Funding_Agency_Name: US National Science Foundation (NSF) Division of Ocean Sciences 
#       Grant: 0752091
#------------------
# Funding_Agency 
#       Funding_Agency_Name: National Natural Science Foundation of China
#       Grant: 41230524
#------------------
# Funding_Agency 
#       Funding_Agency_Name: US National Science Foundation (NSF) Division of Atmospheric Sciences
#       Grant: 1103403
#------------------
# Funding_Agency 
#       Funding_Agency_Name: US Department of Energy (DOE)
#       Grant: DOE-SC0005597
#------------------
# Site_Information 
#       Site_Name: Fanning Island, Line Islands, Kiribati
#       Location: Ocean>Pacific Ocean>Central Pacific Ocean>Kiribati
#	Country: Republic of Kiribati
#	Northernmost_Latitude: 3.85 
# 	Southernmost_Latitude: 3.85 
# 	Easternmost_Longitude: 159.35 
# 	Westernmost_Longitude: 159.35 
# 	Elevation:   
#------------------
# Data_Collection   
#	Collection_Name: 13kiri01h
#	Earliest_Year: 6605
#	Most_Recent_Year: 6581 
#	Time_Unit: cal yr BP 
#	Core_Length: 
#	Notes: Fanning fossil sample V33
#------------------
# Species
#	Species_Name:  Porites sp.
#	Common_Name: 
#------------------
# Chronology_Information
#	Chronology: 
# 
#----------------
# Variables 
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age	age, , ,years before 1950 AD, , , , ,N
##d18o	delta 18O, Porites sp., , per mil VPDB, , Corals and Sclerosponges, , ,N
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: NAN
#
age	d18o
6581.04	-4.06
6581.13	-4.11
6581.21	-4.08
6581.29	-4.05
6581.38	-4.07
6581.46	-4.13
6581.54	-4.14
6581.63	-4.15
6581.71	-4.22
6581.79	-4.12
6581.88	-4.19
6581.96	-4.25
6582.04	-4.12
6582.13	-4.15
6582.21	-4.17
6582.29	-4.22
6582.38	-4.26
6582.46	-4.14
6582.54	-4.01
6582.63	-4.09
6582.71	-4.17
6582.79	-4.23
6582.88	-4.30
6582.96	-4.11
6583.04	-3.91
6583.13	-3.94
6583.21	-4.03
6583.29	-4.07
6583.38	-4.17
6583.46	-4.27
6583.54	-4.30
6583.63	-4.18
6583.71	-4.08
6583.79	-4.12
6583.88	-4.05
6583.96	-3.81
6584.04	-3.76
6584.13	-3.82
6584.21	-3.95
6584.29	-4.26
6584.38	-4.35
6584.46	-4.27
6584.54	-4.40
6584.63	-4.55
6584.71	-4.58
6584.79	-4.50
6584.88	-4.28
6584.96	-4.12
6585.04	-3.97
6585.13	-4.09
6585.21	-3.99
6585.29	-4.07
6585.38	-4.21
6585.46	-4.37
6585.54	-4.44
6585.63	-4.39
6585.71	-4.28
6585.79	-4.17
6585.88	-4.19
6585.96	-4.10
6586.04	-3.99
6586.13	-4.00
6586.21	-4.23
6586.29	-4.11
6586.38	-4.24
6586.46	-4.30
6586.54	-4.13
6586.63	-4.22
6586.71	-4.01
6586.79	-4.10
6586.88	-3.86
6586.96	-3.98
6587.04	-3.85
6587.13	-3.95
6587.21	-4.05
6587.29	-4.13
6587.38	-4.17
6587.46	-4.18
6587.54	-4.07
6587.63	-3.96
6587.71	-3.94
6587.79	-4.02
6587.88	-4.05
6587.96	-4.01
6588.04	-3.91
6588.13	-3.96
6588.21	-4.01
6588.29	-4.04
6588.38	-4.03
6588.46	-3.97
6588.54	-3.96
6588.63	-3.96
6588.71	-4.00
6588.79	-3.94
6588.88	-3.75
6588.96	-3.63
6589.04	-3.55
6589.13	-3.71
6589.21	-3.84
6589.29	-3.92
6589.38	-3.93
6589.46	-3.87
6589.54	-3.83
6589.63	-3.80
6589.71	-3.76
6589.79	-3.69
6589.88	-3.57
6589.96	-3.50
6590.04	-3.45
6590.13	-3.64
6590.21	-3.82
6590.29	-3.89
6590.38	-3.87
6590.46	-3.85
6590.54	-3.87
6590.63	-3.89
6590.71	-3.83
6590.79	-3.76
6590.88	-3.70
6590.96	-3.65
6591.04	-3.60
6591.13	-3.87
6591.21	-4.06
6591.29	-4.15
6591.38	-4.35
6591.46	-4.67
6591.54	-4.54
6591.63	-4.38
6591.71	-4.16
6591.79	-4.13
6591.88	-4.18
6591.96	-4.13
6592.04	-3.94
6592.13	-3.96
6592.21	-3.99
6592.29	-4.22
6592.38	-4.46
6592.46	-4.47
6592.54	-4.47
6592.63	-4.48
6592.71	-4.50
6592.79	-4.40
6592.88	-4.29
6592.96	-4.15
6593.04	-4.01
6593.13	-4.09
6593.21	-4.08
6593.29	-4.18
6593.38	-4.21
6593.46	-4.11
6593.54	-3.94
6593.63	-3.86
6593.71	-3.96
6593.79	-4.05
6593.88	-4.02
6593.96	-3.93
6594.04	-3.87
6594.13	-3.96
6594.21	-4.02
6594.29	-4.04
6594.38	-3.95
6594.46	-3.96
6594.54	-4.08
6594.63	-3.94
6594.71	-3.86
6594.79	-3.83
6594.88	-3.86
6594.96	-3.79
6595.04	-3.60
6595.13	-3.61
6595.21	-3.64
6595.29	-3.72
6595.38	-3.76
6595.46	-3.77
6595.54	-3.81
6595.63	-3.84
6595.71	-3.74
6595.79	-3.70
6595.88	-3.74
6595.96	-3.69
6596.04	-3.61
6596.13	-3.77
6596.21	-3.90
6596.29	-3.96
6596.38	-3.94
6596.46	-3.86
6596.54	-3.83
6596.63	-3.81
6596.71	-3.84
6596.79	-3.88
6596.88	-3.93
6596.96	-3.89
6597.04	-3.82
6597.13	-3.97
6597.21	-4.12
6597.29	-4.17
6597.38	-4.22
6597.46	-4.20
6597.54	-4.17
6597.63	-4.02
6597.71	-3.86
6597.79	-3.87
6597.88	-3.89
6597.96	-3.83
6598.04	-3.77
6598.13	-3.92
6598.21	-4.09
6598.29	-4.06
6598.38	-4.01
6598.46	-4.01
6598.54	-3.96
6598.63	-3.91
6598.71	-3.94
6598.79	-4.03
6598.88	-3.92
6598.96	-3.74
6599.04	-3.62
6599.13	-3.66
6599.21	-3.69
6599.29	-3.70
6599.38	-3.79
6599.46	-3.97
6599.54	-4.24
6599.63	-4.17
6599.71	-4.14
6599.79	-4.14
6599.88	-4.07
6599.96	-3.99
6600.04	-3.89
6600.13	-4.18
6600.21	-4.30
6600.29	-4.26
6600.38	-4.09
6600.46	-4.06
6600.54	-4.18
6600.63	-4.11
6600.71	-4.01
6600.79	-3.88
6600.88	-3.84
