# Line Islands Modern and Fossil Coral d18O Data
#----------------------------------------------------------------------- 
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
# Online_Resource: https://www.ncdc.noaa.gov/study/13672
#
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/coral/east_pacific/line-islands2013.txt
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Corals and Sclerosponges
#--------------------
# Contribution_Date
#	Date: 2013-01-01
#--------------------
# Title
#	Study_Name: Line Islands Modern and Fossil Coral d18O Data
#--------------------
# Investigators
#       Investigators: Cobb, K.M.; Westphal, N.; Sayani, H.R.; Watson, J.T.; Di Lorenzo, E.; Cheng, H.; Edwards, R.L.; Charles, C.D.   
#--------------------
# Description_and_Notes
#	Description: 
#--------------------
# Publication 
#       Authors: Cobb, K.M.; Westphal, N.; Sayani, H.R.; Watson, J.T.; Di Lorenzo, E.; Cheng, H.; Edwards, R.L.; Charles, C.D.  
#       Published_Date_or_Year: 2013-01-04     
#       Published_Title: Highly Variable El Ni�o-Southern Oscillation Throughout the Holocene
#       Journal_Name: Science
#       Volume: 339
#       Edition: 
#       Issue: 6115
#       Pages: 67-70
#       DOI: 10.1126/science.1228246 
#       Online_Resource: 
#       Full_Citation: Cobb, K.M., N. Westphal, H.R. Sayani, J.T. Watson, E. Di Lorenzo, H. Cheng, R. L. Edwards, and C.D. Charles. 2013. Highly Variable El Niño-Southern Oscillation Throughout the Holocene. Science, Vol. 339, no. 6115, pp. 67-70, 4 January 2013. DOI: 10.1126/science.1228246 
#       Abstract: The El Ni�o-Southern Oscillation (ENSO) drives large changes in global  climate patterns from year to year, yet its sensitivity to continued  anthropogenic greenhouse forcing is uncertain. We analyzed fossil coral  reconstructions of ENSO spanning the past 7000 years from the Northern  Line Islands, located in the center of action for ENSO. The corals  document highly variable ENSO activity, with no evidence for a systematic  trend in ENSO variance, which is contrary to some models that exhibit  a response to insolation forcing over this same period. Twentieth-century  ENSO variance is significantly higher than average fossil coral ENSO  variance but is not unprecedented. Our results suggest that forced changes  in ENSO, whether natural or anthropogenic, may be difficult to detect  against a background of large internal variability. 
#--------------------
# Publication 
#       Authors: Zaunbracher, L.K.; Cobb, K.M.; Beck, J.W.; Charles, C.D.; Druffel, E.R.M. 
#       Published_Date_or_Year: 2010     
#       Published_Title: Coral records of central tropical Pacific radiocarbon variability  during the last millennium
#       Journal_Name: Paleoceanography
#       Volume: 25
#       Edition: 
#       Issue: PA4212
#       Pages: 
#       DOI: 10.1029/2009PA001788 
#       Online_Resource: 
#       Full_Citation: Zaunbrecher, L.K., K.M. Cobb, J.W. Beck, C.D. Charles, E.R.M. Druffel,  R.G. Fairbanks, S. Griffin, and H. Sayani.   2010.  Coral records of central tropical Pacific radiocarbon variability  during the last millennium.  Paleoceanography 25, PA4212, doi:10.1029/2009PA001788.
#       Abstract: 
#------------------
# Funding_Agency 
#       Funding_Agency_Name: US National Science Foundation (NSF) Division of Ocean Sciences 
#       Grant: 0752091
#------------------
# Funding_Agency 
#       Funding_Agency_Name: National Natural Science Foundation of China
#       Grant: 41230524
#------------------
# Funding_Agency 
#       Funding_Agency_Name: US National Science Foundation (NSF) Division of Atmospheric Sciences
#       Grant: 1103403
#------------------
# Funding_Agency 
#       Funding_Agency_Name: US Department of Energy (DOE)
#       Grant: DOE-SC0005597
#------------------
# Site_Information 
#       Site_Name: Kiritimati Island, Line Islands, Kiribati
#       Location: Ocean>Pacific Ocean>Central Pacific Ocean>Kiribati
#	Country: Republic of Kiribati
#	Northernmost_Latitude: 1.866667 
# 	Southernmost_Latitude: 1.866667 
# 	Easternmost_Longitude: 157.4 
# 	Westernmost_Longitude: 157.4 
# 	Elevation:   
#------------------
# Data_Collection   
#	Collection_Name: 13kiri02g
#	Earliest_Year: 3476
#	Most_Recent_Year: 3432
#	Time_Unit: cal yr BP 
#	Core_Length: 
#	Notes: Christmas fossil sample P26
#------------------
# Species
#	Species_Name:  Porites sp.
#	Common_Name: 
#------------------
# Chronology_Information
#	Chronology: 
# 
#----------------
# Variables 
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age	age, , ,years before 1950 AD, , , , ,N
##d18o	delta 18O, Porites sp., , per mil VPDB, , Corals and Sclerosponges, , ,N
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: NAN
#
age	d18o
3432.79	-4.20
3432.88	-4.13
3432.96	-4.21
3433.04	-4.25
3433.13	-4.26
3433.21	-4.37
3433.29	-4.31
3433.38	-4.29
3433.46	-4.33
3433.54	-4.32
3433.63	-4.27
3433.71	-4.32
3433.79	-4.41
3433.88	-4.43
3433.96	-4.45
3434.04	-4.38
3434.13	-4.41
3434.21	-4.34
3434.29	-4.27
3434.38	-4.28
3434.46	-4.28
3434.54	-4.36
3434.63	-4.28
3434.71	-4.40
3434.79	-4.22
3434.88	-4.18
3434.96	-4.37
3435.04	-4.31
3435.13	-4.18
3435.21	-4.16
3435.29	-4.14
3435.38	-4.11
3435.46	-4.21
3435.54	-4.00
3435.63	-4.41
3435.71	-4.43
3435.79	-4.36
3435.88	-4.46
3435.96	-4.54
3436.04	-4.46
3436.13	-4.49
3436.21	-4.38
3436.29	-4.37
3436.38	-4.36
3436.46	-4.36
3436.54	-4.35
3436.63	-4.35
3436.71	-4.34
3436.79	-4.35
3436.88	-4.24
3436.96	-4.16
3437.04	-4.14
3437.13	-4.14
3437.21	-4.17
3437.29	-4.23
3437.38	-4.20
3437.46	-4.16
3437.54	-4.18
3437.63	-4.16
3437.71	-4.08
3437.79	-4.17
3437.88	-4.16
3437.96	-4.16
3438.04	-4.21
3438.13	-4.22
3438.21	-4.17
3438.29	-4.17
3438.38	-4.25
3438.46	-4.25
3438.54	-4.29
3438.63	-4.33
3438.71	-4.33
3438.79	-4.37
3438.88	-4.42
3438.96	-4.46
3439.04	-4.47
3439.13	-4.45
3439.21	-4.46
3439.29	-4.48
3439.38	-4.49
3439.46	-4.44
3439.54	-4.39
3439.63	-4.34
3439.71	-4.34
3439.79	-4.32
3439.88	-4.25
3439.96	-4.18
3440.04	-4.17
3440.13	-4.03
3440.21	-4.13
3440.29	-3.94
3440.38	-3.85
3440.46	-3.92
3440.54	-4.07
3440.63	-4.26
3440.71	-4.22
3440.79	-4.23
3440.88	-4.16
3440.96	-4.06
3441.04	-4.03
3441.13	-4.14
3441.21	-4.09
3441.29	-4.10
3441.38	-3.97
3441.46	-4.07
3441.54	-4.12
3441.63	-3.99
3441.71	-4.21
3441.79	-4.13
3441.88	-4.09
3441.96	-3.94
3442.04	-4.10
3442.13	-4.11
3442.21	-4.10
3442.29	-4.06
3442.38	-3.98
3442.46	-3.92
3442.54	-4.27
3442.63	-4.25
3442.71	-4.17
3442.79	-4.21
3442.88	-4.17
3442.96	-4.13
3443.04	-4.10
3443.13	-4.14
3443.21	-4.19
3443.29	-4.17
3443.38	-4.13
3443.46	-4.15
3443.54	-4.18
3443.63	-4.24
3443.71	-4.32
3443.79	-4.37
3443.88	-4.37
3443.96	-4.39
3444.04	-4.52
3444.13	-4.47
3444.21	-4.40
3444.29	-4.37
3444.38	-4.35
3444.46	-4.35
3444.54	-4.32
3444.63	-4.24
3444.71	-4.24
3444.79	-4.33
3444.88	-4.41
3444.96	-4.39
3445.04	-4.43
3445.13	-4.42
3445.21	-4.41
3445.29	-4.48
3445.38	-4.45
3445.46	-4.42
3445.54	-4.42
3445.63	-4.32
3445.71	-4.29
3445.79	-4.16
3445.88	-4.28
3445.96	-4.31
3446.04	-4.34
3446.13	-4.33
3446.21	-4.33
3446.29	-4.37
3446.38	-4.32
3446.46	-4.22
3446.54	-4.20
3446.63	-4.25
3446.71	-4.27
3446.79	-4.24
3446.88	-4.31
3446.96	-4.27
3447.04	-4.14
3447.13	-4.19
3447.21	-4.17
3447.29	-4.22
3447.38	-4.14
3447.46	-4.16
3447.54	-4.23
3447.63	-4.20
3447.71	-4.21
3447.79	-4.28
3447.88	-4.26
3447.96	-4.28
3448.04	-4.33
3448.13	-4.24
3448.21	-4.17
3448.29	-4.15
3448.38	-4.27
3448.46	-4.36
3448.54	-4.41
3448.63	-4.49
3448.71	-4.43
3448.79	-4.51
3448.88	-4.54
3448.96	-4.34
3449.04	-4.57
3449.13	-4.53
3449.21	-4.43
3449.29	-4.29
3449.38	-4.27
3449.46	-4.35
3449.54	-4.27
3449.63	-4.23
3449.71	-4.19
3449.79	-4.11
3449.88	-4.16
3449.96	-4.11
3450.04	-4.10
3450.13	-4.06
3450.21	-4.06
3450.29	-3.99
3450.38	-4.01
3450.46	-4.06
3450.54	-4.05
3450.63	-4.16
3450.71	-4.08
3450.79	-4.00
3450.88	-4.10
3450.96	-4.02
3451.04	-3.89
3451.13	-3.98
3451.21	-4.06
3451.29	-4.06
3451.38	-4.05
3451.46	-4.06
3451.54	-3.93
3451.63	-3.89
3451.71	-4.06
3451.79	-4.13
3451.88	-4.10
3451.96	-4.05
3452.04	-4.00
3452.13	-4.03
3452.21	-4.05
3452.29	-4.05
3452.38	-4.04
3452.46	-4.04
3452.54	-4.03
3452.63	-4.00
