# Line Islands Modern and Fossil Coral d18O Data
#----------------------------------------------------------------------- 
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
# Online_Resource: https://www.ncdc.noaa.gov/study/13672
#
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/coral/east_pacific/line-islands2013.txt
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Corals and Sclerosponges
#--------------------
# Contribution_Date
#	Date: 2013-01-01
#--------------------
# Title
#	Study_Name: Line Islands Modern and Fossil Coral d18O Data
#--------------------
# Investigators
#       Investigators: Cobb, K.M.; Westphal, N.; Sayani, H.R.; Watson, J.T.; Di Lorenzo, E.; Cheng, H.; Edwards, R.L.; Charles, C.D.   
#--------------------
# Description_and_Notes
#	Description: 
#--------------------
# Publication 
#       Authors: Cobb, K.M.; Westphal, N.; Sayani, H.R.; Watson, J.T.; Di Lorenzo, E.; Cheng, H.; Edwards, R.L.; Charles, C.D.  
#       Published_Date_or_Year: 2013-01-04     
#       Published_Title: Highly Variable El Ni�o-Southern Oscillation Throughout the Holocene
#       Journal_Name: Science
#       Volume: 339
#       Edition: 
#       Issue: 6115
#       Pages: 67-70
#       DOI: 10.1126/science.1228246 
#       Online_Resource: 
#       Full_Citation: Cobb, K.M., N. Westphal, H.R. Sayani, J.T. Watson, E. Di Lorenzo, H. Cheng, R. L. Edwards, and C.D. Charles. 2013. Highly Variable El Niño-Southern Oscillation Throughout the Holocene. Science, Vol. 339, no. 6115, pp. 67-70, 4 January 2013. DOI: 10.1126/science.1228246 
#       Abstract: The El Ni�o-Southern Oscillation (ENSO) drives large changes in global  climate patterns from year to year, yet its sensitivity to continued  anthropogenic greenhouse forcing is uncertain. We analyzed fossil coral  reconstructions of ENSO spanning the past 7000 years from the Northern  Line Islands, located in the center of action for ENSO. The corals  document highly variable ENSO activity, with no evidence for a systematic  trend in ENSO variance, which is contrary to some models that exhibit  a response to insolation forcing over this same period. Twentieth-century  ENSO variance is significantly higher than average fossil coral ENSO  variance but is not unprecedented. Our results suggest that forced changes  in ENSO, whether natural or anthropogenic, may be difficult to detect  against a background of large internal variability. 
#--------------------
# Publication 
#       Authors: Zaunbracher, L.K.; Cobb, K.M.; Beck, J.W.; Charles, C.D.; Druffel, E.R.M. 
#       Published_Date_or_Year: 2010     
#       Published_Title: Coral records of central tropical Pacific radiocarbon variability  during the last millennium
#       Journal_Name: Paleoceanography
#       Volume: 25
#       Edition: 
#       Issue: PA4212
#       Pages: 
#       DOI: 10.1029/2009PA001788 
#       Online_Resource: 
#       Full_Citation: Zaunbrecher, L.K., K.M. Cobb, J.W. Beck, C.D. Charles, E.R.M. Druffel,  R.G. Fairbanks, S. Griffin, and H. Sayani.   2010.  Coral records of central tropical Pacific radiocarbon variability  during the last millennium.  Paleoceanography 25, PA4212, doi:10.1029/2009PA001788.
#       Abstract: 
#------------------
# Funding_Agency 
#       Funding_Agency_Name: US National Science Foundation (NSF) Division of Ocean Sciences 
#       Grant: 0752091
#------------------
# Funding_Agency 
#       Funding_Agency_Name: National Natural Science Foundation of China
#       Grant: 41230524
#------------------
# Funding_Agency 
#       Funding_Agency_Name: US National Science Foundation (NSF) Division of Atmospheric Sciences
#       Grant: 1103403
#------------------
# Funding_Agency 
#       Funding_Agency_Name: US Department of Energy (DOE)
#       Grant: DOE-SC0005597
#------------------
# Site_Information 
#       Site_Name: Kiritimati Island, Line Islands, Kiribati
#       Location: Ocean>Pacific Ocean>Central Pacific Ocean>Kiribati
#	Country: Republic of Kiribati
#	Northernmost_Latitude: 1.866667 
# 	Southernmost_Latitude: 1.866667 
# 	Easternmost_Longitude: 157.4 
# 	Westernmost_Longitude: 157.4 
# 	Elevation:   
#------------------
# Data_Collection   
#	Collection_Name: 13kiri02d
#	Earliest_Year: 1705
#	Most_Recent_Year: 1684 
#	Time_Unit: cal yr BP 
#	Core_Length: 
#	Notes: Christmas fossil sample P2
#------------------
# Species
#	Species_Name:  Porites sp.
#	Common_Name: 
#------------------
# Chronology_Information
#	Chronology: 
# 
#----------------
# Variables 
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age	age, , ,years before 1950 AD, , , , ,N
##d18o	delta 18O, Porites sp., , per mil VPDB, , Corals and Sclerosponges, , ,N
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: NAN
#
age	d18o
1684.38	-4.79
1684.46	-4.86
1684.54	-4.80
1684.63	-4.83
1684.71	-4.78
1684.79	-4.73
1684.88	-4.66
1684.96	-4.70
1685.04	-4.41
1685.13	-4.50
1685.21	-4.52
1685.29	-4.52
1685.38	-4.74
1685.46	-4.75
1685.54	-4.77
1685.63	-4.62
1685.71	-4.65
1685.79	-4.61
1685.88	-4.42
1685.96	-4.50
1686.04	-4.22
1686.13	-4.65
1686.21	-4.61
1686.29	-4.76
1686.38	-4.73
1686.46	-4.78
1686.54	-4.81
1686.63	-4.80
1686.71	-4.75
1686.79	-4.70
1686.88	-4.65
1686.96	-4.64
1687.04	-4.61
1687.13	-4.65
1687.21	-4.66
1687.29	-4.73
1687.38	-4.77
1687.46	-4.69
1687.54	-4.76
1687.63	-4.78
1687.71	-4.74
1687.79	-4.75
1687.88	-4.66
1687.96	-4.53
1688.04	-4.39
1688.13	-4.46
1688.21	-4.52
1688.29	-4.53
1688.38	-4.47
1688.46	-4.53
1688.54	-4.56
1688.63	-4.40
1688.71	-4.42
1688.79	-4.34
1688.88	-4.47
1688.96	-4.41
1689.04	-4.29
1689.13	-4.65
1689.21	-4.71
1689.29	-4.62
1689.38	-4.75
1689.46	-4.60
1689.54	-4.55
1689.63	-4.62
1689.71	-4.48
1689.79	-4.54
1689.88	-4.46
1689.96	-4.53
1690.04	-4.37
1690.13	-4.48
1690.21	-4.60
1690.29	-4.62
1690.38	-4.62
1690.46	-4.53
1690.54	-4.63
1690.63	-4.59
1690.71	-4.54
1690.79	-4.45
1690.88	-4.62
1690.96	-4.45
1691.04	-4.35
1691.13	-4.38
1691.21	-4.51
1691.29	-4.56
1691.38	-4.65
1691.46	-4.73
1691.54	-4.78
1691.63	-4.74
1691.71	-4.67
1691.79	-4.66
1691.88	-4.56
1691.96	-4.57
1692.04	-4.37
1692.13	-4.51
1692.21	-4.49
1692.29	-4.20
1692.38	-4.61
1692.46	-4.69
1692.54	-4.64
1692.63	-4.60
1692.71	-4.64
1692.79	-4.61
1692.88	-4.57
1692.96	-4.46
1693.04	-4.39
1693.13	-4.45
1693.21	-4.57
1693.29	-4.51
1693.38	-4.37
1693.46	-4.60
1693.54	-4.60
1693.63	-4.62
1693.71	-4.59
1693.79	-4.61
1693.88	-4.37
1693.96	-4.44
1694.04	-4.38
1694.13	-4.39
1694.21	-4.49
1694.29	-4.37
1694.38	-4.50
1694.46	-4.63
1694.54	-4.63
1694.63	-4.58
1694.71	-4.53
1694.79	-4.43
1694.88	-4.36
1694.96	-4.44
1695.04	-4.39
1695.13	-4.40
1695.21	-4.52
1695.29	-4.35
1695.38	-4.49
1695.46	-4.54
1695.54	-4.51
1695.63	-4.54
1695.71	-4.59
1695.79	-4.39
1695.88	-4.51
1695.96	-4.47
1696.04	-4.45
1696.13	-4.53
1696.21	-4.45
1696.29	-4.58
1696.38	-4.51
1696.46	-4.65
1696.54	-4.49
1696.63	-4.57
1696.71	-4.67
1696.79	-4.56
1696.88	-4.59
1696.96	-4.48
1697.04	-4.33
1697.13	-4.38
1697.21	-4.39
1697.29	-4.41
1697.38	-4.41
1697.46	-4.19
1697.54	-4.32
1697.63	-4.48
1697.71	-4.39
1697.79	-4.41
1697.88	-4.16
1697.96	-4.10
1698.04	-4.06
1698.13	-4.20
1698.21	-4.31
1698.29	-4.31
1698.38	-4.26
1698.46	-4.41
1698.54	-4.54
1698.63	-4.56
1698.71	-4.39
1698.79	-4.37
1698.88	-4.48
1698.96	-4.34
1699.04	-4.25
1699.13	-4.38
1699.21	-4.31
1699.29	-4.23
1699.38	-4.47
1699.46	-4.56
1699.54	-4.43
1699.63	-4.46
1699.71	-4.46
1699.79	-4.33
1699.88	-4.20
1699.96	-4.17
1700.04	-4.02
1700.13	-4.38
1700.21	-4.38
1700.29	-4.37
1700.38	-4.33
1700.46	-4.28
1700.54	-4.22
1700.63	-4.23
1700.71	-4.23
1700.79	-4.24
1700.88	-4.25
1700.96	-4.28
1701.04	-4.02
1701.13	-4.32
1701.21	-4.52
1701.29	-4.40
1701.38	-4.36
1701.46	-4.44
1701.54	-4.42
1701.63	-4.36
1701.71	-4.33
1701.79	-4.32
1701.88	-4.38
1701.96	-4.36
1702.04	-4.02
1702.13	-4.35
1702.21	-4.48
1702.29	-4.54
1702.38	-4.38
1702.46	-4.60
1702.54	-4.45
1702.63	-4.27
1702.71	-4.25
1702.79	-4.33
1702.88	-4.42
1702.96	-4.16
1703.04	-3.95
1703.13	-4.36
1703.21	-4.70
1703.29	-4.76
1703.38	-4.69
1703.46	-4.72
1703.54	-4.60
1703.63	-4.73
1703.71	-4.68
1703.79	-4.53
1703.88	-4.66
1703.96	-4.42
1704.04	-4.18
1704.13	-4.44
1704.21	-4.61
