# Line Islands Modern and Fossil Coral d18O Data
#----------------------------------------------------------------------- 
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
# Online_Resource: https://www.ncdc.noaa.gov/study/13672
#
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/coral/east_pacific/line-islands2013.txt
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Corals and Sclerosponges
#--------------------
# Contribution_Date
#	Date: 2013-01-01
#--------------------
# Title
#	Study_Name: Line Islands Modern and Fossil Coral d18O Data
#--------------------
# Investigators
#       Investigators: Cobb, K.M.; Westphal, N.; Sayani, H.R.; Watson, J.T.; Di Lorenzo, E.; Cheng, H.; Edwards, R.L.; Charles, C.D.   
#--------------------
# Description_and_Notes
#	Description: 
#--------------------
# Publication 
#       Authors: Cobb, K.M.; Westphal, N.; Sayani, H.R.; Watson, J.T.; Di Lorenzo, E.; Cheng, H.; Edwards, R.L.; Charles, C.D.  
#       Published_Date_or_Year: 2013-01-04     
#       Published_Title: Highly Variable El Ni�o-Southern Oscillation Throughout the Holocene
#       Journal_Name: Science
#       Volume: 339
#       Edition: 
#       Issue: 6115
#       Pages: 67-70
#       DOI: 10.1126/science.1228246 
#       Online_Resource: 
#       Full_Citation: Cobb, K.M., N. Westphal, H.R. Sayani, J.T. Watson, E. Di Lorenzo, H. Cheng, R. L. Edwards, and C.D. Charles. 2013. Highly Variable El Niño-Southern Oscillation Throughout the Holocene. Science, Vol. 339, no. 6115, pp. 67-70, 4 January 2013. DOI: 10.1126/science.1228246 
#       Abstract: The El Ni�o-Southern Oscillation (ENSO) drives large changes in global  climate patterns from year to year, yet its sensitivity to continued  anthropogenic greenhouse forcing is uncertain. We analyzed fossil coral  reconstructions of ENSO spanning the past 7000 years from the Northern  Line Islands, located in the center of action for ENSO. The corals  document highly variable ENSO activity, with no evidence for a systematic  trend in ENSO variance, which is contrary to some models that exhibit  a response to insolation forcing over this same period. Twentieth-century  ENSO variance is significantly higher than average fossil coral ENSO  variance but is not unprecedented. Our results suggest that forced changes  in ENSO, whether natural or anthropogenic, may be difficult to detect  against a background of large internal variability. 
#--------------------
# Publication 
#       Authors: Zaunbracher, L.K.; Cobb, K.M.; Beck, J.W.; Charles, C.D.; Druffel, E.R.M. 
#       Published_Date_or_Year: 2010     
#       Published_Title: Coral records of central tropical Pacific radiocarbon variability  during the last millennium
#       Journal_Name: Paleoceanography
#       Volume: 25
#       Edition: 
#       Issue: PA4212
#       Pages: 
#       DOI: 10.1029/2009PA001788 
#       Online_Resource: 
#       Full_Citation: Zaunbrecher, L.K., K.M. Cobb, J.W. Beck, C.D. Charles, E.R.M. Druffel,  R.G. Fairbanks, S. Griffin, and H. Sayani.   2010.  Coral records of central tropical Pacific radiocarbon variability  during the last millennium.  Paleoceanography 25, PA4212, doi:10.1029/2009PA001788.
#       Abstract: 
#------------------
# Funding_Agency 
#       Funding_Agency_Name: US National Science Foundation (NSF) Division of Ocean Sciences 
#       Grant: 0752091
#------------------
# Funding_Agency 
#       Funding_Agency_Name: National Natural Science Foundation of China
#       Grant: 41230524
#------------------
# Funding_Agency 
#       Funding_Agency_Name: US National Science Foundation (NSF) Division of Atmospheric Sciences
#       Grant: 1103403
#------------------
# Funding_Agency 
#       Funding_Agency_Name: US Department of Energy (DOE)
#       Grant: DOE-SC0005597
#------------------
# Site_Information 
#       Site_Name: Kiritimati Island, Line Islands, Kiribati
#       Location: Ocean>Pacific Ocean>Central Pacific Ocean>Kiribati
#	Country: Republic of Kiribati
#	Northernmost_Latitude: 1.866667 
# 	Southernmost_Latitude: 1.866667 
# 	Easternmost_Longitude: 157.4 
# 	Westernmost_Longitude: 157.4 
# 	Elevation:   
#------------------
# Data_Collection   
#	Collection_Name: 13kiri02j
#	Earliest_Year: 4110
#	Most_Recent_Year: 3042
#	Time_Unit: cal yr BP 
#	Core_Length: 
#	Notes: Christmas fossil sample P34
#------------------
# Species
#	Species_Name:  Porites sp.
#	Common_Name: 
#------------------
# Chronology_Information
#	Chronology: 
# 
#----------------
# Variables 
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age	age, , ,years before 1950 AD, , , , ,N
##d18o	delta 18O, Porites sp., , per mil VPDB, , Corals and Sclerosponges, , ,N
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: NAN
#
age	d18o
4042.04	-4.32
4042.13	-4.48
4042.21	-4.49
4042.29	-4.45
4042.38	-4.41
4042.46	-4.38
4042.54	-4.35
4042.63	-4.35
4042.71	-4.38
4042.79	-4.37
4042.88	-4.34
4042.96	-4.29
4043.04	-4.27
4043.13	-4.41
4043.21	-4.52
4043.29	-4.43
4043.38	-4.47
4043.46	-4.51
4043.54	-4.44
4043.63	-4.36
4043.71	-4.44
4043.79	-4.25
4043.88	-4.28
4043.96	-4.28
4044.04	-4.28
4044.13	-4.24
4044.21	-4.28
4044.29	-4.25
4044.38	-4.30
4044.46	-4.28
4044.54	-4.35
4044.63	-4.43
4044.71	-4.39
4044.79	-4.40
4044.88	-4.45
4044.96	-4.35
4045.04	-4.16
4045.13	-4.17
4045.21	-4.21
4045.29	-4.27
4045.38	-4.25
4045.46	-4.23
4045.54	-4.20
4045.63	-4.24
4045.71	-4.23
4045.79	-4.14
4045.88	-4.18
4045.96	-4.14
4046.04	-4.00
4046.13	-4.09
4046.21	-4.16
4046.29	-4.21
4046.38	-4.34
4046.46	-4.32
4046.54	-4.29
4046.63	-4.29
4046.71	-4.26
4046.79	-4.30
4046.88	-4.22
4046.96	-4.10
4047.04	-4.03
4047.13	-4.15
4047.21	-4.12
4047.29	-4.14
4047.38	-4.15
4047.46	-3.98
4047.54	-4.21
4047.63	-4.22
4047.71	-4.20
4047.79	-4.07
4047.88	-4.15
4047.96	-4.13
4048.04	-3.98
4048.13	-4.03
4048.21	-4.01
4048.29	-4.33
4048.38	-4.23
4048.46	-4.23
4048.54	-4.13
4048.63	-4.02
4048.71	-4.05
4048.79	-3.99
4048.88	-3.92
4048.96	-3.92
4049.04	-3.86
4049.13	-4.01
4049.21	-4.20
4049.29	-4.25
4049.38	-4.25
4049.46	-4.21
4049.54	-4.19
4049.63	-4.17
4049.71	-4.15
4049.79	-4.15
4049.88	-4.13
4049.96	-4.01
4050.04	-4.05
4050.13	-4.17
4050.21	-4.14
4050.29	-4.12
4050.38	-4.20
4050.46	-4.30
4050.54	-4.27
4050.63	-4.42
4050.71	-4.40
4050.79	-4.20
4050.88	-4.22
4050.96	-4.30
4051.04	-4.22
4051.13	-4.26
4051.21	-4.29
4051.29	-4.37
4051.38	-4.50
4051.46	-4.54
4051.54	-4.26
4051.63	-4.28
4051.71	-4.26
4051.79	-4.21
4051.88	-4.21
4051.96	-4.20
4052.04	-4.16
4052.13	-4.22
4052.21	-4.19
4052.29	-4.18
4052.38	-4.20
4052.46	-4.20
4052.54	-4.24
4052.63	-4.14
4052.71	-4.25
4052.79	-4.31
4052.88	-4.29
4052.96	-4.26
4053.04	-4.17
4053.13	-4.19
4053.21	-4.21
4053.29	-4.23
4053.38	-4.21
4053.46	-4.04
4053.54	-4.11
4053.63	-4.31
4053.71	-4.31
4053.79	-4.48
4053.88	-4.35
4053.96	-4.06
4054.04	-3.85
4054.13	-4.00
4054.21	-4.13
4054.29	-4.04
4054.38	-4.25
4054.46	-4.10
4054.54	-4.26
4054.63	-4.20
4054.71	-4.07
4054.79	-4.08
4054.88	-4.12
4054.96	-4.03
4055.04	-3.85
4055.13	-3.99
4055.21	-3.83
4055.29	-3.93
4055.38	-4.01
4055.46	-4.03
4055.54	-4.09
4055.63	-4.17
4055.71	-4.20
4055.79	-4.16
4055.88	-4.11
4055.96	-3.98
4056.04	-3.86
4056.13	-3.96
4056.21	-3.99
4056.29	-3.94
4056.38	-4.05
4056.46	-4.23
4056.54	-4.24
4056.63	-4.28
4056.71	-4.29
4056.79	-4.14
4056.88	-4.16
4056.96	-4.12
4057.04	-4.06
4057.13	-4.14
4057.21	-4.27
4057.29	-4.37
4057.38	-4.32
4057.46	-4.25
4057.54	-4.32
4057.63	-4.32
4057.71	-4.34
4057.79	-4.29
4057.88	-4.13
4057.96	-3.93
4058.04	-3.81
4058.13	-4.06
4058.21	-4.16
4058.29	-4.17
4058.38	-4.25
4058.46	-4.15
4058.54	-4.13
4058.63	-4.19
4058.71	-4.23
4058.79	-4.41
4058.88	-4.42
4058.96	-4.38
4059.04	-3.91
4059.13	-4.13
4059.21	-4.03
4059.29	-4.01
4059.38	-4.12
4059.46	-4.17
4059.54	-4.18
4059.63	-4.15
4059.71	-4.27
4059.79	-4.09
4059.88	-4.22
4059.96	-4.11
4060.04	-4.01
4060.13	-4.12
4060.21	-4.24
4060.29	-4.36
4060.38	-4.21
4060.46	-4.33
4060.54	-4.33
4060.63	-4.29
4060.71	-4.19
4060.79	-4.11
4060.88	-4.01
4060.96	-3.89
4061.04	-3.76
4061.13	-3.84
4061.21	-3.92
4061.29	-4.07
4061.38	-4.03
4061.46	-3.95
4061.54	-3.76
4061.63	-3.79
4061.71	-3.90
4061.79	-3.89
4061.88	-3.90
4061.96	-3.93
4062.04	-3.86
4062.13	-3.90
4062.21	-3.88
4062.29	-3.99
4062.38	-4.03
4062.46	-3.90
4062.54	-3.87
4062.63	-4.01
4062.71	-3.91
4062.79	-3.98
4062.88	-4.09
4062.96	-4.08
4063.04	-3.88
4063.13	-4.07
4063.21	-4.29
4063.29	-4.41
4063.38	-4.17
4063.46	-4.42
4063.54	-4.44
4063.63	-4.49
4063.71	-4.47
4063.79	-4.24
4063.88	-4.21
4063.96	-4.19
4064.04	-4.07
4064.13	-4.17
4064.21	-4.22
4064.29	-4.25
4064.38	-4.10
4064.46	-4.00
4064.54	-4.32
4064.63	-4.24
4064.71	-4.24
4064.79	-4.31
4064.88	-4.44
4064.96	-4.43
4065.04	-4.34
4065.13	-4.39
4065.21	-4.39
4065.29	-4.46
4065.38	-4.49
4065.46	-4.50
4065.54	-4.40
4065.63	-4.43
4065.71	-4.63
4065.79	-4.46
4065.88	-4.28
4065.96	-4.13
4066.04	-3.99
4066.13	-4.15
4066.21	-4.26
4066.29	-4.21
4066.38	-4.21
4066.46	-4.23
4066.54	-4.26
4066.63	-4.23
4066.71	-4.26
4066.79	-4.45
4066.88	-4.37
4066.96	-4.39
4067.04	-4.21
4067.13	-4.32
4067.21	-4.39
4067.29	-4.41
4067.38	-4.31
4067.46	-4.41
4067.54	-4.51
4067.63	-4.28
4067.71	-4.35
4067.79	-4.26
4067.88	-4.08
4067.96	-4.09
4068.04	-4.02
4068.13	-4.11
4068.21	-4.17
4068.29	-4.16
4068.38	-4.23
4068.46	-4.33
4068.54	-4.19
4068.63	-4.31
4068.71	-4.31
4068.79	-4.22
4068.88	-4.06
4068.96	-4.18
4069.04	-4.09
4069.13	-4.15
4069.21	-4.17
4069.29	-4.21
4069.38	-4.33
4069.46	-4.37
4069.54	-4.29
4069.63	-4.21
4069.71	-4.36
4069.79	-4.36
4069.88	-4.23
4069.96	-4.34
4070.04	-4.08
4070.13	-4.27
4070.21	-4.19
4070.29	-4.27
4070.38	-4.34
4070.46	-4.33
4070.54	-4.25
4070.63	-4.16
4070.71	-4.18
4070.79	-4.37
4070.88	-4.37
4070.96	-4.21
4071.04	-4.25
4071.13	-4.35
4071.21	-4.32
4071.29	-4.31
4071.38	-4.24
4071.46	-4.48
4071.54	-4.42
4071.63	-4.56
4071.71	-4.47
4071.79	-4.41
4071.88	-4.33
4071.96	-4.22
4072.04	-4.03
4072.13	-4.22
4072.21	-4.34
4072.29	-4.38
4072.38	-4.22
4072.46	-4.41
4072.54	-4.24
4072.63	-4.30
4072.71	-4.35
4072.79	-4.28
4072.88	-4.26
4072.96	-4.28
4073.04	-4.15
4073.13	-4.19
4073.21	-4.23
4073.29	-4.21
4073.38	-4.17
4073.46	-4.17
4073.54	-4.31
4073.63	-4.28
4073.71	-4.35
4073.79	-4.32
4073.88	-4.30
4073.96	-4.35
4074.04	-4.23
4074.13	-4.31
4074.21	-4.26
4074.29	-4.39
4074.38	-4.49
4074.46	-4.48
4074.54	-4.41
4074.63	-4.42
4074.71	-4.41
4074.79	-4.46
4074.88	-4.41
4074.96	-4.31
4075.04	-4.22
4075.13	-4.28
4075.21	-4.34
4075.29	-4.37
4075.38	-4.40
4075.46	-4.41
4075.54	-4.37
4075.63	-4.38
4075.71	-4.40
4075.79	-4.25
4075.88	-4.29
4075.96	-4.33
4076.04	-4.28
4076.13	-4.30
4076.21	-4.36
4076.29	-4.33
4076.38	-4.40
4076.46	-4.37
4076.54	-4.46
4076.63	-4.36
4076.71	-4.35
4076.79	-4.36
4076.88	-4.40
4076.96	-4.41
4077.04	-4.40
4077.13	-4.48
4077.21	-4.40
4077.29	-4.42
4077.38	-4.42
4077.46	-4.42
4077.54	-4.56
4077.63	-4.58
4077.71	-4.72
4077.79	-4.70
4077.88	-4.75
4077.96	-4.57
4078.04	-4.42
4078.13	-4.60
4078.21	-4.54
4078.29	-4.45
4078.38	-4.49
4078.46	-4.65
4078.54	-4.71
4078.63	-4.75
4078.71	-4.55
4078.79	-4.54
4078.88	-4.56
4078.96	-4.59
4079.04	-4.51
4079.13	-4.60
4079.21	-4.59
4079.29	-4.54
4079.38	-4.48
4079.46	-4.51
4079.54	-4.64
4079.63	-4.75
4079.71	-4.72
4079.79	-4.33
4079.88	-4.12
4079.96	-4.07
4080.04	-4.09
4080.13	-4.19
4080.21	-4.15
4080.29	-4.35
4080.38	-4.32
4080.46	-4.28
4080.54	-4.41
4080.63	-4.62
4080.71	-4.59
4080.79	-4.49
4080.88	-4.61
4080.96	-4.60
4081.04	-4.31
4081.13	-4.32
4081.21	-4.32
4081.29	-4.50
4081.38	-4.61
4081.46	-4.54
4081.54	-4.45
4081.63	-4.41
4081.71	-4.48
4081.79	-4.55
4081.88	-4.35
4081.96	-4.33
4082.04	-4.30
4082.13	-4.46
4082.21	-4.40
4082.29	-4.49
4082.38	-4.65
4082.46	-4.61
4082.54	-4.58
4082.63	-4.70
4082.71	-4.37
4082.79	-4.43
4082.88	-4.33
4082.96	-4.26
4083.04	-4.22
4083.13	-4.22
4083.21	-4.32
4083.29	-4.34
4083.38	-4.34
4083.46	-4.36
4083.54	-4.40
4083.63	-4.26
4083.71	-4.37
4083.79	-4.59
4083.88	-4.29
4083.96	-4.29
4084.04	-4.12
4084.13	-4.15
4084.21	-4.19
4084.29	-4.25
4084.38	-4.33
4084.46	-4.35
4084.54	-4.30
4084.63	-4.21
4084.71	-4.20
4084.79	-4.28
4084.88	-4.22
4084.96	-4.14
4085.04	-4.02
4085.13	-4.04
4085.21	-4.12
4085.29	-4.12
4085.38	-4.10
4085.46	-4.12
4085.54	-4.14
4085.63	-4.12
4085.71	-4.07
4085.79	-4.08
4085.88	-4.20
4085.96	-4.18
4086.04	-4.14
4086.13	-4.17
4086.21	-4.23
4086.29	-4.17
4086.38	-4.22
4086.46	-4.32
4086.54	-4.34
4086.63	-4.36
4086.71	-4.30
4086.79	-4.38
4086.88	-4.30
4086.96	-4.17
4087.04	-3.97
4087.13	-4.07
4087.21	-4.31
4087.29	-4.36
4087.38	-4.39
4087.46	-4.32
4087.54	-4.23
4087.63	-4.17
4087.71	-4.35
4087.79	-4.43
4087.88	-4.55
4087.96	-4.40
4088.04	-4.30
4088.13	-4.40
4088.21	-4.49
4088.29	-4.68
4088.38	-4.50
4088.46	-4.44
4088.54	-4.76
4088.63	-4.55
4088.71	-4.61
4088.79	-4.62
4088.88	-4.42
4088.96	-4.26
4089.04	-4.10
4089.13	-4.33
4089.21	-4.29
4089.29	-4.16
4089.38	-4.15
4089.46	-4.35
4089.54	-4.41
4089.63	-4.37
4089.71	-4.37
4089.79	-4.11
4089.88	-4.31
4089.96	-4.31
4090.04	-4.08
4090.13	-4.37
4090.21	-4.19
4090.29	-4.12
4090.38	-4.17
4090.46	-4.30
4090.54	-4.40
4090.63	-4.48
4090.71	-4.43
4090.79	-4.29
4090.88	-4.36
4090.96	-4.50
4091.04	-4.13
4091.13	-4.16
4091.21	-4.32
4091.29	-4.51
4091.38	-4.54
4091.46	-4.38
4091.54	-4.33
4091.63	-4.43
4091.71	-4.53
4091.79	-4.53
4091.88	-4.46
4091.96	-4.36
4092.04	-4.23
4092.13	-4.21
4092.21	-4.35
4092.29	-4.39
4092.38	-4.42
4092.46	-4.52
4092.54	-4.39
4092.63	-4.38
4092.71	-4.38
4092.79	-4.23
4092.88	-4.35
4092.96	-4.37
4093.04	-3.99
4093.13	-4.15
4093.21	-4.13
4093.29	-4.02
4093.38	-4.16
4093.46	-4.23
4093.54	-4.28
4093.63	-4.24
4093.71	-4.31
4093.79	-4.25
4093.88	-4.29
4093.96	-4.29
4094.04	-3.96
4094.13	-4.14
4094.21	-4.16
4094.29	-4.15
4094.38	-4.16
4094.46	-4.15
4094.54	-4.06
4094.63	-4.13
4094.71	-4.20
4094.79	-4.22
4094.88	-4.14
4094.96	-4.01
4095.04	-4.16
4095.13	-4.23
4095.21	-4.28
4095.29	-4.33
4095.38	-4.43
4095.46	-4.35
4095.54	-4.29
4095.63	-4.33
4095.71	-4.25
4095.79	-4.23
4095.88	-4.30
4095.96	-4.18
4096.04	-4.14
4096.13	-4.19
4096.21	-4.21
4096.29	-4.13
4096.38	-4.20
4096.46	-4.27
4096.54	-4.31
4096.63	-4.31
4096.71	-4.26
4096.79	-4.26
4096.88	-4.22
4096.96	-4.23
4097.04	-4.21
4097.13	-4.23
4097.21	-4.28
4097.29	-4.38
4097.38	-4.43
4097.46	-4.31
4097.54	-4.31
4097.63	-4.35
4097.71	-4.24
4097.79	-4.20
4097.88	-4.24
4097.96	-4.35
4098.04	-4.26
4098.13	-4.29
4098.21	-4.27
4098.29	-4.58
4098.38	-4.47
4098.46	-4.63
4098.54	-4.28
4098.63	-4.27
4098.71	-4.34
4098.79	-4.39
4098.88	-4.30
4098.96	-4.17
4099.04	-4.05
4099.13	-4.22
4099.21	-4.29
4099.29	-4.34
4099.38	-4.37
4099.46	-4.38
4099.54	-4.37
4099.63	-4.36
4099.71	-4.37
4099.79	-4.36
4099.88	-4.30
4099.96	-4.19
4100.04	-4.11
4100.13	-4.31
4100.21	-4.28
4100.29	-4.31
4100.38	-4.45
4100.46	-4.56
4100.54	-4.37
4100.63	-4.44
4100.71	-4.48
4100.79	-4.60
4100.88	-4.55
4100.96	-4.55
4101.04	-4.24
4101.13	-4.39
4101.21	-4.23
4101.29	-4.15
4101.38	-4.27
4101.46	-4.08
4101.54	-4.22
4101.63	-4.40
4101.71	-4.32
4101.79	-4.35
4101.88	-4.41
4101.96	-4.39
4102.04	-4.14
4102.13	-4.18
4102.21	-4.42
4102.29	-4.52
4102.38	-4.35
4102.46	-4.26
4102.54	-4.28
4102.63	-4.26
4102.71	-4.40
4102.79	-4.34
4102.88	-4.29
4102.96	-4.25
4103.04	-4.13
4103.13	-4.28
4103.21	-4.15
4103.29	-4.18
4103.38	-4.54
4103.46	-4.34
4103.54	-4.34
4103.63	-4.41
4103.71	-4.39
4103.79	-4.33
4103.88	-4.37
4103.96	-4.21
4104.04	-4.00
4104.13	-4.23
4104.21	-4.23
4104.29	-4.34
4104.38	-4.38
4104.46	-4.48
4104.54	-4.45
4104.63	-4.38
4104.71	-4.47
4104.79	-4.48
4104.88	-4.37
4104.96	-4.24
4105.04	-4.10
4105.13	-4.23
4105.21	-4.26
4105.29	-4.24
4105.38	-4.29
4105.46	-4.40
4105.54	-4.43
4105.63	-4.36
4105.71	-4.50
4105.79	-4.59
4105.88	-4.47
4105.96	-4.52
4106.04	-4.30
4106.13	-4.32
4106.21	-4.37
4106.29	-4.47
4106.38	-4.52
4106.46	-4.55
4106.54	-4.55
4106.63	-4.53
4106.71	-4.52
4106.79	-4.55
4106.88	-4.43
4106.96	-4.37
4107.04	-4.38
4107.13	-4.51
4107.21	-4.56
4107.29	-4.56
4107.38	-4.50
4107.46	-4.48
4107.54	-4.57
4107.63	-4.51
4107.71	-4.36
4107.79	-4.27
4107.88	-4.15
4107.96	-4.27
4108.04	-4.06
4108.13	-4.22
4108.21	-4.27
4108.29	-4.33
4108.38	-4.31
4108.46	-4.26
4108.54	-4.43
4108.63	-4.37
4108.71	-4.46
4108.79	-4.33
4108.88	-4.45
4108.96	-4.36
4109.04	-4.13
4109.13	-4.31
4109.21	-4.33
4109.29	-4.23
4109.38	-4.29
4109.46	-4.36
4109.54	-4.41
4109.63	-4.33
4109.71	-4.23
4109.79	-4.26
4109.88	-4.18
4109.96	-4.22
4110.04	-4.09
4110.13	-4.16
4110.21	-4.24
4110.29	-4.23
4110.38	-4.36
4110.46	-4.35
4110.54	-4.40
