# Line Islands Modern and Fossil Coral d18O Data
#----------------------------------------------------------------------- 
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
# Online_Resource: https://www.ncdc.noaa.gov/study/13672
#
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/coral/east_pacific/line-islands2013.txt
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Corals and Sclerosponges
#--------------------
# Contribution_Date
#	Date: 2013-01-01
#--------------------
# Title
#	Study_Name: Line Islands Modern and Fossil Coral d18O Data
#--------------------
# Investigators
#       Investigators: Cobb, K.M.; Westphal, N.; Sayani, H.R.; Watson, J.T.; Di Lorenzo, E.; Cheng, H.; Edwards, R.L.; Charles, C.D.   
#--------------------
# Description_and_Notes
#	Description: 
#--------------------
# Publication 
#       Authors: Cobb, K.M.; Westphal, N.; Sayani, H.R.; Watson, J.T.; Di Lorenzo, E.; Cheng, H.; Edwards, R.L.; Charles, C.D.  
#       Published_Date_or_Year: 2013-01-04     
#       Published_Title: Highly Variable El Ni�o-Southern Oscillation Throughout the Holocene
#       Journal_Name: Science
#       Volume: 339
#       Edition: 
#       Issue: 6115
#       Pages: 67-70
#       DOI: 10.1126/science.1228246 
#       Online_Resource: 
#       Full_Citation: Cobb, K.M., N. Westphal, H.R. Sayani, J.T. Watson, E. Di Lorenzo, H. Cheng, R. L. Edwards, and C.D. Charles. 2013. Highly Variable El Niño-Southern Oscillation Throughout the Holocene. Science, Vol. 339, no. 6115, pp. 67-70, 4 January 2013. DOI: 10.1126/science.1228246 
#       Abstract: The El Ni�o-Southern Oscillation (ENSO) drives large changes in global  climate patterns from year to year, yet its sensitivity to continued  anthropogenic greenhouse forcing is uncertain. We analyzed fossil coral  reconstructions of ENSO spanning the past 7000 years from the Northern  Line Islands, located in the center of action for ENSO. The corals  document highly variable ENSO activity, with no evidence for a systematic  trend in ENSO variance, which is contrary to some models that exhibit  a response to insolation forcing over this same period. Twentieth-century  ENSO variance is significantly higher than average fossil coral ENSO  variance but is not unprecedented. Our results suggest that forced changes  in ENSO, whether natural or anthropogenic, may be difficult to detect  against a background of large internal variability. 
#--------------------
# Publication 
#       Authors: Zaunbracher, L.K.; Cobb, K.M.; Beck, J.W.; Charles, C.D.; Druffel, E.R.M. 
#       Published_Date_or_Year: 2010     
#       Published_Title: Coral records of central tropical Pacific radiocarbon variability  during the last millennium
#       Journal_Name: Paleoceanography
#       Volume: 25
#       Edition: 
#       Issue: PA4212
#       Pages: 
#       DOI: 10.1029/2009PA001788 
#       Online_Resource: 
#       Full_Citation: Zaunbrecher, L.K., K.M. Cobb, J.W. Beck, C.D. Charles, E.R.M. Druffel,  R.G. Fairbanks, S. Griffin, and H. Sayani.   2010.  Coral records of central tropical Pacific radiocarbon variability  during the last millennium.  Paleoceanography 25, PA4212, doi:10.1029/2009PA001788.
#       Abstract: 
#------------------
# Funding_Agency 
#       Funding_Agency_Name: US National Science Foundation (NSF) Division of Ocean Sciences 
#       Grant: 0752091
#------------------
# Funding_Agency 
#       Funding_Agency_Name: National Natural Science Foundation of China
#       Grant: 41230524
#------------------
# Funding_Agency 
#       Funding_Agency_Name: US National Science Foundation (NSF) Division of Atmospheric Sciences
#       Grant: 1103403
#------------------
# Funding_Agency 
#       Funding_Agency_Name: US Department of Energy (DOE)
#       Grant: DOE-SC0005597
#------------------
# Site_Information 
#       Site_Name: Kiritimati Island, Line Islands, Kiribati
#       Location: Ocean>Pacific Ocean>Central Pacific Ocean>Kiribati
#	Country: Republic of Kiribati
#	Northernmost_Latitude: 1.866667 
# 	Southernmost_Latitude: 1.866667 
# 	Easternmost_Longitude: 157.4 
# 	Westernmost_Longitude: 157.4 
# 	Elevation:   
#------------------
# Data_Collection   
#	Collection_Name: 13kiri02k
#	Earliest_Year: 4977
#	Most_Recent_Year: 4941
#	Time_Unit: cal yr BP
#	Core_Length: 
#	Notes: Christmas fossil sample P382
#------------------
# Species
#	Species_Name:  Porites sp.
#	Common_Name: 
#------------------
# Chronology_Information
#	Chronology: 
# 
#----------------
# Variables 
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age	age, , ,years before 1950 AD, , , , ,N
##d18o	delta 18O, Porites sp., , per mil VPDB, , Corals and Sclerosponges, , ,N
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: NAN
#
age	d18o
4941.04	-3.66
4941.13	-3.69
4941.21	-3.66
4941.29	-3.62
4941.38	-3.59
4941.46	-3.60
4941.54	-3.62
4941.63	-3.61
4941.71	-3.55
4941.79	-3.49
4941.88	-3.43
4941.96	-3.43
4942.04	-3.50
4942.13	-3.54
4942.21	-3.53
4942.29	-3.50
4942.38	-3.48
4942.46	-3.46
4942.54	-3.45
4942.63	-3.43
4942.71	-3.41
4942.79	-3.39
4942.88	-3.37
4942.96	-3.38
4943.04	-3.40
4943.13	-3.37
4943.21	-3.35
4943.29	-3.39
4943.38	-3.41
4943.46	-3.37
4943.54	-3.40
4943.63	-3.45
4943.71	-3.52
4943.79	-3.50
4943.88	-3.37
4943.96	-3.31
4944.04	-3.33
4944.13	-3.35
4944.21	-3.37
4944.29	-3.39
4944.38	-3.41
4944.46	-3.43
4944.54	-3.44
4944.63	-3.43
4944.71	-3.42
4944.79	-3.31
4944.88	-3.20
4944.96	-3.17
4945.04	-3.23
4945.13	-3.29
4945.21	-3.38
4945.29	-3.48
4945.38	-3.51
4945.46	-3.50
4945.54	-3.50
4945.63	-3.50
4945.71	-3.50
4945.79	-3.41
4945.88	-3.31
4945.96	-3.26
4946.04	-3.25
4946.13	-3.25
4946.21	-3.26
4946.29	-3.25
4946.38	-3.23
4946.46	-3.22
4946.54	-3.21
4946.63	-3.25
4946.71	-3.33
4946.79	-3.31
4946.88	-3.23
4946.96	-3.27
4947.04	-3.42
4947.13	-3.60
4947.21	-3.55
4947.29	-3.63
4947.38	-3.61
4947.46	-3.66
4947.54	-3.62
4947.63	-3.46
4947.71	-3.54
4947.79	-3.29
4947.88	-3.41
4947.96	-3.52
4948.04	-3.63
4948.13	-3.63
4948.21	-3.63
4948.29	-3.65
4948.38	-3.71
4948.46	-3.80
4948.54	-3.82
4948.63	-3.86
4948.71	-3.88
4948.79	-3.82
4948.88	-3.76
4948.96	-3.78
4949.04	-3.82
4949.13	-3.70
4949.21	-3.62
4949.29	-3.62
4949.38	-3.87
4949.46	-3.81
4949.54	-3.67
4949.63	-3.58
4949.71	-3.54
4949.79	-3.58
4949.88	-3.64
4949.96	-3.62
4950.04	-3.60
4950.13	-3.58
4950.21	-3.57
4950.29	-3.58
4950.38	-3.60
4950.46	-3.58
4950.54	-3.52
4950.63	-3.47
4950.71	-3.41
4950.79	-3.36
4950.88	-3.31
4950.96	-3.33
4951.04	-3.42
4951.13	-3.52
4951.21	-3.61
4951.29	-3.64
4951.38	-3.62
4951.46	-3.61
4951.54	-3.63
4951.63	-3.69
4951.71	-3.81
4951.79	-3.80
4951.88	-3.68
4951.96	-3.66
4952.04	-3.77
4952.13	-3.85
4952.21	-3.88
4952.29	-3.78
4952.38	-3.73
4952.46	-3.82
4952.54	-3.86
4952.63	-3.85
4952.71	-3.81
4952.79	-3.75
4952.88	-3.70
4952.96	-3.67
4953.04	-3.70
4953.13	-3.82
4953.21	-3.90
4953.29	-3.97
4953.38	-3.99
4953.46	-3.96
4953.54	-3.87
4953.63	-3.77
4953.71	-3.84
4953.79	-3.82
4953.88	-3.66
4953.96	-3.59
4954.04	-3.71
4954.13	-3.84
4954.21	-3.85
4954.29	-3.77
4954.38	-3.76
4954.46	-3.81
4954.54	-3.84
4954.63	-3.82
4954.71	-3.79
4954.79	-3.80
4954.88	-3.82
4954.96	-3.89
4955.04	-3.94
4955.13	-3.83
4955.21	-3.77
4955.29	-3.85
4955.38	-3.93
4955.46	-4.04
4955.54	-4.14
4955.63	-4.14
4955.71	-4.09
4955.79	-4.04
4955.88	-3.99
4955.96	-4.05
4956.04	-4.18
4956.13	-4.22
4956.21	-4.16
4956.29	-4.06
4956.38	-3.99
4956.46	-3.98
4956.54	-3.99
4956.63	-4.02
4956.71	-4.10
4956.79	-4.12
4956.88	-4.06
4956.96	-3.90
4957.04	-3.84
4957.13	-4.03
4957.21	-4.12
4957.29	-4.01
4957.38	-3.97
4957.46	-4.00
4957.54	-4.01
4957.63	-4.00
4957.71	-3.96
4957.79	-3.86
4957.88	-3.69
4957.96	-3.61
4958.04	-3.68
4958.13	-3.76
4958.21	-3.82
4958.29	-3.85
4958.38	-3.83
4958.46	-3.80
4958.54	-3.77
4958.63	-3.77
4958.71	-3.76
4958.79	-3.70
4958.88	-3.55
4958.96	-3.59
4959.04	-3.74
4959.13	-3.84
4959.21	-3.85
4959.29	-3.84
4959.38	-3.82
4959.46	-3.80
4959.54	-3.80
4959.63	-3.84
4959.71	-3.83
4959.79	-3.78
4959.88	-3.72
4959.96	-3.68
4960.04	-3.71
4960.13	-3.80
4960.21	-3.78
4960.29	-3.86
4960.38	-3.95
4960.46	-3.99
4960.54	-4.00
4960.63	-4.05
4960.71	-4.08
4960.79	-3.98
4960.88	-3.73
4960.96	-3.76
4961.04	-3.89
4961.13	-3.88
4961.21	-3.98
4961.29	-4.10
4961.38	-4.06
4961.46	-4.08
4961.54	-4.13
4961.63	-4.17
4961.71	-4.06
4961.79	-3.92
4961.88	-3.84
4961.96	-3.90
4962.04	-3.97
4962.13	-3.98
4962.21	-3.95
4962.29	-3.92
4962.38	-3.99
4962.46	-4.24
4962.54	-4.31
4962.63	-4.25
4962.71	-4.13
4962.79	-3.98
4962.88	-3.86
4962.96	-3.70
4963.04	-3.77
4963.13	-3.87
4963.21	-3.92
4963.29	-3.94
4963.38	-3.91
4963.46	-4.01
4963.54	-3.99
4963.63	-3.99
4963.71	-3.97
4963.79	-3.91
4963.88	-3.70
4963.96	-3.71
4964.04	-3.90
4964.13	-3.90
4964.21	-3.84
4964.29	-3.78
4964.38	-3.72
4964.46	-3.66
4964.54	-3.68
4964.63	-3.71
4964.71	-3.75
4964.79	-3.74
4964.88	-3.63
4964.96	-3.57
4965.04	-3.69
4965.13	-4.02
4965.21	-4.02
4965.29	-3.98
4965.38	-3.94
4965.46	-3.89
