# Line Islands Modern and Fossil Coral d18O Data
#----------------------------------------------------------------------- 
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
# Online_Resource: https://www.ncdc.noaa.gov/study/13672
#
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/coral/east_pacific/line-islands2013.txt
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Corals and Sclerosponges
#--------------------
# Contribution_Date
#	Date: 2013-01-01
#--------------------
# Title
#	Study_Name: Line Islands Modern and Fossil Coral d18O Data
#--------------------
# Investigators
#       Investigators: Cobb, K.M.; Westphal, N.; Sayani, H.R.; Watson, J.T.; Di Lorenzo, E.; Cheng, H.; Edwards, R.L.; Charles, C.D.   
#--------------------
# Description_and_Notes
#	Description: 
#--------------------
# Publication 
#       Authors: Cobb, K.M.; Westphal, N.; Sayani, H.R.; Watson, J.T.; Di Lorenzo, E.; Cheng, H.; Edwards, R.L.; Charles, C.D.  
#       Published_Date_or_Year: 2013-01-04     
#       Published_Title: Highly Variable El Ni�o-Southern Oscillation Throughout the Holocene
#       Journal_Name: Science
#       Volume: 339
#       Edition: 
#       Issue: 6115
#       Pages: 67-70
#       DOI: 10.1126/science.1228246 
#       Online_Resource: 
#       Full_Citation: Cobb, K.M., N. Westphal, H.R. Sayani, J.T. Watson, E. Di Lorenzo, H. Cheng, R. L. Edwards, and C.D. Charles. 2013. Highly Variable El Niño-Southern Oscillation Throughout the Holocene. Science, Vol. 339, no. 6115, pp. 67-70, 4 January 2013. DOI: 10.1126/science.1228246 
#       Abstract: The El Ni�o-Southern Oscillation (ENSO) drives large changes in global  climate patterns from year to year, yet its sensitivity to continued  anthropogenic greenhouse forcing is uncertain. We analyzed fossil coral  reconstructions of ENSO spanning the past 7000 years from the Northern  Line Islands, located in the center of action for ENSO. The corals  document highly variable ENSO activity, with no evidence for a systematic  trend in ENSO variance, which is contrary to some models that exhibit  a response to insolation forcing over this same period. Twentieth-century  ENSO variance is significantly higher than average fossil coral ENSO  variance but is not unprecedented. Our results suggest that forced changes  in ENSO, whether natural or anthropogenic, may be difficult to detect  against a background of large internal variability. 
#--------------------
# Publication 
#       Authors: Zaunbracher, L.K.; Cobb, K.M.; Beck, J.W.; Charles, C.D.; Druffel, E.R.M. 
#       Published_Date_or_Year: 2010     
#       Published_Title: Coral records of central tropical Pacific radiocarbon variability  during the last millennium
#       Journal_Name: Paleoceanography
#       Volume: 25
#       Edition: 
#       Issue: PA4212
#       Pages: 
#       DOI: 10.1029/2009PA001788 
#       Online_Resource: 
#       Full_Citation: Zaunbrecher, L.K., K.M. Cobb, J.W. Beck, C.D. Charles, E.R.M. Druffel,  R.G. Fairbanks, S. Griffin, and H. Sayani.   2010.  Coral records of central tropical Pacific radiocarbon variability  during the last millennium.  Paleoceanography 25, PA4212, doi:10.1029/2009PA001788.
#       Abstract: 
#------------------
# Funding_Agency 
#       Funding_Agency_Name: US National Science Foundation (NSF) Division of Ocean Sciences 
#       Grant: 0752091
#------------------
# Funding_Agency 
#       Funding_Agency_Name: National Natural Science Foundation of China
#       Grant: 41230524
#------------------
# Funding_Agency 
#       Funding_Agency_Name: US National Science Foundation (NSF) Division of Atmospheric Sciences
#       Grant: 1103403
#------------------
# Funding_Agency 
#       Funding_Agency_Name: US Department of Energy (DOE)
#       Grant: DOE-SC0005597
#------------------
# Site_Information 
#       Site_Name: Kiritimati Island, Line Islands, Kiribati
#       Location: Ocean>Pacific Ocean>Central Pacific Ocean>Kiribati
#	Country: Republic of Kiribati
#	Northernmost_Latitude: 1.866667 
# 	Southernmost_Latitude: 1.866667 
# 	Easternmost_Longitude: 157.4 
# 	Westernmost_Longitude: 157.4 
# 	Elevation:   
#------------------
# Data_Collection   
#	Collection_Name: 13kiri02i
#	Earliest_Year: 3974
#	Most_Recent_Year: 3926
#	Time_Unit: cal yr BP
#	Core_Length: 
#	Notes: Christmas fossil sample P40
#------------------
# Species
#	Species_Name:  Porites sp.
#	Common_Name: 
#------------------
# Chronology_Information
#	Chronology: 
# 
#----------------
# Variables 
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age_AD	age, , ,years before 1950 AD, , , , ,N
##d18o	delta 18O, Porites sp., , per mil VPDB, , Corals and Sclerosponges, , ,N
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: NAN
#
age	d18o
3926.71	-4.52
3926.79	-4.43
3926.88	-4.35
3926.96	-4.27
3927.04	-4.21
3927.13	-4.44
3927.21	-4.56
3927.29	-4.53
3927.38	-4.43
3927.46	-4.39
3927.54	-4.34
3927.63	-4.37
3927.71	-4.32
3927.79	-4.31
3927.88	-4.33
3927.96	-4.34
3928.04	-4.27
3928.13	-4.42
3928.21	-4.48
3928.29	-4.48
3928.38	-4.42
3928.46	-4.32
3928.54	-4.24
3928.63	-4.47
3928.71	-4.46
3928.79	-4.38
3928.88	-4.32
3928.96	-4.32
3929.04	-4.27
3929.13	-4.35
3929.21	-4.44
3929.29	-4.55
3929.38	-4.58
3929.46	-4.57
3929.54	-4.53
3929.63	-4.47
3929.71	-4.45
3929.79	-4.51
3929.88	-4.39
3929.96	-4.33
3930.04	-4.35
3930.13	-4.38
3930.21	-4.36
3930.29	-4.46
3930.38	-4.51
3930.46	-4.39
3930.54	-4.46
3930.63	-4.25
3930.71	-4.02
3930.79	-4.08
3930.88	-4.17
3930.96	-4.13
3931.04	-4.06
3931.13	-4.17
3931.21	-4.26
3931.29	-4.29
3931.38	-4.24
3931.46	-4.15
3931.54	-4.30
3931.63	-4.45
3931.71	-4.40
3931.79	-4.36
3931.88	-4.41
3931.96	-4.44
3932.04	-4.32
3932.13	-4.31
3932.21	-4.33
3932.29	-4.35
3932.38	-4.37
3932.46	-4.28
3932.54	-4.35
3932.63	-4.41
3932.71	-4.35
3932.79	-4.50
3932.88	-4.41
3932.96	-4.24
3933.04	-4.15
3933.13	-4.41
3933.21	-4.44
3933.29	-4.37
3933.38	-4.26
3933.46	-4.25
3933.54	-4.30
3933.63	-4.37
3933.71	-4.45
3933.79	-4.47
3933.88	-4.49
3933.96	-4.33
3934.04	-4.25
3934.13	-4.32
3934.21	-4.33
3934.29	-4.34
3934.38	-4.33
3934.46	-4.25
3934.54	-4.33
3934.63	-4.47
3934.71	-4.47
3934.79	-4.49
3934.88	-4.37
3934.96	-4.25
3935.04	-4.12
3935.13	-4.42
3935.21	-4.43
3935.29	-4.38
3935.38	-4.34
3935.46	-4.32
3935.54	-4.33
3935.63	-4.46
3935.71	-4.53
3935.79	-4.55
3935.88	-4.53
3935.96	-4.48
3936.04	-4.28
3936.13	-4.36
3936.21	-4.53
3936.29	-4.50
3936.38	-4.56
3936.46	-4.53
3936.54	-4.51
3936.63	-4.61
3936.71	-4.62
3936.79	-4.57
3936.88	-4.44
3936.96	-4.38
3937.04	-4.28
3937.13	-4.44
3937.21	-4.57
3937.29	-4.44
3937.38	-4.39
3937.46	-4.37
3937.54	-4.61
3937.63	-4.45
3937.71	-4.35
3937.79	-4.37
3937.88	-4.27
3937.96	-4.26
3938.04	-4.15
3938.13	-4.22
3938.21	-4.23
3938.29	-4.28
3938.38	-4.35
3938.46	-4.48
3938.54	-4.55
3938.63	-4.49
3938.71	-4.35
3938.79	-4.32
3938.88	-4.33
3938.96	-4.31
3939.04	-4.29
3939.13	-4.27
3939.21	-4.36
3939.29	-4.43
3939.38	-4.46
3939.46	-4.49
3939.54	-4.47
3939.63	-4.52
3939.71	-4.48
3939.79	-4.48
3939.88	-4.44
3939.96	-4.44
3940.04	-4.39
3940.13	-4.46
3940.21	-4.53
3940.29	-4.56
3940.38	-4.55
3940.46	-4.56
3940.54	-4.59
3940.63	-4.54
3940.71	-4.47
3940.79	-4.56
3940.88	-4.67
3940.96	-4.57
3941.04	-4.48
3941.13	-4.65
3941.21	-4.68
3941.29	-4.71
3941.38	-4.70
3941.46	-4.62
3941.54	-4.85
3941.63	-4.68
3941.71	-4.64
3941.79	-4.58
3941.88	-4.64
3941.96	-4.57
3942.04	-4.51
3942.13	-4.67
3942.21	-4.58
3942.29	-4.62
3942.38	-4.71
3942.46	-4.76
3942.54	-4.79
3942.63	-4.83
3942.71	-4.80
3942.79	-4.73
3942.88	-4.63
3942.96	-4.54
3943.04	-4.52
3943.13	-4.61
3943.21	-4.61
3943.29	-4.67
3943.38	-4.70
3943.46	-4.75
3943.54	-4.62
3943.63	-4.72
3943.71	-4.53
3943.79	-4.75
3943.88	-4.61
3943.96	-4.48
3944.04	-4.41
3944.13	-4.60
3944.21	-4.49
3944.29	-4.43
3944.38	-4.42
3944.46	-4.38
3944.54	-4.20
3944.63	-4.36
3944.71	-4.23
3944.79	-4.30
3944.88	-4.34
3944.96	-4.36
3945.04	-4.21
3945.13	-4.27
3945.21	-4.33
3945.29	-4.26
3945.38	-4.17
3945.46	-4.22
3945.54	-4.37
3945.63	-4.18
3945.71	-4.15
3945.79	-4.23
3945.88	-4.25
3945.96	-4.12
3946.04	-4.02
3946.13	-4.06
3946.21	-4.15
3946.29	-4.23
3946.38	-4.33
3946.46	-4.38
3946.54	-4.34
