# Line Islands Modern and Fossil Coral d18O Data
#----------------------------------------------------------------------- 
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
# Online_Resource: https://www.ncdc.noaa.gov/study/13672
#
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/coral/east_pacific/line-islands2013.txt
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Corals and Sclerosponges
#--------------------
# Contribution_Date
#	Date: 2013-01-01
#--------------------
# Title
#	Study_Name: Line Islands Modern and Fossil Coral d18O Data
#--------------------
# Investigators
#       Investigators: Cobb, K.M.; Westphal, N.; Sayani, H.R.; Watson, J.T.; Di Lorenzo, E.; Cheng, H.; Edwards, R.L.; Charles, C.D.   
#--------------------
# Description_and_Notes
#	Description: 
#--------------------
# Publication 
#       Authors: Cobb, K.M.; Westphal, N.; Sayani, H.R.; Watson, J.T.; Di Lorenzo, E.; Cheng, H.; Edwards, R.L.; Charles, C.D.  
#       Published_Date_or_Year: 2013-01-04     
#       Published_Title: Highly Variable El Ni�o-Southern Oscillation Throughout the Holocene
#       Journal_Name: Science
#       Volume: 339
#       Edition: 
#       Issue: 6115
#       Pages: 67-70
#       DOI: 10.1126/science.1228246 
#       Online_Resource: 
#       Full_Citation: Cobb, K.M., N. Westphal, H.R. Sayani, J.T. Watson, E. Di Lorenzo, H. Cheng, R. L. Edwards, and C.D. Charles. 2013. Highly Variable El Niño-Southern Oscillation Throughout the Holocene. Science, Vol. 339, no. 6115, pp. 67-70, 4 January 2013. DOI: 10.1126/science.1228246 
#       Abstract: The El Ni�o-Southern Oscillation (ENSO) drives large changes in global  climate patterns from year to year, yet its sensitivity to continued  anthropogenic greenhouse forcing is uncertain. We analyzed fossil coral  reconstructions of ENSO spanning the past 7000 years from the Northern  Line Islands, located in the center of action for ENSO. The corals  document highly variable ENSO activity, with no evidence for a systematic  trend in ENSO variance, which is contrary to some models that exhibit  a response to insolation forcing over this same period. Twentieth-century  ENSO variance is significantly higher than average fossil coral ENSO  variance but is not unprecedented. Our results suggest that forced changes  in ENSO, whether natural or anthropogenic, may be difficult to detect  against a background of large internal variability. 
#--------------------
# Publication 
#       Authors: Zaunbracher, L.K.; Cobb, K.M.; Beck, J.W.; Charles, C.D.; Druffel, E.R.M. 
#       Published_Date_or_Year: 2010     
#       Published_Title: Coral records of central tropical Pacific radiocarbon variability  during the last millennium
#       Journal_Name: Paleoceanography
#       Volume: 25
#       Edition: 
#       Issue: PA4212
#       Pages: 
#       DOI: 10.1029/2009PA001788 
#       Online_Resource: 
#       Full_Citation: Zaunbrecher, L.K., K.M. Cobb, J.W. Beck, C.D. Charles, E.R.M. Druffel,  R.G. Fairbanks, S. Griffin, and H. Sayani.   2010.  Coral records of central tropical Pacific radiocarbon variability  during the last millennium.  Paleoceanography 25, PA4212, doi:10.1029/2009PA001788.
#       Abstract: 
#------------------
# Funding_Agency 
#       Funding_Agency_Name: US National Science Foundation (NSF) Division of Ocean Sciences 
#       Grant: 0752091
#------------------
# Funding_Agency 
#       Funding_Agency_Name: National Natural Science Foundation of China
#       Grant: 41230524
#------------------
# Funding_Agency 
#       Funding_Agency_Name: US National Science Foundation (NSF) Division of Atmospheric Sciences
#       Grant: 1103403
#------------------
# Funding_Agency 
#       Funding_Agency_Name: US Department of Energy (DOE)
#       Grant: DOE-SC0005597
#------------------
# Site_Information 
#       Site_Name: Kiritimati Island, Line Islands, Kiribati
#       Location: Ocean>Pacific Ocean>Central Pacific Ocean>Kiribati
#	Country: Republic of Kiribati
#	Northernmost_Latitude: 1.866667 
# 	Southernmost_Latitude: 1.866667 
# 	Easternmost_Longitude: 157.4 
# 	Westernmost_Longitude: 157.4 
# 	Elevation:   
#------------------
# Data_Collection   
#	Collection_Name: 13kiri02h
#	Earliest_Year: 3841
#	Most_Recent_Year: 3797
#	Time_Unit: cal yr BP
#	Core_Length: 
#	Notes: Christmas fossil sample P43
#------------------
# Species
#	Species_Name:  Porites sp.
#	Common_Name: 
#------------------
# Chronology_Information
#	Chronology: 
# 
#----------------
# Variables 
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age	age, , ,years before 1950 AD, , , , ,N
##d18o	delta 18O, Porites sp., , per mil VPDB, , Corals and Sclerosponges, , ,N
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: NAN
#
age	d18o
3797.88	-4.12
3797.96	-4.03
3798.04	-3.93
3798.13	-4.12
3798.21	-4.16
3798.29	-4.25
3798.38	-4.33
3798.46	-4.32
3798.54	-4.45
3798.63	-4.40
3798.71	-4.42
3798.79	-4.40
3798.88	-4.36
3798.96	-4.33
3799.04	-4.23
3799.13	-4.28
3799.21	-4.33
3799.29	-4.42
3799.38	-4.44
3799.46	-4.42
3799.54	-4.46
3799.63	-4.51
3799.71	-4.53
3799.79	-4.47
3799.88	-4.33
3799.96	-4.29
3800.04	-4.30
3800.13	-4.31
3800.21	-4.32
3800.29	-4.30
3800.38	-4.35
3800.46	-4.51
3800.54	-4.52
3800.63	-4.40
3800.71	-4.40
3800.79	-4.35
3800.88	-4.30
3800.96	-4.32
3801.04	-4.31
3801.13	-4.30
3801.21	-4.41
3801.29	-4.50
3801.38	-4.49
3801.46	-4.55
3801.54	-4.40
3801.63	-4.30
3801.71	-4.37
3801.79	-4.43
3801.88	-4.35
3801.96	-4.22
3802.04	-4.16
3802.13	-4.30
3802.21	-4.33
3802.29	-4.40
3802.38	-4.41
3802.46	-4.33
3802.54	-4.36
3802.63	-4.58
3802.71	-4.51
3802.79	-4.44
3802.88	-4.44
3802.96	-4.46
3803.04	-4.38
3803.13	-4.41
3803.21	-4.44
3803.29	-4.50
3803.38	-4.45
3803.46	-4.40
3803.54	-4.35
3803.63	-4.47
3803.71	-4.50
3803.79	-4.43
3803.88	-4.43
3803.96	-4.37
3804.04	-4.24
3804.13	-4.33
3804.21	-4.42
3804.29	-4.47
3804.38	-4.52
3804.46	-4.61
3804.54	-4.56
3804.63	-4.51
3804.71	-4.54
3804.79	-4.47
3804.88	-4.37
3804.96	-4.37
3805.04	-4.24
3805.13	-4.53
3805.21	-4.29
3805.29	-4.58
3805.38	-4.45
3805.46	-4.61
3805.54	-4.62
3805.63	-4.35
3805.71	-4.26
3805.79	-4.27
3805.88	-4.36
3805.96	-4.30
3806.04	-4.10
3806.13	-4.21
3806.21	-4.31
3806.29	-4.38
3806.38	-4.37
3806.46	-4.38
3806.54	-4.42
3806.63	-4.45
3806.71	-4.45
3806.79	-4.40
3806.88	-4.39
3806.96	-4.36
3807.04	-4.31
3807.13	-4.26
3807.21	-4.37
3807.29	-4.48
3807.38	-4.55
3807.46	-4.54
3807.54	-4.56
3807.63	-4.61
3807.71	-4.66
3807.79	-4.56
3807.88	-4.60
3807.96	-4.47
3808.04	-4.36
3808.13	-4.45
3808.21	-4.55
3808.29	-4.53
3808.38	-4.47
3808.46	-4.45
3808.54	-4.48
3808.63	-4.50
3808.71	-4.52
3808.79	-4.29
3808.88	-4.30
3808.96	-4.30
3809.04	-4.29
3809.13	-4.32
3809.21	-4.38
3809.29	-4.51
3809.38	-4.31
3809.46	-4.40
3809.54	-4.42
3809.63	-4.34
3809.71	-4.29
3809.79	-4.32
3809.88	-4.34
3809.96	-4.29
3810.04	-4.18
3810.13	-4.18
3810.21	-4.34
3810.29	-4.34
3810.38	-4.32
3810.46	-4.32
3810.54	-4.30
3810.63	-4.35
3810.71	-4.43
3810.79	-4.32
3810.88	-4.21
3810.96	-4.21
3811.04	-4.16
3811.13	-4.29
3811.21	-4.24
3811.29	-4.30
3811.38	-4.41
3811.46	-4.36
3811.54	-4.45
3811.63	-4.44
3811.71	-4.37
3811.79	-4.27
3811.88	-4.34
3811.96	-4.29
3812.04	-4.19
3812.13	-4.26
3812.21	-4.17
3812.29	-4.22
3812.38	-4.13
3812.46	-4.17
3812.54	-4.21
3812.63	-4.21
3812.71	-4.21
3812.79	-4.19
3812.88	-4.20
3812.96	-4.23
3813.04	-4.19
3813.13	-4.28
3813.21	-4.24
3813.29	-4.26
3813.38	-4.43
3813.46	-4.41
3813.54	-4.37
3813.63	-4.37
3813.71	-4.40
3813.79	-4.46
3813.88	-4.39
3813.96	-4.26
3814.04	-4.19
3814.13	-4.30
3814.21	-4.25
3814.29	-4.33
3814.38	-4.40
3814.46	-4.33
3814.54	-4.33
3814.63	-4.25
3814.71	-4.29
3814.79	-4.38
3814.88	-4.46
3814.96	-4.43
3815.04	-4.13
3815.13	-4.26
3815.21	-4.36
3815.29	-4.48
3815.38	-4.50
3815.46	-4.43
3815.54	-4.44
3815.63	-4.41
3815.71	-4.50
3815.79	-4.45
3815.88	-4.42
3815.96	-4.45
3816.04	-4.29
3816.13	-4.34
3816.21	-4.44
3816.29	-4.39
3816.38	-4.30
3816.46	-4.34
3816.54	-4.40
3816.63	-4.27
3816.71	-4.36
3816.79	-4.34
3816.88	-4.30
3816.96	-4.35
3817.04	-4.27
3817.13	-4.32
3817.21	-4.24
3817.29	-4.31
3817.38	-4.29
3817.46	-4.30
3817.54	-4.30
3817.63	-4.17
3817.71	-4.27
