# Urvina Bay Radiocarbon and Oxygen Isotope Data for 1939-1954
#-----------------------------------------------------------------------
#              World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                       NOAA Paleoclimatology Program 
#-----------------------------------------------------------------------
# NOTE: Please cite original publication, online resource and date accessed when using this data.
# If there is no publication information, please cite Investigator, title, online resource and date accessed.
#
# Online_Resource: http://www.ncdc.noaa.gov/paleo/study/16971
# Online_Resource: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/coral/east_pacific/druffel2014/druffel2014-d18o.txt
#
# Archive: Corals and Sclerosponges
#
#--------------------------------
# Contribution_Date
# Date: 2014-07-16
#--------------------------------
# Title:     Urvina Bay Radiocarbon and Oxygen Isotope Data for 1939-1954
#--------------------------------
# Investigators: Druffel, E.R.M.; Griffin, S.M.; Glynn, D.; Dunbar, R.B.; Mucciarone, D.; Toggweiler, J.R.
#--------------------
# Description and Notes: 
#   Description: Seasonal Delta14C and delta 18O measurements of Pavona clavus U-86 sequence, same as that used by Dunbar et al. 1994 (Paleoceanography) for annual delta18O record. Accelerator Mass Spectrometry was used to determine Delta14C values, and light isotope ratio mass spectrometry to determine d18O values.
#
#--------------------
# Publication 
#   Authors: Druffel, E.R.M., S.M. Griffin, D. Glynn, R.B. Dunbar, D. Mucciarone, and J.R. Toggweiler
#   Journal_Name: Geophysical Research Letters
#   Published_Title: Seasonal radiocarbon and oxygen isotopes in a Galapagos coral: Calibration with climate indices
#   Published_Date_or_Year: 2014
#   Volume: 41
#   Pages: 
#   DOI: 10.1002/2014GL060504
#   Abstract: We present seasonal D14C and d18O measurements from a Galapagos coral sequence that grew during the early 20th century. Our results show that both D14C and d18O values are correlated with sea surface temperature in the Ni�o 3.4 region and are indicators of El Ni�o/Southern Oscillation. There is a significant inverse correlation between D14C and d18O values when D14C is lagged by ~2 months, indicating that sea surface temperature changes precede upwelling changes at this eastern equatorial location. We find that cold season low D14C values were higher after the Pacific Decadal Oscillation (PDO) changed from a positive to a negative phase. Cold season high d18O values were significantly higher after the PDO shift, as well. These findings suggest that there are two sources of low D14C waters that upwell at the Galapagos, Subantarctic Mode Water and shallow overturning water from the subpolar North Pacific.
#------------------------------
# Funding_Agency: 
#    Funding_Agency_Name:
#    Grant:
#--------------------------------
# Site Information: 
# Site_Name: Urvina Bay
# Location: Eastern Pacific Ocean > Galapagos Islands
#	Northernmost_Latitude:  -0.4 
# 	Southernmost_Latitude:  -0.4
# 	Easternmost_Longitude: -91.23
# 	Westernmost_Longitude: -91.23
# 	Elevation: 
#--------------------------------
# Data Collection 
# Collection_Name: UR-86 d18O Druffel14
# Oldest_Year: 1943
# Most_Recent_Year: 1954
# Time_Unit: AD
# Core_Length 
# Notes: 
#--------------------------------
# Species
#	Species_Name: Pavona clavus
#	Common_Name: 
#------------------
# Chronology    
#--------------------------------
# Variables    
# 
# Data variables follow (have double marker- "##")
# Data line variables format:  Variables list, one per line, shortname-tab-nine components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
## age_AD	age,,,Year AD,,,,,N
## d13Cp.clav	delta 13C,Pavona clavus,,per mil PDB,,corals and sclerosponges,,,N
## d18Op.clav	delta 18O,Pavona clavus,,per mil PDB,,corals and sclerosponges,,,N
# Data:
age_AD	d13Cp.clav	d18Op.clav
1943.00	-1.75	-3.91
1943.10	-1.84	-4.00
1943.20	-2.02	-4.12
1943.30	-1.88	-4.12
1943.40	-1.93	-4.24
1943.50	-1.53	-3.90
1943.60	-2.10	-3.86
1943.70	-1.78	-3.95
1943.80	-1.84	-3.79
1943.90	-1.60	-3.74
1944.00	-1.90	-3.85
1944.13	-2.02	-4.08
1944.25	-1.91	-4.33
1944.38	-1.88	-4.09
1944.50	-1.86	-4.11
1944.63	-1.88	-3.99
1944.75	-1.72	-4.10
1944.88	-1.87	-3.97
1945.00	-1.83	-4.02
1945.17	-1.72	-3.99
1945.33	-1.71	-4.14
1945.50	-1.86	-4.09
1945.67	-1.62	-3.85
1945.83	-1.34	-3.77
1946.00	-1.22	-3.83
1946.17	-1.28	-3.93
1946.33	-1.48	-4.14
1946.50	-1.46	-4.19
1946.67	-1.60	-4.30
1946.83	-1.68	-4.26
1947.00	-1.57	-3.77
1947.10	-1.43	-3.80
1947.20	-1.77	-3.97
1947.30	-1.72	-3.93
1947.40	-1.79	-4.07
1947.50	-1.89	-4.17
1947.60	-1.98	-4.23
1947.70	-1.87	-3.99
1947.80	-1.76	-3.97
1947.90	-1.34	-3.70
1948.00	-1.62	-3.79
1948.14	-1.81	-3.78
1948.29	-1.67	-3.90
1948.43	-1.78	-4.13
1948.57	-1.89	-4.28
1948.71	-1.78	-4.10
1948.86	-2.17	-3.94
1949.00	-2.64	-3.85
1949.11	-2.35	-3.55
1949.22	-2.28	-3.50
1949.33	-2.84	-3.55
1949.44	-2.72	-3.50
1949.56	-2.21	-3.49
1949.67	-2.75	-3.48
1949.78	-2.50	-3.60
1949.89	-2.45	-3.47
1950.00	-2.00	-3.41
1950.11	-2.61	-3.65
1950.22	-1.94	-3.62
1950.33	-1.65	-3.87
1950.44	-1.94	-4.05
1950.56	-2.11	-3.92
1950.67	-2.24	-4.12
1950.78	-1.92	-4.02
1950.89	-2.20	-4.31
1951.00	-2.28	-4.25
1951.08	-2.27	-3.91
1951.17	-2.50	-4.25
1951.25	-2.32	-4.07
1951.33	-2.51	-3.93
1951.42	-2.58	-4.03
1951.50	-2.66	-4.00
1951.58	-2.55	-4.08
1951.67	-2.08	-3.97
1951.75	-1.75	-3.79
1951.83	-1.72	-3.71
1951.92	-1.72	-3.51
1952.00	-1.86	-3.59
1952.13	-1.74	-3.61
1952.25	-1.93	-4.01
1952.38	-2.16	-3.84
1952.50	-2.48	-4.01
1952.63	-2.25	-4.13
1952.75	-1.99	-4.45
1952.88	-2.33	-4.37
1953.00	-2.13	-4.52
1953.20	-1.93	-4.15
1953.40	-1.11	-3.88
1953.60	-1.33	-3.97
1953.80	-1.43	-4.11
