# Seasonal Galapagos coral Delta14C, d18O and d13C values from 1602-1835 AD
#-----------------------------------------------------------------------
#              World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                       NOAA Paleoclimatology Program 
#-----------------------------------------------------------------------
# NOTE: Please cite original publication, online resource and date accessed when using this data.
# If there is no publication information, please cite Investigator, title, online resource and date accessed.
#
#  Online_Resource: http://www.ncdc.noaa.gov/paleo/study/ 
# Online_Resource: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/coral/east_pacific/druffel2015/druffel2015.txt
#
# Archive: Corals and Sclerosponges
#
#--------------------------------
# Contribution_Date
# Date: 2015-03-19
#--------------------------------
# Title:   Seasonal Galapagos coral D14C, d18O and d13C values from 1602-1835 AD
#--------------------------------
# Investigators: Druffel, E.R.M.; Griffin, S.; Vetter, D.; Dunbar, R.B.; Mucciarone, D.M.
#--------------------
# Description and Notes: 
#    Description: near-monthly measurements of D14C, d18O and d13C in the UR-18 coral collected from Urvina Bay in 1986. Precision on National Institute of Standards and Technology Standard Reference Materials 8544 and internal laboratory standards is better than 0.06‰ and 0.03‰ for d18O and d13C, respectively.
#     Total uncertainty of ?14C measurements was ±1.4‰. 
#--------------------
# Publication 
#   Authors: Druffel, E.R.M., S. Griffin, D. Vetter, R.B. Dunbar, and D.M. Mucciarone
#   Journal_Name: Geophysical Research Letters
#   Published_Title: Identification of frequent La Niña events during the early 1800s in the east equatorial Pacific
#   Published_Date_or_Year: 2015
#   Volume: 42
#   Pages: 
#   DOI: 10.1002/2014GL062997
#  Abstract: We report measurements of near monthly D14C and d18O during selected decades from an east equatorial Pacific coral that grew during the past four centuries. We find that El Niño events occurred regularly during the late 1700s. During the early 1800s, El Niño events occurred less often, and La Niña conditions prevailed, which were accompanied by unprecedented, low cool season ?14C values and high cool season d18O values. These results indicate that shallow overturning water (e.g., Central Mode Water) from the North Pacific was likely an important source of water to the Galapagos area during the early 1800s.
#--------------------------------
# Funding_Agency: 
#    Funding_Agency_Name:
#    Grant:
#--------------------------------
# Site Information: 
# Site_Name: Urvina Bay
# Location: Eastern Pacific Ocean 
#	Northernmost_Latitude:  -0.4
# 	Southernmost_Latitude:  -0.4
# 	Easternmost_Longitude: -91.3
# 	Westernmost_Longitude: -91.3
# 	Elevation: -4
#--------------------------------
# Data Collection 
# Collection_Name: Urvina Isotopes Druffel15
# Oldest_Year: 1602
# Most_Recent_Year: 1835
# Time_Unit: AD
# Core_Length: 
# Notes: Age in the data table is the sample midpoint age. 
#--------------------------------
# Chronology    
#--------------------------------
# Variables    
# 
# Data variables follow (have double marker- "##")
# Data line variables format:  Variables list, one per line, shortname-tab-nine components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
## age_AD	age,,,years AD,,,,,N
## D14Cp.clav	Delta14C,Pavona clavus,,per mil,,Coral,,analytical technique:accelerator mass spectrometry,N
## D14Cp.clav-cool	Delta14C,Pavona clavus,,per mil,cool season	Coral,,analytical technique:accelerator mass spectrometry,N
## D14Cp.clav-warm	Delta14C,Pavona clavus,,per mil,warm season	Coral,,analytical technique:accelerator mass spectrometry,N
## d13Cp.clav	delta 13C,Pavona clavus,,per mil PDB,,Coral,,analytical technique:accelerator mass spectrometry,N
## d18Op.clav	delta 18O,Pavona clavus,,per mil PDB,,Coral,,analytical technique:accelerator mass spectrometry,N
## d18Op.clav-cool	delta 18O,Pavona clavus,,per mil PDB,cool season,Coral,,analytical technique:accelerator mass spectrometry,N
## d18Op.clav-warm	delta 18O,Pavona clavus,,per mil PDB,warm season,Coral,,analytical technique:accelerator mass spectrometry,N
#-----------------------------------
# Data:
# Missing Value: -999
age_AD	D14Cp.clav	D14Cp.clav-cool	D14Cp.clav-warm	d13Cp.clav	d18Op.clav	d18Op.clav-cool	d18Op.clav-warm
1602.00	-66.6	-999	-999	-2.18	-3.64	-999	-999
1602.09	-69.4	-999	-999	-999	-3.65	-999	-999
1602.18	-70.9	-999	-999	-999	-3.67	-999	-999
1602.27	-72.7	-999	-999	-2.40	-3.68	-999	-999
1602.36	-65.1	-999	-999	-2.56	-3.69	-999	-999
1602.45	-64.0	-999	-999	-2.03	-3.66	-999	-999
1602.55	-58.0	-999	-999	-999	-3.70	-999	-999
1602.64	-59.3	-999	-999	-2.50	-3.75	-999	-999
1602.73	-57.1	-999	-999	-2.67	-3.77	-999	-999
1602.82	-61.0	-999	-999	-2.69	-3.82	-999	-999
1602.91	-65.9	-999	-999	-2.33	-3.79	-999	-999
1603.00	-66.7	-999	-999	-2.35	-3.83	-999	-999
1603.07	-71.9	-999	-999	-2.53	-3.68	-999	-999
1603.14	-67.3	-999	-999	-2.86	-3.70	-999	-999
1603.21	-63.0	-999	-999	-2.91	-3.90	-999	-999
1603.29	-61.5	-999	-999	-2.65	-3.96	-999	-999
1603.36	-57.8	-999	-999	-2.66	-3.71	-999	-999
1603.43	-56.9	-999	-999	-2.78	-3.66	-999	-999
1603.50	-59.0	-999	-999	-2.16	-3.70	-999	-999
1603.57	-66.3	-999	-999	-2.24	-3.56	-999	-999
1603.64	-68.4	-999	-999	-2.53	-3.68	-999	-999
1603.71	-67.9	-999	-999	-2.68	-3.73	-999	-999
1603.79	-65.3	-999	-999	-2.73	-3.90	-999	-999
1603.86	-64.3	-999	-999	-3.04	-3.89	-999	-999
1603.93	-64.1	-999	-999	-3.24	-4.24	-999	-999
1604.00	-57.5	-999	-999	-3.11	-4.07	-999	-999
1604.10	-55.9	-999	-999	-2.58	-4.08	-999	-999
1604.20	-58.4	-999	-999	-1.78	-4.07	-999	-999
1604.30	-57.9	-999	-999	-2.30	-4.12	-999	-999
1604.40	-59.0	-999	-999	-2.25	-4.13	-999	-999
1604.50	-58.8	-999	-999	-2.36	-3.97	-999	-999
1604.60	-61.0	-999	-999	-999	-3.93	-999	-999
1604.70	-59.7	-999	-999	-2.80	-3.89	-999	-999
1604.80	-64.2	-999	-999	-2.74	-3.88	-999	-999
1604.90	-65.6	-999	-999	-2.78	-3.94	-999	-999
1605.00	-65.5	-999	-999	-3.06	-3.95	-999	-999
1605.08	-64.9	-999	-999	-3.07	-3.81	-999	-999
1605.17	-61.9	-999	-999	-2.66	-3.93	-999	-999
1605.25	-61.5	-999	-999	-2.59	-4.08	-999	-999
1605.33	-64.2	-999	-999	-2.27	-4.05	-999	-999
1605.42	-65.6	-999	-999	-2.29	-3.79	-999	-999
1605.50	-67.8	-999	-999	-2.12	-3.76	-999	-999
1605.58	-66.0	-999	-999	-2.16	-3.58	-999	-999
1605.67	-67.1	-999	-999	-2.46	-3.63	-999	-999
1605.75	-68.4	-999	-999	-2.54	-3.49	-999	-999
1605.83	-72.4	-999	-999	-2.42	-3.65	-999	-999
1605.92	-74.3	-999	-999	-2.19	-3.58	-999	-999
1606.00	-75.2	-999	-999	-2.23	-3.84	-999	-999
1606.08	-73.5	-999	-999	-2.32	-3.76	-999	-999
1606.15	-66.7	-999	-999	-2.71	-3.74	-999	-999
1606.23	-61.7	-999	-999	-2.21	-3.90	-999	-999
1606.31	-62.7	-999	-999	-2.07	-3.86	-999	-999
1606.38	-60.0	-999	-999	-2.19	-3.80	-999	-999
1606.46	-59.1	-999	-999	-2.22	-3.86	-999	-999
1606.54	-56.8	-999	-999	-2.25	-3.68	-999	-999
1606.62	-57.4	-999	-999	-2.16	-3.73	-999	-999
1606.69	-59.8	-999	-999	-1.90	-3.72	-999	-999
1606.77	-61.7	-999	-999	-2.14	-3.83	-999	-999
1606.85	-60.4	-999	-999	-1.97	-3.76	-999	-999
