# Kiritimati Island 2015/16 El Nino Coral and Seawater Oxygen Isotope Data 
#----------------------------------------------------------------------- 
#                World Data Service for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------------------------- 
# Template Version 3.0
# Encoding: UTF-8
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
# Online_Resource: https://www.ncdc.noaa.gov/paleo/study/28291
#       Description: NOAA Landing Page
# Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/coral/east_pacific/kiritimati2021coral-d18o.txt
#       Description: NOAA location of the template
#
# Original_Source_URL: 
#       Description:
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Data_Type: Corals and Sclerosponges
#
# Dataset_DOI: 
#
# Parameter_Keywords: oxygen isotopes
#--------------------
# Contribution_Date
#	Date: 2021-04-24
#--------------------
# File_Last_Modified_Date
#	Date: 2021-04-24
#--------------------
# Title
#	Study_Name: Kiritimati Island 2015/16 El Nino Coral and Seawater Oxygen Isotope Data 
#--------------------
# Investigators
#	Investigators: O'Connor, G.K.; Cobb, K.M.; Sayani, H.R.; Atwood, A.T.; Grothe, P.R.; Stevenson, S.; Baum, J.K.; Chen, T.; Claar, D.C.; Hitt, N.T.; Lynch-Stieglitz, J.; Schmidt, G.A.; Walter, R.
#--------------------
# Description_Notes_and_Keywords
#	Description: This dataset contains modern coral oxygen isotope (d18O) data from Kiritimati Island covering the 2015/16 El Nino Event, plus in situ logger data (sea surface temperature and salinity) as well as in situ seawater bottle sample data (salinity and d18O).  
#--------------------
# Publication 
#	Authors: O'Connor, G.K., Cobb, K.M., Sayani, H.R., Atwood, A.T., Grothe, P.R., Stevenson, S., Baum, J.K., Chen, T., Claar, D.C., Hitt, N.T., Lynch-Stieglitz, J., Schmidt, G.A., Walter, R.
#	Published_Date_or_Year: 2021 submitted    
#	Published_Title: Coral oxygen isotope and in situ records capture the 2015/2016 El Nino event in the central equatorial Pacific
#	Journal_Name: Geophysical Research Letters
#	Volume: 
#	Edition: 
#	Issue: 
#	Pages:
#	Report_Number: 
#	DOI: 
#	Online_Resource: 
#	Full_Citation: 
#	Abstract: Coral oxygen isotopes (d18O) from the central equatorial Pacific provide monthly-resolved records of El Nino-Southern Oscillation (ENSO) activity over past centuries to millennia. However, calibration studies using in situ data to assess the relative contributions of warming and freshening to coral d18O records are exceedingly rare. Furthermore, the fidelity of coral d18O records under the most severe thermal stress events is difficult to assess. Here, we present six coral d18O records and in situ temperature, salinity, and seawater d18O data from Kiritimati Island (2N, 157W) spanning the very strong 2015/16 El Nino event. Local sea surface temperature (SST) anomalies of +2.4+/-0.4C and seawater d18O anomalies of -0.19+/-0.02 per mil contribute to the observed coral d18O anomalies of -0.58+/-0.05 per mil, consistent with a ~70% contribution from SST and ~30% from seawater d18O. Our results demonstrate that Kiritimati coral d18O records can provide reliable reconstructions even during the largest class of El Nino events.
#------------------
# Funding_Agency 
#	Funding_Agency_Name: US National Science Foundation
#	Grant: 1502832, 1658182, 1635068, 1836645, 1446343, 1446274 
#------------------
# Site_Information 
#	Site_Name: Kiritimati Island
#	Location: Ocean>Pacific Ocean>Central Pacific Ocean>Kiribati
#	Country:  Republic of Kiribati
#	Northernmost_Latitude:  1.93
# 	Southernmost_Latitude:  1.93
# 	Easternmost_Longitude:  -157.48
# 	Westernmost_Longitude:  -157.48
# 	Elevation:  -4
#------------------
# Data_Collection   
#	Collection_Name: Kiritimati2021coral-d18O
#	Earliest_Year: 2006
#	Most_Recent_Year: 2016
#	Time_Unit: Year CE
#	Core_Length: 0.061 to 0.168 m
#	Notes: 2015 El Nino Kiritimati coral data
#------------------
# Chronology_Information
#	Chronology: 
#   Coral Name	IGSN	Age	Length (m)
#   X16A-D1	IECXI000B	2012-2015		0.070
#   X16A-D2	IECXI000C	2012-2016		0.061
#   X16C-D3	IECXI000D	2012-2016		0.072
#   X16C-D4	IECXI000E	2012-2016		0.067
#   X16C-D5	IECXI000F	2011-2016		0.069
#   X16C-D10	IECXI000G	2006-2016		0.168
# 	
#----------------	
# Variables 
#
# Data variables follow are preceded by "##" in columns one and two.
# Data line variables format:  one per line, shortname-tab-variable components (what, material, error, units, seasonality, data type,detail, method, C or N for Character or Numeric data, free text) 
#
## sample	sample identification, , , , , corals and sclerosponges, , ,C,
## age_CE	age, , , year Common Era, , corals and sclerosponges, , ,N,
## d18O_raw	delta 18O,Porites sp., ,per mil VPDB, ,corals and sclerosponges,,isotope ratio mass spectrometry,N,	
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing_Values: 
#
sample	age_CE	d18O
X16A-D1	2015.875	-5.521
X16A-D1	2015.792	-5.571
X16A-D1	2015.708	-5.47
X16A-D1	2015.625	-5.559
X16A-D1	2015.542	-5.577
X16A-D1	2015.458	-5.504
X16A-D1	2015.375	-5.317
X16A-D1	2015.292	-5.205
X16A-D1	2015.208	-5.054
X16A-D1	2015.125	-5.139
X16A-D1	2015.042	-5.015
X16A-D1	2014.958	-5.153
X16A-D1	2014.875	-5.086
X16A-D1	2014.792	-5.203
X16A-D1	2014.708	-5.231
X16A-D1	2014.625	-5.286
X16A-D1	2014.542	-5.258
X16A-D1	2014.458	-5.316
X16A-D1	2014.375	-5.278
X16A-D1	2014.292	-5.189
X16A-D1	2014.208	-5.082
X16A-D1	2014.125	-5.012
X16A-D1	2014.042	-4.763
X16A-D1	2013.958	-4.989
X16A-D1	2013.875	-4.975
X16A-D1	2013.792	-4.885
X16A-D1	2013.708	-5.046
X16A-D1	2013.625	-5.08
X16A-D1	2013.542	-5.097
X16A-D1	2013.458	-5.085
X16A-D1	2013.375	-5.229
X16A-D1	2013.292	-5.128
X16A-D1	2013.208	-4.977
X16A-D1	2013.125	-4.861
X16A-D1	2013.042	-4.854
X16A-D1	2012.958	-4.958
X16A-D1	2012.875	-4.936
X16A-D1	2012.792	-5.156
X16A-D1	2012.708	-5.004
X16A-D1	2012.625	-5.017
X16A-D1	2012.542	-5.067
X16A-D1	2012.458	-5.118
X16A-D2	2016.375	-5.368
X16A-D2	2016.292	-5.412
X16A-D2	2016.208	-5.434
X16A-D2	2016.125	-5.433
X16A-D2	2016.042	-5.456
X16A-D2	2015.958	-5.5
X16A-D2	2015.875	-5.564
X16A-D2	2015.792	-5.417
X16A-D2	2015.708	-5.409
X16A-D2	2015.625	-5.412
X16A-D2	2015.542	-5.347
X16A-D2	2015.458	-5.179
X16A-D2	2015.375	-5.096
X16A-D2	2015.292	-5.15
X16A-D2	2015.208	-5.121
X16A-D2	2015.125	-5.058
X16A-D2	2015.042	-5.027
X16A-D2	2014.958	-5.137
X16A-D2	2014.875	-5.144
X16A-D2	2014.792	-5.118
X16A-D2	2014.708	-5.129
X16A-D2	2014.625	-5.084
X16A-D2	2014.542	-4.975
X16A-D2	2014.458	-5.096
X16A-D2	2014.375	-5.031
X16A-D2	2014.292	-4.981
X16A-D2	2014.208	-4.778
X16A-D2	2014.125	-4.783
X16A-D2	2014.042	-4.878
X16A-D2	2013.958	-4.795
X16A-D2	2013.875	-4.998
X16A-D2	2013.792	-4.9
X16A-D2	2013.708	-4.944
X16A-D2	2013.625	-4.914
X16A-D2	2013.542	-4.976
X16A-D2	2013.458	-4.994
X16A-D2	2013.375	-4.972
X16A-D2	2013.292	-4.937
X16A-D2	2013.208	-4.884
X16A-D2	2013.125	-4.887
X16A-D2	2013.042	-4.8
X16A-D2	2012.958	-4.915
X16A-D2	2012.875	-4.967
X16A-D2	2012.792	-4.93
X16A-D2	2012.708	-4.914
X16A-D2	2012.625	-5.195
X16A-D2	2012.542	-5.095
X16C-D3	2016.875	-5.148
X16C-D3	2016.792	-5.032
X16C-D3	2016.708	-5.01
X16C-D3	2016.625	-5.139
X16C-D3	2016.542	-5.105
X16C-D3	2016.458	-5.179
X16C-D3	2016.375	-5.303
X16C-D3	2016.292	-5.333
X16C-D3	2016.208	-5.258
X16C-D3	2016.125	-5.253
X16C-D3	2016.042	-5.601
X16C-D3	2015.958	-5.706
X16C-D3	2015.875	-5.954
X16C-D3	2015.792	-5.601
X16C-D3	2015.708	-5.51
X16C-D3	2015.625	-5.552
X16C-D3	2015.542	-5.217
X16C-D3	2015.458	-5.264
X16C-D3	2015.375	-5.328
X16C-D3	2015.292	-5.058
X16C-D3	2015.208	-5.047
X16C-D3	2015.125	-5.026
X16C-D3	2015.042	-4.937
X16C-D3	2014.958	-5.105
X16C-D3	2014.875	-5.128
X16C-D3	2014.792	-5.033
X16C-D3	2014.708	-5.143
X16C-D3	2014.625	-5.148
X16C-D3	2014.542	-5.066
X16C-D3	2014.458	-5.15
X16C-D3	2014.375	-5.159
X16C-D3	2014.292	-5.091
X16C-D3	2014.208	-5.111
X16C-D3	2014.125	-4.841
X16C-D3	2014.042	-4.941
X16C-D3	2013.958	-4.9
X16C-D3	2013.875	-5.136
X16C-D3	2013.792	-4.965
X16C-D3	2013.708	-4.9
X16C-D3	2013.625	-4.923
X16C-D3	2013.542	-5.055
X16C-D3	2013.458	-5.085
X16C-D3	2013.375	-5.029
X16C-D3	2013.292	-4.97
X16C-D3	2013.208	-5.106
X16C-D3	2013.125	-4.886
X16C-D3	2013.042	-4.848
X16C-D3	2012.958	-5.003
X16C-D3	2012.875	-5.069
X16C-D3	2012.792	-4.949
X16C-D3	2012.708	-4.908
X16C-D3	2012.625	-5.237
