# Palmyra 860 Year Modern and Fossil Coral Oxygen Isotope Data
#----------------------------------------------------------------------- 
#                World Data Service for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------------------------- 
# Template Version 3.0
# Encoding: UTF-8
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
# Online_Resource: https://www.ncdc.noaa.gov/paleo/study/27490
#       Description: NOAA Landing Page
# Online_Resource: https://www1.ncdc.noaa.gov/pub/data/paleo/coral/east_pacific/palmyra2020d18o.txt
#       Description: NOAA location of the template
#
# Original_Source_URL:  
#       Description:
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Corals and Sclerosponges
#
# Dataset DOI: 
#
# Parameter_Keywords: oxygen isotopes
#--------------------
# Contribution_Date
#	Date: 2020-03-25
#--------------------
# File_Last_Modified_Date
#	Date: 2020-03-25
#--------------------
# Title
#	Study_Name: Palmyra 860 Year Modern and Fossil Coral Oxygen Isotope Data 
#--------------------
# Investigators
#	Investigators: Dee, S.G.; Cobb, K.M.; Emile-Geay, J.; Ault, T.R.; Edwards, R.L.; Cheng, H.; Charles, C.D.
#--------------------
# Description_Notes_and_Keywords
#	Description: Monthly-resolved coral aragonite oxygen isotope (d18O) record from Palmyra Island.  
#	The coral was drilled in ~30' of water from the reef flat extending off the west side of the island.  
#	The data used in the study are annually averaged (July-June) composites of the monthly d18O spanning the period 1146-1998.
#--------------------
# Publication 
#	Authors: Sylvia G. Dee, Kim M. Cobb, Julien Emile-Geay, Toby R. Ault, R. Lawrence Edwards, Hai Cheng, Christopher D. Charles
#	Published_Date_or_Year: 2020-03-27     
#	Published_Title: No consistent ENSO response to volcanic forcing over the last millennium
#	Journal_Name: Science
#	Volume: 367
#	Edition: 
#	Issue: 6485
#	Pages: 1477-1481
#	Report_Number: 
#	DOI: 10.1126/science.aax2000 
#	Online_Resource: https://science.sciencemag.org/content/367/6485/1477
#	Full_Citation: 
#	Abstract: The El Nino-Southern Oscillation (ENSO) shapes global climate patterns yet its sensitivity to external climate forcing remains uncertain. Modeling studies suggest that ENSO is sensitive to sulfate aerosol forcing associated with explosive volcanism but observational support for this effect remains ambiguous. Here, we used absolutely dated fossil corals from the central tropical Pacific to gauge ENSO's response to large volcanic eruptions of the last millennium. Superposed epoch analysis reveals a weak tendency for an El Nino-like response in the year after an eruption, but this response is not statistically significant, nor does it appear after the outsized 1257 Samalas eruption. Our results suggest that those models showing a strong ENSO response to volcanic forcing may overestimate the size of the forced response relative to natural ENSO variability.
#------------------
# Funding_Agency 
#	Funding_Agency_Name: US National Science Foundation
#	Grant: MGG 0752091, 1502832, 1836645; EAR-1347213 
#------------------
# Site_Information 
#	Site_Name: Palmyra Atoll
#	Location: Ocean>Pacific Ocean>Central Pacific Ocean
#	Country:  
#	Northernmost_Latitude: 5.8664
# 	Southernmost_Latitude: 5.8664
# 	Easternmost_Longitude: -162.12
# 	Westernmost_Longitude: -162.12
# 	Elevation: -9
#------------------
# Data_Collection   
#	Collection_Name: Palmyra2020d18O
#	Earliest_Year: 1146
#	Most_Recent_Year: 2006
#	Time_Unit: Year CE
#	Core_Length: 
#	Notes: This record includes both modern and fossil corals at monthly resolution. 
#	10th-13th Century Piece: 1146-1464 CE.  16th Century Piece: 1635-1703 CE.  Modern Pieces: 1886-2006 CE
#------------------
# Species
#	Species_Name: Porites lutea
#	Common_Name: 
#------------------
# Chronology_Information
#	Chronology: See manuscript supplemental information
# 
#----------------	
# Variables 
#
# Data variables follow are preceded by "##" in columns one and two.
# Data line variables format:  one per line, shortname-tab-variable components (what, material, error, units, seasonality, data type,detail, method, C or N for Character or Numeric data, free text) 
#
## age	age, , , year Common Era, , corals and sclerosponges, , ,N,
## d18O	delta 18O, Porites lutea, , per mil VPDB, ,corals and sclerosponges,,isotope ratio mass spectrometry,N, 
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values:  
#
age	d18O
1146.375	-4.749
1146.4583	-4.672
1146.5417	-4.724
1146.625	-4.717
1146.7083	-4.8947
1146.7917	-4.8053
1146.875	-4.845
1146.9583	-4.6743
1147.0417	-4.5723
1147.125	-4.645
1147.2083	-4.751
1147.2917	-4.8463
1147.375	-4.803
1147.4583	-4.816
1147.5417	-4.9593
1147.625	-4.992
1147.7083	-4.8587
1147.7917	-4.902
1147.875	-4.843
1147.9583	-4.728
1148.0417	-4.7271
1148.125	-4.725
1148.2083	-4.725
1148.2917	-4.6849
1148.375	-4.7133
1148.4583	-4.787
1148.5417	-4.7271
1148.625	-4.7986
1148.7083	-4.7858
1148.7917	-4.7152
1148.875	-4.6136
1148.9583	-4.5702
1149.0417	-4.5655
1149.125	-4.5863
1149.2083	-4.6537
1149.2917	-4.5953
1149.375	-4.6388
1149.4583	-4.6288
1149.5417	-4.5943
1149.625	-4.623
1149.7083	-4.6147
1149.7917	-4.5195
1149.875	-4.5218
1149.9583	-4.459
1150.0417	-4.4562
1150.125	-4.539
1150.2083	-4.5698
1150.2917	-4.6207
1150.375	-4.7385
1150.4583	-4.7482
1150.5417	-4.7065
1150.625	-4.715
1150.7083	-4.6707
1150.7917	-4.7082
1150.875	-4.61
1150.9583	-4.6013
1151.0417	-4.6543
1151.125	-4.6758
1151.2083	-4.6055
1151.2917	-4.6896
1151.375	-4.6794
1151.4583	-4.7269
1151.5417	-4.6224
1151.625	-4.6875
1151.7083	-4.5871
1151.7917	-4.5871
1151.875	-4.6265
1151.9583	-4.5934
1152.0417	-4.5552
1152.125	-4.5888
1152.2083	-4.608
1152.2917	-4.6849
1152.375	-4.6994
1152.4583	-4.6475
1152.5417	-4.6889
1152.625	-4.6682
1152.7083	-4.6311
1152.7917	-4.5493
1152.875	-4.5773
1152.9583	-4.4451
1153.0417	-4.4547
1153.125	-4.484
1153.2083	-4.6203
1153.2917	-4.611
1153.375	-4.667
1153.4583	-4.632
1153.5417	-4.642
1153.625	-4.717
1153.7083	-4.6957
1153.7917	-4.647
1153.875	-4.489
1153.9583	-4.4483
1154.0417	-4.433
1154.125	-4.4883
1154.2083	-4.5535
1154.2917	-4.5778
1154.375	-4.6243
1154.4583	-4.68
1154.5417	-4.5863
1154.625	-4.6407
1154.7083	-4.5808
1154.7917	-4.5672
1154.875	-4.5493
1154.9583	-4.493
1155.0417	-4.5078
1155.125	-4.559
1155.2083	-4.6613
1155.2917	-4.5788
1155.375	-4.6245
1155.4583	-4.703
1155.5417	-4.7605
1155.625	-4.794
1155.7083	-4.8355
1155.7917	-4.733
1155.875	-4.7125
1155.9583	-4.6658
1156.0417	-4.6231
1156.125	-4.6485
1156.2083	-4.6818
1156.2917	-4.66
1156.375	-4.7238
1156.4583	-4.7829
1156.5417	-4.636
1156.625	-4.5688
1156.7083	-4.6144
1156.7917	-4.7204
1156.875	-4.6506
1156.9583	-4.5194
1157.0417	-4.5433
1157.125	-4.6425
1157.2083	-4.5764
1157.2917	-4.63
1157.375	-4.6963
1157.4583	-4.6942
1157.5417	-4.8403
1157.625	-4.8944
1157.7083	-4.7181
1157.7917	-4.7053
1157.875	-4.6709
1157.9583	-4.5984
1158.0417	-4.606
1158.125	-4.697
1158.2083	-4.7447
1158.2917	-4.638
1158.375	-4.632
1158.4583	-4.6308
1158.5417	-4.635
1158.625	-4.682
1158.7083	-4.6553
1158.7917	-4.6887
1158.875	-4.6355
1158.9583	-4.6392
1159.0417	-4.6347
1159.125	-4.755
1159.2083	-4.7865
1159.2917	-4.8193
1159.375	-4.8628
1159.4583	-4.8017
1159.5417	-4.7665
1159.625	-4.8505
1159.7083	-4.771
1159.7917	-4.6868
1159.875	-4.6545
1159.9583	-4.6325
1160.0417	-4.6732
1160.125	-4.6451
1160.2083	-4.6691
1160.2917	-4.7452
1160.375	-4.801
1160.4583	-4.8327
1160.5417	-4.8705
1160.625	-4.9189
1160.7083	-4.8874
1160.7917	-4.72
1160.875	-4.7257
1160.9583	-4.7203
1161.0417	-4.6651
1161.125	-4.6677
1161.2083	-4.6959
1161.2917	-4.7465
1161.375	-4.7541
