# Clarion Island, Revillagigedos Archipelago, Mexico Porites d18O Data from 1819-1998
#-----------------------------------------------------------------------
#               World Data Service for Paleoclimatology, Boulder
#                                   and
#                      NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite original publication, online resource and date accessed when using this data.
# If there is no publication information, please cite Investigator, title, online resource and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Online_Resource: https://www.ncdc.noaa.gov/paleo/study/21310
# Online_Resource: http://www1.ncdc.noaa.gov/pub/data/paleo/coral/east_pacific/sanchez2016/sanchez2016-clarion.txt
#
# Archive: Corals and Sclerosponges
#
# Parameter_Keywords: 
#---------------------------------------
# Contribution_Date
#    Date: 2017-01-31
#---------------------------------------
# Title
#    Study_Name: Clarion Island, Revillagigedos Archipelago, Mexico Porites d18O Data from 1819-1998
#---------------------------------------
# Investigators
#      Investigators: Sanchez, Sara C.; Charles, Chris D.; Carriquiry, Jose D.; Villaescusa, Julio A.
#---------------------------------------
# Description and Notes
#        Description: Modern eastern tropical north Pacific coral. Measurement precision of d18O: 0.07 per mil PDB. Basis of d18O climate relation: SST and d18O of seawater (~salinity).
#         Provided Keywords: d18O, decadal variability, NPGO
#---------------------------------------
# Publication
# Authors: Sanchez, S.C., C.D. Charles, J.D. Carriquiry, and J.A. Villaescusa
# Published_Date_or_Year: 2016
# Published_Title: Two centuries of coherent decadal climate variability across the Pacific North American region 
# Journal_Name: Geophysical Research Letters
# Volume: 43
# Edition: 
# Issue: 17
# Pages:  9208–9216
# Report Number: 
# DOI: 10.1002/2016GL069037
# Online_Resource: 
# Full_Citation: 
# Abstract: The decadal variability of the Pacific Ocean and North American hydroclimate are subjects of immediate concern for society, yet the length of the instrumental record limits full mechanistic understanding of this variability. Here we introduce a 178?year, seasonally resolved coral oxygen isotopic record from Clarion Island (18°N, 115°W), a region that is strongly influenced by the decadal-scale fluctuations of the North Pacific Gyre Oscillation (NPGO) and a subtropical region that serves as a critical locus for the communication of climate anomalies with the tropics. This Mexican Pacific coral record is highly correlated to coral records from the central tropical Pacific and tree ring records from western North America. Significant changes in the amplitude of oceanic decadal variability in the early 19thcentury are mirrored in the drought reconstructions in western North America. The spatial manifestation of this relationship was relatively invariant, despite notable changes in the climatic mean state.
#---------------------------------------
# Funding_Agency
#    Funding_Agency_Name: 
#    Grant: 
#---------------------------------------
# Site Information
# Site_Name: Clarion Island, Revillagigedos Archipelago
# Location: Mexico
# Country: Mexico
# Northernmost_Latitude: 18.4
# Southernmost_Latitude: 18.4
# Easternmost_Longitude: -114.7
# Westernmost_Longitude: -114.7
# Elevation: -8
#---------------------------------------
# Data_Collection
#   Collection_Name: Clarion Coral d18O Sanchez16
#   First_Year: 1819
#   Last_Year: 1998
#   Time_Unit: AD
#   Core_Length: 
#   Notes: 
#---------------------------------------
# Species
#   Species_Name:
#   Common_Name: 
#   Tree_Species_Code: 
#---------------------------------------
# Chronology_Information 
# Chronology: 
#---------------------------------------
# Variables
# Data variables follow that are preceded by "##" in columns one and two.
# Variables list, one per line, shortname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
## age_AD	age,,,years AD,,,,,N
## d18Oporites	delta 18O,Porites sp.,,per mil PDB,fitted to seasonal resolution,Coral and Sclerosponge,,analytical technique: isotope ratio mass spectrometry,MAT253,isotope ratio mass spectrometry,MAT254,N
#------------------------
# Data
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Value: NA
age_AD	d18Oporites	
1819.5	-3.699	
1819.750084	-3.10883	
1820.000168	-3.23987	
1820.250252	-3.60419	
1820.500336	-4.06688	
1820.75042	-4.0401	
1821.000504	-3.93047	
1821.250588	-3.99664	
1821.500672	-4.02531	
1821.750756	-3.7319	
1822.00084	-3.49961	
1822.250924	-3.72659	
1822.501008	-3.79775	
1822.751092	-3.4993	
1823.001176	-3.23651	
1823.251261	-3.13549	
1823.501345	-3.36651	
1823.751429	-3.33422	
1824.001513	-3.2545	
1824.251597	-3.40863	
1824.501681	-3.60131	
1824.751765	-3.56045	
1825.001849	-3.52342	
1825.251933	-3.71466	
1825.502017	-3.82071	
1825.752101	-3.61264	
1826.002185	-3.62369	
1826.252269	-4.14848	
1826.502353	-4.07814	
1826.752437	-3.68312	
1827.002521	-3.62114	
1827.252605	-3.91986	
1827.502689	-4.0072	
1827.752773	-3.78769	
1828.002857	-3.73533	
1828.252941	-4.26289	
1828.503025	-4.57914	
1828.753109	-4.50291	
1829.003193	-4.22503	
1829.253277	-4.28874	
1829.503361	-4.42983	
1829.753445	-4.26813	
1830.003529	-3.87148	
1830.253613	-3.94642	
1830.503697	-4.55965	
1830.753782	-4.49214	
1831.003866	-3.79429	
1831.25395	-4.20905	
1831.504034	-4.39268	
1831.754118	-4.01833	
1832.004202	-3.83575	
1832.254286	-4.10257	
1832.50437	-4.24858	
1832.754454	-3.94381	
1833.004538	-3.4629	
1833.254622	-3.48883	
1833.504706	-3.70109	
1833.75479	-3.62617	
1834.004874	-3.48527	
1834.254958	-3.63218	
1834.505042	-3.83318	
1834.755126	-3.45068	
1835.00521	-3.21925	
1835.255294	-3.82539	
1835.505378	-4.33352	
1835.755462	-4.01897	
1836.005546	-3.75884	
1836.25563	-4.07046	
1836.505714	-4.19252	
1836.755798	-3.90106	
1837.005882	-3.90375	
1837.255966	-4.31552	
1837.50605	-4.23783	
1837.756134	-3.87833	
1838.006218	-3.6252	
1838.256303	-3.52359	
1838.506387	-3.8095	
1838.756471	-3.8021	
1839.006555	-3.71198	
1839.256639	-4.03071	
1839.506723	-4.02307	
1839.756807	-3.7381	
1840.006891	-3.36795	
1840.256975	-3.45372	
1840.507059	-3.65985	
1840.757143	-3.61809	
1841.007227	-3.27507	
1841.257311	-3.45588	
1841.507395	-3.69784	
1841.757479	-3.47479	
1842.007563	-3.42552	
1842.257647	-3.55794	
1842.507731	-3.83911	
1842.757815	-3.82157	
1843.007899	-3.6354	
1843.257983	-3.74139	
1843.508067	-3.94618	
1843.758151	-3.90698	
1844.008235	-3.80022	
1844.258319	-3.89338	
1844.508403	-4.60564	
1844.758487	-4.53537	
1845.008571	-3.82834	
1845.258655	-3.96842	
1845.508739	-4.16327	
1845.758824	-3.64991	
1846.008908	-3.65213	
1846.258992	-3.9936	
1846.509076	-4.74293	
1846.75916	-4.30396	
1847.009244	-3.70632	
1847.259328	-4.17984	
1847.509412	-4.52224	
1847.759496	-4.39128	
1848.00958	-4.34696	
1848.259664	-4.58662	
1848.509748	-4.73439	
1848.759832	-4.55066	
1849.009916	-4.3872	
1849.26	-4.52795	
1849.510084	-4.57993	
1849.760168	-4.24602	
1850.010252	-3.82407	
1850.260336	-4.10688	
1850.51042	-4.35355	
1850.760504	-3.9346	
1851.010588	-3.91603	
1851.260672	-4.16316	
1851.510756	-4.30917	
1851.76084	-4.23943	
1852.010924	-4.22391	
1852.261008	-4.39953	
1852.511092	-4.29458	
1852.761176	-3.80824	
1853.011261	-3.67849	
1853.261345	-3.75722	
1853.511429	-4.04365	
