# Clipperton Atoll 1874-1994 Sr/Ca and Oxygen Isotope Data
#-----------------------------------------------------------------------
#               World Data Center for Paleoclimatology, Boulder
#                                   and
#                      NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite original publication, online resource and date accessed when using this data.
# If there is no publication information, please cite Investigator, title, online resource and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Online_Resource: http://www.ncdc.noaa.gov/paleo/study/17380
# Online_Resource: http://www1.ncdc.noaa.gov/pub/data/paleo/coral/east_pacific/wu2014/wu2014-f1b.txt
#
# Archive: Coral
#---------------------------------------
# Contribution_Date
#    Date: 2014-11-04
#---------------------------------------
# Title
#    Study_Name: Clipperton Atoll 1874-1994 Sr/Ca and Oxygen Isotope Data
#---------------------------------------
# Investigators
#      Investigators: Wu, Henry C.; Moreau, Mélanie; Linsley, Braddock K.; Schrag, Daniel P.; Corrège, Thierry
#---------------------------------------
# Description and Notes
#        Description: Monthly data from Porites lobata
#---------------------------------------
# Publication
# Authors: Wu, H.C., M. Moreau, B.K. Linsley, D.P. Schrag, and T. Corrège
# Published_Date_or_Year: 2014
# Published_Title: Investigation of sea surface temperature changes from replicated coral Sr/Ca variations in the eastern equatorial Pacific (Clipperton Atoll)
# Journal_Name: Palaeogeography, Palaeoclimatology, Palaeoecology
# Volume: 412
# Issue: 
# Pages: 208-222
# Report Number: 
# DOI: 10.1016/j.palaeo.2014.07.039
# Abstract: Sub-seasonally resolved and replicated coral Sr/Ca time series at Clipperton Atoll (10°18'N, 109°13'W) in the eastern Pacific are assessed as a sea surface temperature (SST) proxy in this region with small seasonal SST variability. The composite coral Sr/Ca time series is a partially replicated record of three live and one sub- modern colony of Porites lobata extending back to 1874. Large inter-colony coral Sr/Ca offsets equate to relative SST differences of 0.6 to 4.3 °C and limit the ability to reconstruct absolute SST changes. Moreover, the replication method revealed a 12-year section of growth in one colony where mean Sr/Ca was anomalously low (~1 °C higher SST) relative to the other colonies without evidence of diagenesis or other significant skeletal alterations. The presence of this anomalous interval supports the need for multi-coral Sr/Ca replication in specific sites or re- gions. The Clipperton Composite Sr/Ca anomaly record is significantly coherent (r = 0.71–0.76, p b 0.001) with gridded instrumental SSTs but with larger amplitude decadal variance that appears to more accurately represent actual SST variability at Clipperton. The amplitude of the secular warming trend during the last century at Clipperton is 0.3 to 0.6 °C larger (~twice as large) than the trend in the poorly “ground-truthed” instrumental SST records for the region. The interannual and decadal variability in Clipperton coral Sr/Ca demonstrates strong coherence to the Pacific Decadal Oscillation and the El Nin~o/Southern Oscillation (ENSO) with reduced ENSO variability from 1920 to late 1930s and enhanced variability in the late twentieth century.
#---------------------------------------
# Funding_Agency
#    Funding_Agency_Name: National Science Foundation
#    Grant: SGER ATM9409368
#---------------------------------------
# Site Information
# Site_Name: Clipperton Atoll
# Location: Eastern Pacific Ocean
# Country: 
# Northernmost_Latitude: 10.3
# Southernmost_Latitude: 10.3
# Easternmost_Longitude: -109.216667
# Westernmost_Longitude: -109.216667
# Elevation: -2
#---------------------------------------
# Data_Collection
#   Collection_Name: Clipperton F1B Sr/Ca Isotopes Wu14
#   First_Year: 1874.083333
#   Last_Year: 1956.79166749
#   Time_Unit: Year AD
#   Core_Length: 
#   Notes: 
#---------------------------------------
# Species
#   Species_Name: Porites lobata
#   Common_Name: 
#---------------------------------------
# Chronology: 
#---------------------------------------
# Variables
# Data variables follow that are preceded by "##" in columns one and two.
# Variables list, one per line, shortname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
## age_AD  Age,,,years AD,,,,,N
## Sr/Ca-p.lob  Sr/Ca,Porites lobata,,mmol/mol,,,,,N
## d18Op.lob  delta 18O,Porites lobata,,per mil VPDB,,Coral,,,N
# Data
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Value: -999
age_AD	Sr/Ca-p.lob	d18Op.lob	
1956.791667	8.883191414	-5.239650804	
1956.708334	8.889311743	-5.283663963	
1956.625001	8.947927134	-5.449829794	
1956.541668	8.905809256	-5.288408211	
1956.458334	8.931346643	-5.329755522	
1956.375001	8.905407602	-5.253727	
1956.291668	9.054136626	-5.335839926	
1956.208334	9.141994959	-5.125282875	
1956.125001	9.226986689	-4.905585591	
1956.041668	9.124115562	-4.960789883	
1955.958334	9.053866534	-5.108083822	
1955.875001	8.931827604	-5.24988112	
1955.791668	8.973086288	-5.296461665	
1955.708334	8.963362704	-5.440682239	
1955.625001	8.909432794	-5.504733342	
1955.541668	8.900641372	-5.557711079	
1955.458334	8.864250316	-5.541916929	
1955.375001	8.94692659	-5.300484645	
1955.291668	8.938975383	-5.143402681	
1955.208334	8.987137506	-5.117086026	
1955.125001	9.051327382	-5.080289479	
1955.041668	9.009218782	-5.194232997	
1954.958334	8.984632268	-5.191911585	
1954.875001	8.919773417	-5.355857205	
1954.791668	8.942233808	-5.449078329	
1954.708334	8.898826425	-5.438433088	
1954.625001	8.850449739	-5.428502179	
1954.541668	8.899491822	-5.464460878	
1954.458334	8.887672945	-5.448276694	
1954.375001	8.885529507	-5.190260668	
1954.291668	8.886229769	-5.276602254	
1954.208334	8.927913138	-5.353475845	
1954.125001	9.018579682	-5.190743447	
1954.041668	8.957792726	-5.227427012	
1953.958334	8.998933242	-5.334028898	
1953.875001	8.945772205	-5.42512231	
1953.791668	8.947205901	-5.38878845	
1953.708334	8.941609694	-5.344560674	
1953.625001	8.849549638	-5.423883958	
1953.541668	8.873787684	-5.492413801	
1953.458334	8.868342837	-5.520583386	
1953.375001	8.875066381	-5.460909985	
1953.291668	8.943073249	-5.405336901	
1953.208334	8.96164489	-5.323315405	
1953.125001	9.015656023	-5.262690369	
1953.041668	8.977595736	-5.302379039	
1952.958334	8.932621793	-5.348991958	
1952.875001	8.904819561	-5.395605017	
1952.791668	8.876613629	-5.433832515	
1952.708334	8.845857661	-5.453770147	
1952.625001	8.826066491	-5.465320334	
1952.541668	8.827977118	-5.461659796	
1952.458334	8.838202696	-5.447168102	
1952.375001	8.881149387	-5.403983956	
1952.291668	8.949060426	-5.300845761	
1952.208334	8.980842375	-5.085759405	
1952.125001	9.055860616	-4.924212463	
1952.041668	8.996260427	-4.858598565	
1951.958334	8.954617196	-4.855227622	
1951.875001	9.037873025	-4.892181483	
1951.791668	9.009580948	-5.323601124	
1951.708334	8.887795104	-5.656616086	
1951.625001	8.922644592	-5.297100944	
1951.541668	8.925068235	-5.25812701	
1951.458334	8.851438222	-5.122860247	
1951.375001	8.846515822	-4.885652927	
1951.291668	8.914380018	-4.791537075	
1951.208334	9.052479122	-4.884048568	
1951.125001	8.995068053	-5.225324958	
1951.041668	9.044815789	-5.240779355	
1950.958334	8.983217463	-5.305183818	
1950.875001	8.998684348	-5.339777473	
1950.791668	9.018101353	-5.348769934	
1950.708334	8.924107651	-5.345871981	
1950.625001	8.945246722	-5.334256562	
1950.541668	8.949410181	-5.336776416	
1950.458334	8.904946187	-5.353514055	
1950.375001	8.987051005	-5.287357478	
1950.291668	8.908189471	-5.314755264	
1950.208334	8.822746483	-5.176502884	
1950.125001	8.910689948	-5.126732151	
1950.041668	9.032240708	-5.269998868	
1949.958334	9.036776361	-5.381830382	
1949.875001	9.121068607	-5.383537056	
1949.791668	9.082152802	-5.386783012	
1949.708334	9.046149325	-5.362538725	
1949.625001	8.987328405	-5.287842432	
1949.541668	8.961427384	-5.408058041	
1949.458334	8.906853535	-5.416958414	
1949.375001	8.944352092	-5.352285042	
1949.291668	8.96059774	-5.136073432	
1949.208334	8.962345713	-5.151268742	
1949.125001	9.129758594	-4.990702307	
1949.041668	9.112345605	-4.996862639	
1948.958334	9.082327542	-5.182170098	
1948.875001	9.055326877	-5.348221452	
1948.791668	9.007421872	-5.348126706	
1948.708334	8.994986809	-5.369911962	
