# Ningaloo Reef Coral Stable Isotope Data
#----------------------------------------------------------------------- 
#                World Data Service for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------------------------- 
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
# Online_Resource: https://www.ncdc.noaa.gov/paleo/study/1867
# Online_Resource: 
#
# Original_Source_URL: http://www1.ncdc.noaa.gov/pub/data/paleo/coral/indian_ocean/ningaloo.txt
# Original_Source_URL: http://www1.ncdc.noaa.gov/pub/data/paleo/coral/indian_ocean/readme_ningaloo.txt
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Corals and Sclerosponges
#--------------------
# Contribution_Date
#	Date: 2001-11-01
#--------------------
# Title
#	Study_Name: Ningaloo Reef - Stable Isotope Data 
#--------------------
# Investigators
#       Investigators: Kuhnert, H.; Pätzold, J.; Wyrwoll, K-H.; Wefer, G.
#--------------------
# Description_and_Notes
#	Description: The data set contains d18O and d13C in bimonthly temporal resolution for the time period 1878-1994. The material consists of a vertical core from a colony of Porites lutea. Samples for isotopic analyses were taken using a low-speed dental drill. Untreated samples were measured on a Finnigan MAT 251 mass spectrometer.  The age model in the data set is based on the density banding of the skeleton and the seasonality in d18O.
#--------------------
# Publication 
#       Authors: Kuhnert, H.; Pätzold, J.; Wyrwoll, K-H.; Wefer, G.
#       Published_Date_or_Year: 2000  
#       Published_Title: Monitoring climate variability over the past 116 years in coral oxygen isotopes from Ningaloo Reef, Western Australia.
#       Journal_Name: International Journal of Earth Science
#       Volume: 88
#       Edition: 
#       Issue: 
#       Pages: 725-732
#       DOI: 10.1007/s005310050300
#       Online_Resource: 
#       Full_Citation: Kuhnert, Henning; Pätzold, Jürgen; Wyrwoll, K-H; Wefer, Gerold (2000): Monitoring climate variability over the past 116 years in coral oxygen isotopes from Ningaloo Reef, Western Australia. International Journal of Earth Sciences, 88(4), 725-732, doi:10.1007/s005310050300
#       Abstract: 116-year record of coral skeletal delta18O is presented from a colony of Porites lutea from Ningaloo Reef, western Australia. Interannual variability of sea-surface temperatures (SST) inferred from skeletal delta18O is dominated by a 9.5-year period, and may constitute a characteristic signal of the Leeuwin Current. On long-terms coral skeletal delta18O indicates a near-continuous increase of SST at Ningaloo Reef over one century. The skeletal delta18O time series was checked for the presence of seasonal cooling events resulting from major volcanic eruptions. An ~1 °C cooling is evident following the eruption of Pinatubo in 1991, which reproduces the results of previous investigations. However, only weak or no signals can be related to the eruptions of Krakatau (1883) and Agung (1963).
#------------------
# Funding_Agency 
#       Funding_Agency_Name: Deutsche Forschungsgemeinschaft
#       Grant: Ma 821/11-1
#------------------
# Site_Information 
#       Site_Name: Ningaloo Reef
#       Location: Australia/New Zealand>Australia
#	Country: Australia  
#	Northernmost_Latitude: -21.905 
# 	Southernmost_Latitude: -21.905 
# 	Easternmost_Longitude: 113.965
# 	Westernmost_Longitude: 113.965
# 	Elevation: -3 m  
#------------------
# Data_Collection   
#	Collection_Name: 00aust01a
#	Earliest_Year: 1878 
#	Most_Recent_Year: 1995 
#	Time_Unit: AD
#	Core_Length: 1.44 m
#	Notes: Internal precisions (1 SD) are 0.02 per mil for delta O-18,and 0.015 per mil for delta C-13. External precisions (1 SD) of an internal laboratory standard (Solnhofen limestone) are 0.07 per mil for delta O-18, and 0.05 per mil for delta C-13. Average sampling density is 6.7 samples per year. The bimonthly data were interpolated with an Excel-macro. Based on couplets of annual density bands and seasonality in d18O. Within each year the highest (least depleted) d18O value was tied to mid-September, which is the coldest month on average.
#------------------
# Species
#	Species_Name: Porites lutea 
#	Common_Name: 
#------------------
# Chronology_Information
# 	Chronology: 
# 
#----------------
# Variables
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##depth	depth, Porites lutea, ,cm, , , , ,N
##age	age, , ,years AD, , , , ,N
##d13C	delta 13C, Porites lutea, , permil VPDB, , corals and sclerosponges, , instrument: Finnigan MAT 251 mass spectrometer,N
##d18O	delta 18O, Porites lutea, , permil VPDB, , corals and sclerosponges, , instrument: Finnigan MAT 251 mass spectrometer,N
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: NAN 
#
depth	age	d13C	d18O	
143.95	NAN	-1.22	-4.34
143.75	NAN	-0.75	-4.20
143.55	1878.71	-0.45	-4.11
143.35	1878.87	-0.21	-4.42
143.15	1879.04	-0.34	-4.97
142.95	1879.21	-0.28	-5.21
142.75	1879.37	-1.47	-4.67
142.55	1879.54	-1.04	-4.31
142.35	1879.71	-0.56	-4.30
142.15	1879.87	-0.60	-4.43
141.95	1880.04	-0.63	-4.67
141.75	1880.21	-0.80	-4.93
141.65	1880.29	-0.88	-4.87
141.55	1880.37	-1.25	-4.77
141.45	1880.46	-1.37	-4.90
141.35	1880.54	-1.56	-4.53
141.25	1880.62	-1.22	-4.48
141.15	1880.71	-0.43	-4.28
140.95	1880.86	-0.72	-4.37
140.85	1880.94	-1.18	-4.48
140.75	1881.02	-0.65	-4.43
140.65	1881.09	-0.39	-4.70
140.55	1881.17	-0.91	-4.91
140.45	1881.25	-0.60	-4.97
140.35	1881.32	-0.93	-4.81
140.25	1881.40	-1.26	-4.56
140.15	1881.48	-1.16	-4.57
140.05	1881.55	-1.25	-4.41
139.95	1881.63	-0.76	-4.29
139.85	1881.71	-0.71	-4.26
139.75	1881.79	-0.75	-4.43
139.55	1881.96	-0.19	-4.28
139.45	1882.04	-0.32	-4.50
139.35	1882.12	-0.73	-4.67
139.25	1882.21	-0.97	-4.68
139.15	1882.29	-1.11	-4.66
139.05	1882.37	-1.20	-4.46
138.95	1882.46	-1.12	-4.24
138.75	1882.62	-0.14	-3.80
138.65	1882.71	0.26	-3.71
138.55	1882.79	-0.05	-4.04
138.45	1882.87	-0.02	-4.24
138.35	1882.96	0.26	-4.41
138.25	1883.04	0.02	-4.49
138.15	1883.12	0.03	-4.48
138.05	1883.21	-0.09	-4.62
137.95	1883.29	-0.57	-4.55
137.85	1883.37	-0.63	-4.54
137.75	1883.46	-0.58	-4.14
137.65	1883.54	-1.15	-4.04
137.55	1883.62	-0.41	-4.00
137.45	1883.71	-0.45	-3.90
137.35	1883.82	0.03	-4.06
137.25	1883.93	0.11	-4.10
137.15	1884.04	-0.88	-4.43
137.05	1884.15	-0.77	-4.45
136.95	1884.26	-0.77	-4.51
136.75	1884.49	-0.85	-4.14
136.65	1884.60	-0.76	-4.13
136.55	1884.71	-0.27	-3.92
136.35	1884.87	-0.43	-4.11
136.25	1884.96	-0.10	-4.11
136.15	1885.04	-0.08	-4.15
136.05	1885.12	-0.36	-4.38
135.95	1885.21	-0.99	-4.54
135.85	1885.29	-1.20	-4.49
135.75	1885.37	-1.11	-4.36
135.65	1885.46	-0.92	-4.31
135.55	1885.54	-0.41	-4.10
135.45	1885.62	-0.39	-4.05
135.35	1885.71	-0.34	-3.95
135.25	1885.81	-0.51	-4.04
135.15	1885.91	0.15	-4.01
135.05	1886.01	-0.11	-4.19
134.95	1886.11	-0.29	-4.34
134.85	1886.21	-0.43	-4.39
134.75	1886.31	-0.47	-4.49
134.65	1886.41	-0.83	-4.61
134.55	1886.51	-0.64	-4.14
134.45	1886.61	-0.68	-4.05
134.35	1886.71	-0.08	-3.45
134.25	1886.80	-0.48	-3.86
134.15	1886.90	-0.27	-3.97
134.05	1886.99	-0.01	-4.16
133.95	1887.09	-0.10	-4.11
133.85	1887.18	-0.26	-4.28
133.75	1887.28	0.02	-4.21
133.65	1887.37	-0.56	-4.67
133.55	1887.47	-0.86	-4.30
133.45	1887.57	-0.96	-4.43
133.35	1887.66	-0.59	-3.90
133.3	1887.71	-0.15	-3.36
133.1	1887.85	-0.50	-3.82
133	1887.92	-0.51	-4.08
132.9	1887.99	-0.25	-4.06
132.8	1888.07	-0.59	-4.36
132.7	1888.14	-0.92	-5.33
132.6	1888.21	-0.74	-4.73
132.5	1888.28	-0.64	-4.72
132.4	1888.35	-1.11	-4.91
132.3	1888.42	-1.08	-4.88
132.2	1888.49	-1.56	-4.78
132.1	1888.57	-1.21	-4.50
132	1888.64	-1.26	-4.20
131.9	1888.71	-0.83	-4.05
131.8	1888.78	-0.78	-4.10
131.7	1888.86	-0.55	-4.16
131.6	1888.94	-0.46	-4.22
131.5	1889.02	0.09	-4.16
131.4	1889.09	-0.68	-4.54
131.3	1889.17	-0.53	-4.63
131.2	1889.25	-1.17	-4.89
131.1	1889.32	-1.44	-4.85
131	1889.40	-1.52	-4.73
130.9	1889.48	-1.48	-4.49
130.8	1889.55	-1.32	-4.30
130.7	1889.63	-0.77	-4.17
130.6	1889.71	-0.79	-3.95
130.5	1889.81	-0.53	-4.19
