Seychelles Coral Bleaching 20 Year Stable Isotope Data 
----------------------------------------------------------------------- 
               World Data Center for Paleoclimatology, Boulder 
                                  and 
                     NOAA Paleoclimatology Program 
----------------------------------------------------------------------- 
NOTE: Please cite original reference when using these data, 
plus the data file URL and date accessed. 

NAME OF DATA SET: Seychelles Coral Bleaching 20 Year Stable Isotope Data 
LAST UPDATE: 3/2012 (Original receipt by WDC Paleo) 
CONTRIBUTORS: Levy, O., M. Rosenfeld, R. Yam, and A. Shemesh 
IGBP PAGES/WDCA CONTRIBUTION SERIES NUMBER: 2012-031 


WDC PALEO CONTRIBUTION SERIES CITATION: 
Levy, O., et al. 2012. 
Seychelles Coral Bleaching 20 Year Stable Isotope Data. 
IGBP PAGES/World Data Center for Paleoclimatology 
Data Contribution Series # 2012-031. 
NOAA/NCDC Paleoclimatology Program, Boulder CO, USA. 


ORIGINAL REFERENCE: 
Levy, O., M. Rosenfeld, R. Yam, and A. Shemesh. 2006. 
Heterogeneity of coral skeletons isotopic compositions 
during the 1998 bleaching event. 
Limnology and Oceanography, Vol. 51(2), pp. 1142-1148.
DOI: 10.4319/lo.2006.51.2.1142 

ABSTRACT: 
The vulnerability of coral reefs to climate change, such as 
regional warming, became fully evident during the strong 
1997-1998 El Nino event.  This El Nino episode was associated 
with elevated sea-surface temperatures and caused mass mortality 
throughout many of the world's coral reefs.  We analyzed the 
isotopic manifestation of this event in six Porites sp. coral 
skeletons from different localities in a small atoll (Alphonse) 
at the Seychelles Island. The aim was to validate the use of coral 
stable isotope compositions as recorders of such events in the past. 
The coupling between local-scale environment and global warming 
was weaker then expected, with regional warming being evident 
only when data from five colonies were averaged. Local conditions 
had a large effect on the isotopic compositions of coral skeletons. 
We conclude that future paleoclimate reconstructions, especially 
those attempts to identify past El Nino events, must be based on 
more than a single coral record. Moreover, the strong effect 
of local habitat on the isotopic composition of Porites sp. 
has to be considered when interpreting d13C and d18O records. 


GEOGRAPHIC REGION: Indian Ocean 
PERIOD OF RECORD: 1982 - 2001 AD

FUNDING SOURCE: 




DATA FILE URLS: 
ftp://ftp.ncdc.noaa.gov/pub/data/paleo/coral/indian_ocean/seychelles2006.txt
ftp://ftp.ncdc.noaa.gov/pub/data/paleo/coral/indian_ocean/seychelles2006.xls



DESCRIPTION: 
Coral stable isotope (d18O and d13C) data at monthly resolution 
from 6 corals collected near Alphonse Atoll, Seychelles, Indian Ocean. 
Data span the 1998 bleaching event. 

Alphonse Atoll: 7°0'S, 52°45'E 



DATA: 
1. Levy et al. 2006 Seychelles Coral Stable Isotope Data 
   d18O and d13C per mil PDB 

1a. Coral C8
YearAD           d13C         d18O
1982.000     -0.80584    -4.521732
1982.083    -0.819977    -4.691361
1982.167    -0.875016    -4.913966
1982.250    -0.997428    -4.800941
1982.333    -1.194755    -4.641546
1982.417     -1.38504     -4.58141
1982.500    -1.472748    -4.450699
1982.583    -1.430792    -4.280141
1982.667    -1.294748    -4.285124
1982.750    -1.057614     -4.54633
1982.833    -0.914393    -4.693515
1982.917    -0.986389    -4.662162
1983.000    -1.206279    -4.691032
1983.083    -1.347113    -4.638948
1983.167    -1.407691    -4.842026
1983.250    -1.447085    -4.834277
1983.333    -1.475589    -4.690817
1983.417    -1.483057    -4.347929
1983.500    -1.480084    -4.297781
1983.583    -1.505252    -4.224745
1983.667    -1.519468    -4.370827
1983.750    -1.501585    -4.523648
1983.833     -1.40942    -4.723464
1983.917    -1.264217     -4.69413
1984.000     -1.17862    -4.633651
1984.083    -1.265965     -4.63199
1984.167    -1.451111    -4.970308
1984.250    -1.556109    -5.185626
1984.333    -1.521794    -4.899808
1984.417     -1.41458    -4.565152
1984.500    -1.325122    -4.403617
1984.583    -1.253807    -4.463098
1984.667    -1.193036    -4.455925
1984.750    -1.134072    -4.695314
1984.833    -1.104226    -4.717945
1984.917    -1.150082    -4.615101
1985.000    -1.262574    -4.560022
1985.083    -1.351048    -4.715662
1985.167    -1.361304    -4.903538
1985.250    -1.285724    -4.941784
1985.333    -1.190186    -4.808102
1985.417     -1.08443     -4.53044
1985.500    -1.026957     -4.32213
1985.583    -1.016569    -4.281875
1985.667    -1.062728    -4.363516
1985.750    -1.117478    -4.558683
1985.833    -1.155115    -4.743343
1985.917     -1.16045    -4.724413
1986.000      -1.1442    -4.557485
1986.083    -1.137531    -4.470286
1986.167    -1.138018    -4.693796
1986.250    -1.146721    -4.800596
1986.333    -1.167799    -4.748619
1986.417    -1.264619    -4.434423
1986.500    -1.315305    -4.285494
1986.583    -1.289976    -4.203986
1986.667    -1.237064    -4.410713
1986.750    -1.243163    -4.596942
1986.833     -1.24841    -4.720063
1986.917    -1.219348    -4.736947
1987.000    -1.237107    -4.762443
1987.083    -1.288377    -4.783373
1987.167    -1.300289    -4.896839
1987.250    -1.308062    -4.952678
1987.333    -1.333779    -4.848741
1987.417     -1.30696    -4.338035
1987.500    -1.206628    -4.200945
1987.583    -1.160485    -4.231269
1987.667    -1.184939    -4.437819
1987.750    -1.160872     -4.33067
1987.833    -1.075106    -4.342563
1987.917     -0.95723    -4.412722
1988.000     -0.86403    -4.560347
1988.083    -0.797964    -4.611365
1988.167    -0.855614    -4.722457
1988.250    -0.956886    -4.902865
1988.333    -0.977367    -4.762293
1988.417    -1.016469    -4.313643
