# Antongil Bay, Madagascar Stable Isotope and Trace Element Data from 1965-2007 CE
#-----------------------------------------------------------------------
#               World Data Service for Paleoclimatology, Boulder
#                                   and
#                      NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite original publication, online resource and date accessed when using this data.
# If there is no publication information, please cite Investigator, title, online resource and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Online_Resource: https://www.ncdc.noaa.gov/paleo/study/22951
#      Description: NOAA Landing Page
# Online_Resource: http://www1.ncdc.noaa.gov/pub/data/paleo/coral/indian_ocean/zinke2012/zinke2012-mas1-iso.txt
#      Description: NOAA location of the template
#
#
# Archive: Corals and Sclerosponges
#
# Dataset_DOI:
#
# Parameter_Keywords: oxygen isotopes, carbon isotopes, trace metals
#---------------------------------------
# Contribution_Date
#    Date: 2017-10-31
#---------------------------------------
# File_Last_Modified_Date
#    Date: 2017-10-31
#---------------------------------------
# Title
#    Study_Name: Antongil Bay, Madagascar Stable Isotope and Trace Element Data from 1965-2007 CE
#---------------------------------------
# Investigators
#      Investigators: Zinke, Jens
#---------------------------------------
# Description_Notes_and_Keywords
#        Description: Chronologies based on seasonal cycles in stable isotopes
#         Provided Keywords: corals, stable isotopes, Madagascar, Indian Ocean
#---------------------------------------
# Publication
# Authors: Grove, C. A., J. Zinke, T. Scheufen, E. Epping, W. Boer, B. Randriamanantsoa, and G-J. A. Brummer 
# Published_Date_or_Year: 2012
# Published_Title: Spatial linkages between coral proxies of terrestrial runoff across a large embayment in Madagascar
# Journal_Name: Biogeosciences
# Volume: 9
# Edition: 
# Issue: 
# Pages: 3063-3081
# Report Number: 
# DOI: 10.5194/bg-9-3063-2012
# Online_Resource: https://www.biogeosciences.net/9/3063/2012/bg-9-3063-2012.pdf
# Full_Citation: 
# Abstract: Coral cores provide vital climate reconstructions for site-specific temporal variability in river flow and sediment load. Yet, their ability to record spatial differences across multiple catchments is relatively unknown. Here, we investigate spatial linkages between four coral proxies of terrestrial runoff and their relationships between sites. Coral cores were drilled in and around Antongil Bay, the largest bay in Madagascar, and individually analysed for fifteen years of continuous luminescence (G / B), Ba / Ca, d 18Osw and d 13C data. Each coral core was drilled close to individual river mouths (= 7 km), and proxy data were compared to modelled river discharge and sediment runoff data for the three corresponding catchments. A reasonable agreement between terrestrial runoff proxies with modelled river discharge and sediment yield was observed. Some inconsistencies between proxy and modelled data are likely linked to proxy behaviour, watershed size and local environmental physiochemical parameters. In general, the further a coral resided from its river source, the weaker the proxy relationship was with modelled data and other corals, due to mixing gradients and currents. Nevertheless, we demonstrate that two coral Ba / Ca and luminescence (G / B) records influenced by the same watershed are reproducible. Furthermore, a strong Ba / Ca relationship was observed between two cores from distant watersheds, with baseline averages in agreement with modelled sediment runoff data. As humic acids behave conservatively in the water column, luminescence (G / B) data gave the highest regional correlations between cores, and showed the most consistent relationship with site specific modelled discharge. No statistical relationship was observed between cores in terms of interannual d 18Osw and d 13C, meaning corals were recording a localised signal at their respective sites, confounded by vital effects. Comparing proxy baseline averages and mean seasonal cycles provided a good overview of the runoff dynamics of the bay system.
#---------------------------------------
# Funding_Agency
#    Funding_Agency_Name: Netherlands Organization for Scientific Research
#    Grant: SINDOCOM
#---------------------------------------
# Site Information
# Site_Name: MAS1, Antongil Bay
# Location: Madagascar
# Country: Madagascar
# Northernmost_Latitude: -15.509433
# Southernmost_Latitude: -15.509433
# Easternmost_Longitude: 49.757283
# Westernmost_Longitude: 49.757283
# Elevation: -4
#---------------------------------------
# Data_Collection
#   Collection_Name: MAS1 isotopes Zinke2012
#   First_Year: 1965
#   Last_Year: 2006
#   Time_Unit: AD
#   Core_Length: 1.21
#   Notes: 
#---------------------------------------
# Chronology_Information 
# Chronology: 
#---------------------------------------
# Variables
# Data variables follow that are preceded by "##" in columns one and two.
# Variables list, one per line, shortname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
## age_CE	age,,,year CE,,,,,N,
## d13C-porite	delta 13C,Porites sp.,,per mil PDB,Annual,corals and sclerosponges,interpolated,isotope ratio mass spectrometry,N,interpolated linearly to monthly time steps
## d18O-porite	delta 18O,Porites sp.,,per mil PDB,Annual,corals and sclerosponges,interpolated,isotope ratio mass spectrometry,N,interpolated linearly to monthly time steps
#------------------------
# Data
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Value: NA
age_CE	d13C-porite	d18O-porite	
1965.75	-2.42	-5.05	
1965.833333	-2.19	-5.03	
1965.916667	-1.95	-5.01	
1966	-1.70	-4.97	
1966.083333	-1.65	-5.00	
1966.166667	-1.75	-5.08	
1966.25	-2.79	-5.34	
1966.333333	-3.70	-5.58	
1966.416667	-2.90	-5.53	
1966.5	-2.39	-5.42	
1966.583333	-2.26	-5.25	
1966.666667	-2.16	-5.28	
1966.75	-2.08	-5.38	
1966.833333	-2.26	-5.44	
1966.916667	-2.44	-5.51	
1967	-2.69	-5.77	
1967.083333	-2.95	-6.03	
1967.166667	-2.88	-6.00	
1967.25	-2.81	-5.96	
1967.333333	-2.66	-5.94	
1967.416667	-2.51	-5.91	
1967.5	-2.32	-5.66	
1967.583333	-2.13	-5.41	
1967.666667	-2.28	-5.22	
1967.75	-2.44	-5.03	
1967.833333	-2.19	-4.98	
1967.916667	-1.89	-5.03	
1968	-1.52	-5.17	
1968.083333	-2.70	-5.99	
1968.166667	-2.98	-6.13	
1968.25	-2.34	-5.58	
1968.333333	-2.17	-5.66	
1968.416667	-2.23	-5.79	
1968.5	-2.54	-5.95	
1968.583333	-2.69	-5.58	
1968.666667	-2.81	-5.32	
1968.75	-2.90	-5.17	
1968.833333	-2.44	-5.13	
1968.916667	-1.98	-5.09	
1969	-1.69	-5.11	
1969.083333	-1.53	-5.18	
1969.166667	-1.43	-5.25	
1969.25	-1.55	-5.32	
1969.333333	-1.67	-5.39	
1969.416667	-1.73	-5.51	
1969.5	-1.77	-5.64	
1969.583333	-2.01	-5.75	
1969.666667	-2.55	-5.82	
1969.75	-3.09	-5.90	
1969.833333	-3.37	-5.68	
1969.916667	-3.44	-5.44	
1970	-3.30	-5.20	
1970.083333	-2.53	-5.02	
1970.166667	-1.98	-4.75	
1970.25	-1.63	-4.36	
1970.333333	-2.18	-5.15	
1970.416667	-2.41	-5.59	
1970.5	-2.31	-5.68	
1970.583333	-2.79	-5.61	
1970.666667	-3.05	-5.33	
1970.75	-3.10	-4.85	
1970.833333	-2.95	-4.88	
1970.916667	-2.56	-4.86	
1971	-1.95	-4.81	
1971.083333	-2.15	-5.02	
1971.166667	-2.44	-5.30	
1971.25	-2.82	-5.63	
1971.333333	-2.95	-5.62	
1971.416667	-3.09	-5.69	
1971.5	-3.23	-5.86	
1971.583333	-3.01	-5.75	
1971.666667	-2.81	-5.65	
1971.75	-2.64	-5.56	
1971.833333	-2.48	-5.35	
1971.916667	-2.32	-5.13	
1972	-2.23	-5.15	
1972.083333	-2.14	-5.16	
1972.166667	-1.91	-5.05	
1972.25	-1.69	-4.93	
1972.333333	-1.85	-5.00	
1972.416667	-2.00	-5.08	
1972.5	-2.76	-5.38	
1972.583333	-3.52	-5.68	
1972.666667	-3.36	-5.62	
1972.75	-3.20	-5.56	
1972.833333	-2.76	-5.38	
1972.916667	-2.32	-5.20	
1973	-1.90	-5.22	
1973.083333	-1.49	-5.24	
1973.166667	-1.54	-5.12	
1973.25	-1.59	-4.99	
1973.333333	-1.78	-5.21	
1973.416667	-1.98	-5.42	
1973.5	-2.53	-5.62	
1973.583333	-3.09	-5.82	
1973.666667	-3.17	-5.86	
1973.75	-3.25	-5.91	
1973.833333	-3.20	-5.89	
1973.916667	-3.14	-5.87	
1974	-3.09	-5.85	
1974.083333	-3.08	-5.80	
1974.166667	-3.08	-5.74	
1974.25	-3.07	-5.69	
1974.333333	-2.96	-5.66	
1974.416667	-2.85	-5.63	
1974.5	-2.75	-5.60	
1974.583333	-2.63	-5.45	
1974.666667	-2.52	-5.31	
1974.75	-2.41	-5.17	
1974.833333	-2.49	-5.08	
1974.916667	-2.47	-5.02	
1975	-2.34	-4.99	
1975.083333	-2.05	-4.92	
1975.166667	-1.81	-4.93	
1975.25	-1.60	-5.02	
1975.333333	-1.67	-5.17	
1975.416667	-1.81	-5.37	
1975.5	-2.00	-5.61	
1975.583333	-2.24	-5.68	
1975.666667	-2.50	-5.68	
1975.75	-2.76	-5.61	
1975.833333	-2.72	-5.29	
1975.916667	-2.67	-5.09	
1976	-2.61	-5.01	
1976.083333	-2.23	-4.96	
1976.166667	-2.18	-5.07	
1976.25	-2.45	-5.34	
1976.333333	-3.09	-6.02	
1976.416667	-3.39	-6.41	
1976.5	-3.36	-6.52	
1976.583333	-3.10	-6.07	
1976.666667	-2.85	-5.67	
1976.75	-2.61	-5.31	
1976.833333	-2.41	-5.13	
1976.916667	-2.09	-4.98	
1977	-1.51	-4.96	
1977.083333	-1.49	-5.05	
1977.166667	-1.90	-5.21	
1977.25	-2.17	-5.33	
1977.333333	-2.38	-5.47	
1977.416667	-2.39	-5.71	
1977.5	-2.36	-5.81	
1977.583333	-2.27	-5.73	
1977.666667	-2.33	-5.55	
1977.75	-2.45	-5.33	
1977.833333	-2.42	-5.18	
1977.916667	-2.25	-5.08	
1978	-1.73	-5.10	
1978.083333	-1.43	-5.12	
1978.166667	-1.31	-5.12	
1978.25	-1.50	-5.38	
1978.333333	-1.81	-5.67	
1978.416667	-2.55	-5.93	
1978.5	-2.79	-5.88	
1978.583333	-2.36	-5.42	
1978.666667	-2.20	-5.19	
1978.75	-2.14	-5.04	
