# Antongil Bay, Madagascar Stable Isotope and Trace Element Data from 1965-2007 CE
#-----------------------------------------------------------------------
#               World Data Service for Paleoclimatology, Boulder
#                                   and
#                      NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite original publication, online resource and date accessed when using this data.
# If there is no publication information, please cite Investigator, title, online resource and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Online_Resource: https://www.ncdc.noaa.gov/paleo/study/22951
#      Description: NOAA Landing Page
# Online_Resource: http://www1.ncdc.noaa.gov/pub/data/paleo/coral/indian_ocean/zinke2012/zinke2012-mas3-iso.txt
#      Description: NOAA location of the template
#
# Archive: Corals and Sclerosponges
#
# Dataset_DOI:
#
# Parameter_Keywords: oxygen isotopes, carbon isotopes, trace metals
#---------------------------------------
# Contribution_Date
#    Date: 2017-10-31
#---------------------------------------
# File_Last_Modified_Date
#    Date: 2017-10-31
#---------------------------------------
# Title
#    Study_Name: Antongil Bay, Madagascar Stable Isotope and Trace Element Data from 1965-2007 CE
#---------------------------------------
# Investigators
#      Investigators: Zinke, Jens
#---------------------------------------
# Description_Notes_and_Keywords
#        Description: Chronologies based on seasonal cycles in stable isotopes
#         Provided Keywords: corals, stable isotopes, Madagascar, Indian Ocean
#---------------------------------------
# Publication
# Authors: Grove, C. A., J. Zinke, T. Scheufen, E. Epping, W. Boer, B. Randriamanantsoa and G-J. A. Brummer 
# Published_Date_or_Year: 2012
# Published_Title: Spatial linkages between coral proxies of terrestrial runoff across a large embayment in Madagascar
# Journal_Name: Biogeosciences
# Volume: 9
# Edition: 
# Issue: 
# Pages: 3063-3081
# Report Number: 
# DOI: 10.5194/bg-9-3063-2012
# Online_Resource: https://www.biogeosciences.net/9/3063/2012/bg-9-3063-2012.pdf
# Full_Citation: 
# Abstract: Coral cores provide vital climate reconstructions for site-specific temporal variability in river flow and sediment load. Yet, their ability to record spatial differences across multiple catchments is relatively unknown. Here, we investigate spatial linkages between four coral proxies of terrestrial runoff and their relationships between sites. Coral cores were drilled in and around Antongil Bay, the largest bay in Madagascar, and individually analysed for fifteen years of continuous luminescence (G / B), Ba / Ca, d 18Osw and d 13C data. Each coral core was drilled close to individual river mouths (= 7 km), and proxy data were compared to modelled river discharge and sediment runoff data for the three corresponding catchments. A reasonable agreement between terrestrial runoff proxies with modelled river discharge and sediment yield was observed. Some inconsistencies between proxy and modelled data are likely linked to proxy behaviour, watershed size and local environmental physiochemical parameters. In general, the further a coral resided from its river source, the weaker the proxy relationship was with modelled data and other corals, due to mixing gradients and currents. Nevertheless, we demonstrate that two coral Ba / Ca and luminescence (G / B) records influenced by the same watershed are reproducible. Furthermore, a strong Ba / Ca relationship was observed between two cores from distant watersheds, with baseline averages in agreement with modelled sediment runoff data. As humic acids behave conservatively in the water column, luminescence (G / B) data gave the highest regional correlations between cores, and showed the most consistent relationship with site specific modelled discharge. No statistical relationship was observed between cores in terms of interannual d 18Osw and d 13C, meaning corals were recording a localised signal at their respective sites, confounded by vital effects. Comparing proxy baseline averages and mean seasonal cycles provided a good overview of the runoff dynamics of the bay system.
#---------------------------------------
# Funding_Agency
#    Funding_Agency_Name: Netherlands Organization for Scientific Research
#    Grant: SINDOCOM
#---------------------------------------
# Site Information
# Site_Name: MAS3, Antongil Bay
# Location: Madagascar
# Country: Madagascar
# Northernmost_Latitude: -15.509633
# Southernmost_Latitude: -15.509633
# Easternmost_Longitude: 49.7576
# Westernmost_Longitude: 49.7576
# Elevation: -4
#---------------------------------------
# Data_Collection
#   Collection_Name: MAS3 isotopes Zinke2012
#   First_Year: 1984
#   Last_Year: 2006
#   Time_Unit: AD
#   Core_Length: 1.43
#   Notes: 
#---------------------------------------
# Chronology_Information 
# Chronology: 
#---------------------------------------
# Variables
# Data variables follow that are preceded by "##" in columns one and two.
# Variables list, one per line, shortname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
## age_CE	age,,,year CE,,,,,N,
## d13C-porite	delta 13C,Porites sp.,,per mil PDB,Annual,corals and sclerosponges,interpolated,isotope ratio mass spectrometry,N,interpolated linearly to monthly time steps
## d18O-porite	delta 18O,Porites sp.,,per mil PDB,Annual,corals and sclerosponges,interpolated,isotope ratio mass spectrometry,N,interpolated linearly to monthly time steps
#------------------------
# Data
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Value: NA
age_CE	d13C-porite	d18O-porite	
1984.25	-2.49	-5.43	
1984.333333	-2.40	-5.47	
1984.416667	-2.30	-5.51	
1984.5	-2.39	-5.32	
1984.583333	-2.49	-5.13	
1984.666667	-3.00	-5.13	
1984.75	-3.51	-5.14	
1984.833333	-3.66	-5.02	
1984.916667	-3.82	-4.91	
1985	-3.59	-4.92	
1985.083333	-3.37	-4.93	
1985.166667	-2.87	-4.89	
1985.25	-2.37	-4.85	
1985.333333	-2.51	-5.40	
1985.416667	-2.65	-5.94	
1985.5	-2.38	-5.78	
1985.583333	-2.12	-5.62	
1985.666667	-2.53	-5.70	
1985.75	-2.95	-5.77	
1985.833333	-3.05	-5.63	
1985.916667	-3.16	-5.49	
1986	-2.27	-5.21	
1986.083333	-1.38	-4.93	
1986.166667	-2.46	-4.89	
1986.25	-3.54	-4.84	
1986.333333	-3.11	-5.00	
1986.416667	-2.68	-5.16	
1986.5	-2.59	-5.12	
1986.583333	-2.49	-5.08	
1986.666667	-2.60	-5.40	
1986.75	-2.71	-5.71	
1986.833333	-3.13	-5.82	
1986.916667	-3.56	-5.94	
1987	-3.68	-5.87	
1987.083333	-3.58	-5.69	
1987.166667	-3.47	-5.49	
1987.25	-3.28	-5.25	
1987.333333	-3.10	-5.02	
1987.416667	-2.99	-4.96	
1987.5	-2.90	-4.95	
1987.583333	-2.81	-4.94	
1987.666667	-2.71	-4.93	
1987.75	-2.62	-4.92	
1987.833333	-3.51	-5.03	
1987.916667	-4.40	-5.14	
1988	-4.49	-5.14	
1988.083333	-4.06	-5.06	
1988.166667	-3.73	-5.02	
1988.25	-3.84	-5.06	
1988.333333	-3.96	-5.10	
1988.416667	-3.73	-5.12	
1988.5	-3.42	-5.12	
1988.583333	-3.18	-5.20	
1988.666667	-3.06	-5.37	
1988.75	-2.94	-5.54	
1988.833333	-2.39	-5.36	
1988.916667	-2.21	-5.35	
1989	-2.95	-5.77	
1989.083333	-3.39	-5.94	
1989.166667	-3.60	-5.91	
1989.25	-3.61	-5.64	
1989.333333	-3.54	-5.33	
1989.416667	-3.08	-5.06	
1989.5	-2.70	-4.93	
1989.583333	-2.42	-4.96	
1989.666667	-2.17	-5.09	
1989.75	-1.92	-5.25	
1989.833333	-1.89	-5.43	
1989.916667	-2.03	-5.63	
1990	-2.58	-5.91	
1990.083333	-2.91	-5.92	
1990.166667	-3.08	-5.74	
1990.25	-3.28	-5.48	
1990.333333	-3.39	-5.22	
1990.416667	-2.90	-5.00	
1990.5	-2.45	-4.99	
1990.583333	-2.07	-5.24	
1990.666667	-2.04	-5.35	
1990.75	-2.17	-5.40	
1990.833333	-1.88	-5.67	
1990.916667	-1.60	-5.94	
1991	-2.41	-5.79	
1991.083333	-3.21	-5.65	
1991.166667	-3.66	-5.28	
1991.25	-4.10	-4.91	
1991.333333	-3.87	-4.93	
1991.416667	-3.63	-4.95	
1991.5	-3.46	-5.01	
1991.583333	-3.29	-5.07	
1991.666667	-3.20	-5.15	
1991.75	-3.10	-5.22	
1991.833333	-3.38	-5.58	
1991.916667	-3.40	-5.41	
1992	-3.88	-5.75	
1992.083333	-4.50	-6.11	
1992.166667	-4.72	-5.90	
1992.25	-4.66	-5.90	
1992.333333	-4.70	-5.65	
1992.416667	-3.78	-5.39	
1992.5	-3.43	-5.45	
1992.583333	-3.43	-5.58	
1992.666667	-3.20	-5.53	
1992.75	-3.06	-5.65	
1992.833333	-3.06	-5.73	
1992.916667	-3.22	-5.91	
1993	-3.61	-6.23	
1993.083333	-4.01	-6.40	
1993.166667	-4.28	-6.25	
1993.25	-4.60	-5.98	
1993.333333	-4.41	-5.43	
1993.416667	-3.89	-5.36	
1993.5	-3.03	-5.29	
1993.583333	-2.34	-5.19	
1993.666667	-2.23	-5.20	
1993.75	-2.43	-5.44	
1993.833333	-2.23	-5.45	
1993.916667	-2.75	-5.57	
1994	-3.98	-5.79	
1994.083333	-4.37	-5.44	
1994.166667	-4.67	-5.13	
1994.25	-4.87	-4.86	
1994.333333	-4.61	-4.88	
1994.416667	-4.23	-4.92	
1994.5	-3.75	-4.99	
1994.583333	-3.14	-5.02	
1994.666667	-2.72	-5.07	
1994.75	-2.47	-5.15	
1994.833333	-2.81	-5.46	
1994.916667	-3.59	-5.80	
1995	-4.24	-5.73	
1995.083333	-4.53	-5.37	
1995.166667	-4.49	-5.06	
1995.25	-4.25	-4.97	
1995.333333	-3.55	-5.05	
1995.416667	-2.96	-5.12	
