﻿# Aqaba Jordan Coral Isotope Data
#----------------------------------------------------------------------- 
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
# Online_Resource: https://www.ncdc.noaa.gov/study/1854
#
# Original_Source_URL: http://www1.ncdc.noaa.gov/pub/data/paleo/coral/red_sea/aq19-13c.txt
# Original_Source_URL: http://www1.ncdc.noaa.gov/pub/data/paleo/coral/red_sea/aq19-18o.txt
# Original_Source_URL: http://www1.ncdc.noaa.gov/pub/data/paleo/coral/red_sea/readme_aqaba.txt
# Original_Source_URL: http://www1.ncdc.noaa.gov/paleo/image/coral/aq19c13.gif
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Corals and Sclerosponges
#--------------------
# Contribution_Date
#	Date: 1995-08-01
#--------------------
# Title
#	Study_Name: Aqaba - Stable Isotope Data 
#--------------------
# Investigators
#       Investigators: Heiss, G. A.
#--------------------
# Description_and_Notes
#	Description: Site: Aqaba, Jordan, Marine Science Station Reef, cores C18 and C19 (29 deg 26' N, 34 deg 58' E)  Water Depth 1m. collected  11/01/92 (upper 0-120cm), 11/01/93 (120-320cm) Coral species: Porites sp.  In fall 1992 and spring 1993 we drilled an unusual big colony of Porites sp. at the fore-reef at Aqaba.  The colony is situated in front of the reef edge of the fringing reef south of the Marine Science Station. The colony grows from a depth of ca 4.5 m, reaches a height of 3.5 m and a maximum diameter of approximately 5.5 m. We drilled with a hand held pneumatic drill powered by compressed air from a Scuba tank. We used a conventional 30cm diamond-tipped drill bit and in order to obtain longer cores we constructed extensions of 100cm each (3 in total). The extensions are made from a 17mm diameter steel rod with a screw thread attached either to the core barrel or another extension. Up to 320 cm long cores in 30cm lengths with 100% recovery were obtained. The core holes were filled with cement plugs after drilling to prevent bioerosion  (see Hudson 1981; Winter et al. 1991) . The cores were drilled parallel to the growth axis (perpendicular to the coral surface). Five cores were extracted from the "big" Porites sp. at different sides of the colony. Three cores (19, 20, 21) are of 130 cm length, core 24 (lying SE-side of the colony at an angle of 45�) reached 229 cm length, and core 18 (top of the colony) recovered coral skeleton to a total length of 312 cm.  For oxygen and carbon isotope analysis core 18 (top of colony) and core 19 (horizontal core from the southern side) were selected.  Samples for isotopic analyses were treated with 35% hydrogen peroxide for 24 hours to remove oxidizable organic material. In addition they were rinsed several times in demineralized water and dried in a stove at 40�C. Small samples to determine the average isotope composition of each year were cut with a hand held saw. They were taken along the edge of the coral slabs. The top of LD-bands was chosen as the end (respectively beginning) of an annual band. In all our samples this boundary is sharp and can be determined relatively precisely. Each chip was gently powdered in an agate mortar. The samples were reacted with 100% H3PO4 at 75�C in an online, automated carbonate reaction device (Kiel Device) connected to a Finnigan Mat 252 mass spectrometer. Isotopic ratios were corrected for 17-O contribution  (Craig 1957)  and are reported in permil relative to PDB. Average precision based on duplicate sample analysis and on multiple analysis of NBS 19 is �0.04 permil for d13C and �0.08 permil for d18O.
#--------------------
# Publication 
#       Authors: Heiss, G. A.
#       Published_Date_or_Year: 1994     
#       Published_Title: Coral reefs in the Red Sea: Growth, production and stable isotopes
#       Journal_Name: GEOMAR
#       Volume: 32
#       Edition: 
#       Issue: 
#       Pages: 1-141
#       DOI: 
#       Online_Resource: 
#       Full_Citation: Heiss, G. A., 1994. Coral reefs in the Red Sea: Growth, production and stable isotopes, GEOMAR Report 32: 1-141.
#       Abstract: 
#------------------
# Funding_Agency 
#       Funding_Agency_Name: 
#       Grant: 
#------------------
# Site_Information 
#       Site_Name: Gulf of Aqaba, Red Sea, Jordan
#       Location: Ocean>Indian Ocean>Red Sea
#	Country: Jordan
#	Northernmost_Latitude: 29.42
# 	Southernmost_Latitude: 29.42
# 	Easternmost_Longitude: 34.97
# 	Westernmost_Longitude: 34.97
# 	Elevation: -4.5 m
#------------------
# Data_Collection   
#	Collection_Name: 94reds02a
#	Earliest_Year: 1886
#	Most_Recent_Year: 1992
#	Time_Unit: AD
#	Core_Length: 1.2 m
#	Notes: Core name- aq19. Average precision based on duplicate sample analysis and on multiple analysis of NBS 19 is �0.04 permil for d13C and �0.08 permil for d18O
#------------------
# Species
#	Species_Name: Porites sp.
#	Common_Name: 
#------------------
# Chronology_Information
#	Chronology: year of deposition derived from density banding each year represents a high density/low density band
#  
#----------------
# Variables 
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age	age, , ,years AD, , , , ,N
##id	sample identification, , , , , , , ,C
##d13C	delta 13C, Porites sp., , permil VPDB, , Corals and Sclerosponges, , instrument: Finnigan Mat 252 mass spectrometer,N
##d13Cstd	delta 13C, Porites sp., one standard deviation, permil VPDB, , Corals and Sclerosponges, , instrument: Finnigan Mat 252 mass spectrometer,N
##d18O	delta 18O, Porites sp., , permil VPDB, , Corals and Sclerosponges, , instrument: Finnigan Mat 252 mass spectrometer,N
##d18Ostd	delta 18O, Porites sp., one standard deviation, permil VPDB, , Corals and Sclerosponges, , instrument: Finnigan Mat 252 mass spectrometer,N 
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: NAN 
#
age	id	d13C	d13Cstd	d18O	d18Ostd
1992	19001	-3.96	0.02	-2.87	0.04
1991	19002	-4.08	0.03	-3.02	0.05
1990	19003	-3.75	0.02	-2.8	0.03
1989	19004	-4.1	0.02	-3.02	0.04
1988	19005	-3.88	0.04	-3.02	0.07
1987	19006	-3.74	0.02	-2.89	0.04
1986	19007	-3.22	0.05	-3	0.07
1985	19008	-3.31	0.04	-3.01	0.05
1984	19009	-3.07	0.02	-2.71	0.03
1983	19010	-3.21	0.03	-2.68	0.02
1982	19011	-3.25	0.03	-2.74	0.03
1981	19012	-3.21	0.01	-2.95	0.04
1980	19013	-2.71	0.02	-3.05	0.05
1979	19014	-2.32	0.03	-2.89	0.01
1978	19015	-2.19	0.03	-2.8	0.04
1977	19016	-2.12	0.03	-2.79	0.05
1976	19017	-2.01	0.01	-2.99	0.03
1975	19018	-2.2	0.03	-2.68	0.03
1974	19019	-2.42	0.03	-2.79	0.03
1973	19020	-2.27	0.03	-2.74	0.03
1972	19021	-2.33	0.02	-2.81	0.03
1971	19022	-2.46	0.01	-2.73	0.03
1970	19023	-3.02	0.02	-3.08	0.03
1969	19024	-3.09	0.01	-2.95	0.02
1968	19025	-2.99	0.03	-2.63	0.03
1967	19026	-2.63	0.02	-2.78	0.01
1966	19027	-2.23	0.03	-2.88	0.04
1965	19028	-2.25	0.04	-2.74	0.03
1964	19029	-1.95	0.02	-2.89	0.03
1963	19030	-2.43	0.02	-2.98	0.03
1962	19031	-2.51	0.01	-2.84	0.03
1961	19032	-2.74	0.02	-2.82	0.05
1960	19033	-2.77	0.03	-2.65	0.03
1959	19034	-2.46	0.02	-2.75	0.03
1958	19035	-1.98	0.03	-2.84	0.02
1957	19036	-2.45	0.02	-2.76	0.01
1956	19037	-2.21	0.02	-2.62	0.05
1955	19038	-2.03	0.03	-2.7	0.03
1954	19039	-1.95	0.03	-2.74	0.05
1953	NAN	NAN	NAN	NAN	NAN
1953	19040	-1.74	0.02	-2.97	0.03
1952	19041	-1.44	0.01	-2.64	0.02
1951	19042	-1.74	0.02	-2.73	0.02
1950	19043	-1.82	0.02	-2.77	0.02
1949	19044	-1.71	0.01	-2.73	0.02
1948	19045	-1.57	0.02	-2.8	0.01
1947	19046	-1.68	0.01	-2.94	0.02
1946	19047	-2.12	0.02	-2.71	0.02
1945	19048	-2.6	0.02	-2.84	0.02
1944	19049	-2.89	0.03	-2.88	0.02
1943	19050	-2.1	0.02	-2.91	0.04
1942	19051	-2.03	0.01	-2.99	0.02
1941	19052	-2.05	0.02	-2.74	0.02
1940	19053	-2.23	0.02	-2.79	0.02
1939	19054	-2.39	0.02	-2.76	0.06
1938	19055	-1.83	0.02	-2.57	0.02
1937	19056	-1.58	0.01	-2.68	0.04
1936	19057	-1.47	0.02	-2.7	0.02
1935	19058	-1.26	0.02	-2.81	0.04
1934	19059	-1.26	0.02	-2.63	0.03
1933	19060	-1.71	0.02	-2.7	0.05
1932	19061	-2.65	0.02	-2.61	0.03
1931	19062	-2.07	0.01	-2.79	0.03
1930	19063	-1.75	0.02	-2.4	0.03
1929	19064	-1.87	0.01	-2.67	0.02
1928	19065	-1.41	0.02	-2.69	0.02
1927	19066	-1.64	0.03	-2.82	0.04
1926	19067	-1.73	0.01	-2.52	0.02
1925	19068	-1.31	0.03	-2.57	0.03
1924	19069	-1.53	0.02	-2.78	0.02
1923	19070	-1.58	0.01	-2.69	0.04
1922	19071	-1.65	0.01	-2.68	0.03
1921	19072	-1.47	0.01	-2.47	0.03
1920	19073	-1.51	0.01	-2.68	0.02
1919	19074	-1.44	0.02	-2.79	0.02
1918	19075	-1.95	0.02	-2.66	0.02
1917	19076	-2.35	0.02	-2.73	0.03
1916	19077	-2.44	0.03	-2.87	0.03
1915	19078	-2.73	0.01	-2.4	0.02
1914	19079	-2.56	0.02	-2.78	0.02
1913	19080	-1.81	0.02	-2.79	0.03
1912	19081	-1.87	0.02	-2.59	0.02
1911	19082	-1.8	0.03	-2.46	0.02
1910	19083	-1.59	0.03	-2.67	0.02
1909	19084	-1.72	0.01	-2.69	0.04
1908	19085	-1.54	0.02	-2.44	0.02
1907	19086	-1.81	0.02	-2.73	0.02
1906	19087	-1.41	0.02	-2.71	0.04
1905	19088	-1.67	0.01	-2.41	0.03
1904	19089	-1.64	0.01	-2.33	0.03
1903	19090	-1.81	0.01	-2.48	0.02
1902	19091	-1.4	0.01	-2.77	0.03
1901	19092	-1.84	0.01	-2.95	0.02
1900	19093	-1.97	0.02	-2.58	0.02
1899	19094	-1.79	0.01	-2.86	0.03
1898	19095	-2.15	0.01	-2.18	0.02
1897	19096	-2.82	0.01	-2.58	0.02
1896	19097	-1.68	0.02	-2.69	0.03
1895	19098	-1.8	0.01	-2.78	0.01
1894	19099	-2.29	0.01	-2.79	0.03
1893	19100	-3.04	0.02	-2.68	0.04
1892	19101	-2.48	0.01	-2.69	0.02
1891	19102	-2.03	0.02	-2.74	0.02
1890	19103	-1.99	0.01	-2.81	0.04
1889	19104	-2.35	0.01	-2.79	0.02
1888	19105	-2.2	0.01	-2.79	0.03
1887	19106	-1.91	0.03	-2.6	0.01
1886	19107	-2.05	0.01	-2.93	0.02
