# Yongxing Island, northern South China Sea coral d18O Data 1851-2008 CE
#----------------------------------------------------------------------- 
#                World Data Service for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------------------------- 
# Template Version 3.0
# Encoding: UTF-8
# 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
# Online_Resource: https://www.ncdc.noaa.gov/paleo/study/28430
#       Description: NOAA Landing Page
# Online_Resource: https://www1.ncdc.noaa.gov/pub/data/paleo/coral/south_china_sea/han2019/han2019-d18o.txt
#       Description: NOAA Location of this template
#
# Original_Source_URL: 
#       Description:
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Data_Type: coral
#
# Dataset_DOI:
#
# Parameter_Keywords: oxygen isotopes
#--------------------
# Contribution_Date
#	Date:  2019-12-02
#--------------------
# File_Last_Modified_Date
#	Date:  2019-12-02
#--------------------
# Title
#	Study_Name: Yongxing Island, northern South China Sea coral d18O Data 1851-2008 CE
#--------------------
# Investigators
#	Investigators: Han, Tao; Yu, Kefu; Yan, Hongqiang; Deng, Wenfeng; Liu, Yi; Xu, Shendong; Tao, Shichen; Zhang, Huiling; Wang, Shaopeng
#--------------------
# Description_Notes_and_Keywords
#	Description: 
#--------------------
# Publication 
#	Authors: Han, Tao, Kefu Yu, Hongqiang Yan, Wenfeng Deng, Yi Liu, Shendong Xu, Shichen Tao, Huiling Zhang, and Shaopeng Wang
#	Published_Date_or_Year:  2019   
#	Published_Title: Links Between the Coral d13C Record of Primary Productivity Variations in the Northern South China Sea and the East Asian Winter Monsoon
#	Journal_Name: Geophysical Research Letters
#	Volume: 46
#	Edition: 
#	Issue: 
#	Pages:
#	Report_Number: 
#	DOI: 10.1029/2019GL085030
#	Online_Resource: 
#	Full_Citation: 
#	Abstract: To date, the decadal variability of the Global Monsoon (GM) has been mainly studied using instrumental data collected over the last 50 years, and further discussion has been hampered by the limited data length. Here, we present a coral d18O record from the northern South China Sea, where the hydrology is related to the seasonal Intertropical Convergence Zone (ITCZ) migration, and we use this record to reconstruct the decadal migration of the ITCZ since 1851 A.D. Combining our record with a synthesis of monsoon records reveals an anti-phase inter-hemispheric variability of the GM over the last 150 years, indicating that the decadal-scale hydrologic variability in the tropics is modulated by the meridional migration of the ITCZ. The plausible relationship observed between the decadal variability of the GM and the Atlantic Multidecadal Oscillation suggests that the decadal variability of tropical hydrological changes is likely linked to the climate perturbations in the North Atlantic.
#------------------
# Funding_Agency 
#	Funding_Agency_Name: 
#	Grant: 
#------------------
# Site_Information 
#	Site_Name: Yongxing Island
#	Location:  Pacific Ocean>Western Pacific>South China Sea
#	Country:  China
#	Northernmost_Latitude: 16.84
# 	Southernmost_Latitude:  16.84
# 	Easternmost_Longitude:  112.33
# 	Westernmost_Longitude:  112.33
# 	Elevation: 
#------------------
# Data_Collection   
#	Collection_Name:  Yongxing d18O Han2019
#	Earliest_Year:  1851
#	Most_Recent_Year:  2007
#	Time_Unit:  AD
#	Core_Length: 2 
#	Notes: 
#------------------
# Species 
#	Species_Name: 
#	Common_Name: 
#	Tree_Species_Code: 
#------------------
# Chronology_Information
#	Chronology: 
# 	
#----------------	
# Variables 
#
# variables format:  shortname	what,material,error,units,seasonality,data_type,detail,method,data_format,additional_information) 
#
## age_calCE	age, , ,year Common Era, ,corals and sclerosponges,,,N,
## d18Ocarb_ivc	delta 18O, calcium carbonate,,per mil VPDB, ,corals and sclerosponges,corrected,isotope ratio mass spectrometry,N,corrected for ice volume	
#
#----------------
# Data:
# Missing_Values: NA
#
age_calAD	d18OcarbVPDB
1851.041661	-5.409
1851.124994	-5.443
1851.208328	-5.405
1851.291661	-5.54
1851.374994	-5.739
1851.458328	-5.893
1851.541661	-5.6849
1851.624994	-5.5399
1851.708328	-5.6423
1851.791661	-5.5121
1851.874994	-5.3604
1851.958328	-5.2327
1852.041661	-5.01
1852.124994	-5.0518
1852.208328	-5.3208
1852.291661	-5.6752
1852.374994	-5.5268
1852.458328	-5.758
1852.541661	-5.394
1852.624994	-5.394
1852.708328	-5.42
1852.791661	-5.549
1852.874994	-5.319
1852.958328	-5.132
1853.041661	-4.85
1853.124994	-5.0668
1853.208328	-5.3562
1853.291661	-5.5554
1853.374994	-5.6478
1853.458328	-5.763
1853.541661	-5.576
1853.624994	-5.464
1853.708328	-5.282
1853.791661	-5.404
1853.874994	-5.048
1853.958328	-5
1854.041661	-4.891
1854.124994	-5.0078
1854.208328	-5.0526
1854.291661	-5.179
1854.374994	-5.3962
1854.458328	-5.569
1854.541661	-5.3563
1854.624994	-5.4099
1854.708328	-5.2077
1854.791661	-5.2179
1854.874994	-5.4086
1854.958328	-5.2967
1855.041661	-5.047
1855.124994	-5.144
1855.208328	-5.091
1855.291661	-5.326
1855.374994	-5.317
1855.458328	-5.827
1855.541661	-5.5843
1855.624994	-5.4626
1855.708328	-5.2149
1855.791661	-4.8416
1855.874994	-4.9354
1855.958328	-4.8324
1856.041661	-4.517
1856.124994	-4.6054
1856.208328	-4.844
1856.291661	-5.3376
1856.374994	-5.5916
1856.458328	-5.717
1856.541661	-5.5613
1856.624994	-5.6237
1856.708328	-5.4424
1856.791661	-5.381
1856.874994	-5.267
1856.958328	-5.0884
1857.041661	-4.683
1857.124994	-4.8546
1857.208328	-5.2668
1857.291661	-5.3334
1857.374994	-5.5494
1857.458328	-5.637
1857.541661	-5.5559
1857.624994	-5.4004
1857.708328	-5.2343
1857.791661	-5.0509
1857.874995	-4.9866
1857.958328	-4.858
1858.041661	-4.798
1858.124995	-4.9844
1858.208328	-5.1072
1858.291661	-5.2636
1858.374995	-5.467
1858.458328	-5.647
1858.541661	-5.3953
1858.624995	-5.4236
1858.708328	-5.2213
1858.791661	-5.2059
1858.874995	-5.3689
1858.958328	-4.9719
1859.041661	-4.737
1859.124995	-4.8186
1859.208328	-5.1678
1859.291661	-5.3534
1859.374995	-5.3606
1859.458328	-5.591
1859.541661	-5.244
1859.624995	-5.4043
1859.708328	-5.576
1859.791661	-5.6024
1859.874995	-5.3989
1859.958328	-5.0834
1860.041661	-4.946
1860.124995	-5.027
1860.208328	-5.0415
1860.291661	-5.1145
1860.374995	-5.606
1860.458328	-5.546
1860.541661	-5.4925
1860.624995	-5.505
1860.708328	-5.643
1860.791661	-5.4635
1860.874995	-5.345
1860.958328	-5.315
1861.041661	-5.002
1861.124995	-5.2878
1861.208328	-5.5068
1861.291661	-5.5754
1861.374995	-5.6618
1861.458328	-5.787
1861.541661	-5.7141
1861.624995	-5.5754
1861.708328	-5.3236
1861.791661	-5.1491
1861.874995	-5.3414
1861.958328	-5.0214
1862.041661	-4.865
1862.124995	-5.047
1862.208328	-5.037
1862.291661	-5.422
1862.374995	-5.442
1862.458328	-5.619
1862.541661	-5.5107
1862.624995	-5.5406
1862.708328	-5.3936
1862.791661	-5.3866
1862.874995	-5.3
1862.958328	-5.2424
1863.041661	-5.048
1863.124995	-5.106
1863.208328	-5.059
1863.291661	-5.342
1863.374995	-5.461
1863.458328	-5.712
1863.541661	-5.6067
1863.624995	-5.6936
1863.708328	-5.3107
1863.791661	-5.415
1863.874995	-5.2294
1863.958328	-5.2717
1864.041661	-4.995
1864.124995	-5.038
