# Kupang Bay, Timor Coral d18O and Sr/Ca Data for the 20th Century
#-----------------------------------------------------------------------
#               World Data Center for Paleoclimatology, Boulder
#                                   and
#                      NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite original publication, online resource and date accessed when using this data.
# If there is no publication information, please cite Investigator, title, online resource and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Online_Resource: http://www.ncdc.noaa.gov/paleo/study/19179
# Online_Resource: http://www1.ncdc.noaa.gov/pub/data/paleo/coral/west_pacific/cahyarini2014/cahyarini2014.txt
#
# Archive: Corals and Sclerosponges
#
# Parameter_Keywords: oxygen isotopes, trace metals
#---------------------------------------
# Contribution_Date
#    Date: 2015-09-01
#---------------------------------------
# Title
#    Study_Name: Kupang Bay, Timor Coral d18O and Sr/Ca Data for the 20th Century
#---------------------------------------
# Investigators
#      Investigators: Cahyarini,S.Y
#---------------------------------------
# Description and Notes
#        Description: paleoceanography at the ITF exit passages, reconstruction salinity based on paired coral Sr/Ca & d18O
#         Provided Keywords: trace element,SST,SSS Porites coral
#	  This file updated 1 March 2019.  Additional columns of d18Oseawater and SSS data added.
#---------------------------------------
# Publication
# Authors: Cahyarini, S.Y., M. Pfeiffer, I.S. Nurhati, E. Aldrian, W.-C. Dullo, and S. Hetzinger
# Published_Date_or_Year: 2014
# Published_Title: Twentieth century sea surface temperature and salinity variations at Timor inferred from paired coral d18O and Sr/Ca measurements
# Journal_Name: J. Geophys.Res. Oceans
# Volume: 119
# Issue: 
# Pages: 4593-4604
# Report Number: 
# DOI: 10.1002/2013JC009594
# Abstract: The Indonesian Throughflow (ITF), which represents the global ocean circulation connecting the Pacific Warm Pool to the Indian Ocean, strongly influences the Indo-Pacific climate. ITF monitoring since the late 1990s using mooring buoys have provided insights on seasonal and interannual time scales. However, the absence of longer records limits our perspective on its evolution over the past century. Here, we present sea surface temperature (SST) and salinity (SSS) proxy records from Timor Island located at the ITF exit passage via paired coral d18O and Sr/Ca measurements spanning the period 1914-2004. These high resolution proxy based climate data of the last century highlights improvements and cautions when interpreting paleoclimate records of the Indonesian region. If the seasonality of SST and SSS is not perfectly in phase, the application of coral Sr/Ca thermometry improves SST reconstructions compared to estimates based on coral d18O only. Our records also underline the importance of ocean advection besides rainfall on local SSS in the region. Although the El Ni~no/Southern Oscillation (ENSO) causes larger anomalies relative to the Indian Ocean Dipole (IOD), Timor coral-based SST and SSS records robustly correlate with IOD on interannual time scales, whereas ENSO only modifies Timor SST. Similarly, Timor SST and SSS are strongly linked to Indian Ocean decadal-scale variations that appear to lead Timor oceanographic conditions by about 1.6-2 years. Our study sheds new light on the complex signatures of Indo-Pacific climate modes on SST and SSS dynamics of the ITF.
#---------------------------------------
# Funding_Agency
#    Funding_Agency_Name: Deutscher Akademischer Austauschdienst (DAAD)
#    Grant: A/02/21403
#---------------------------------------
# Funding_Agency
#    Funding_Agency_Name: Deutsche Forschungsgemeinschaft
#    Grant: Leibniz Award Du 129/33
#---------------------------------------
# Site Information
# Site_Name: Kupang Bay
# Location: Timor, Indonesia
# Country: Indonesia
# Northernmost_Latitude: -10.12
# Southernmost_Latitude: -10.12
# Easternmost_Longitude: 123.31
# Westernmost_Longitude: 123.31
# Elevation: -3
#---------------------------------------
# Data_Collection
#   Collection_Name: KP1 Cahyarini14
#   First_Year: 1914
#   Last_Year: 2004
#   Time_Unit: AD
#   Core_Length: 1.80
#   Notes: monthly resolution
#---------------------------------------
# Species
#   Species_Name: Porites.sp
#   Common_Name: 
#   Tree_Species_Code: 
#---------------------------------------
# Chronology: 
#---------------------------------------
# Variables
# Data variables follow that are preceded by "##" in columns one and two.
# Variables list, one per line, shortname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
## age_AD	age,,,year AD,,,,,N
## d18Oporite	delta 18O,porites sp.,,permil,,,,analytical technique: Gasbench Delta plus,N
## Sr/Ca-porite	Strontium Calcium ratio,porites sp.,,mmol/mol,,Corals and Sclerosponges,,analytical technique: ICP OES,N
## d18Osw	delta 18O,seawater,,permil,,,,estimated,N
## DrecSSS	Sea surface salinity,,,permil,,,,derived,N
#------------------------
# Data
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Value: NA
age_AD	d18Oporite	Sr/Ca-porite	d18Osw	DrecSSS
1914.46	-5.09	8.76	-0.10	-0.23
1914.54	-5.16	8.72	0.00	0.00
1914.62	-5.31	8.71	-0.11	-0.24
1914.71	-5.53	8.71	-0.34	-0.78
1914.79	-5.61	8.71	-0.42	-0.95
1914.87	-5.56	8.70	-0.34	-0.78
1914.96	-5.46	8.69	-0.20	-0.46
1915.04	-5.45	8.69	-0.18	-0.41
1915.12	-5.45	8.69	-0.18	-0.42
1915.21	-5.38	8.70	-0.15	-0.33
1915.29	-5.30	8.70	-0.07	-0.16
1915.37	-5.23	8.71	-0.03	-0.07
1915.46	-5.18	8.73	-0.05	-0.12
1915.54	-5.11	8.75	-0.08	-0.18
1915.62	-5.01	8.80	-0.16	-0.37
1915.71	-4.92	8.84	-0.25	-0.58
1915.79	-4.95	8.82	-0.18	-0.41
1915.87	-5.01	8.73	0.09	0.20
1915.96	-5.19	8.67	0.17	0.38
1916.04	-5.25	8.69	0.01	0.02
1916.12	-5.20	8.70	0.01	0.03
1916.21	-4.90	8.75	0.15	0.34
1916.29	-5.10	8.76	-0.11	-0.24
1916.37	-5.22	8.77	-0.25	-0.57
1916.46	-5.40	8.76	-0.42	-0.94
1916.54	-5.40	8.75	-0.36	-0.81
1916.62	-5.11	8.81	-0.32	-0.72
1916.71	-4.85	8.82	-0.10	-0.22
1916.79	-5.01	8.75	0.02	0.04
1916.87	-5.20	8.72	-0.06	-0.13
1916.96	-5.37	8.71	-0.16	-0.37
1917.04	-5.50	8.71	-0.33	-0.75
1917.12	-5.63	8.73	-0.53	-1.21
1917.21	-5.67	8.73	-0.57	-1.29
1917.29	-5.65	8.72	-0.51	-1.16
1917.37	-5.57	8.73	-0.45	-1.02
1917.46	-5.43	8.74	-0.35	-0.80
1917.54	-5.35	8.75	-0.30	-0.69
1917.62	-5.30	8.76	-0.29	-0.66
1917.71	-5.21	8.75	-0.16	-0.36
1917.79	-5.20	8.73	-0.08	-0.18
1917.87	-5.20	8.71	-0.02	-0.06
1917.96	-5.52	8.69	-0.24	-0.55
1918.04	-5.50	8.71	-0.30	-0.67
1918.12	-5.37	8.72	-0.23	-0.51
1918.21	-5.29	8.73	-0.17	-0.38
1918.29	-5.24	8.74	-0.19	-0.43
1918.37	-5.24	8.76	-0.24	-0.54
1918.46	-5.22	8.78	-0.29	-0.66
1918.54	-5.04	8.81	-0.24	-0.54
1918.62	-4.92	8.83	-0.19	-0.43
1918.71	-4.86	8.82	-0.12	-0.27
1918.79	-4.94	8.77	-0.01	-0.02
1918.87	-5.11	8.73	-0.01	-0.03
1918.96	-5.42	8.67	-0.06	-0.13
1919.04	-5.48	8.68	-0.19	-0.43
1919.12	-5.46	8.70	-0.23	-0.53
1919.21	-5.52	8.72	-0.35	-0.79
1919.29	-5.55	8.73	-0.45	-1.03
1919.37	-5.38	8.74	-0.31	-0.71
1919.46	-5.26	8.73	-0.13	-0.29
1919.54	-5.20	8.79	-0.35	-0.79
1919.62	-5.07	8.84	-0.41	-0.92
1919.71	-5.07	8.87	-0.50	-1.13
1919.79	-5.12	8.83	-0.41	-0.92
1919.87	-5.12	8.76	-0.13	-0.29
1919.96	-5.13	8.72	0.04	0.10
1920.04	-5.34	8.71	-0.16	-0.35
1920.12	-5.42	8.72	-0.28	-0.64
1920.21	-5.39	8.73	-0.28	-0.63
1920.29	-5.45	8.74	-0.36	-0.83
1920.37	-5.46	8.75	-0.41	-0.93
1920.46	-5.26	8.76	-0.26	-0.59
1920.54	-5.01	8.81	-0.20	-0.46
1920.62	-4.85	8.85	-0.21	-0.48
1920.71	-4.74	8.88	-0.21	-0.48
1920.79	-4.81	8.85	-0.17	-0.38
1920.87	-4.92	8.79	-0.04	-0.09
1920.96	-5.00	8.74	0.08	0.18
1921.04	-5.09	8.74	-0.01	-0.03
1921.12	-5.21	8.76	-0.22	-0.51
1921.21	-5.24	8.83	-0.53	-1.20
1921.29	-5.28	8.87	-0.70	-1.60
1921.37	-5.30	8.85	-0.67	-1.53
1921.46	-5.20	8.83	-0.47	-1.06
1921.54	-5.06	8.84	-0.36	-0.83
1921.62	-4.93	8.84	-0.26	-0.59
1921.71	-4.89	8.84	-0.22	-0.50
1921.79	-4.86	8.78	0.05	0.11
1921.87	-5.06	8.72	0.09	0.21
1921.96	-5.30	8.69	-0.05	-0.10
1922.04	-5.37	8.70	-0.14	-0.31
