# Flinders Reef Coral Sr/Ca and Oxygen Isotope Data
#----------------------------------------------------------------------- 
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
# Online_Resource: https://www.ncdc.noaa.gov/paleo/study/6087
#
# Original_Source_URL: http://www1.ncdc.noaa.gov/pub/data/paleo/coral/west_pacific/great_barrier/flinders2007.txt
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Corals and Sclerosponges
#--------------------
# Contribution_Date
#	Date: 2007-07-01
#--------------------
# Title
#	Study_Name: Flinders Reef - Sr/Ca and Oxygen Isotope Data
#--------------------
# Investigators
#       Investigators: Calvo, E.; Marshall, J.F.; Pelejero, C.; McCulloch, M.T.; Gagan, M.K.; Lough, J.M.
#--------------------
# Description_and_Notes
#	Description: 5-yr interval Flinders Reef Sr/Ca and d18O data.  Reconstruction of SSTs and salinity for 1708 to 1988.   A 4.2 m long core of Porites sp. coral was analyzed from  Flinders Reef, an offshore reef on the Queensland Plateau  in the Coral Sea, ~250 km from the north-east coast of Australia.  The coral core was cut lengthwise into 7mm thick slices and X-rayed  to reveal annual density bands, which were used to establish the  coral chronology. Samples were milled in continuous 5-year intervals  down the full length of the core along major coral growth axes for  the period 1988 to 1708 AD. 
#--------------------
# Publication 
#       Authors: Calvo, E.; Marshall, J.F.; Pelejero, C.; McCulloch, M.T.; Gagan, M.K.; Lough, J.M.
#       Published_Date_or_Year: 2007-05-14     
#       Published_Title: Interdecadal climate variability in the Coral Sea since 1708 A.D.
#       Journal_Name: Palaeogeography, Palaeoclimatology, Palaeoecology
#       Volume: 248
#       Edition: 
#       Issue: 1-2
#       Pages: 190-201
#       DOI: 10.1016/j.palaeo.2006.12.003
#       Online_Resource: 
#       Full_Citation: Calvo, E., J.F. Marshall, C. Pelejero,  M.T. McCulloch, M.K. Gagan, and J.M. Lough.  2007. Interdecadal climate variability in the Coral Sea since 1708 A.D. Palaeogeography, Palaeoclimatology, Palaeoecology,  Vol. 248, Issues 1-2, pp. 190-201, 14 May 2007,  doi:10.1016/j.palaeo.2006.12.003.
#       Abstract: Low resolution (5-year) Sr/Ca and d18O samples, extending back to  1708 A.D., were analysed from a Porites coral core collected from  Flinders Reef, an offshore reef on the Queensland Plateau in the  western Coral Sea (17.5� S, 148.3� E). Using the Sr/Ca ratio as  a proxy for sea surface temperature (SST), we deconvolved a  salinity record by subtracting the SST signal from the d18O record.  Decadal variability in the reconstructed salinity record is closely  paralleled by changes in SST, with cooler (warmer) temperatures  recorded during wetter (drier) periods.  This relationship differs  from the conventional view often described for tropical areas,  where warm temperatures are associated with wet periods and cool  temperatures with dry periods. The anti-correlation between  reconstructed SST and salinity observed at Flinders Reef, however,  matches the climatic effects expected from variations in the  Interdecadal Pacific Oscillation (IPO), a recurrent pattern of  SST variability over the Pacific Ocean which is known to modulate  Australia's climate, in particular the impact of ENSO events on  decadal time scales. On longer timescales, salinity seems to have  remained almost constant for the last two centuries after a  progressive freshening of surface waters that culminated around  1800 A.D. Conversely, SSTs show a warming trend towards the late  20th century.
#------------------
# Funding_Agency 
#       Funding_Agency_Name: 
#       Grant: 
#------------------
# Site_Information 
#       Site_Name: Flinders Reef, Queensland Plateau, Coral Sea
#       Location: Australia/New Zealand>Australia
#	Country: Australia 
#	Northernmost_Latitude: -17.73
# 	Southernmost_Latitude: -17.73
# 	Easternmost_Longitude: 148.43
# 	Westernmost_Longitude: 148.43
# 	Elevation: -5 m  
#------------------
# Data_Collection   
#	Collection_Name: 07aust01a
#	Earliest_Year: 1708
#	Most_Recent_Year: 1988
#	Time_Unit: AD
#	Core_Length: 4.2 m
#	Notes: 
#------------------
# Species
#	Species_Name: Porites sp.
#	Common_Name: 
#------------------
# Chronology_Information
#	Chronology: 
# 
#----------------
# Variables 
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age	age, , ,years AD, ,  , ,N
##d18O	delta 18O, Porites sp., , permil VPDB, , Corals and Sclerosponges, , ,N
##Sr/Ca	Strontium/Calcium, Porites sp., ,mmol/mol, ,Corals and Sclerosponges, , ,N
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: NAN 
#
age	d18O	Sr/Ca
1988	-4.88	8.8996
1983	-4.78	8.9243
1978	-4.83	8.9043
1973	-4.91	8.9658
1968	-4.75	8.9808
1963	-4.69	8.9596
1958	-4.66	8.9563
1953	-4.65	8.9604
1948	-4.78	8.9458
1943	-4.79	8.942
1938	-4.79	8.9599
1933	-4.53	8.9391
1928	-4.63	8.9788
1923	-4.68	8.9971
1918	-4.56	8.954
1913	-4.56	8.9584
1908	-4.74	8.9736
1903	-4.63	8.9352
1898	-4.69	8.9674
1893	-4.77	8.9733
1888	-4.68	8.9356
1883	-4.74	8.9947
1878	-4.79	8.9442
1873	-4.81	8.951
1868	-4.73	8.9542
1863	-4.72	8.9749
1858	-4.74	8.9902
1853	-4.57	9.0111
1848	-4.7	8.9831
1843	-4.59	9.0437
1838	-4.61	8.9768
1833	-4.61	9.0055
1828	-4.74	9.0062
1823	-4.7	9.0019
1818	-4.58	8.9692
1813	-4.57	8.9793
1808	-4.61	9.0204
1803	-4.68	8.9711
1798	-4.65	8.9937
1793	-4.74	8.9927
1788	-4.58	9.0184
1783	-4.62	8.9698
1778	-4.6	8.9512
1773	-4.54	8.974
1768	-4.59	8.9497
1763	-4.64	8.9476
1758	-4.56	8.9387
1753	-4.6	8.9434
1748	-4.59	8.9106
1743	-4.45	8.9488
1738	-4.42	8.9539
1733	-4.39	9.0134
1728	-4.45	8.947
1723	-4.54	8.9717
1718	-4.38	9.0236
1713	-4.22	8.8745
1708	-4.27	8.9186
