# Bunaken Island, Indonesia Coral Oxygen Isotope Data
#----------------------------------------------------------------------- 
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
# Online_Resource: https://www.ncdc.noaa.gov/paleo/study/1903
#
# Original_Source_URL: http://www1.ncdc.noaa.gov/pub/data/paleo/coral/west_pacific/bunaken2003.txt
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Corals and Sclerosponges
#--------------------
# Contribution_Date
#	Date:  2004-12-01
#--------------------
# Title
#	Study_Name: Lombok Strait, Bunaken Island - Oxygen Isotope Data
#--------------------
# Investigators
#       Investigators: Charles, C.D.; Cobb, K.M.; Moore, M.D.; Fairbanks, R.G.
#--------------------
# Description_and_Notes
#	Description: Records of past climate and ocean environment derived from stable isotope, trace metal, and other measurements made on corals and sclerosponges. Parameter keywords describe what was measured in this data set. Additional summary information can be found in the abstracts of papers listed in the data set citations. 
#--------------------
# Publication 
#       Authors: Charles, C.D.; Cobb, K.M.; Moore, M.D.; Fairbanks, R.G.
#       Published_Date_or_Year: 2003-06-19
#       Published_Title: Monsoon-tropical ocean interaction in a network of coral records spanning the 20th century.
#       Journal_Name: Marine Geology
#       Volume: 201
#       Edition: 
#       Issue: Issues 1–3
#       Pages: 207-222
#       DOI:  10.1016/S0025-3227(03)00217-2
#       Online_Resource: 
#       Full_Citation: Charles, C.D., K. Cobb, M.D. Moore, and R.G. Fairbanks. 2003. Monsoon-tropical ocean interaction in a network of coral records spanning the 20th century. Marine Geology, v. 201, pp. 207-222.
#       Abstract: The 20th century evolution of basin-wide gradients in surface ocean properties provides one essential test for recent models of the interaction between the Asian monsoon and the tropical ocean, because various feedback mechanisms should result in characteristic regional patterns of variability. Although the instrumental record of climate variability in the tropics is essentially limited to the last few decades, the stable isotopic composition of living corals provides an effective means for extending the instrumental observations. Here we present two coral isotopic records from the Indonesian Maritime Continent, and we use these records with other previously published records to describe: (i) the relationship between western Pacific and central Pacific climate variability over the past century, with special emphasis on the biennial band; and (ii) the strength of the west-east 'Indian Ocean Dipole'. We find that the amplitude of the biennial cycle in the Pacific did not vary inversely with the strength of ENSO (El Nino Southern Oscillation), as might be expected from some models of monsoonal feedback on the central Pacific. Instead, the biennial variability was modulated on decadal timescales throughout much of the Pacific. We also show that the zonal oxygen isotopic gradient in the Indian Ocean coral records was significantly correlated with central Pacific sea surface temperature on a variety of timescales. Thus, it is likely that this 'coral dipole' was a product of strong ENSO-like teleconnections over the Indian Ocean, as opposed to being the result of unique Indian Ocean or monsoonal dynamics
#------------------
# Funding_Agency 
#       Funding_Agency_Name: 
#       Grant: 
#------------------
# Site_Information 
#       Site_Name: Bunaken Island
#       Location: Ocean>Indian Ocean>Indonesia
#	Country: Indonesia 
#	Northernmost_Latitude: 1.5 
# 	Southernmost_Latitude: 1.5 
# 	Easternmost_Longitude: 124.83 
# 	Westernmost_Longitude: 124.83 
# 	Elevation: -3 m  
#------------------
# Data_Collection   
#	Collection_Name: 03indo02a
#	Earliest_Year: 1860
#	Most_Recent_Year: 1990
#	Time_Unit: AD
#	Core_Length: 2.65 m
#	Notes: 
#------------------
# Species
#	Species_Name: Porites sp. 
#	Common_Name: 
#------------------
# Chronology_Information
# 	Chronology: 
# 
#----------------
# Variables 
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age	age, , ,years AD, , , , ,N
##d18O	delta 18O, Porites sp., , permil VPDB, , corals and sclerosponges, , ,N
##d18O_sa	delta 18O, Porites sp., , permil VPDB, , corals and sclerosponges, seasonal average, ,N
##d18O_anom	delta 18O, Porites sp., , permil VPDB, , corals and sclerosponges, anomaly, ,N
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: NAN 
#
age	d18O	d18O_sa	d18O_anom
1860	-5.2043	-5.135	-0.069
1860.08	-5.1091	-5.095	-0.014
1860.17	-5.0987	-5.074	-0.025
1860.25	-5.1878	-5.081	-0.107
1860.33	-5.1646	-5.081	-0.084
1860.42	-5.0269	-5.084	0.057
1860.5	-4.9419	-5.095	0.153
1860.58	-5.0826	-5.128	0.045
1860.67	-5.2432	-5.158	-0.085
1860.75	-5.2697	-5.222	-0.048
1860.83	-5.3656	-5.279	-0.087
1860.92	-5.2664	-5.201	-0.065
1861	-5.2015	-5.135	-0.066
1861.08	-5.1426	-5.095	-0.048
1861.17	-5.239	-5.074	-0.165
1861.25	-5.2491	-5.081	-0.168
1861.33	-5.1115	-5.081	-0.03
1861.42	-4.9799	-5.084	0.104
1861.5	-5.0606	-5.095	0.034
1861.58	-5.1853	-5.128	-0.057
1861.67	-5.0162	-5.158	0.142
1861.75	-5.2357	-5.222	-0.014
1861.83	-5.3128	-5.279	-0.034
1861.92	-5.1324	-5.201	0.069
1862	-5.0927	-5.135	0.042
1862.08	-5.0457	-5.095	0.049
1862.17	-4.9849	-5.074	0.089
1862.25	-5.0145	-5.081	0.066
1862.33	-5.0092	-5.081	0.072
1862.42	-5.0515	-5.084	0.032
1862.5	-5.1355	-5.095	-0.041
1862.58	-5.1463	-5.128	-0.018
1862.67	-5.2713	-5.158	-0.113
1862.75	-5.3601	-5.222	-0.138
1862.83	-5.3673	-5.279	-0.088
1862.92	-5.2468	-5.201	-0.046
1863	-5.0609	-5.135	0.074
1863.08	-4.9615	-5.095	0.133
1863.17	-4.9321	-5.074	0.142
1863.25	-4.979	-5.081	0.102
1863.33	-4.9579	-5.081	0.123
1863.42	-4.9446	-5.084	0.139
1863.5	-5.0959	-5.095	-0.001
1863.58	-5.2502	-5.128	-0.122
1863.67	-5.3212	-5.158	-0.163
1863.75	-5.3909	-5.222	-0.169
1863.83	-5.5198	-5.279	-0.241
1863.92	-5.3074	-5.201	-0.106
1864	-5.1185	-5.135	0.017
1864.08	-5.1335	-5.095	-0.038
1864.17	-5.063	-5.074	0.011
1864.25	-5.0812	-5.081	0
1864.33	-5.1514	-5.081	-0.07
1864.42	-5.1971	-5.084	-0.113
1864.5	-5.2234	-5.095	-0.128
1864.58	-5.2359	-5.128	-0.108
1864.67	-5.2332	-5.158	-0.075
1864.75	-5.347	-5.222	-0.125
1864.83	-5.4256	-5.279	-0.147
1864.92	-5.3901	-5.201	-0.189
1865	-5.3024	-5.135	-0.167
1865.08	-5.1844	-5.095	-0.089
1865.17	-5.0856	-5.074	-0.012
1865.25	-5.0665	-5.081	0.014
1865.33	-5.0762	-5.081	0.005
1865.42	-5.2753	-5.084	-0.191
1865.5	-5.2203	-5.095	-0.125
1865.58	-5.1699	-5.128	-0.042
1865.67	-5.1776	-5.158	-0.02
1865.75	-5.1918	-5.222	0.03
1865.83	-5.2318	-5.279	0.047
1865.92	-5.2002	-5.201	0.001
1866	-5.1408	-5.135	-0.006
1866.08	-5.0949	-5.095	0
1866.17	-5.182	-5.074	-0.108
1866.25	-5.1313	-5.081	-0.05
1866.33	-5.1976	-5.081	-0.117
1866.42	-5.2184	-5.084	-0.134
1866.5	-5.2624	-5.095	-0.167
1866.58	-5.2658	-5.128	-0.138
1866.67	-5.2477	-5.158	-0.09
1866.75	-5.3254	-5.222	-0.103
1866.83	-5.3395	-5.279	-0.06
1866.92	-5.2819	-5.201	-0.081
1867	-4.9588	-5.135	0.176
1867.08	-4.9684	-5.095	0.127
1867.17	-5.0189	-5.074	0.055
1867.25	-5.0771	-5.081	0.004
1867.33	-5.128	-5.081	-0.047
1867.42	-5.1845	-5.084	-0.101
1867.5	-5.2125	-5.095	-0.118
1867.58	-5.2139	-5.128	-0.086
1867.67	-5.2967	-5.158	-0.139
1867.75	-5.3078	-5.222	-0.086
1867.83	-5.3233	-5.279	-0.044
1867.92	-5.2037	-5.201	-0.003
1868	-4.9736	-5.135	0.161
1868.08	-4.8262	-5.095	0.269
1868.17	-4.7972	-5.074	0.277
1868.25	-4.7956	-5.081	0.285
1868.33	-4.7347	-5.081	0.346
1868.42	-4.9439	-5.084	0.14
