# Lombok Strait, Indonesia Coral Oxygen Isotope Data
#----------------------------------------------------------------------- 
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
# Online_Resource: https://www.ncdc.noaa.gov/paleo/study/1903
#
# Original_Source_URL: http://www1.ncdc.noaa.gov/pub/data/paleo/coral/west_pacific/bali2003.txt
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Corals and Sclerosponges
#--------------------
# Contribution_Date
#	Date:  2004-12-01
#--------------------
# Title
#	Study_Name: Lombok Strait, Bunaken Island - Oxygen Isotope Data
#--------------------
# Investigators
#       Investigators: Charles, C.D.; Cobb, K.M.; Moore, M.D.; Fairbanks, R.G.
#--------------------
# Description_and_Notes
#	Description: Records of past climate and ocean environment derived from stable isotope, trace metal, and other measurements made on corals and sclerosponges. Parameter keywords describe what was measured in this data set. Additional summary information can be found in the abstracts of papers listed in the data set citations. 
#--------------------
# Publication 
#       Authors: Charles, C.D.; Cobb, K.M.; Moore, M.D.; Fairbanks, R.G.
#       Published_Date_or_Year: 2003-06-19
#       Published_Title: Monsoon-tropical ocean interaction in a network of coral records spanning the 20th century.
#       Journal_Name: Marine Geology
#       Volume: 201
#       Edition: 
#       Issue: Issues 1–3
#       Pages: 207-222
#       DOI:  10.1016/S0025-3227(03)00217-2
#       Online_Resource: 
#       Full_Citation: Charles, C.D., K. Cobb, M.D. Moore, and R.G. Fairbanks. 2003. Monsoon-tropical ocean interaction in a network of coral records spanning the 20th century. Marine Geology, v. 201, pp. 207-222.
#       Abstract: The 20th century evolution of basin-wide gradients in surface ocean properties provides one essential test for recent models of the interaction between the Asian monsoon and the tropical ocean, because various feedback mechanisms should result in characteristic regional patterns of variability. Although the instrumental record of climate variability in the tropics is essentially limited to the last few decades, the stable isotopic composition of living corals provides an effective means for extending the instrumental observations. Here we present two coral isotopic records from the Indonesian Maritime Continent, and we use these records with other previously published records to describe: (i) the relationship between western Pacific and central Pacific climate variability over the past century, with special emphasis on the biennial band; and (ii) the strength of the west-east 'Indian Ocean Dipole'. We find that the amplitude of the biennial cycle in the Pacific did not vary inversely with the strength of ENSO (El Nino Southern Oscillation), as might be expected from some models of monsoonal feedback on the central Pacific. Instead, the biennial variability was modulated on decadal timescales throughout much of the Pacific. We also show that the zonal oxygen isotopic gradient in the Indian Ocean coral records was significantly correlated with central Pacific sea surface temperature on a variety of timescales. Thus, it is likely that this 'coral dipole' was a product of strong ENSO-like teleconnections over the Indian Ocean, as opposed to being the result of unique Indian Ocean or monsoonal dynamics.
#------------------
# Funding_Agency 
#       Funding_Agency_Name: 
#       Grant: 
#------------------
# Site_Information 
#       Site_Name: Lombok Strait, Bali, Indonesia
#       Location: Ocean>Indian Ocean>Indonesia
#	Country: Indonesia 
#	Northernmost_Latitude: -8.25
# 	Southernmost_Latitude: -8.25 
# 	Easternmost_Longitude: 115.5
# 	Westernmost_Longitude: 115.5
# 	Elevation: -3 m  
#------------------
# Data_Collection   
#	Collection_Name: 03indo01a
#	Earliest_Year: 1782
#	Most_Recent_Year: 1990
#	Time_Unit: AD
#	Core_Length: 
#	Notes:
#------------------
# Species
#	Species_Name: Porites sp.
#	Common_Name: 
#-------------------
# Chronology_Information
# 	Chronology: 
# 
#----------------
# Variables 
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age	age, , ,years AD, , , , ,N
##d18O	delta 18O, Porites sp., , permil VPDB, , corals and sclerosponges, , ,N
##d18O_sa	delta 18O, Porites sp., , permil VPDB, , corals and sclerosponges, seasonal average, ,N
##d18O_anom	delta 18O, Porites sp., , permil VPDB, , corals and sclerosponges, anomaly, ,N
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: NAN 
#
age	d18O	d18O_sa	d18O_anom
1782	-5.203	-5.2521	0.04911
1782.08	-4.644	-5.1031	0.45906
1782.17	-4.4	-4.9667	0.56669
1782.25	-4.471	-4.8574	0.3864
1782.33	-4.612	-4.7997	0.18773
1782.42	-4.765	-4.7875	0.022481
1782.5	-4.928	-4.8316	-0.096428
1782.58	-4.9211	-4.9078	-0.01325
1782.67	-4.906	-4.9913	0.085264
1782.75	-4.885	-5.0856	0.20064
1782.83	-5.155	-5.1759	0.020889
1782.92	-5.286	-5.2282	-0.057803
1783	-5.279	-5.2521	-0.02689
1783.08	-5.026	-5.1031	0.077058
1783.17	-4.472	-4.9667	0.49469
1783.25	-4.659	-4.8574	0.1984
1783.33	-4.725	-4.7997	0.074731
1783.42	-4.743	-4.7875	0.044481
1783.5	-4.854	-4.8316	-0.022428
1783.58	-4.8541	-4.9078	0.05375
1783.67	-4.996	-4.9913	-0.0047356
1783.75	-4.995	-5.0856	0.090635
1783.83	-5.317	-5.1759	-0.14111
1783.92	-5.221	-5.2282	0.0071971
1784	-4.952	-5.2521	0.30011
1784.08	-5.189	-5.1031	-0.085942
1784.17	-4.956	-4.9667	0.010688
1784.25	-4.73	-4.8574	0.1274
1784.33	-4.606	-4.7997	0.19373
1784.42	-4.624	-4.7875	0.16348
1784.5	-4.53	-4.8316	0.30157
1784.58	-4.4381	-4.9078	0.46975
1784.67	-4.61	-4.9913	0.38126
1784.75	-4.902	-5.0856	0.18363
1784.83	-5.063	-5.1759	0.11289
1784.92	-4.986	-5.2282	0.2422
1785	-4.993	-5.2521	0.25911
1785.08	-4.853	-5.1031	0.25006
1785.17	-4.798	-4.9667	0.16869
1785.25	-4.669	-4.8574	0.1884
1785.33	-4.546	-4.7997	0.25373
1785.42	-4.574	-4.7875	0.21348
1785.5	-4.739	-4.8316	0.092572
1785.58	-4.804	-4.9078	0.10375
1785.67	-4.891	-4.9913	0.10026
1785.75	-5.073	-5.0856	0.012635
1785.83	-5.421	-5.1759	-0.24511
1785.92	-5.122	-5.2282	0.1062
1786	-5.087	-5.2521	0.16511
1786.08	-4.975	-5.1031	0.12806
1786.17	-4.955	-4.9667	0.011688
1786.25	-4.872	-4.8574	-0.014601
1786.33	-4.752	-4.7997	0.047731
1786.42	-4.798	-4.7875	-0.010519
1786.5	-4.805	-4.8316	0.026572
1786.58	-4.7831	-4.9078	0.12475
1786.67	-4.743	-4.9913	0.24826
1786.75	-5.015	-5.0856	0.070635
1786.83	-5.273	-5.1759	-0.097111
1786.92	-5.456	-5.2282	-0.2278
1787	-5.148	-5.2521	0.10411
1787.08	-4.619	-5.1031	0.48406
1787.17	-4.701	-4.9667	0.26569
1787.25	-4.739	-4.8574	0.1184
1787.33	-4.824	-4.7997	-0.024269
1787.42	-4.908	-4.7875	-0.12052
1787.5	-4.971	-4.8316	-0.13943
1787.58	-5.1211	-4.9078	-0.21325
1787.67	-5.179	-4.9913	-0.18774
1787.75	-5.31	-5.0856	-0.22436
1787.83	-5.206	-5.1759	-0.030111
1787.92	-5.089	-5.2282	0.1392
1788	-5.172	-5.2521	0.08011
1788.08	-4.903	-5.1031	0.20006
1788.17	-4.707	-4.9667	0.25969
1788.25	-4.689	-4.8574	0.1684
1788.33	-4.734	-4.7997	0.065731
1788.42	-4.891	-4.7875	-0.10352
1788.5	-4.942	-4.8316	-0.11043
1788.58	-4.9951	-4.9078	-0.08725
1788.67	-5.194	-4.9913	-0.20274
1788.75	-5.274	-5.0856	-0.18836
1788.83	-5.295	-5.1759	-0.11911
1788.92	-5.064	-5.2282	0.1642
1789	-5.285	-5.2521	-0.03289
1789.08	-5.326	-5.1031	-0.22294
1789.17	-5.267	-4.9667	-0.30031
1789.25	-4.913	-4.8574	-0.055601
1789.33	-4.573	-4.7997	0.22673
1789.42	-4.608	-4.7875	0.17948
1789.5	-4.805	-4.8316	0.026572
1789.58	-4.8651	-4.9078	0.04275
1789.67	-4.832	-4.9913	0.15926
1789.75	-4.813	-5.0856	0.27264
1789.83	-5.081	-5.1759	0.094889
1789.92	-5.239	-5.2282	-0.010803
1790	-5.272	-5.2521	-0.01989
1790.08	-4.948	-5.1031	0.15506
