# Hon Tre Island, Vietnam 33 Year Paired Monthly Sr/Ca and d18O Data
#----------------------------------------------------------------------- 
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
#
# Online_Resource: http://ncdc.noaa.gov/paleo/study/17035
#
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/coral/west_pacific/hon-tre2014.txt
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Corals and Sclerosponges
#--------------------
# Contribution_Date
#	Date: 2014-08-14
#--------------------
# Title
#	Study_Name: Hon Tre Island, Vietnam 33 Year Paired Monthly Sr/Ca and d18O Data
#--------------------
# Investigators
#       Investigators: Bolton, A.; Goodkin, N.F; Hughen, K.; Ostermann, D.R.; Vo, S.T.; Phan, H.K.
#--------------------
# Description_and_Notes
#	Description: Paired strontium-to-calcium (Sr/Ca) and d18O measurements at monthly resolution 
#	for two Porites lutea corals (BB and TN) recovered from Hon Tre Island, Vietnam.  
#	The coral Sr/Ca data were determined by inductively coupled plasma optical emission spectroscopy 
#	and oxygen isotopes were determined using isotope ratio mass spectrometry ionisation mass spectrometry.  
#	Blank sections in the beginning of TN represent no samples present (i.e. this was where the BB coral 
#	was younger than the TN coral). Other blanks in both BB and TN represent areas of growth that were 
#	not drillable (i.e. sections between coral slabs or areas where coralite growth was not optimal, see manuscript).
#
#--------------------
# Publication 
#       Authors: A. Bolton, N.F. Goodkin, K. Hughen, D.R. Ostermann, S.T. Vo, H.K. Phan
#       Published_Date_or_Year: 2014-09-15     
#       Published_Title: Paired Porites coral Sr/Ca and d18O from the western South China Sea: Proxy calibration of sea surface temperature and precipitation
#       Journal_Name: Palaeogeography, Palaeoclimatology, Palaeoecology
#       Volume: 410
#       Edition: 
#       Issue: 
#       Pages: 233-243
#       DOI: 10.1016/j.palaeo.2014.05.047
#       Online_Resource: http://www.sciencedirect.com/science/article/pii/S0031018214003034
#       Full_Citation: 
#       Abstract: Paired strontium-to-calcium (Sr/Ca) and d18O measurements for two Porites lutea corals recovered from Hon Tre Island, Vietnam, are strongly correlated to sea surface temperature (SST) and precipitation at monthly to interannual time-scales. Least squares linear regression of monthly Sr/Ca to SST shows a strong, significant correlation (r2 = 0.77, p < .0001), with root mean square residuals of 0.9 °C. 3-year averaged (binned) Sr/Ca for wet (Sep-Nov) and dry (Jan-Mar) seasons separately captures SST variability at interannual time scales (Sr/Ca RMSR = 0.42 °C and 0.70 °C for wet and dry seasons, respectively). Coral d18O correlates weakly to SST at seasonal and interannual time scales for wet and dry seasons, with significant anomalies (d18O RMSR = 2.4 °C and 1.65 °C, respectively). Correcting the SST influence on coral d18O using paired Sr/Ca values provides estimates of d18O of seawater (d18Osw). 3-year averaged d18Osw during the wet season shows a significant correlation to local precipitation (r2 = 0.54, p = 0.01). These results show that coral Sr/Ca in this location accurately reflects SST at a number of timescales, and that seawater d18O composition in the wet season is controlled by local precipitation, largely unmodified by ocean circulation during the winter monsoon. This study highlights the sensitivity and utility of coral geochemistry in this region for reliably reconstructing SST and monsoonal precipitation.
#------------------
# Funding_Agency 
#       Funding_Agency_Name: National Research Foundation Singapore
#       Grant: NRFF-2012-03
#------------------
# Funding_Agency 
#       Funding_Agency_Name: General Research Fund of Hong Kong
#       Grant: GRF-HKU702509P
#------------------
# Funding_Agency 
#       Funding_Agency_Name: Woods Hole Oceanographic Institution
#       Grant: 27500040
#------------------
# Site_Information 
#       Site_Name: Hon Tre Island
#       Location: Asia>Southeastern Asia>Vietnam
#	Country: Vietnam
#	Northernmost_Latitude: 12.21386
# 	Southernmost_Latitude: 12.21386 
# 	Easternmost_Longitude: 109.30486
# 	Westernmost_Longitude: 109.30486 
# 	Elevation: -8.2 m  
#------------------
# Data_Collection   
#	Collection_Name: HonTre2014
#	Earliest_Year: 1977
#	Most_Recent_Year: 2010
#	Time_Unit: AD
#	Core_Length: m
#	Notes: 
#------------------
# Chronology: 
# 
#
#
# 	
#----------------	
# Variables 
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age_AD	age, , , AD, , , , ,N
##month	month,,,,,,,,C
##depth_mmBB	depth, core BB, , mm, , , , ,N
##Sr/Ca-porBB	Strontium/Calcium, Porites core BB, , mmol/mol, , , , ,N
##d18OporBB	delta18O, Porites core BB, , per mil , , , , ,N 
##depth_mmTN	depth, core TN, , mm, , , , ,N
##Sr/Ca-porTN	Strontium/Calcium, Porites core TN, , mmol/mol, , , , ,N
##d18OporTN	delta18O, Porites core TN, , per mil , , , , ,N 
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values:  
#
age_AD	month	depth_mmBB	Sr/Ca-porBB	d18OporBB	depth_mmTN	Sr/Ca-porTN	d18OporTN
2010	Nov	0.3	9.064	-6.447			
2010	Oct	0.6	9.002	-6.430			
2010	Sep	0.9	8.978	-6.059			
2010	Aug	1.2	8.971	-5.981			
2010	Jul	1.4	8.974	-6.099			
2010	Jun	1.7	8.969	-5.990			
2010	May	2.0	8.966	-5.826			
2010	Apr	2.5	9.030	-5.537			
2010	Mar	2.8	9.123	-5.473			
2010	Feb	3.0	9.203	-5.415			
2010	Jan	3.3	9.210	-5.278			
2009	Dec	3.5	9.218	-5.140			
2009	Nov	4.8	9.148	-5.600			
2009	Oct	5.8	8.992	-6.070			
2009	Sep	6.7	8.923	-5.972			
2009	Aug	7.1	8.932	-5.684			
2009	Jul	7.6	8.953	-5.581			
2009	Jun	8.0	8.957	-5.648			
2009	May	8.4	9.013	-5.066			
2009	Apr	8.8	9.005	-4.679			
2009	Mar	9.3	9.080	-4.595			
2009	Feb	10.1	9.141	-3.944			
2009	Jan	11.0	9.307	-4.600			
2008	Dec	11.4	9.210	-5.439			
2008	Nov	11.8	9.080	-5.910			
2008	Oct	12.2	8.988	-5.954			
2008	Sep	12.5	8.945	-5.585			
2008	Aug	13.0	9.131	-4.782			
2008	Jul	13.5	9.182	-4.895			
2008	Jun	13.9	9.125	-4.767			
2008	May	14.4	9.036	-4.859			
2008	Apr	14.9	9.077	-4.981			
2008	Mar	15.4	9.219	-4.234			
2008	Feb	16.0	9.286	-4.370			
2008	Jan	16.2	9.257	-4.568			
2007	Dec	16.5	9.225	-4.764			
2007	Nov	16.8	9.137	-5.063			
2007	Oct	17.4	8.999	-5.696			
2007	Sep	18.3	9.022	-5.316			
2007	Aug	19.1	9.069	-4.047			
2007	Jul	20.0	9.032	-4.827			
2007	Jun	20.9	9.027	-4.896			
2007	May	21.5	9.056	-5.349			
2007	Apr	22.1	9.102	-3.937			
2007	Mar	22.8	9.187	-4.778			
2007	Feb	23.5	9.263	-4.998			
2007	Jan	23.9	9.177	-5.483			
2006	Dec	24.2	9.135	-5.714			
2006	Nov	24.6	9.088	-5.769			
2006	Oct	25.6	8.992	-5.929			
2006	Sep	26.6	8.978	-6.342			
2006	Aug	27.5	9.011	-5.207			
2006	Jul	28.5	8.986	-5.097			
2006	Jun	29.5	8.939	-5.267			
2006	May	29.7	9.007	-5.078			
2006	Apr	30.0	9.076	-4.885			
2006	Mar	30.3	9.194	-4.631			
2006	Feb	30.7	9.281	-4.713			
2006	Jan	31.1	9.310	-5.204			
2005	Dec	31.7	9.266	-5.307			
2005	Nov	32.4	9.164	-5.783			
2005	Oct	32.6	9.063	-6.078			
2005	Sep	32.9	9.004	-6.343			
2005	Aug	33.2	8.970	-6.408			
2005	Jul	33.5	8.945	-6.392			
2005	Jun	33.7	8.935	-6.251			
2005	May	34.2	8.962	-5.986			
2005	Apr	36.9	8.963	-5.606			
2005	Mar	38.0	9.139	-5.092			
2005	Feb	38.3	9.215	-5.277			
2005	Jan	38.7	9.262	-5.407	0.0	9.1606	-5.4283
2004	Dec	40.4	9.156	-5.284	0.9	9.1135	-5.3221
2004	Nov	41.9	9.105	-5.837	1.6	9.0375	-5.9089
2004	Oct	42.2	9.065	-6.227	1.9	8.983	-5.7453
2004	Sep	42.4	9.032	-6.487	2.1	8.9489	-5.5691
2004	Aug	42.7	8.980	-6.505	2.3	8.9462	-5.3737
2004	Jul	42.9	8.919	-6.410	2.6	8.9381	-5.2313
2004	Jun	43.2	8.897	-6.344	2.8	8.9101	-5.2867
2004	May	43.4	8.894	-6.292	3.1	8.8895	-5.2983
2004	Apr	45.2	8.959	-5.524	5.2	9.0608	-4.5281
2004	Mar	46.7	9.192	-5.545	7.3	9.1393	-4.6678
2004	Feb	47.9	9.307	-5.149	9.4	9.1804	-5.0485
2004	Jan	48.7	9.265	-5.216	10.3	9.1568	-5.1865
2003	Dec	49.4	9.195	-5.586	11.2	9.1469	-5.4761
2003	Nov	50.0	9.049	-5.422	11.7	9.041	-5.4669
2003	Oct	50.5	8.865	-6.388	12.0	8.9345	-5.4404
2003	Sep	51.0	8.793	-6.329	12.2	8.9191	-5.5362
2003	Aug	52.0	8.874	-6.269	12.4	8.9086	-5.6385
2003	Jul	53.0	8.936	-5.957	12.7	8.8924	-5.6483
2003	Jun	54.0	8.975	-6.447	12.9	8.8732	-5.6094
2003	May	54.9	8.863	-5.918	13.3	8.8648	-5.4305
2003	Apr	55.9	8.945	-5.817	14.2	8.9499	-5.0635
2003	Mar	56.8	9.151	-5.598	15.1	9.0273	-4.7026
2003	Feb	57.5	9.231	-5.578	16.0	9.1277	-4.307
2003	Jan	58.0	9.217	-5.534	16.5	9.1057	-4.2218
2002	Dec	58.4	9.132	-6.300	17.0	9.0686	-4.2339
2002	Nov	58.9	9.096	-6.191	17.4	9.0009	-5.4922
2002	Oct	59.3	9.037	-6.000	17.8	8.9826	-5.07
2002	Sep	59.7	9.009	-6.107	18.1	8.9738	-4.386
2002	Aug	60.1	9.024	-6.213	18.4	8.9462	-4.6348
2002	Jul	60.6	9.028	-5.862	18.7	8.9249	-4.8905
