# South China Sea 1996-2002 Weekly-Monthly Resolution Coral d13C and d18O Data
#----------------------------------------------------------------------- 
#                World Data Service for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------------------------- 
# Template Version 3.0
# Encoding: UTF-8
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
# Online_Resource: https://www.ncdc.noaa.gov/paleo/study/31612 
#       Description: NOAA Landing Page
# Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/coral/west_pacific/li2020/li2020nanwan-iso-depth.txt
#       Description: NOAA location of the template
#
# Original_Source_URL:  
#       Description:
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Data Type: Corals and Sclerosponges
#
# Dataset DOI: 
#
# Parameter_Keywords: carbon isotopes, oxygen isotopes
#--------------------
# Contribution_Date
#	Date: 2020-10-20
#--------------------
# File_Last_Modified_Date
#	Date: 2020-10-20
#--------------------
# Title
#	Study_Name: South China Sea 1996-2002 Weekly-Monthly Resolution Coral d13C and d18O Data
#--------------------
# Investigators
#	Investigators: Li, X.; Wang, X.; Liu, C.; Liu, Y.; Yu, K.; Sun, W.
#--------------------
# Description_Notes_and_Keywords
#	Description: High-resolution (weekly - monthly) coral d13C and d18O from 3 locations in the South China Sea (Nansha Islands, Nanwan and Xiaoliuqiu Island), for 1996-2002 CE. 
#	Data are presented by both by depth and by age, in separate files. 
#--------------------
# Publication 
#	Authors: Xiaohua Li, Xiaowei Wang, Chuanyu Liu, Yi Liu, Kefu Yu, Weidong Sun
#	Published_Date_or_Year: 2020-11-28
#	Published_Title: Traces of the 1997 Indonesian Wildfires in the Marine Environment From a Network of Coral d13C Records
#	Journal_Name: Geophysical Research Letters
#	Volume: 47
#	Edition: e2020GL090383
#	Issue: 22
#	Pages:
#	Report_Number: 
#	DOI: 10.1029/2020GL090383
#	Online_Resource: https://agupubs.onlinelibrary.wiley.com/doi/10.1029/2020GL090383
#	Full_Citation: 
#	Abstract: Great efforts have been made to understand the impacts of the 1997 Indonesian wildfires on land ecology and human health, yet its influences on marine environments are poorly understood owing to sparse observations. Here we present weekly to monthly resolution coral d13C records across the South China Sea in conjunction with a regional ocean general circulation model to study the effects of these cataclysmic wildfires on nearby oceans. Large and persistent negative d13C excursions were found in corals from the interior South China Sea several months after the wildfires. This delay indicates that the 13C-depleted ash fallout was distributed by ocean currents rather than direct atmospheric transport, which is supported by the results of our numerical model. Thus, the impacts of tropical wildfires on marine ecology may last for 1 year and extend thousands of kilometers from the burning center.
#------------------
# Funding_Agency 
#	Funding_Agency_Name: 
#	Grant: 
#------------------
# Site_Information 
#	Site_Name: Nanwan
#	Location: Ocean>Pacific Ocean>Western Pacific Ocean>South China Sea
#	Country:  
#	Northernmost_Latitude: 21.93
# 	Southernmost_Latitude: 21.93
# 	Easternmost_Longitude: 120.78
# 	Westernmost_Longitude: 120.78
# 	Elevation: -5
#------------------
# Data_Collection   
#	Collection_Name: Li2020Nanwan-depth
#	Earliest_Year: 1996
#	Most_Recent_Year: 2002
#	Time_Unit: Year Common Era
#	Core_Length: 
#	Notes: 
#------------------
# Chronology_Information
#	Chronology: 
# 	
#----------------
# Variables 
#
# Data variables follow are preceded by "##" in columns one and two.
# Data line variables format:  one per line, shortname-tab-variable components (what, material, error, units, seasonality, data type,detail, method, C or N for Character or Numeric data, free text) 
#
## depth	depth, , , millimeter, , Corals and Sclerosponges, , ,N, Distance from the top
## d13C	delta 13C, Porites sp., , per mil VPDB, , Corals and Sclerosponges,raw,isotope ratio mass spectrometry,N,
## d18O	delta 18O, Porites sp., , per mil VPDB, , Corals and Sclerosponges,raw,isotope ratio mass spectrometry,N,
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: 
#
depth	d13C	d18O
60.6	-3.33	-4.50
61.6	-3.47	-4.71
62.6	-3.55	-4.58
63.7	-3.33	-4.81
64.7	-3.06	-4.96
65.7	-3.33	-5.10
66.7	-2.84	-5.35
67.8	-2.88	-5.35
68.8	-2.50	-5.45
69.8	-2.35	-5.59
70.9	-2.76	-5.71
71.9	-2.59	-5.69
72.9	-2.86	-5.49
74.0	-2.69	-5.50
75.0	-2.60	-5.25
76.0	-3.17	-5.08
77.0	-2.84	-5.16
78.0	-2.64	-5.04
79.0	-2.53	-4.72
79.9	-2.69	-4.62
80.9	-3.04	-4.55
81.9	-2.98	-4.49
82.9	-3.40	-4.78
83.8	-3.46	-4.61
84.8	-3.12	-4.60
85.8	-3.17	-4.66
86.7	-3.26	-5.12
87.7	-2.77	-5.38
88.7	-2.66	-5.21
89.6	-2.97	-5.39
90.6	-3.02	-5.66
91.6	-2.55	-5.84
92.6	-2.16	-5.53
93.5	-1.95	-5.56
94.5	-2.18	-5.56
95.5	-2.43	-5.39
96.4	-2.84	-5.41
97.4	-2.96	-5.40
98.4	-2.78	-5.31
99.4	-2.74	-5.05
100.4	-2.23	-4.76
101.4	-2.56	-4.83
102.4	-2.92	-4.67
103.4	-3.06	-4.84
104.5	-3.40	-4.82
105.5	-3.28	-5.15
106.5	-2.92	-5.10
107.5	-2.77	-5.12
108.5	-3.05	-5.50
109.5	-2.03	-5.31
110.5	-2.50	-5.63
111.5	-2.96	-5.60
112.5	-2.49	-5.64
113.5	-2.94	-5.30
114.6	-2.78	-5.31
115.6	-2.74	-4.82
116.6	-2.75	-5.05
117.6	-2.73	-4.84
118.6	-2.60	-5.01
119.7	-2.44	-4.88
120.7	-2.56	-4.56
121.7	-3.00	-4.50
122.7	-3.01	-4.50
123.7	-3.39	-4.52
124.8	-3.32	-4.80
125.8	-2.78	-5.34
126.8	-2.54	-5.17
127.8	-2.40	-5.31
128.8	-2.43	-5.62
129.9	-2.12	-5.67
130.9	-2.04	-5.42
131.9	-2.53	-4.82
132.9	-2.79	-4.85
133.9	-2.48	-4.98
134.9	-2.48	-5.01
135.9	-2.28	-4.66
137.0	-2.56	-4.58
138.0	-3.01	-4.57
139.0	-3.37	-4.83
140.0	-3.29	-4.92
141.0	-2.57	-5.07
142.0	-2.63	-4.96
143.0	-2.76	-5.20
144.0	-2.39	-5.53
145.0	-2.54	-5.83
146.0	-1.82	-5.63
147.1	-1.64	-5.23
148.1	-2.08	-5.56
149.1	-2.15	-5.23
150.0	-2.74	-5.32
151.1	-2.68	-5.29
152.2	-2.62	-5.33
153.3	-2.34	-5.10
154.4	-2.85	-4.83
155.6	-2.76	-4.70
156.7	-2.89	-4.77
157.8	-2.73	-4.66
158.9	-2.69	-4.81
160.0	-2.67	-4.63
161.1	-2.63	-4.89
162.2	-2.41	-5.29
163.3	-2.02	-5.53
164.4	-1.86	-5.39
165.5	-2.52	-5.56
166.7	-2.18	-5.56
167.8	-2.01	-5.56
168.9	-2.98	-5.05
170.0	-2.81	-5.04
171.0	-2.53	-5.02
172.0	-2.49	-4.95
173.0	-2.39	-4.67
174.0	-2.40	-4.63
174.9	-2.82	-4.73
175.9	-2.76	-4.73
176.9	-2.65	-4.89
177.9	-2.84	-5.04
178.9	-2.82	-5.17
179.9	-2.31	-5.39
180.9	-2.38	-5.57
181.9	-1.81	-5.74
182.8	-1.42	-5.39
183.8	-2.25	-5.31
184.8	-2.52	-5.11
185.8	-2.73	-5.06
186.6	-2.74	-4.81
187.5	-2.50	-4.61
188.3	-2.43	-4.59
189.2	-2.16	-4.24
