# South China Sea 1996-2002 Weekly-Monthly Resolution Coral d13C and d18O Data
#----------------------------------------------------------------------- 
#                World Data Service for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------------------------- 
# Template Version 3.0
# Encoding: UTF-8
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
# Online_Resource: https://www.ncdc.noaa.gov/paleo/study/31612 
#       Description: NOAA Landing Page
# Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/coral/west_pacific/li2020/li2020nansha-iso-age.txt
#       Description: NOAA location of the template
#
# Original_Source_URL:  
#       Description:
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Data Type: Corals and Sclerosponges
#
# Dataset DOI: 
#
# Parameter_Keywords: carbon isotopes, oxygen isotopes
#--------------------
# Contribution_Date
#	Date: 2020-10-20
#--------------------
# File_Last_Modified_Date
#	Date: 2020-10-20
#--------------------
# Title
#	Study_Name: South China Sea 1996-2002 Weekly-Monthly Resolution Coral d13C and d18O Data
#--------------------
# Investigators
#	Investigators: Li, X.; Wang, X.; Liu, C.; Liu, Y.; Yu, K.; Sun, W.
#--------------------
# Description_Notes_and_Keywords
#	Description: High-resolution (weekly - monthly) coral d13C and d18O from 3 locations in the South China Sea (Nansha Islands, Nanwan and Xiaoliuqiu Island), for 1996-2002 CE. 
#	Data are presented by both by depth and by age, in separate files. 
#--------------------
# Publication 
#	Authors: Xiaohua Li, Xiaowei Wang, Chuanyu Liu, Yi Liu, Kefu Yu, Weidong Sun
#	Published_Date_or_Year: 2020-11-28
#	Published_Title: Traces of the 1997 Indonesian Wildfires in the Marine Environment From a Network of Coral d13C Records
#	Journal_Name: Geophysical Research Letters
#	Volume: 47
#	Edition: e2020GL090383
#	Issue: 22
#	Pages:
#	Report_Number: 
#	DOI: 10.1029/2020GL090383
#	Online_Resource: https://agupubs.onlinelibrary.wiley.com/doi/10.1029/2020GL090383
#	Full_Citation: 
#	Abstract: Great efforts have been made to understand the impacts of the 1997 Indonesian wildfires on land ecology and human health, yet its influences on marine environments are poorly understood owing to sparse observations. Here we present weekly to monthly resolution coral d13C records across the South China Sea in conjunction with a regional ocean general circulation model to study the effects of these cataclysmic wildfires on nearby oceans. Large and persistent negative d13C excursions were found in corals from the interior South China Sea several months after the wildfires. This delay indicates that the 13C-depleted ash fallout was distributed by ocean currents rather than direct atmospheric transport, which is supported by the results of our numerical model. Thus, the impacts of tropical wildfires on marine ecology may last for 1 year and extend thousands of kilometers from the burning center.
#------------------
# Funding_Agency 
#	Funding_Agency_Name: 
#	Grant: 
#------------------
# Site_Information 
#	Site_Name: Nansha Islands
#	Location: Ocean>Pacific Ocean>Western Pacific Ocean>South China Sea
#	Country:  
#	Northernmost_Latitude: 9.83
# 	Southernmost_Latitude: 9.83
# 	Easternmost_Longitude: 115.5
# 	Westernmost_Longitude: 115.5
# 	Elevation: -5
#------------------
# Data_Collection   
#	Collection_Name: Li2020Nansha-age
#	Earliest_Year: 1996
#	Most_Recent_Year: 2002
#	Time_Unit: Year Common Era
#	Core_Length: 
#	Notes: 
#------------------
# Species
#	Species_Name: Porites sp.
#	Common_Name: 
#------------------
# Chronology_Information
#	Chronology: 
# 	
#----------------
# Variables 
#
# Data variables follow are preceded by "##" in columns one and two.
# Data line variables format:  one per line, shortname-tab-variable components (what, material, error, units, seasonality, data type,detail, method, C or N for Character or Numeric data, free text) 
#
## age	age, , ,  year Common Era, , Corals and Sclerosponges, , ,N,
## d13C	delta 13C, Porites sp., , per mil VPDB, , Corals and Sclerosponges,interpolated,isotope ratio mass spectrometry,N,
## d18O	delta 18O, Porites sp., , per mil VPDB, , Corals and Sclerosponges,interpolated,isotope ratio mass spectrometry,N,
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values:  
#
age	d13C	d18O
2002.98	-1.72	-5.66
2002.96	-1.80	-5.62
2002.94	-1.73	-5.68
2002.92	-1.62	-5.56
2002.90	-1.72	-5.76
2002.88	-1.93	-5.82
2002.87	-1.92	-6.06
2002.85	-1.88	-6.16
2002.83	-1.88	-6.29
2002.81	-1.77	-6.00
2002.79	-1.54	-5.97
2002.77	-1.50	-6.19
2002.75	-1.31	-6.06
2002.73	-1.41	-6.07
2002.71	-1.39	-6.09
2002.69	-1.32	-5.85
2002.67	-1.34	-5.81
2002.65	-1.46	-5.88
2002.63	-1.60	-5.89
2002.62	-1.74	-5.73
2002.60	-1.74	-5.95
2002.58	-1.79	-5.92
2002.56	-1.85	-5.97
2002.54	-1.88	-6.05
2002.52	-1.83	-5.96
2002.50	-1.66	-5.92
2002.48	-1.74	-5.88
2002.46	-1.67	-5.96
2002.44	-1.57	-6.05
2002.42	-1.56	-6.06
2002.40	-1.56	-6.07
2002.40	-1.56	-6.01
2002.38	-1.56	-5.96
2002.35	-1.54	-5.94
2002.33	-1.52	-5.94
2002.31	-1.44	-5.89
2002.29	-1.31	-5.78
2002.27	-1.20	-5.70
2002.25	-1.17	-5.76
2002.23	-1.14	-5.82
2002.21	-1.16	-5.74
2002.19	-1.17	-5.64
2002.17	-1.19	-5.63
2002.15	-1.21	-5.69
2002.13	-1.23	-5.71
2002.12	-1.21	-5.65
2002.10	-1.20	-5.58
2002.08	-1.25	-5.80
2002.06	-1.36	-5.79
2002.04	-1.51	-5.59
2002.02	-1.51	-5.63
2002.00	-1.55	-5.64
2001.98	-1.61	-5.66
2001.96	-1.64	-5.89
2001.94	-1.58	-5.83
2001.92	-1.54	-5.72
2001.90	-1.69	-5.88
2001.88	-1.69	-5.80
2001.87	-1.69	-5.77
2001.85	-1.79	-5.99
2001.83	-1.77	-6.01
2001.81	-1.82	-6.09
2001.79	-2.01	-6.33
2001.77	-1.82	-6.26
2001.75	-1.77	-6.28
2001.73	-1.92	-6.43
2001.71	-1.74	-6.31
2001.69	-1.52	-6.11
2001.67	-1.62	-5.96
2001.65	-1.39	-6.05
2001.63	-1.47	-6.02
2001.62	-1.98	-5.76
2001.60	-1.82	-6.07
2001.58	-1.85	-5.96
2001.56	-1.52	-5.89
2001.54	-1.48	-5.94
2001.52	-1.43	-5.92
2001.50	-1.43	-5.96
2001.48	-1.50	-6.01
2001.46	-1.40	-5.93
2001.44	-1.32	-5.92
2001.42	-1.20	-6.09
2001.40	-1.27	-6.04
2001.40	-1.34	-5.98
2001.38	-1.33	-5.95
2001.35	-1.25	-5.93
2001.33	-1.19	-5.91
2001.31	-1.26	-5.91
2001.29	-1.33	-5.91
2001.27	-1.36	-5.91
2001.25	-1.38	-5.91
2001.23	-1.40	-5.92
2001.21	-1.42	-5.92
2001.19	-1.43	-5.92
2001.17	-1.45	-5.93
2001.15	-1.47	-5.93
2001.13	-1.57	-5.90
2001.12	-1.79	-5.83
2001.10	-2.00	-5.76
2001.08	-1.84	-5.91
2001.06	-2.04	-5.82
2001.04	-1.97	-5.90
2001.02	-1.90	-5.89
2001.00	-1.87	-5.99
2000.98	-1.87	-6.04
2000.96	-1.91	-5.99
2000.94	-1.92	-6.23
2000.92	-2.00	-5.89
2000.91	-2.04	-6.07
2000.89	-1.98	-5.97
2000.87	-1.84	-6.02
2000.85	-1.78	-5.95
2000.83	-1.64	-5.96
2000.81	-1.55	-5.99
2000.79	-1.59	-5.96
2000.77	-1.61	-6.00
2000.75	-1.53	-5.89
2000.74	-1.66	-6.01
2000.72	-1.46	-5.84
2000.70	-1.22	-5.91
2000.68	-1.33	-5.75
2000.66	-1.16	-5.73
2000.64	-1.24	-5.77
2000.62	-1.32	-5.81
2000.60	-1.40	-5.84
2000.58	-1.48	-5.88
2000.57	-1.47	-5.89
2000.55	-1.42	-5.88
2000.53	-1.38	-5.88
2000.51	-1.33	-5.87
2000.49	-1.30	-5.91
2000.47	-1.28	-6.00
2000.45	-1.31	-6.03
2000.43	-1.41	-6.01
