# Lombok Strait, Indonesia, Porites d18O data covering the last 200 years
#-----------------------------------------------------------------------            
#                World Data Service for Paleoclimatology, Boulder            
#                                  and            
#                     NOAA Paleoclimatology Program            
#             National Centers for Environmental Information (NCEI)            
#-----------------------------------------------------------------------            
# Template Version 3.0            
# Encoding: UTF-8            
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.             
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
# Online_Resource: https://www.ncdc.noaa.gov/paleo/study/25290
#       Description: NOAA Landing Page
# Online_Resource:  https://www1.ncdc.noaa.gov/pub/data/paleo/coral/west_pacific/murty2018/Murty.LombokStrait.NusaPenida.2018.txt
#     Online_Resource_Description:  This file.  NOAA WDS Paleo formatted metadata and data for version 1.0.0 of this dataset.
#
# Original_Source_URL: 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Corals and Sclerosponges
#
# Parameter_Keywords: oxygen isotopes
# 
# Dataset_DOI: 
#
#------------------
# Contribution_Date
#     Date: 2018-10-01
#------------------
# File_Last_Modified_Date
#     Modified_Date: 2018-10-01
#------------------
# Title
#     Study_Name: Lombok Strait, Indonesia, Porites d18O data covering the last 200 years
#------------------
# Investigators
#     Investigators: Murty, Sujata; Goodkin, Nathalie; Wiguna, Alit; Gordon, Arnold
#------------------
# Description_Notes_and_Keywords
#     Description: Monthly and bimonthly d18O measurements of a Porites coral collected from Nusa Penida in the southern Lombok Strait. The d18O data were determined using isotope ratio mass spectrometry (IRMS)
#------------------
# Publication
#     Authors: 
#     Published_Date_or_Year: 
#     Published_Title: 
#     Journal_Name: 
#     Volume: 
#     Edition: 
#     Issue: 
#     Pages: 
#     Report: 
#     DOI: 
#     Online_Resource: 
#     Full_Citation: 
#     Abstract: 
#------------------
# Funding_Agency
#     Funding_Agency_Name: National Research Foundation of Singapore
#     Grant: NRFF-2012-03
#------------------
# Funding_Agency
#     Funding_Agency_Name: National Oceanic and Atmospheric Administration
#     Grant: UCAR-Z15-17551
#------------------
# Site_Information
#     Site_Name: Nusa Penida
#     Location: Asia>Southeastern Asia>Indonesia
#     Country: Indonesia
#     Northernmost_Latitude: -8.67
#     Southernmost_Latitude: -8.67
#     Easternmost_Longitude: 115.51
#     Westernmost_Longitude: 115.51
#     Elevation: -5
#------------------
# Data_Collection
#     Collection_Name: Murty.LombokStrait.NusaPenida.2018
#     Earliest_Year: 1824.04
#     Most_Recent_Year: 2016.25
#     Time_Unit: year CE
#     Core_Length: 
#     Notes: 
#------------------
# Species
#     Species_Name: 
#     Species_Code: 
#     Common_Name: 
#------------------
# Chronology_Section
#  Chronology:
#------------------
# Variables        
#
# Data variables follow that are preceded by "##" in columns one and two.        
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components 
#
## age	age,,,year Common Era,,corals and sclerosponges,interpolated,,N,   
## d18O_porite	delta 18O, Porites sp.,,per mil VPDB, ,corals and sclerosponges, interpolated, isotope ratio mass spectrometry, N,    
#
#------------------
# Data:        
# Data lines follow (have no #)        
# Data line format - tab-delimited text, variable short name as header)        
# Missing_Values: nan
#
age	d18O_porite
2016.25	-5.8548216	
2016.17	-5.717913439	
2016.08	-5.503420532	
2016.00	-5.374944952	
2015.92	-5.236952912	
2015.83	-5.187192526	
2015.75	-5.203854215	
2015.67	-5.085295146	
2015.58	-5.164550587	
2015.50	-5.275290043	
2015.42	-5.487888446	
2015.33	-5.782526539	
2015.25	-5.823334355	
2015.17	-5.658591811	
2015.08	-5.474201612	
2015.00	-5.258196652	
2014.92	-5.22293047	
2014.83	-5.186782561	
2014.75	-5.026070127	
2014.67	-4.90877009	
2014.58	-5.085988303	
2014.50	-5.029001819	
2014.42	-5.340169562	
2014.33	-5.568181077	
2014.25	-5.818422737	
2014.17	-5.732398218	
2014.08	-5.507553171	
2014.00	-5.397010313	
2013.92	-5.339764488	
2013.83	-5.300764701	
2013.75	-5.253891617	
2013.67	-5.221108365	
2013.58	-5.271883648	
2013.50	-5.423485477	
2013.42	-5.627012323	
2013.33	-5.773168601	
2013.25	-5.88878005	
2013.17	-5.593197021	
2013.08	-5.40006179	
2013.00	-5.246483261	
2012.92	-5.150005647	
2012.83	-5.152398095	
2012.75	-5.066752575	
2012.67	-4.968133576	
2012.58	-5.172174152	
2012.50	-5.385952202	
2012.42	-5.50429259	
2012.33	-5.637421831	
2012.25	-5.755289832	
2012.17	-5.600359054	
2012.08	-5.42615137	
2012.00	-5.289581792	
2011.92	-5.304611817	
2011.83	-5.291389791	
2011.75	-5.260317908	
2011.67	-5.164930468	
2011.58	-5.215751843	
2011.50	-5.271295297	
2011.42	-5.452097067	
2011.33	-5.618099073	
2011.25	-5.772607921	
2011.17	-5.697037883	
2011.08	-5.521473817	
2011.00	-5.294490797	
2010.92	-5.301312938	
2010.83	-5.164699326	
2010.75	-5.084930631	
2010.67	-4.956126368	
2010.58	-5.120785562	
2010.50	-5.317267045	
2010.42	-5.580501681	
2010.33	-5.954573148	
2010.25	-5.904950479	
2010.17	-5.689324433	
2010.08	-5.475334738	
2010.00	-5.3419532	
2009.92	-5.276081807	
2009.83	-5.317518411	
2009.75	-5.242200276	
2009.67	-5.059415783	
2009.58	-5.062848102	
2009.50	-5.117793686	
2009.42	-5.186316467	
2009.33	-5.379107886	
2009.25	-5.661005542	
2009.17	-5.773709062	
2009.08	-5.420797014	
2009.00	-5.185743088	
2008.92	-5.083906943	
2008.83	-5.089395894	
2008.75	-5.090342016	
2008.67	-5.00608587	
2008.58	-4.933923657	
2008.50	-4.956567192	
2008.42	-5.154880216	
2008.33	-5.374486597	
2008.25	-5.546618237	
2008.17	-5.471723927	
2008.08	-5.140560168	
2008.00	-5.044712187	
2007.92	-4.771867759	
2007.83	-5.029010046	
2007.75	-5.061546837	
2007.67	-5.014273226	
2007.58	-5.065871254	
2007.50	-5.16902431	
2007.42	-5.284016365	
2007.33	-5.384776799	
2007.25	-5.614341776	
2007.17	-5.534446449	
2007.08	-5.388597761	
2007.00	-5.19047771	
2006.92	-5.098450317	
2006.83	-5.062931692	
2006.75	-5.204751879	
2006.67	-5.125957665	
2006.58	-5.09493168	
2006.50	-5.23476975	
2006.42	-5.325579917	
2006.33	-5.466342449	
2006.25	-5.642453599	
2006.17	-5.698345365	
2006.08	-5.522262959	
2006.00	-5.465044248	
2005.92	-5.244975545	
2005.83	-5.254784941	
2005.75	-5.166832561	
2005.67	-5.196016302	
2005.58	-5.105604276	
2005.50	-5.092765128	
2005.42	-5.143329739	
2005.33	-5.362716082	
2005.25	-5.519398757	
2005.17	-5.733435919	
2005.08	-5.601739103	
2005.00	-5.554407101	
2004.92	-5.331995763	
2004.83	-5.140412194	
2004.75	-5.069292127	
2004.67	-4.997710745	
2004.58	-5.096603088	
2004.50	-5.284708773	
2004.42	-5.625087703	
2004.33	-5.908448982	
2004.25	-5.536599929	
2004.17	-5.174502094	
2004.08	-5.297996801	
2004.00	-5.148755289	
2003.92	-5.109272536	
2003.83	-5.058056264	
2003.75	-5.062508681	
2003.67	-5.137083733	
2003.58	-4.956000858	
2003.50	-5.0850152	
2003.42	-5.302531518	
2003.33	-5.551870761	
2003.25	-5.865485657	
2003.17	-5.707671121	
2003.08	-5.42997171	
2003.00	-5.256265887	
2002.92	-5.181052262	
2002.83	-5.05829025	
2002.75	-5.083312993	
2002.67	-5.148830632	
2002.58	-5.237135755	
2002.50	-5.28998208	
2002.42	-5.332738573	
2002.33	-5.44915228	
2002.25	-5.658393233	
2002.17	-5.782247504	
2002.08	-5.853676755	
2002.00	-5.659626867	
2001.92	-5.348261143	
2001.83	-5.365330447	
2001.75	-5.271746375	
2001.67	-5.274696629	
2001.58	-5.178095527	
2001.50	-5.213807783	
2001.42	-5.340906321	
2001.33	-5.706731862	
2001.25	-5.750658657	
2001.17	-5.365631495	
2001.08	-5.255253119	
2001.00	-5.16238257	
2000.92	-5.144442802	
2000.83	-5.151144628	
2000.75	-5.134632549	
2000.67	-4.983658841	
2000.58	-5.084846043	
2000.50	-5.14474356	
2000.42	-5.286674539	
2000.33	-5.479626634	
2000.25	-5.509929596	
