# Palau Coral 50 Year Stable Isotope Calibration Data 
#----------------------------------------------------------------------- 
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
#
# Online_Resource: http://hurricane.ncdc.noaa.gov/pls/paleox/f?p=519:1:::::P1_STUDY_ID:16338
#
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/coral/west_pacific/palau2013ngb.txt
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Corals and Sclerosponges
#--------------------
# Contribution_Date
#	Date: 2014-04-11
#--------------------
# Title
#	Study_Name: Palau Coral 50 Year Stable Isotope Calibration Data 
#--------------------
# Investigators
#       Investigators: Osborne, M.C.; Dunbar, R.B.; Mucciarone, D.A.; Sanchez-Cabeza, J.-A.; Druffel, E.
#--------------------
# Description_and_Notes
#	Description: Stable isotope (d18O and d13C) data for the past 50 years at monthly resolution 
#       from 4 coral cores collected in November 2008 from massive Porites lutea colonies at four sites
#       in the Republic of Palau.
#--------------------
# Publication 
#       Authors: Michael C. Osborne, Robert B. Dunbar, David A. Mucciarone, Joan-Albert Sanchez-Cabeza, Ellen Druffel
#       Published_Date_or_Year: 2013-09-15      
#       Published_Title: Regional calibration of coral-based climate reconstructions from Palau, West Pacific Warm Pool (WPWP)
#       Journal_Name: Palaeogeography, Palaeoclimatology, Palaeoecology
#       Volume: 386
#       Edition: 
#       Issue: 
#       Pages: 308-320
#       DOI: 10.1016/j.palaeo.2013.06.001
#       Online_Resource: http://www.sciencedirect.com/science/article/pii/S0031018213002757
#       Full_Citation: 
#       Abstract: Stable isotopic and trace element records from corals collected within the West Pacific Warm Pool (WPWP) are well suited to examine interannual to decadal climate variability associated with the El Nino-Southern Oscillation (ENSO) phenomenon. The most commonly used climate recorder in corals is d18O (d18OCRL), a parameter subject to multiple regional and local environmental influences. Location-specific calibration of d18OCRL is a necessary first step for developing long-term paleoceanographic reconstructions. Here we present four new coral d18O stratigraphies from the Republic of Palau (7.5N 134.5E), and compare our records with instrumental measurements for the period 1950-2008. We also compare our results with a previously published coral record from Palau. We employ a new sea surface salinity (SSS) product and validate its utility for coral-based paleoclimate calibrations. We not only examine differences among the records but also identify strong and regionally coherent environmental signals. We find that SSS variability is the dominant influence on d18OCRL in Palau, while sea surface temperature (SST) is of secondary importance. Our results show that time-averaging multiple d18OCRL records into a single composite series produce greater correlations with instrumental data and indices than individual stratigraphies alone. Our results are consistent with observations of a strengthening of the hydrological cycle in the WPWP region over the past 50 years, though the magnitudes of long term linear trends differ among the different Palau d18OCRL records. Interannual and interdecadal variabilities between the Palau d18OCRL records are more consistent than the long term linear trends. Monthly Palauan d18OCRL anomalies capture strong El Nino events with high fidelity over the calibration period. This study provides constraints for future paleoenvironmental investigations in Palau using longer coral records.
#------------------
# Funding_Agency 
#       Funding_Agency_Name: IAEA
#       Grant: Project "Nuclear and isotopic studies of the El Nino phenomenon in the ocean"
#------------------
# Funding_Agency 
#       Funding_Agency_Name: U.S. National Science Foundation
#       Grant: OCE-0941199
#------------------
# Site_Information 
#       Site_Name: Ngeragabel
#       Location: Ocean>Pacific Ocean>Western Pacific Ocean>Micronesia>Palau
#	Country: Republic of Palau
#	Northernmost_Latitude: 7.4064
# 	Southernmost_Latitude: 7.4064
# 	Easternmost_Longitude: 134.4353
# 	Westernmost_Longitude: 134.4353
# 	Elevation: m  
#------------------
# Data_Collection   
#	Collection_Name: Palau2013NGB
#	Earliest_Year: 1963
#	Most_Recent_Year: 2008
#	Time_Unit: AD
#	Core_Length: m
#	Notes: 
#------------------
# Species
#	Species_Name: Porites lutea
#	Common_Name: 
#------------------
# Chronology: 
# 
#
#
# 	
#----------------	
# Variables 
#
# Data variables follow are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age_AD	age, , , AD, , , , ,N
##d13Cporite	delta13C, porites, , per mil VPDB, ,coral, , ,N 
##d18Oporite	delta18O, porites, , per mil VPDB, ,coral, , ,N 
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values:  
#
age_AD	d13Cporite	d18Oporite
2008.17	-2.530275675	-5.711921547
2008.08	-2.427745141	-5.726342889
2008.00	-2.433367679	-5.859392468
2007.92	-2.253701369	-5.881129369
2007.83	-2.611269612	-5.902558659
2007.75	-2.279406623	-6.127070701
2007.67	-2.294179469	-5.996829237
2007.58	-2.527643562	-5.773384264
2007.50	-2.459094077	-5.786732671
2007.42	-2.31010276	-5.862903998
2007.33	-2.333801945	-5.861351596
2007.25	-2.18890654	-5.500273909
2007.17	-2.308398645	-5.494581442
2007.08	-2.570285514	-5.67173832
2007.00	-2.525022744	-5.667275984
2006.92	-2.535454754	-5.73087866
2006.83	-2.52128801	-5.766008709
2006.75	-2.019581146	-5.790477344
2006.67	-2.831395133	-6.065841201
2006.58	-2.608351021	-5.944691425
2006.50	-2.841039988	-5.962416504
2006.42	-2.49404027	-5.929628328
2006.33	-2.685418403	-5.796441112
2006.25	-2.505983113	-5.636568376
2006.17	-2.51674675	-5.555792439
2006.08	-2.745870525	-5.622294087
2006.00	-2.406379026	-5.681042687
2005.92	-2.701704502	-5.789099619
2005.83	-2.768268438	-5.956491802
2005.75	-2.625846116	-5.846812474
2005.67	-2.725477523	-5.591326923
2005.58	-2.792153326	-5.8741863
2005.50	-2.781623455	-5.89098439
2005.42	-2.782771263	-5.777999612
2005.33	-2.950367365	-5.592129109
2005.25	-2.82036495	-5.51927922
2005.17	-2.764898392	-5.411719654
2005.08	-2.583541593	-5.679851822
2005.00	-2.514696747	-5.716297289
2004.92	-2.233317662	-5.642247013
2004.83	-2.649707409	-5.657860611
2004.75	-2.526997006	-5.574572203
2004.67	-3.079198963	-5.742639475
2004.58	-2.948961671	-5.770304051
2004.50	-2.315598341	-5.634744976
2004.42	-2.579742103	-5.698611286
2004.33	-2.695053982	-5.793526375
2004.25	-2.470215898	-5.753851646
2004.17	-2.391705843	-5.57022271
2004.08	-2.75926979	-5.649313037
2004.00	-2.591627392	-5.633414478
2003.92	-3.072774603	-5.716523896
2003.83	-2.790021006	-5.710141488
2003.75	-2.721713532	-5.692146619
2003.67	-2.73456678	-5.647042606
2003.58	-2.414628994	-5.644844642
2003.50	-2.907196734	-5.70413927
2003.42	-2.717526755	-5.672927648
2003.33	-2.913132368	-5.743319835
2003.25	-2.697572353	-5.412524099
2003.17	-2.644420903	-5.371389608
2003.08	-2.664951492	-5.481626709
2003.00	-3.05290489	-5.512580917
2002.92	-2.88856698	-5.493887527
2002.83	-2.519238542	-5.612740757
2002.75	-2.690319472	-5.635296753
2002.67	-2.823529411	-5.681450222
2002.58	-2.958342145	-5.514181541
2002.50	-2.673183702	-5.77831582
2002.42	-2.805203099	-5.66516715
2002.33	-2.506050092	-5.640515773
2002.25	-2.365366366	-5.510836036
2002.17	-1.826631995	-5.451952312
2002.08	-2.707085404	-5.775212129
2002.00	-2.752437356	-5.871039001
2001.92	-2.457956324	-5.801158898
2001.83	-2.334664423	-5.716358931
2001.75	-2.379733481	-5.78233622
2001.67	-2.512321564	-5.744894836
2001.58	-2.450046264	-5.788323542
2001.50	-2.551261135	-5.817284911
2001.42	-2.709713645	-5.65328771
2001.33	-2.516580904	-5.686374212
2001.25	-2.660574272	-5.743862601
2001.17	-2.498362871	-5.573469017
2001.08	-2.389021142	-5.696634128
2001.00	-2.760851418	-5.714664181
2000.92	-2.941769453	-5.850935314
2000.83	-2.764735601	-5.84782539
2000.75	-2.482719583	-5.835596157
2000.67	-2.593523355	-5.855059479
2000.58	-2.722235666	-5.850421215
2000.50	-2.756257365	-5.768019902
2000.42	-2.665237518	-5.756034706
2000.33	-2.731122537	-5.68286599
2000.25	-2.943509579	-5.663912844
2000.17	-2.342044207	-5.508670185
2000.08	-2.303393126	-5.567487975
2000.00	-2.618314368	-5.652533637
1999.92	-2.851226842	-5.677259856
1999.83	-2.93116657	-5.70448567
1999.75	-2.935540481	-5.786918366
1999.67	-2.787141891	-5.816261147
1999.58	-2.548621568	-5.757808114
1999.50	-2.638759592	-5.82815892
1999.42	-2.662144152	-5.827198985
1999.33	-2.538977086	-5.839366872
1999.25	-2.474245577	-5.986994288
1999.17	-2.295093628	-5.920632217
1999.08	-1.963390561	-5.974822853
1999.00	-1.658104392	-5.799188469
1998.92	-1.134803983	-5.650801037
1998.83	-0.964634868	-5.4794291
1998.75	-0.566611084	-5.422856663
1998.67	-1.504677506	-5.328100536
1998.58	-2.73644981	-5.547157143
1998.50	-2.24032888	-5.628236626
