# Palau Coral 50 Year Stable Isotope Calibration Data 
#----------------------------------------------------------------------- 
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
#
# Online_Resource: http://hurricane.ncdc.noaa.gov/pls/paleox/f?p=519:1:::::P1_STUDY_ID:16338
#
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/coral/west_pacific/palau2013nl.txt
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Corals and Sclerosponges
#--------------------
# Contribution_Date
#	Date: 2014-04-11
#--------------------
# Title
#	Study_Name: Palau Coral 50 Year Stable Isotope Calibration Data 
#--------------------
# Investigators
#       Investigators: Osborne, M.C.; Dunbar, R.B.; Mucciarone, D.A.; Sanchez-Cabeza, J.-A.; Druffel, E.
#--------------------
# Description_and_Notes
#	Description: Stable isotope (d18O and d13C) data for the past 50 years at monthly resolution 
#       from 4 coral cores collected in November 2008 from massive Porites lutea colonies at four sites
#       in the Republic of Palau.
#--------------------
# Publication 
#       Authors: Michael C. Osborne, Robert B. Dunbar, David A. Mucciarone, Joan-Albert Sanchez-Cabeza, Ellen Druffel
#       Published_Date_or_Year: 2013-09-15      
#       Published_Title: Regional calibration of coral-based climate reconstructions from Palau, West Pacific Warm Pool (WPWP)
#       Journal_Name: Palaeogeography, Palaeoclimatology, Palaeoecology
#       Volume: 386
#       Edition: 
#       Issue: 
#       Pages: 308-320
#       DOI: 10.1016/j.palaeo.2013.06.001
#       Online_Resource: http://www.sciencedirect.com/science/article/pii/S0031018213002757
#       Full_Citation: 
#       Abstract: Stable isotopic and trace element records from corals collected within the West Pacific Warm Pool (WPWP) are well suited to examine interannual to decadal climate variability associated with the El Nino-Southern Oscillation (ENSO) phenomenon. The most commonly used climate recorder in corals is d18O (d18OCRL), a parameter subject to multiple regional and local environmental influences. Location-specific calibration of d18OCRL is a necessary first step for developing long-term paleoceanographic reconstructions. Here we present four new coral d18O stratigraphies from the Republic of Palau (7.5N 134.5E), and compare our records with instrumental measurements for the period 1950-2008. We also compare our results with a previously published coral record from Palau. We employ a new sea surface salinity (SSS) product and validate its utility for coral-based paleoclimate calibrations. We not only examine differences among the records but also identify strong and regionally coherent environmental signals. We find that SSS variability is the dominant influence on d18OCRL in Palau, while sea surface temperature (SST) is of secondary importance. Our results show that time-averaging multiple d18OCRL records into a single composite series produce greater correlations with instrumental data and indices than individual stratigraphies alone. Our results are consistent with observations of a strengthening of the hydrological cycle in the WPWP region over the past 50 years, though the magnitudes of long term linear trends differ among the different Palau d18OCRL records. Interannual and interdecadal variabilities between the Palau d18OCRL records are more consistent than the long term linear trends. Monthly Palauan d18OCRL anomalies capture strong El Nino events with high fidelity over the calibration period. This study provides constraints for future paleoenvironmental investigations in Palau using longer coral records.
#------------------
# Funding_Agency 
#       Funding_Agency_Name: IAEA
#       Grant: Project "Nuclear and isotopic studies of the El Nino phenomenon in the ocean"
#------------------
# Funding_Agency 
#       Funding_Agency_Name: U.S. National Science Foundation
#       Grant: OCE-0941199
#------------------
# Site_Information 
#       Site_Name: Ngeralang
#       Location: Ocean>Pacific Ocean>Western Pacific Ocean>Micronesia>Palau
#	Country: Republic of Palau
#	Northernmost_Latitude: 7.6569
# 	Southernmost_Latitude: 7.6569
# 	Easternmost_Longitude: 134.5651
# 	Westernmost_Longitude: 134.5651
# 	Elevation: m  
#------------------
# Data_Collection   
#	Collection_Name: Palau2013NL
#	Earliest_Year: 1990
#	Most_Recent_Year: 2008
#	Time_Unit: AD
#	Core_Length: m
#	Notes: 
#------------------
# Chronology: 
# 
#
#
# 	
#----------------	
# Variables 
#
# Data variables follow are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age_AD	age, , , AD, , , , ,N
##d13Cporite	delta13C, porites, , per mil VPDB, ,coral, , ,N 
##d18Oporite	delta18O, porites, , per mil VPDB, ,coral, , ,N 
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values:  
#
age_AD	d13Cporite	d18Oporite
2008.17	-2.020338058	-5.829329014
2008.08	-2.26247728	-5.891569318
2008.00	-2.301471017	-6.017959708
2007.92	-2.269033955	-6.004667701
2007.83	-2.254082918	-5.981219769
2007.75	-2.196278248	-5.923680196
2007.67	-2.444850452	-5.863382531
2007.58	-2.530148487	-5.817419453
2007.50	-2.527413368	-6.005130291
2007.42	-2.579777765	-5.883942611
2007.33	-2.500131329	-5.751371107
2007.25	-1.875691906	-5.930360076
2007.17	-2.065236092	-5.511250019
2007.08	-1.973538563	-5.553974289
2007.00	-2.175864765	-5.611259527
2006.92	-2.186145306	-5.584206581
2006.83	-2.362502007	-5.755419704
2006.75	-2.560565271	-5.817498152
2006.67	-2.466939449	-5.819311142
2006.58	-2.457236667	-5.7069324
2006.50	-2.087299658	-5.836156103
2006.42	-2.282745838	-5.750969887
2006.33	-2.36060828	-5.808024226
2006.25	-2.182200742	-5.758913101
2006.17	-2.141905308	-5.716764927
2006.08	-2.313740446	-5.830141214
2006.00	-2.714328586	-6.032971106
2005.92	-2.553681121	-6.1125711
2005.83	-2.504867525	-5.969268972
2005.75	-2.17806278	-5.778806202
2005.67	-2.013577743	-5.833659222
2005.58	-2.071697157	-5.8010696
2005.50	-2.181568626	-5.726147134
2005.42	-1.94324669	-5.750129965
2005.33	-1.871379505	-5.725811548
2005.25	-2.133348641	-5.862830975
2005.17	-1.83675015	-5.660167217
2005.08	-2.142185166	-5.903901848
2005.00	-2.254023361	-5.973608118
2004.92	-2.143804648	-5.942144482
2004.83	-1.993285335	-5.825362213
2004.75	-1.981778619	-5.792279138
2004.67	-2.133727059	-5.793447199
2004.58	-2.192336243	-5.945040202
2004.50	-1.776049779	-5.720037085
2004.42	-1.94540403	-5.687701507
2004.33	-1.739746196	-5.427375764
2004.25	-1.69542559	-5.603314482
2004.17	-1.665827751	-5.345585823
2004.08	-1.714792478	-5.612334712
2004.00	-1.915548086	-5.877508163
2003.92	-1.799776149	-5.641156163
2003.83	-1.998078108	-5.710996151
2003.75	-1.823684881	-5.767672857
2003.67	-1.815074444	-5.79998827
2003.58	-1.71810146	-5.769163358
2003.50	-1.825254679	-5.690924644
2003.42	-1.92108196	-5.698928244
2003.33	-1.61228919	-5.632555008
2003.25	-1.856625315	-5.709834173
2003.17	-1.914095521	-5.597130775
2003.08	-1.957017994	-5.620676149
2003.00	-2.170807123	-5.827504635
2002.92	-2.095373695	-5.729408905
2002.83	-1.979465246	-5.767371178
2002.75	-2.029133144	-5.71210357
2002.67	-2.164916754	-5.624662399
2002.58	-2.089473145	-5.753410024
2002.50	-1.897937059	-5.754957676
2002.42	-2.039662746	-5.629162823
2002.33	-1.81400311	-5.47962904
2002.25	-1.742264317	-5.550168066
2002.17	-1.630633116	-5.437551975
2002.08	-1.980898409	-5.444981658
2002.00	-1.863220498	-5.54575539
2001.92	-1.690390587	-5.635852814
2001.83	-1.535700234	-5.646957471
2001.75	-1.575520329	-5.710762176
2001.67	-1.879366517	-5.590900898
2001.58	-2.150376295	-5.751927048
2001.50	-2.115864407	-5.84795803
2001.42	-2.12453723	-5.770872593
2001.33	-1.812183691	-5.705670222
2001.25	-1.871427308	-5.506428836
2001.17	-1.936599255	-5.385606289
2001.08	-1.436771723	-5.47760728
2001.00	-1.789867902	-5.594377683
2000.92	-2.166056395	-5.739551067
2000.83	-2.048518176	-5.877597114
2000.75	-1.949734468	-5.840733732
2000.67	-1.874093175	-5.840182781
2000.58	-2.043519213	-5.900770749
2000.50	-2.213997684	-5.951916307
2000.42	-2.434556723	-5.832108498
2000.33	-2.063603319	-5.75594119
2000.25	-2.053748447	-5.716519509
2000.17	-1.657630861	-5.612821341
2000.08	-1.791501321	-5.664426576
2000.00	-1.998310158	-5.744678151
1999.92	-2.10124812	-5.919578809
1999.83	-1.969503367	-5.878528912
1999.75	-1.817068493	-5.88907382
1999.67	-1.761395037	-5.828901768
1999.58	-1.957597211	-5.902814006
1999.50	-1.621021865	-5.752702621
1999.42	-1.674364423	-5.745615724
1999.33	-1.741166858	-5.712096041
1999.25	-1.458993919	-5.558632025
1999.17	-1.275661856	-5.473714113
1999.08	-1.106534597	-5.504401483
1999.00	-1.151668299	-5.584392532
1998.92	-1.695428842	-5.811278566
1998.83	-1.237969976	-5.671189414
1998.75	-1.303684156	-5.798023502
1998.67	-1.300728177	-5.661380434
