# Papua New Guinea Fossil and Living Coral Isotope Data
#----------------------------------------------------------------------- 
#                World Data Service for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------------------------- 
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
# Online_Resource: https://www.ncdc.noaa.gov/paleo/study/1866
# Online_Resource: 
#
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/coral/west_pacific/papua_new_guinea/laing_terrace_2001.txt
# Original_Source_URL: http://www.ncdc.noaa.gov/paleo/pubs/tudhope2001/fig3a.jpg
# Original_Source_URL: http://www.ncdc.noaa.gov/paleo/pubs/tudhope2001/fig4a.jpg
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Corals and Sclerosponges
#--------------------
# Contribution_Date
#	Date: 2001-10-01
#--------------------
# Title
#	Study_Name: Multi-site - del18O Data - 2001
#--------------------
# Investigators
#       Investigators: Tudhope, A.W.; Chilcott, C.P.; McCulloch, M.T.; Cook, E.R.; Chappell, J.; Ellam, R.M.; Lea, D.W.; Lough, J.M.; Shimmield, G.B.
#--------------------
# Description_and_Notes
#	Description: Results of analysis of a core collected from a 'fossil' massive Porites coral exposed in the raised reefs around Laing Island, Papua New Guinea.  The coral grew about 2.7 ka BP, when sea-level was similar to its present day level.  The core was collected vertically down the axis of maximum growth of the colony.  This core was subsampled into 2mm growth increments, resulting in an average of 6 samples/annual growth increment.  These samples were analysed for d18O, then the data interpolated to seasonal resolution (presented here).  In this region, seasonal and interannual variations in skeletal d18O are due to the combined effects of changes in precipitation/evaporation balance and temperature; see Tudhope et al., 1995, Earth Planet. Sci. Lett., 136, 575, and Tudhope et al., 2001, Science, 291, 1511-1517 for further discussion of climatic interpretation.	
#--------------------
# Publication 
#       Authors: Tudhope, A.W.; Chilcott, C.P.; McCulloch, M.T.; Cook, E.R.; Chappell, J.; Ellam, R.M.; Lea, D.W.; Lough, J.M.; Shimmield, G.B.
#       Published_Date_or_Year: 2001-01-11    
#       Published_Title: Variability in the El Nino-Southern Oscillation through a glacial-interglacial cycle.
#       Journal_Name: Science
#       Volume: 291
#       Edition: 5508
#       Issue: 
#       Pages: 1511-1517
#       DOI: 10.1126/science.1057969
#       Online_Resource: 
#       Full_Citation: 
#       Abstract: The El Nino–Southern Oscillation (ENSO) is the most potent source of inter- annual climate variability. Uncertainty surrounding the impact of greenhouse warming on ENSO strength and frequency has stimulated efforts to develop a better understanding of the sensitivity of ENSO to climate change. Here we use annually banded corals from Papua New Guinea to show that ENSO has existed for the past 130,000 years, operating even during “glacial” times of substan- tially reduced regional and global temperature and changed solar forcing. However, we also find that during the 20th century ENSO has been strong compared with ENSO of previous cool (glacial) and warm (interglacial) times. The observed pattern of change in amplitude may be due to the combined effects of ENSO dampening during cool glacial conditions and ENSO forcing by precessional orbital variations
#------------------
# Funding_Agency 
#       Funding_Agency_Name: 
#       Grant: 
#------------------
# Site_Information 
#       Site_Name: Laing Island
#       Location: Ocean>Pacific Ocean>South Pacific Ocean>Melanesia>Papua New Guinea
#	Country: Papua New Guinea  
#	Northernmost_Latitude: -4.150 
# 	Southernmost_Latitude: -4.150 
# 	Easternmost_Longitude: 144.883 
# 	Westernmost_Longitude: 144.883 
# 	Elevation:  2 m  (Depth of water in which coral grew estimated at 1-5 m based on coral assemblages and reef structure.) 
#------------------
# Data_Collection   
#	Collection_Name: 01papu02b
#	Earliest_Year: 2700
#	Most_Recent_Year: 2700 
#	Time_Unit: cal yr BP
#	Core_Length: 
#	Notes: Core name FC2. Long-term analytical precision of � 0.16 � d18O (2s) based on analysis of internal consistency standards 
#------------------
# Species
#	Species_Name: Porites sp.
#	Common_Name: 
#------------------
# Chronology_Information
# 	Chronology: 2.7 � 0.5 ka (based on U-series dates; alpha spectrometry)
# 
#----------------
# Variables 
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age	age, , ,years, , , , ,N
##d18O	delta 18O, Porites sp., , permil VPDB, , corals and sclerosponges, , instrument: isotope ratio mass spectrometer,N 
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: NAN 
#
age	d18O
95.792	-4.619
95.542	-4.481
95.292	-4.792
95.042	-4.692
94.792	-4.596
94.542	-4.512
94.292	-4.684
94.042	-4.763
93.792	-4.663
93.542	-4.627
93.292	-4.799
93.042	-4.757
92.792	-4.668
92.542	-4.667
92.292	-4.692
92.042	-4.575
91.792	-4.568
91.542	-4.592
91.292	-4.703
91.042	-4.743
90.792	-4.614
90.542	-4.454
90.292	-4.746
90.042	-4.619
89.792	-4.635
89.542	-4.701
89.292	-4.799
89.042	-4.835
88.792	-4.709
88.542	-4.896
88.292	-5.011
88.042	-4.774
87.792	-4.765
87.542	-4.813
87.292	-5.055
87.042	-4.895
86.792	-4.741
86.542	-4.784
86.292	-4.839
86.042	-4.662
85.792	-4.706
85.542	-4.732
85.292	-4.958
85.042	-4.661
84.792	-4.564
84.542	-4.672
84.292	-4.916
84.042	-4.864
83.792	-4.677
83.542	-4.626
83.292	-4.776
83.042	-4.960
82.792	-4.776
82.542	-4.819
82.292	-4.961
82.042	-4.930
81.792	-4.744
81.542	-4.773
81.292	-4.878
81.042	-4.867
80.792	-4.564
80.542	-4.675
80.292	-4.935
80.042	-5.208
79.792	-4.827
79.542	-4.771
79.292	-4.878
79.042	-4.865
78.792	-4.723
78.542	-4.659
78.292	-4.634
78.042	-4.587
77.792	-4.788
77.542	-4.811
77.292	-4.900
77.042	-4.961
76.792	-4.846
76.542	-4.848
76.292	-5.000
76.042	-5.026
75.792	-4.631
75.542	-4.294
75.292	-4.667
75.042	-4.987
74.792	-4.625
74.542	-4.471
74.292	-4.694
74.042	-4.773
73.792	-4.741
73.542	-4.648
73.292	-4.629
73.042	-4.650
72.792	-4.665
72.542	-4.615
72.292	-4.944
72.042	-4.770
71.792	-4.738
71.542	-4.681
71.292	-4.708
71.042	-4.616
70.792	-4.544
70.542	-4.596
70.292	-4.844
70.042	-4.794
69.792	-4.689
69.542	-4.468
69.292	-4.782
69.042	-4.722
68.792	-4.636
68.542	-4.576
68.292	-4.771
68.042	-4.928
67.792	-4.798
67.542	-4.780
67.292	-4.874
67.042	-4.798
66.792	-4.730
66.542	-4.784
66.292	-4.985
66.042	-4.933
65.792	-4.834
65.542	-4.803
65.292	-5.127
65.042	-5.086
64.792	-5.006
64.542	-5.183
64.292	-5.231
64.042	-5.036
63.792	-4.971
63.542	-5.010
63.292	-5.153
63.042	-4.927
62.792	-4.701
62.542	-4.620
62.292	-4.737
62.042	-4.718
61.792	-4.609
61.542	-4.580
61.292	-4.867
61.042	-4.755
60.792	-4.629
60.542	-4.606
60.292	-4.808
60.042	-4.813
59.792	-4.844
59.542	-5.125
59.292	-5.030
59.042	-4.731
58.792	-4.735
58.542	-4.746
58.292	-4.858
58.042	-4.686
57.792	-4.676
57.542	-4.833
57.292	-4.938
57.042	-4.930
56.792	-4.851
56.542	-4.895
56.292	-5.098
56.042	-4.918
55.792	-4.851
55.542	-4.914
55.292	-5.024
55.042	-4.925
54.792	-4.712
54.542	-4.705
54.292	-4.740
54.042	-4.863
53.792	-4.961
53.542	-5.004
53.292	-5.020
53.042	-4.808
52.792	-4.848
52.542	-4.840
52.292	-5.082
52.042	-4.986
51.792	-4.902
51.542	-4.773
51.292	-4.913
51.042	-4.743
50.792	-4.680
50.542	-4.682
50.292	-4.906
50.042	-4.722
49.792	-4.721
49.542	-4.636
49.292	-4.692
49.042	-4.718
48.792	-4.784
48.542	-4.611
48.292	-4.743
48.042	-4.646
47.792	-4.580
47.542	-4.703
47.292	-4.779
47.042	-4.817
46.792	-4.777
46.542	-4.800
46.292	-4.837
46.042	-4.793
45.792	-4.789
45.542	-4.795
45.292	-4.805
45.042	-4.720
44.792	-4.645
44.542	-4.725
44.292	-4.851
44.042	-4.762
43.792	-4.668
43.542	-4.785
43.292	-4.904
43.042	-4.881
42.792	-4.846
42.542	-4.828
42.292	-4.836
42.042	-4.871
41.792	-4.844
41.542	-4.887
41.292	-5.096
41.042	-4.887
40.792	-4.775
40.542	-4.784
40.292	-4.848
40.042	-4.867
39.792	-4.804
39.542	-4.852
39.292	-4.926
39.042	-4.896
38.792	-4.863
38.542	-4.816
38.292	-4.790
38.042	-5.084
37.792	-4.894
37.542	-4.713
37.292	-4.855
37.042	-4.819
36.792	-4.796
36.542	-4.762
36.292	-4.730
36.042	-4.708
35.792	-4.705
35.542	-4.742
35.292	-4.863
35.042	-4.765
34.792	-4.587
34.542	-4.621
34.292	-4.601
34.042	-4.634
33.792	-4.671
33.542	-4.691
33.292	-4.773
33.042	-4.740
32.792	-4.581
32.542	-4.543
32.292	-4.693
32.042	-4.616
31.792	-4.598
31.542	-4.621
31.292	-4.886
31.042	-4.837
30.792	-4.741
30.542	-4.629
30.292	-4.749
30.042	-4.732
29.792	-4.716
29.542	-4.705
29.292	-4.939
29.042	-4.980
28.792	-4.818
28.542	-4.771
28.292	-4.907
28.042	-4.784
27.792	-4.616
27.542	-4.480
27.292	-4.568
27.042	-4.642
26.792	-4.560
26.542	-4.563
26.292	-4.770
26.042	-4.649
25.792	-4.590
25.542	-4.655
25.292	-4.843
25.042	-4.868
24.792	-4.945
24.542	-4.836
24.292	-4.829
24.042	-4.661
23.792	-4.664
23.542	-4.672
23.292	-4.750
23.042	-4.775
22.792	-4.553
22.542	-4.574
22.292	-4.744
22.042	-4.853
21.792	-4.719
21.542	-4.657
21.292	-4.782
21.042	-4.771
20.792	-4.720
20.542	-4.810
20.292	-4.980
20.042	-4.911
19.792	-4.715
19.542	-4.593
19.292	-4.820
19.042	-4.850
18.792	-4.921
18.542	-4.689
18.292	-4.999
18.042	-4.897
17.792	-4.824
17.542	-4.617
17.292	-4.854
17.042	-4.915
16.792	-4.942
16.542	-4.614
16.292	-4.852
16.042	-4.793
15.792	-4.803
15.542	-4.760
15.292	-4.587
15.042	-4.697
14.792	-4.603
14.542	-4.293
14.292	-4.600
14.042	-4.860
13.792	-4.750
13.542	-4.567
13.292	-4.689
13.042	-4.560
12.792	-4.447
12.542	-4.335
12.292	-4.686
12.042	-4.539
11.792	-4.484
11.542	-4.459
11.292	-4.597
11.042	-4.565
10.792	-4.461
10.542	-4.452
10.292	-4.836
10.042	-4.744
9.792	-4.601
9.542	-4.538
9.292	-4.741
9.042	-4.672
8.792	-4.628
8.542	-4.520
8.292	-4.870
8.042	-4.771
7.792	-4.720
7.542	-4.699
7.292	-4.755
7.042	-4.706
6.792	-4.591
6.542	-4.671
6.292	-4.845
6.042	-4.736
5.792	-4.715
5.542	-4.589
5.292	-4.931
5.042	-4.801
4.792	-4.681
4.542	-4.511
4.292	-4.625
4.042	-4.768
3.792	-4.722
3.542	-4.645
3.292	-4.812
3.042	-4.806
2.792	-4.587
2.542	-4.330
2.292	-4.543
2.042	-4.727
1.792	-4.617
1.542	-4.629
1.292	-4.738
1.042	-4.668
0.792	-4.399
