# Papua New Guinea Fossil and Living Coral Isotope Data
#----------------------------------------------------------------------- 
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
# Online_Resource: https://www.ncdc.noaa.gov/study/1866
#
# Online_Resource: http://www.ncdc.noaa.gov/paleo/pubs/tudhope2001/fig3a.jpg
# Online_Resource: http://www.ncdc.noaa.gov/paleo/pubs/tudhope2001/fig4a.jpg
# Original_Source_URL: http://www1.ncdc.noaa.gov/pub/data/paleo/coral/west_pacific/papua_new_guinea/huon_terrace_viia2_2001.txt
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Corals and Sclerosponges
#--------------------
# Contribution_Date
#	Date: 2001-10-01
#--------------------
# Title
#	Study_Name: Multi-site - del18O Data - 2001
#--------------------
# Investigators
#       Investigators: Tudhope, A.W.; Chilcott, C.P.; McCulloch, M.T.; Cook, E.R.; Chappell, J.; Ellam, R.M.; Lea, D.W.; Lough, J.M.; Shimmield, G.B.
#--------------------
# Description_and_Notes
#	Description: Results of analysis of a core collected from a 'fossil' massive Porites coral exposed in the raised reefs of the Huon Peninsula, Papua New Guinea.  The coral grew about 118-128 ka BP, during the Last Interglacial, when sea-level was about 5 m above present day level.  The core was collected vertically down the axis of maximum growth of the colony.  This core was subsampled into 1mm growth increments, resulting in an average of 7 samples/annual growth increment.  These samples were analysed for d18O, then the data interpolated to seasonal resolution (presented here).  In this region, seasonal and interannual variations in skeletal d18O are due to the combined effects of changes in precipitation/evaporation balance and temperature; see Tudhope et al., 1995, Earth Planet. Sci. Lett., 136, 575, and Tudhope et al., 2001, Science, 291, 1511-1517 for further discussion of climatic interpretation.
#--------------------
# Publication 
#       Authors: Tudhope, A.W.; Chilcott, C.P.; McCulloch, M.T.; Cook, E.R.; Chappell, J.; Ellam, R.M.; Lea, D.W.; Lough, J.M.; Shimmield, G.B.
#       Published_Date_or_Year: 2001-01-11    
#       Published_Title: Variability in the El Nino-Southern Oscillation through a glacial-interglacial cycle.
#       Journal_Name: Science
#       Volume: 291
#       Edition: 5508
#       Issue: 
#       Pages: 1511-1517
#       DOI: 10.1126/science.1057969
#       Online_Resource: 
#       Full_Citation: 
#       Abstract: The El Nin ̃o–Southern Oscillation (ENSO) is the most potent source of inter- annual climate variability. Uncertainty surrounding the impact of greenhouse warming on ENSO strength and frequency has stimulated efforts to develop a better understanding of the sensitivity of ENSO to climate change. Here we use annually banded corals from Papua New Guinea to show that ENSO has existed for the past 130,000 years, operating even during “glacial” times of substan- tially reduced regional and global temperature and changed solar forcing. However, we also find that during the 20th century ENSO has been strong compared with ENSO of previous cool (glacial) and warm (interglacial) times. The observed pattern of change in amplitude may be due to the combined effects of ENSO dampening during cool glacial conditions and ENSO forcing by precessional orbital variations
#------------------
# Funding_Agency 
#       Funding_Agency_Name: 
#       Grant: 
#------------------
# Site_Information 
#       Site_Name: Sialum, Huon Peninsula
#       Location: Ocean>Pacific Ocean>South Pacific Ocean>Melanesia>Papua New Guinea
#	Country: Papua New Guinea  
#	Northernmost_Latitude: -6.1167 
# 	Southernmost_Latitude: -6.1167 
# 	Easternmost_Longitude: 147.60 
# 	Westernmost_Longitude: 147.60
# 	Elevation:  115 m  (Depth of water in which coral grew estimated at 1-5 m based on coral assemblages and reef structure.)
#------------------
# Data_Collection   
#	Collection_Name: 01papu01l
#	Earliest_Year: 128000
#	Most_Recent_Year: 118000
#	Time_Unit: cal yr BP
#	Core_Length: 
#	Notes: Core name- (H95-14) . Long-term analytical precision of � 0.16 � d18O (2s) based on analysis of internal consistency standards. Sample collected from Huon raised reef VIIa (terraces described in:  Chappell, 1974, Bull. Geol. Soc. Am., 85, 553;  Chappell et al., 1996, Earth Planet. Sci. Lett., 141, 227). 
#------------------
# Species
#	Species_Name: Porites sp.
#	Common_Name: 
#------------------
# Chronology_Information
#	Chronology: 118-128 ka (based on stratigraphic location within section previously dated by U-series techniques)				
#  	
#----------------	
# Variables 
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age	age, , ,year, , , , ,N
##d18O	delta 18O, Porites sp., , permil VPDB, , Corals and Sclerosponges, , instrument: isotope ratio mass spectrometer,N
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: NAN 
#
age	d18O
27.042	-3.846
26.792	-3.751
26.542	-3.677
26.292	-3.775
26.042	-3.781
25.792	-3.692
25.542	-3.697
25.292	-3.883
25.042	-3.842
24.792	-3.853
24.542	-3.909
24.292	-3.942
24.042	-3.953
23.792	-3.833
23.542	-3.648
23.292	-3.679
23.042	-3.728
22.792	-3.828
22.542	-3.696
22.292	-3.690
22.042	-3.725
21.792	-3.756
21.542	-3.827
21.292	-3.814
21.042	-3.785
20.792	-3.759
20.542	-3.683
20.292	-3.723
20.042	-3.754
19.792	-3.764
19.542	-3.614
19.292	-3.740
19.042	-3.725
18.792	-3.795
18.542	-3.735
18.292	-4.054
18.042	-3.927
17.792	-3.688
17.542	-3.756
17.292	-3.908
17.042	-3.659
16.792	-3.768
16.542	-3.820
16.292	-3.959
16.042	-3.984
15.792	-3.826
15.542	-3.809
15.292	-3.992
15.042	-3.980
14.792	-3.930
14.542	-3.987
14.292	-4.110
14.042	-4.111
13.792	-3.918
13.542	-3.919
13.292	-3.936
13.042	-4.056
12.792	-3.995
12.542	-3.879
12.292	-4.127
12.042	-4.177
11.792	-4.114
11.542	-4.008
11.292	-3.900
11.042	-3.963
10.792	-3.905
10.542	-3.661
10.292	-3.796
10.042	-3.930
9.792	-3.913
9.542	-3.919
9.292	-3.883
9.042	-3.844
8.792	-3.724
8.542	-3.627
8.292	-3.683
8.042	-3.611
7.792	-3.671
7.542	-3.602
7.292	-3.767
7.042	-3.962
6.792	-3.716
6.542	-3.664
6.292	-3.846
6.042	-3.830
5.792	-3.755
5.542	-3.722
5.292	-3.827
5.042	-4.020
4.792	-3.912
4.542	-3.793
4.292	-3.803
4.042	-3.855
3.792	-3.802
3.542	-3.779
3.292	-4.286
3.042	-3.982
2.792	-3.923
2.542	-3.782
2.292	-3.926
2.042	-3.999
1.792	-3.888
1.542	-3.692
1.292	-3.723
1.042	-3.838
0.792	-3.884
