# Papua New Guinea Fossil and Living Coral Isotope Data
#----------------------------------------------------------------------- 
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
# Online_Resource: https://www.ncdc.noaa.gov/study/1866
#
# Online_Resource: http://www.ncdc.noaa.gov/paleo/pubs/tudhope2001/fig3a.jpg
# Online_Resource: http://www.ncdc.noaa.gov/paleo/pubs/tudhope2001/fig4a.jpg
# Original_Source_URL: http://www1.ncdc.noaa.gov/pub/data/paleo/coral/west_pacific/papua_new_guinea/huon_terrace_vii1_2001.txt
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Corals and Sclerosponges
#--------------------
# Contribution_Date
#	Date: 2001-10-01
#--------------------
# Title
#	Study_Name: Multi-site - del18O Data - 2001
#--------------------
# Investigators
#       Investigators: Tudhope, A.W.; Chilcott, C.P.; McCulloch, M.T.; Cook, E.R.; Chappell, J.; Ellam, R.M.; Lea, D.W.; Lough, J.M.; Shimmield, G.B.
#--------------------
# Description_and_Notes
#	Description: Results of analysis of a core collected from a 'fossil' massive Porites coral exposed in the raised reefs of the Huon Peninsula, Papua New Guinea.  The coral grew about 130 ka BP, during the penultimate deglaciation, when sea-level was about 78-106 m below present day level.  The core was collected vertically down the axis of maximum growth of the colony.  This core was subsampled into 1mm growth increments, resulting in an average of 9 samples/annual growth increment.  These samples were analysed for d18O, then the data interpolated to seasonal resolution (presented here).  In this region, seasonal and interannual variations in skeletal d18O are due to the combined effects of changes in precipitation/evaporation balance and temperature; see Tudhope et al., 1995, Earth Planet. Sci. Lett., 136, 575, and Tudhope et al., 2001, Science, 291, 1511-1517 for further discussion of climatic interpretation.
#--------------------
# Publication 
#       Authors: Tudhope, A.W.; Chilcott, C.P.; McCulloch, M.T.; Cook, E.R.; Chappell, J.; Ellam, R.M.; Lea, D.W.; Lough, J.M.; Shimmield, G.B.
#       Published_Date_or_Year: 2001-01-11    
#       Published_Title: Variability in the El Nino-Southern Oscillation through a glacial-interglacial cycle.
#       Journal_Name: Science
#       Volume: 291
#       Edition: 5508
#       Issue: 
#       Pages: 1511-1517
#       DOI: 10.1126/science.1057969
#       Online_Resource: 
#       Full_Citation: 
#       Abstract: The El Nin ̃o–Southern Oscillation (ENSO) is the most potent source of inter- annual climate variability. Uncertainty surrounding the impact of greenhouse warming on ENSO strength and frequency has stimulated efforts to develop a better understanding of the sensitivity of ENSO to climate change. Here we use annually banded corals from Papua New Guinea to show that ENSO has existed for the past 130,000 years, operating even during “glacial” times of substan- tially reduced regional and global temperature and changed solar forcing. However, we also find that during the 20th century ENSO has been strong compared with ENSO of previous cool (glacial) and warm (interglacial) times. The observed pattern of change in amplitude may be due to the combined effects of ENSO dampening during cool glacial conditions and ENSO forcing by precessional orbital variations
#------------------
# Funding_Agency 
#       Funding_Agency_Name: 
#       Grant: 
#------------------
# Site_Information 
#       Site_Name: Sialum, Huon Peninsula
#       Location: Ocean>Pacific Ocean>South Pacific Ocean>Melanesia>Papua New Guinea
#	Country: Papua New Guinea  
#	Northernmost_Latitude: -6.0667 
# 	Southernmost_Latitude: -6.0667 
# 	Easternmost_Longitude: 147.5667 
# 	Westernmost_Longitude: 147.5667 
# 	Elevation:  101 m  (Depth of water in which coral grew estimated at 5-15 m based on coral assemblages and reef structure.)
#------------------
# Data_Collection   
#	Collection_Name: 01papu01h
#	Earliest_Year: 130000
#	Most_Recent_Year: 130000
#	Time_Unit: cal yr BP
#	Core_Length: 
#	Notes: Core name- (H95-18) . Long-term analytical precision of � 0.16 � d18O (2s) based on analysis of internal consistency standards. Sample collected from Huon raised reef VII (terraces described in:  Chappell, 1974, Bull. Geol. Soc. Am., 85, 553;  Chappell et al., 1996, Earth Planet. Sci. Lett., 141, 227)
#------------------
# Species
#	Species_Name: Porites sp.
#	Common_Name: 
#------------------
# Chronology_Information
#	Chronology: 130 � 2 ka (based on stratigraphic location and U-series dates)				
#  	
#----------------	
# Variables 
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age	age, , ,year, , , , ,N
##d18O	delta 18O, Porites sp., , permil VPDB, , Corals and Sclerosponges, , instrument: isotope ratio mass spectrometer,N
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: NAN 
#
age	d18O
70.792	-3.061
70.542	-3.177
70.292	-3.678
70.042	-3.271
69.792	-3.125
69.542	-2.949
69.292	-3.177
69.042	-3.082
68.792	-3.144
68.542	-3.267
68.292	-3.463
68.042	-3.361
67.792	-3.333
67.542	-3.363
67.292	-3.548
67.042	-3.326
66.792	-3.302
66.542	-3.189
66.292	-3.170
66.042	-3.088
65.792	-3.090
65.542	-3.155
65.292	-3.225
65.042	-3.215
64.792	-3.061
64.542	-2.966
64.292	-2.911
64.042	-2.854
63.792	-2.756
63.542	-2.641
63.292	-3.058
63.042	-2.957
62.792	-2.879
62.542	-2.865
62.292	-3.273
62.042	-3.174
61.792	-3.218
61.542	-3.046
61.292	-3.344
61.042	-3.192
60.792	-3.030
60.542	-3.170
60.292	-3.303
60.042	-3.274
59.792	-3.199
59.542	-3.291
59.292	-3.530
59.042	-3.313
58.792	-3.190
58.542	-3.223
58.292	-3.595
58.042	-3.427
57.792	-3.316
57.542	-3.183
57.292	-3.424
57.042	-3.290
56.792	-3.254
56.542	-3.224
56.292	-3.450
56.042	-3.298
55.792	-3.399
55.542	-3.307
55.292	-3.592
55.042	-3.290
54.792	-3.198
54.542	-3.232
54.292	-3.524
54.042	-3.337
53.792	-3.350
53.542	-3.319
53.292	-3.694
53.042	-3.404
52.792	-3.301
52.542	-3.380
52.292	-3.471
52.042	-3.516
51.792	-3.201
51.542	-3.103
51.292	-3.287
51.042	-3.387
50.792	-3.297
50.542	-3.200
50.292	-3.411
50.042	-3.304
49.792	-3.380
49.542	-3.239
49.292	-3.420
49.042	-3.047
48.792	-2.971
48.542	-2.905
48.292	-3.351
48.042	-3.208
47.792	-2.992
47.542	-2.951
47.292	-3.269
47.042	-3.052
46.792	-2.956
46.542	-2.956
46.292	-3.395
46.042	-3.248
45.792	-2.944
45.542	-2.842
45.292	-3.352
45.042	-3.198
44.792	-2.985
44.542	-2.942
44.292	-3.418
44.042	-3.258
43.792	-3.316
43.542	-3.097
43.292	-3.534
43.042	-3.510
42.792	-3.338
42.542	-3.316
42.292	-3.383
42.042	-3.221
41.792	-3.325
41.542	-3.239
41.292	-3.381
41.042	-3.142
40.792	-3.142
40.542	-3.126
40.292	-3.219
40.042	-3.084
39.792	-3.242
39.542	-3.371
39.292	-3.521
39.042	-3.418
38.792	-3.404
38.542	-3.395
38.292	-3.343
38.042	-3.440
37.792	-3.401
37.542	-3.498
37.292	-3.579
37.042	-3.414
36.792	-3.383
36.542	-3.355
36.292	-3.471
36.042	-3.284
35.792	-3.159
35.542	-3.161
35.292	-3.390
35.042	-3.169
34.792	-3.204
34.542	-3.174
34.292	-3.447
34.042	-3.376
33.792	-3.129
33.542	-3.061
33.292	-3.373
33.042	-3.265
32.792	-3.243
32.542	-3.360
32.292	-3.646
32.042	-3.333
31.792	-3.287
31.542	-3.104
31.292	-3.372
31.042	-3.159
30.792	-3.109
30.542	-2.977
30.292	-3.326
30.042	-3.153
29.792	-3.161
29.542	-3.332
29.292	-3.538
29.042	-3.214
28.792	-3.301
28.542	-3.261
28.292	-3.354
28.042	-3.187
27.792	-3.142
27.542	-3.258
27.292	-3.593
27.042	-3.237
26.792	-3.032
26.542	-3.069
26.292	-3.446
26.042	-3.213
25.792	-3.241
25.542	-3.170
25.292	-3.460
25.042	-3.432
24.792	-3.365
24.542	-3.531
24.292	-3.749
24.042	-3.445
23.792	-3.201
23.542	-3.023
23.292	-3.293
23.042	-3.523
22.792	-3.148
22.542	-2.860
22.292	-3.508
22.042	-3.350
21.792	-3.285
21.542	-3.241
21.292	-3.393
21.042	-3.321
20.792	-3.271
20.542	-3.305
20.292	-3.502
20.042	-3.294
19.792	-3.167
19.542	-2.915
19.292	-3.301
19.042	-3.226
18.792	-3.230
18.542	-3.172
18.292	-3.561
18.042	-3.446
17.792	-3.332
17.542	-3.301
17.292	-3.513
17.042	-3.368
16.792	-3.315
16.542	-3.113
16.292	-3.320
16.042	-3.334
15.792	-3.187
15.542	-3.237
15.292	-3.423
15.042	-3.404
14.792	-3.368
14.542	-3.368
14.292	-3.556
14.042	-3.443
13.792	-3.414
13.542	-3.391
13.292	-3.537
13.042	-3.410
12.792	-3.275
12.542	-3.267
12.292	-3.594
12.042	-3.385
11.792	-3.361
11.542	-3.287
11.292	-3.493
11.042	-3.435
10.792	-3.201
10.542	-3.120
10.292	-3.577
10.042	-3.358
9.792	-3.334
9.542	-3.389
9.292	-3.627
9.042	-3.428
8.792	-3.389
8.542	-3.327
8.292	-3.381
8.042	-3.171
7.792	-3.184
7.542	-3.159
7.292	-3.286
7.042	-3.393
6.792	-3.146
6.542	-3.213
