# Papua New Guinea Fossil and Living Coral Isotope Data
#----------------------------------------------------------------------- 
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
# Online_Resource: https://www.ncdc.noaa.gov/study/1866
#
# Online_Resource: http://www.ncdc.noaa.gov/paleo/pubs/tudhope2001/fig3a.jpg
# Online_Resource: http://www.ncdc.noaa.gov/paleo/pubs/tudhope2001/fig4a.jpg
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/coral/west_pacific/papua_new_guinea/huon_2001.txt
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Corals and Sclerosponges
#--------------------
# Contribution_Date
#	Date: 2001-10-01
#--------------------
# Title
#	Study_Name: Multi-site - del18O Data - 2001
#--------------------
# Investigators
#       Investigators: Tudhope, A.W.; Chilcott, C.P.; McCulloch, M.T.; Cook, E.R.; Chappell, J.; Ellam, R.M.; Lea, D.W.; Lough, J.M.; Shimmield, G.B.
#--------------------
# Description_and_Notes
#	Description: Results of analysis of cores collected from 'fossil' massive Porites corals exposed in the raised reefs of the Huon Peninsula, Papua New Guinea (see below for age estimate), and living corals.  The cores were collected vertically  down the axis of maximum growth of the colony.  Cores were subsampled into 1mm  growth increments, resulting in an average of 12 samples/annual growth increment.   These samples were analysed for d18O, then the data interpolated to seasonal resolution (presented here).  In this region, seasonal and interannual variations in skeletal d18O are due to the combined effects of changes in precipitation/evaporation balance and temperature; see Tudhope et al., 1995, Earth Planet. Sci. Lett., 136, 575, and Tudhope et al., 2001, Science, 291, 1511-1517 for further discussion of climatic interpretation.
#--------------------
# Publication 
#       Authors: Tudhope, A.W.; Chilcott, C.P.; McCulloch, M.T.; Cook, E.R.; Chappell, J.; Ellam, R.M.; Lea, D.W.; Lough, J.M.; Shimmield, G.B.
#       Published_Date_or_Year: 2001-01-11    
#       Published_Title: Variability in the El Nino-Southern Oscillation through a glacial-interglacial cycle.
#       Journal_Name: Science
#       Volume: 291
#       Edition: 5508
#       Issue: 
#       Pages: 1511-1517
#       DOI: 10.1126/science.1057969
#       Online_Resource: 
#       Full_Citation: 
#       Abstract: The El Nino–Southern Oscillation (ENSO) is the most potent source of inter- annual climate variability. Uncertainty surrounding the impact of greenhouse warming on ENSO strength and frequency has stimulated efforts to develop a better understanding of the sensitivity of ENSO to climate change. Here we use annually banded corals from Papua New Guinea to show that ENSO has existed for the past 130,000 years, operating even during “glacial” times of substan- tially reduced regional and global temperature and changed solar forcing. However, we also find that during the 20th century ENSO has been strong compared with ENSO of previous cool (glacial) and warm (interglacial) times. The observed pattern of change in amplitude may be due to the combined effects of ENSO dampening during cool glacial conditions and ENSO forcing by precessional orbital variations
#------------------
# Funding_Agency 
#       Funding_Agency_Name: 
#       Grant: 
#------------------
# Site_Information 
#       Site_Name: Sialum, Huon Peninsula
#       Location: Ocean>Pacific Ocean>South Pacific Ocean>Melanesia>Papua New Guinea
#	Country: Papua New Guinea  
#	Northernmost_Latitude: -6.083333 
# 	Southernmost_Latitude: -6.083333 
# 	Easternmost_Longitude: 147.60 
# 	Westernmost_Longitude: 147.60 
# 	Elevation:  -4 m  
#------------------
# Data_Collection   
#	Collection_Name: 01papu01a
#	Earliest_Year: 1977
#	Most_Recent_Year: 1995
#	Time_Unit: AD
#	Core_Length: 
#	Notes: Core name- (H95-64). Sample collected from living Porites coral colony at Sialum, Huon Peninsula. Long-term analytical precision of � 0.16 � d18O (2s) based on analysis of internal consistency standards
#------------------
# Species
#	Species_Name: Porites sp.
#	Common_Name: 
#------------------
# Chronology_Information
#	Chronology: 
#  	
#----------------	
# Variables 
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age	age, , ,years AD, , , , ,N
##d18O	delta 18O, Porites sp., , permil VPDB, , Corals and Sclerosponges, average: seasonal (midpoint), instrument: isotope ratio mass spectrometer,N
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: NAN 
#
age	d18O
1995.292	-5.362
1995.042	-5.206
1994.792	-4.832
1994.542	-4.921
1994.292	-5.184
1994.042	-5.144
1993.792	-4.730
1993.542	-4.743
1993.292	-5.034
1993.042	-5.009
1992.792	-4.726
1992.542	-4.694
1992.292	-4.845
1992.042	-5.119
1991.792	-5.027
1991.542	-5.111
1991.292	-5.406
1991.042	-5.257
1990.792	-5.199
1990.542	-5.061
1990.292	-5.404
1990.042	-5.339
1989.792	-5.404
1989.542	-5.203
1989.292	-5.569
1989.042	-5.201
1988.792	-5.257
1988.542	-5.242
1988.292	-5.353
1988.042	-5.128
1987.792	-4.960
1987.542	-4.790
1987.292	-5.103
1987.042	-5.158
1986.792	-5.146
1986.542	-5.121
1986.292	-5.630
1986.042	-5.336
1985.792	-5.431
1985.542	-5.280
1985.292	-5.395
1985.042	-5.051
1984.792	-4.871
1984.542	-4.956
1984.292	-5.366
1984.042	-5.356
1983.792	-4.897
1983.542	-4.709
1983.292	-5.119
1983.042	-5.080
1982.792	-4.871
1982.542	-4.989
1982.292	-5.470
1982.042	-5.516
1981.792	-5.203
1981.542	-5.171
1981.292	-5.381
1981.042	-5.443
1980.792	-5.135
1980.542	-4.996
1980.292	-5.277
1980.042	-5.347
1979.792	-5.043
1979.542	-4.937
1979.292	-5.277
1979.042	-5.000
1978.792	-5.061
1978.542	-4.932
1978.292	-5.226
1978.042	-5.047
1977.792	-4.995
