# Papua New Guinea Fossil and Living Coral Isotope Data
#----------------------------------------------------------------------- 
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
# Online_Resource: https://www.ncdc.noaa.gov/study/1866
#
# Online_Resource: http://www.ncdc.noaa.gov/paleo/pubs/tudhope2001/fig3a.jpg
# Online_Resource: http://www.ncdc.noaa.gov/paleo/pubs/tudhope2001/fig4a.jpg
# Original_Source_URL: http://www1.ncdc.noaa.gov/pub/data/paleo/coral/west_pacific/papua_new_guinea/huon_terrace_vii3_2001.txt
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Corals and Sclerosponges
#--------------------
# Contribution_Date
#	Date: 2001-10-01
#--------------------
# Title
#	Study_Name: Multi-site - del18O Data - 2001
#--------------------
# Investigators
#       Investigators: Tudhope, A.W.; Chilcott, C.P.; McCulloch, M.T.; Cook, E.R.; Chappell, J.; Ellam, R.M.; Lea, D.W.; Lough, J.M.; Shimmield, G.B.
#--------------------
# Description_and_Notes
#	Description: Results of analysis of a core collected from a 'fossil' massive Porites coral exposed in the raised reefs of the Huon Peninsula, Papua New Guinea.  The coral grew about 130 ka BP, during the penultimate deglaciation, when sea-level was about 61-96 m below present day level.  The core was collected vertically down the axis of maximum growth of the colony.  This core was subsampled into 1mm growth increments, resulting in an average of 9 samples/annual growth increment.  These samples were analysed for d18O, then the data interpolated to seasonal resolution (presented here).  In this region, seasonal and interannual variations in skeletal d18O are due to the combined effects of changes in precipitation/evaporation balance and temperature; see Tudhope et al., 1995, Earth Planet. Sci. Lett., 136, 575, and Tudhope et al., 2001, Science, 291, 1511-1517 for further discussion of climatic interpretation.
#--------------------
# Publication 
#       Authors: Tudhope, A.W.; Chilcott, C.P.; McCulloch, M.T.; Cook, E.R.; Chappell, J.; Ellam, R.M.; Lea, D.W.; Lough, J.M.; Shimmield, G.B.
#       Published_Date_or_Year: 2001-01-11    
#       Published_Title: Variability in the El Nino-Southern Oscillation through a glacial-interglacial cycle.
#       Journal_Name: Science
#       Volume: 291
#       Edition: 5508
#       Issue: 
#       Pages: 1511-1517
#       DOI: 10.1126/science.1057969
#       Online_Resource: 
#       Full_Citation: 
#       Abstract: The El Nin ̃o–Southern Oscillation (ENSO) is the most potent source of inter- annual climate variability. Uncertainty surrounding the impact of greenhouse warming on ENSO strength and frequency has stimulated efforts to develop a better understanding of the sensitivity of ENSO to climate change. Here we use annually banded corals from Papua New Guinea to show that ENSO has existed for the past 130,000 years, operating even during “glacial” times of substan- tially reduced regional and global temperature and changed solar forcing. However, we also find that during the 20th century ENSO has been strong compared with ENSO of previous cool (glacial) and warm (interglacial) times. The observed pattern of change in amplitude may be due to the combined effects of ENSO dampening during cool glacial conditions and ENSO forcing by precessional orbital variations
#------------------
# Funding_Agency 
#       Funding_Agency_Name: 
#       Grant: 
#------------------
# Site_Information 
#       Site_Name: Sialum, Huon Peninsula
#       Location: Ocean>Pacific Ocean>South Pacific Ocean>Melanesia>Papua New Guinea
#	Country: Papua New Guinea  
#	Northernmost_Latitude: -6.0667 
# 	Southernmost_Latitude: -6.0667 
# 	Easternmost_Longitude: 147.5667 
# 	Westernmost_Longitude: 147.5667 
# 	Elevation:  113 m  (Depth of water in which coral grew estimated at 5-15 m based on coral assemblages and reef structure.)
#------------------
# Data_Collection   
#	Collection_Name: 01papu01j
#	Earliest_Year: 130000
#	Most_Recent_Year: 130000
#	Time_Unit: cal yr BP
#	Core_Length: 
#	Notes: Core name- (H95-6) . Long-term analytical precision of � 0.16 � d18O (2s) based on analysis of internal consistency standards. Sample collected from Huon raised reef VII (terraces described in:  Chappell, 1974, Bull. Geol. Soc. Am., 85, 553;  Chappell et al., 1996, Earth Planet. Sci. Lett., 141, 227). 
#------------------
# Species
#	Species_Name: Porites sp.
#	Common_Name: 
#------------------
# Chronology_Information
#	Chronology: 130 � 2 ka (based on stratigraphic location and U-series dates)				
#  	
#----------------	
# Variables 
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age	age, , ,year, , , , ,N
##d18O	delta 18O, Porites sp., , permil VPDB, , Corals and Sclerosponges, , instrument: isotope ratio mass spectrometer,N
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: NAN 
#
age	d18O
30.792	-3.913
30.542	-3.950
30.292	-4.072
30.042	-4.077
29.792	-3.978
29.542	-3.921
29.292	-4.115
29.042	-4.095
28.792	-4.086
28.542	-4.003
28.292	-4.116
28.042	-4.039
27.792	-3.962
27.542	-3.893
27.292	-4.061
27.042	-4.123
26.792	-3.964
26.542	-3.967
26.292	-4.068
26.042	-4.002
25.792	-3.975
25.542	-3.906
25.292	-3.929
25.042	-3.835
24.792	-3.953
24.542	-3.903
24.292	-3.966
24.042	-4.059
23.792	-4.065
23.542	-4.087
23.292	-4.195
23.042	-4.128
22.792	-4.099
22.542	-3.796
22.292	-3.824
22.042	-3.909
21.792	-3.924
21.542	-3.912
21.292	-3.977
21.042	-4.031
20.792	-3.777
20.542	-3.751
20.292	-3.816
20.042	-4.004
19.792	-3.933
19.542	-3.920
19.292	-3.950
19.042	-4.056
18.792	-3.977
18.542	-3.821
18.292	-3.854
18.042	-3.853
17.792	-3.859
17.542	-3.881
17.292	-3.891
17.042	-4.103
16.792	-4.077
16.542	-4.085
16.292	-4.266
16.042	-4.179
15.792	-4.130
15.542	-4.079
15.292	-4.119
15.042	-4.067
14.792	-4.074
14.542	-3.857
14.292	-3.965
14.042	-3.914
13.792	-3.946
13.542	-3.884
13.292	-4.018
13.042	-4.023
12.792	-4.146
12.542	-4.039
12.292	-3.940
12.042	-4.030
11.792	-3.850
11.542	-3.797
11.292	-3.908
11.042	-3.843
10.792	-3.829
10.542	-3.664
10.292	-3.704
10.042	-3.883
9.792	-3.851
9.542	-3.834
9.292	-4.124
9.042	-4.101
8.792	-4.134
8.542	-4.010
8.292	-4.042
8.042	-4.190
7.792	-3.993
7.542	-3.857
7.292	-3.957
7.042	-4.017
6.792	-3.974
6.542	-3.850
6.292	-3.927
6.042	-3.878
5.792	-3.816
5.542	-3.808
5.292	-3.899
5.042	-3.858
4.792	-3.822
4.542	-3.804
4.292	-3.889
4.042	-4.079
3.792	-4.060
3.542	-3.968
3.292	-4.037
3.042	-4.109
2.792	-4.159
2.542	-4.017
2.292	-4.049
2.042	-4.019
1.792	-3.875
1.542	-3.885
1.292	-4.048
1.042	-4.010
0.792	-3.846
0.542	-3.750
