# Papua New Guinea Fossil and Living Coral Isotope Data
#----------------------------------------------------------------------- 
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
# Online_Resource: https://www.ncdc.noaa.gov/study/1866
#
# Online_Resource: http://www.ncdc.noaa.gov/paleo/pubs/tudhope2001/fig3a.jpg
# Online_Resource: http://www.ncdc.noaa.gov/paleo/pubs/tudhope2001/fig4a.jpg
# Original_Source_URL: http://www1.ncdc.noaa.gov/pub/data/paleo/coral/west_pacific/papua_new_guinea/huon_terrace_iia1_2001.txt
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Corals and Sclerosponges
#--------------------
# Contribution_Date
#	Date: 2001-10-01
#--------------------
# Title
#	Study_Name: Multi-site - del18O Data - 2001
#--------------------
# Investigators
#       Investigators: Tudhope, A.W.; Chilcott, C.P.; McCulloch, M.T.; Cook, E.R.; Chappell, J.; Ellam, R.M.; Lea, D.W.; Lough, J.M.; Shimmield, G.B.
#--------------------
# Description_and_Notes
#	Description: Results of analysis of a core collected from a 'fossil' massive Porites coral exposed in the raised reefs of the Huon Peninsula, Papua New Guinea.  The coral grew about 39 ka BP, when sea-level was about 74-86 m below present day level.  The core was collected vertically down the axis of maximum growth of the colony.  This core was subsampled into 1mm growth increments, resulting in an average of 9 samples/annual growth increment.  These samples were analysed for d18O, then the data interpolated to seasonal resolution (presented here).  In this region, seasonal and interannual variations in skeletal d18O are due to the combined effects of changes in precipitation/evaporation balance and temperature; see Tudhope et al., 1995, Earth Planet. Sci. Lett., 136, 575, and Tudhope et al., 2001, Science, 291, 1511-1517 for further discussion of climatic interpretation
#--------------------
# Publication 
#       Authors: Tudhope, A.W.; Chilcott, C.P.; McCulloch, M.T.; Cook, E.R.; Chappell, J.; Ellam, R.M.; Lea, D.W.; Lough, J.M.; Shimmield, G.B.
#       Published_Date_or_Year: 2001-01-11    
#       Published_Title: Variability in the El Nino-Southern Oscillation through a glacial-interglacial cycle.
#       Journal_Name: Science
#       Volume: 291
#       Edition: 5508
#       Issue: 
#       Pages: 1511-1517
#       DOI: 10.1126/science.1057969
#       Online_Resource: 
#       Full_Citation: 
#       Abstract: The El Nin ̃o–Southern Oscillation (ENSO) is the most potent source of inter- annual climate variability. Uncertainty surrounding the impact of greenhouse warming on ENSO strength and frequency has stimulated efforts to develop a better understanding of the sensitivity of ENSO to climate change. Here we use annually banded corals from Papua New Guinea to show that ENSO has existed for the past 130,000 years, operating even during “glacial” times of substan- tially reduced regional and global temperature and changed solar forcing. However, we also find that during the 20th century ENSO has been strong compared with ENSO of previous cool (glacial) and warm (interglacial) times. The observed pattern of change in amplitude may be due to the combined effects of ENSO dampening during cool glacial conditions and ENSO forcing by precessional orbital variations
#------------------
# Funding_Agency 
#       Funding_Agency_Name: 
#       Grant: 
#------------------
# Site_Information 
#       Site_Name: Sialum, Huon Peninsula
#       Location: Ocean>Pacific Ocean>South Pacific Ocean>Melanesia>Papua New Guinea
#	Country: Papua New Guinea  
#	Northernmost_Latitude: -6.2167 
# 	Southernmost_Latitude: -6.2167
# 	Easternmost_Longitude: 147.667 
# 	Westernmost_Longitude: 147.667 
# 	Elevation:  27 m  (Depth of water in which coral grew estimated at 1-5 m based on coral assemblages and reef structure.)
#------------------
# Data_Collection   
#	Collection_Name: 01papu01c
#	Earliest_Year: 39400
#	Most_Recent_Year: 39400
#	Time_Unit: cal yr BP
#	Core_Length: 
#	Notes: Core name- (H96-18) . Long-term analytical precision of � 0.16 � d18O (2s) based on analysis of internal consistency standards. Sample collected from Huon raised reef IIa (terraces described in:  Chappell, 1974, Bull. Geol. Soc. Am., 85, 553;  Chappell et al., 1996, Earth Planet. Sci. Lett., 141, 227). 
#------------------
# Species
#	Species_Name: Porites sp.
#	Common_Name: 
#------------------
# Chronology_Information
#	Chronology: 39.4 � 0.3 ka (U-series age; T.I.M.S.)		
#  	
#----------------	
# Variables 
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age	age, , ,year, , , , ,N
##d18O	delta 18O, Porites sp., , permil VPDB, , Corals and Sclerosponges, , instrument: isotope ratio mass spectrometer,N
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: NAN 
#
age	d18O
66.042	-3.869
65.792	-3.518
65.542	-3.533
65.292	-3.534
65.042	-3.809
64.792	-3.919
64.542	-3.659
64.292	-3.856
64.042	-4.084
63.792	-3.775
63.542	-3.586
63.292	-4.132
63.042	-4.039
62.792	-3.879
62.542	-3.887
62.292	-4.156
62.042	-3.620
61.792	-3.721
61.542	-3.723
61.292	-3.994
61.042	-4.043
60.792	-3.873
60.542	-3.879
60.292	-4.121
60.042	-4.013
59.792	-3.937
59.542	-3.835
59.292	-4.098
59.042	-3.907
58.792	-3.697
58.542	-3.660
58.292	-3.973
58.042	-4.091
57.792	-3.739
57.542	-3.678
57.292	-3.928
57.042	-4.005
56.792	-3.797
56.542	-3.704
56.292	-4.044
56.042	-3.906
55.792	-3.790
55.542	-3.783
55.292	-4.037
55.042	-4.179
54.792	-3.826
54.542	-3.856
54.292	-3.958
54.042	-4.073
53.792	-3.893
53.542	-3.847
53.292	-4.035
53.042	-3.971
52.792	-3.833
52.542	-3.749
52.292	-3.878
52.042	-4.095
51.792	-3.791
51.542	-3.753
51.292	-3.960
51.042	-3.996
50.792	-3.721
50.542	-3.580
50.292	-3.913
50.042	-3.950
49.792	-3.818
49.542	-3.806
49.292	-3.885
49.042	-3.761
48.792	-3.740
48.542	-3.725
48.292	-3.832
48.042	-3.826
47.792	-3.610
47.542	-3.503
47.292	-3.750
47.042	-3.844
46.792	-3.640
46.542	-3.620
46.292	-3.846
46.042	-4.191
45.792	-3.747
45.542	-3.493
45.292	-3.635
45.042	-3.843
44.792	-3.566
44.542	-3.523
44.292	-3.816
44.042	-3.826
43.792	-3.458
43.542	-3.534
43.292	-3.753
43.042	-3.937
42.792	-3.582
42.542	-3.405
42.292	-3.700
42.042	-3.816
41.792	-3.550
41.542	-3.634
41.292	-3.914
41.042	-3.763
40.792	-3.729
40.542	-3.668
40.292	-3.612
40.042	-3.671
39.792	-3.543
39.542	-3.432
39.292	-3.664
39.042	-3.689
38.792	-3.623
38.542	-3.362
38.292	-3.724
38.042	-3.991
37.792	-3.720
37.542	-3.552
37.292	-3.799
37.042	-3.901
36.792	-3.783
36.542	-3.647
36.292	-3.631
36.042	-3.589
35.792	-3.419
35.542	-3.390
35.292	-3.687
35.042	-3.901
34.792	-3.720
34.542	-3.547
34.292	-3.642
34.042	-3.776
33.792	-3.707
33.542	-3.618
33.292	-3.842
33.042	-3.949
32.792	-3.735
32.542	-3.513
32.292	-3.950
32.042	-4.055
31.792	-3.848
31.542	-3.681
31.292	-4.083
31.042	-4.069
30.792	-4.101
30.542	-4.083
30.292	-4.287
30.042	-4.201
29.792	-4.147
29.542	-4.075
29.292	-4.481
29.042	-4.243
28.792	-4.010
28.542	-3.901
28.292	-4.299
28.042	-4.185
27.792	-4.236
27.542	-4.079
27.292	-4.203
27.042	-4.134
26.792	-4.189
26.542	-4.136
26.292	-4.385
26.042	-4.028
25.792	-3.963
25.542	-3.904
25.292	-4.297
25.042	-4.103
24.792	-3.973
24.542	-3.859
24.292	-4.357
24.042	-4.245
23.792	-3.903
23.542	-3.454
23.292	-3.859
23.042	-4.018
22.792	-3.779
22.542	-3.630
22.292	-3.806
22.042	-3.682
21.792	-3.863
21.542	-3.712
21.292	-4.047
21.042	-4.098
20.792	-3.737
20.542	-3.585
20.292	-4.133
20.042	-3.951
19.792	-3.672
19.542	-3.354
19.292	-3.734
19.042	-3.889
18.792	-3.717
18.542	-3.729
18.292	-4.171
18.042	-4.074
17.792	-3.910
17.542	-3.757
17.292	-3.754
17.042	-3.837
16.792	-3.636
16.542	-3.419
16.292	-3.640
16.042	-3.753
15.792	-3.641
15.542	-3.507
15.292	-3.677
15.042	-3.837
14.792	-3.578
14.542	-3.381
14.292	-3.740
14.042	-3.802
13.792	-3.530
13.542	-3.497
13.292	-3.922
13.042	-3.963
12.792	-3.782
12.542	-3.777
12.292	-4.037
12.042	-3.798
11.792	-3.787
11.542	-3.816
11.292	-4.246
11.042	-4.060
10.792	-3.986
10.542	-3.949
10.292	-4.040
10.042	-4.022
9.792	-4.000
9.542	-4.047
9.292	-4.028
9.042	-4.315
8.792	-3.927
8.542	-3.976
8.292	-4.144
8.042	-4.256
7.792	-3.974
7.542	-3.923
7.292	-4.206
7.042	-4.124
6.792	-4.174
6.542	-4.153
6.292	-4.085
6.042	-4.027
5.792	-3.973
5.542	-3.981
5.292	-3.943
5.042	-4.096
4.792	-4.056
4.542	-4.067
4.292	-4.150
4.042	-3.980
3.792	-3.971
3.542	-3.791
3.292	-3.831
3.042	-3.805
2.792	-3.711
2.542	-3.585
2.292	-4.041
2.042	-3.975
