# Papua New Guinea Fossil and Living Coral Isotope Data
#----------------------------------------------------------------------- 
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
# Online_Resource: https://www.ncdc.noaa.gov/study/1866
#
# Online_Resource: http://www.ncdc.noaa.gov/paleo/pubs/tudhope2001/fig3a.jpg
# Online_Resource: http://www.ncdc.noaa.gov/paleo/pubs/tudhope2001/fig4a.jpg
# Original_Source_URL: http://www1.ncdc.noaa.gov/pub/data/paleo/coral/west_pacific/papua_new_guinea/huon_terrace_v_2001.txt
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Corals and Sclerosponges
#--------------------
# Contribution_Date
#	Date: 2001-10-01
#--------------------
# Title
#	Study_Name: Multi-site - del18O Data - 2001
#--------------------
# Investigators
#       Investigators: Tudhope, A.W.; Chilcott, C.P.; McCulloch, M.T.; Cook, E.R.; Chappell, J.; Ellam, R.M.; Lea, D.W.; Lough, J.M.; Shimmield, G.B.
#--------------------
# Description_and_Notes
#	Description: Results of analysis of a core collected from a 'fossil' massive Porites coral exposed in the raised reefs of the Huon Peninsula, Papua New Guinea.  The coral grew about 85 ka BP, when sea-level was about 24-44 m below present day level.  The core was collected vertically down the axis of maximum growth of the colony.  This core was subsampled into 1mm growth increments, resulting in an average of 8 samples/annual growth increment.  These samples were analysed for d18O, then the data interpolated to seasonal resolution (presented here).  In this region, seasonal and interannual variations in skeletal d18O are due to the combined effects of changes in precipitation/evaporation balance and temperature; see Tudhope et al., 1995, Earth Planet. Sci. Lett., 136, 575, and Tudhope et al., 2001, Science, 291, 1511-1517 for further discussion of climatic interpretation.	
#--------------------
# Publication 
#       Authors: Tudhope, A.W.; Chilcott, C.P.; McCulloch, M.T.; Cook, E.R.; Chappell, J.; Ellam, R.M.; Lea, D.W.; Lough, J.M.; Shimmield, G.B.
#       Published_Date_or_Year: 2001-01-11    
#       Published_Title: Variability in the El Nino-Southern Oscillation through a glacial-interglacial cycle.
#       Journal_Name: Science
#       Volume: 291
#       Edition: 5508
#       Issue: 
#       Pages: 1511-1517
#       DOI: 10.1126/science.1057969
#       Online_Resource: 
#       Full_Citation: 
#       Abstract: The El Nin ̃o–Southern Oscillation (ENSO) is the most potent source of inter- annual climate variability. Uncertainty surrounding the impact of greenhouse warming on ENSO strength and frequency has stimulated efforts to develop a better understanding of the sensitivity of ENSO to climate change. Here we use annually banded corals from Papua New Guinea to show that ENSO has existed for the past 130,000 years, operating even during “glacial” times of substan- tially reduced regional and global temperature and changed solar forcing. However, we also find that during the 20th century ENSO has been strong compared with ENSO of previous cool (glacial) and warm (interglacial) times. The observed pattern of change in amplitude may be due to the combined effects of ENSO dampening during cool glacial conditions and ENSO forcing by precessional orbital variations
#------------------
# Funding_Agency 
#       Funding_Agency_Name: 
#       Grant: 
#------------------
# Site_Information 
#       Site_Name: Sialum, Huon Peninsula
#       Location: Ocean>Pacific Ocean>South Pacific Ocean>Melanesia>Papua New Guinea
#	Country: Papua New Guinea  
#	Northernmost_Latitude: -6.1333 
# 	Southernmost_Latitude: -6.1333 
# 	Easternmost_Longitude: 147.6167 
# 	Westernmost_Longitude: 147.6167 
# 	Elevation:  60 m  (Depth of water in which coral grew estimated at 5-15 m based on coral assemblages and reef structure.)
#------------------
# Data_Collection   
#	Collection_Name: 01papu01g
#	Earliest_Year: 85000
#	Most_Recent_Year: 85000
#	Time_Unit: cal yr BP
#	Core_Length: 
#	Notes: Core name- (H97-10) . Long-term analytical precision of � 0.16 � d18O (2s) based on analysis of internal consistency standards. Sample collected from Huon raised reef V (terraces described in:  Chappell, 1974, Bull. Geol. Soc. Am., 85, 553;  Chappell et al., 1996, Earth Planet. Sci. Lett., 141, 227). 
#------------------
# Species
#	Species_Name: Porites sp.
#	Common_Name: 
#------------------
# Chronology_Information
#	Chronology: ~85 ka (based on stratigraphic location within section previously dated by U-series techniques)					
#  	
#----------------	
# Variables 
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age	age, , ,year, , , , ,N
##d18O	delta 18O, Porites sp., , permil VPDB, , Corals and Sclerosponges, , instrument: isotope ratio mass spectrometer,N
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: NAN 
#
age	d18O
18.792	-4.184
18.542	-4.103
18.292	-4.438
18.042	-4.392
17.792	-4.261
17.542	-4.053
17.292	-4.425
17.042	-4.513
16.792	-4.316
16.542	-4.267
16.292	-4.525
16.042	-4.307
15.792	-4.102
15.542	-4.106
15.292	-4.319
15.042	-4.203
14.792	-3.986
14.542	-4.027
14.292	-4.265
14.042	-4.217
13.792	-4.180
13.542	-4.164
13.292	-4.293
13.042	-4.184
12.792	-4.156
12.542	-4.155
12.292	-4.378
12.042	-4.294
11.792	-4.280
11.542	-4.020
11.292	-4.340
11.042	-4.203
10.792	-4.112
10.542	-4.026
10.292	-4.112
10.042	-4.147
9.792	-3.940
9.542	-3.968
9.292	-4.292
9.042	-4.251
8.792	-4.356
8.542	-4.329
8.292	-4.573
8.042	-4.362
7.792	-4.185
7.542	-4.165
7.292	-4.338
7.042	-4.247
6.792	-4.176
6.542	-4.071
6.292	-4.444
6.042	-4.393
5.792	-4.303
5.542	-4.269
5.292	-4.370
5.042	-4.374
4.792	-4.387
4.542	-4.283
4.292	-4.491
4.042	-4.255
3.792	-4.125
3.542	-4.226
3.292	-4.434
3.042	-4.251
2.792	-4.249
2.542	-4.181
2.292	-4.276
2.042	-4.136
1.792	-4.172
1.542	-4.233
1.292	-4.332
1.042	-4.199
0.792	-4.111
0.542	-4.120
