# Doangdoangan Besar, Indonesia Porites sp. d18O data from 1926-2010 CE
#-----------------------------------------------------------------------            
#                World Data Service for Paleoclimatology, Boulder            
#                                  and            
#                     NOAA Paleoclimatology Program            
#             National Centers for Environmental Information (NCEI)            
#-----------------------------------------------------------------------            
# Template Version 3.0            
# Encoding: UTF-8            
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.             
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
# Online_Resource:  https://www.ncdc.noaa.gov/paleo/study/24630
#     Description: NOAA Landing Page
# Online_Resource:  https://www1.ncdc.noaa.gov/pub/data/paleo/coral/west_pacific/murty2017/Murty.MakassarStrait.2017-2.txt
#     Online_Resource_Description:  This file.  NOAA WDS Paleo formatted metadata and data for version 1.0.0 of this dataset.
# Online_Resource:  https://www1.ncdc.noaa.gov/pub/data/paleo/coral/west_pacific/murty2017/Murty.MakassarStrait.2017.lpd
#     Online_Resource_Description:  Linked Paleo Data (LiPD) formatted file containing the same metadata and data as this file, for version 1.0.0 of this dataset.
#
# Original_Source_URL: 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Corals and Sclerosponges
#
# Parameter_Keywords: oxygen isotopes
#
# Dataset_DOI: 
#
#------------------
# Contribution_Date
#     Date: 2018-07-17
#------------------
# File_Last_Modified_Date
#     Modified_Date: 2018-07-17
#------------------
# Title
#     Study_Name: Doangdoangan Besar, Indonesia Porites sp. d18O data from 1926-2010 CE
#------------------
# Investigators
#     Investigators: Murty, Sujata; Goodkin, Nathalie; Halide, Halmar; Natawidjaja, Danny; Suwargadi, Bambang; Suprihanto, Imam; Prayudi, Dudi; Switzer, Adam; Gordon, Arnold
#------------------
# Description_Notes_and_Keywords
#     Description: d18O measurements of a Porites coral collected from Doangdoangan Besar in the southern Makassar Strait. The d18O data were determined using isotope ratio mass spectrometry (IRMS)
#------------------
# Publication
#     Authors: Murty, S.A.; Goodkin, N.F.; Halide, H.; Natawidjaja, D.; Suwargadi, B.; Suprihanto, I.; Prayudi, D.; Switzer, A.D.; Gordon, A.L.
#     Published_Date_or_Year: 2017
#     Published_Title: Climatic Influences on Southern Makassar Strait Salinity Over the Past Century
#     Journal_Name: Geophysical Research Letters
#     Volume: 44
#     Edition: 
#     Issue: 23
#     Pages: 11967-11975
#     Report: 
#     DOI: 10.1002/2017GL075504
#     Online_Resource: 
#     Full_Citation: 
#     Abstract: The Indonesian Throughflow (ITF) is a globally important ocean current that fuels heat and buoyancy fluxes throughout the Indo-Pacific and is known to covary in strength with the El Niño Southern Oscillation at interannual time scales. A climate system with a less well-quantified impact on the ITF is the East Asian Winter Monsoon (EAWM), which drives less saline surface waters from the South China Sea (SCS) into the Makassar Strait, obstructing surface ITF flow. We present a subannually resolved record of sea surface salinity (SSS) from 1927 to 2011 based on coral δ18O from the Makassar Strait that reveals variability in the relative contributions of different source waters to the surface waters of the Makassar Strait during the boreal winter monsoon. We find that the EAWM (January–March) strongly influences interannual SSS variability during boreal winter over the twentieth century (r = 0.54, p << 0.0001), impacting surface water circulation in the SCS and Indonesian Seas.
#------------------
# Funding_Agency
#     Funding_Agency_Name: National Research Foundation Singapore
#     Grant: NRFF-2012-03
#------------------
# Funding_Agency
#     Funding_Agency_Name: National Oceanic and Atmospheric Administration, Division of Climate Observations, U.S. Department of Commerce
#     Grant: UCAR-Z15-17551
#------------------
# Site_Information
#     Site_Name: Doangdoangan Besar
#     Location: Asia>Southeastern Asia>Indonesia
#     Country: Indonesia
#     Northernmost_Latitude: -5.382
#     Southernmost_Latitude: -5.382
#     Easternmost_Longitude: 117.914
#     Westernmost_Longitude: 117.914
#     Elevation: -5
#------------------
# Data_Collection
#     Collection_Name: Murty.MakassarStrait.2017.BimonthlyRecord
#     Earliest_Year: 1926.95
#     Most_Recent_Year: 2010.94
#     Time_Unit: years CE
#     Core_Length: 
#     Notes: 
#------------------
# Species
#     Species_Name: 
#     Species_Code: 
#     Common_Name: 
#------------------
# Chronology_Section
#  Chronology:
#------------------
# Variables        
#
# Data variables follow that are preceded by "##" in columns one and two.        
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components 
#
## age	age,,,year Common Era,,,interpolated,,N,
## d18Oporites	delta 18O, Porites sp.,,per mil VPDB, , corals and sclerosponges, interpolated,isotope ratio mass spectrometry, N,
#
#------------------
# Data:        
# Data lines follow (have no #)        
# Data line format - tab-delimited text, variable short name as header)        
# Missing_Values: nan
#
age            d18OPorites	
2010.94	-6.37873	
2010.77	-5.71692	
2010.60	-5.42578	
2010.44	-5.56562	
2010.27	-6.08273	
2010.10	-6.16925	
2009.94	-5.80861	
2009.77	-5.54456	
2009.60	-5.48261	
2009.44	-5.58031	
2009.27	-5.94139	
2009.10	-6.17522	
2008.94	-5.71434	
2008.77	-5.43030	
2008.60	-5.30219	
2008.44	-5.50790	
2008.27	-5.90483	
2008.10	-6.18383	
2007.94	-5.94849	
2007.77	-5.63585	
2007.60	-5.31698	
2007.44	-5.41968	
2007.27	-5.65738	
2007.10	-5.82408	
2006.94	-5.93485	
2006.77	-5.67751	
2006.60	-5.45590	
2006.44	-5.45087	
2006.27	-5.74979	
2006.10	-5.97956	
2005.94	-5.80542	
2005.77	-5.54556	
2005.60	-5.26676	
2005.44	-5.30346	
2005.27	-5.74815	
2005.10	-5.94743	
2004.94	-5.51139	
2004.77	-5.20717	
2004.60	-5.20810	
2004.44	-5.63721	
2004.27	-5.98739	
2004.10	-5.89077	
2003.94	-5.72115	
2003.77	-5.52662	
2003.60	-5.32597	
2003.44	-5.36467	
2003.27	-5.62812	
2003.10	-5.71620	
2002.94	-5.44026	
2002.77	-5.22480	
2002.60	-5.20753	
2002.44	-5.42163	
2002.27	-5.92726	
2002.10	-6.05628	
2001.94	-5.55387	
2001.77	-5.25709	
2001.60	-5.04409	
2001.44	-5.32297	
2001.27	-5.82980	
2001.10	-5.97652	
2000.94	-5.74012	
2000.77	-5.45580	
2000.60	-5.37396	
2000.44	-5.63679	
2000.27	-6.19242	
2000.10	-6.19313	
1999.94	-5.85944	
1999.77	-5.53761	
1999.60	-5.35787	
1999.44	-5.50691	
1999.27	-6.00054	
1999.10	-5.96755	
1998.94	-5.69292	
1998.77	-5.54497	
1998.60	-5.53581	
1998.44	-5.54673	
1998.27	-5.75106	
1998.10	-5.80014	
1997.94	-5.66100	
1997.77	-5.38345	
1997.60	-5.22890	
1997.44	-5.36668	
1997.27	-5.82806	
1997.10	-6.01934	
1996.94	-5.87130	
1996.77	-5.67420	
1996.60	-5.59216	
1996.44	-5.73198	
1996.27	-5.96823	
1996.10	-6.03877	
1995.94	-5.63380	
1995.77	-5.40453	
1995.60	-5.48618	
1995.44	-5.65821	
1995.27	-6.06865	
1995.10	-6.30105	
1994.94	-5.72199	
1994.77	-5.35689	
1994.60	-5.32508	
1994.44	-5.43090	
1994.27	-5.94910	
1994.10	-6.10556	
1993.94	-5.58094	
1993.77	-5.28362	
1993.60	-5.30933	
1993.44	-5.54540	
1993.27	-5.93855	
1993.10	-6.07827	
1992.94	-5.70303	
1992.77	-5.46464	
1992.60	-5.37279	
1992.44	-5.53875	
1992.27	-5.86483	
1992.10	-5.94172	
1991.94	-5.43935	
1991.77	-5.30637	
1991.60	-5.38071	
1991.44	-5.60121	
1991.27	-6.02166	
1991.10	-6.00518	
1990.94	-5.77489	
1990.77	-5.54060	
1990.60	-5.38172	
1990.44	-5.45093	
1990.27	-5.60588	
1990.10	-5.99567	
1989.94	-5.50955	
1989.77	-5.27377	
1989.60	-5.15790	
1989.44	-5.47439	
1989.27	-5.93900	
1989.10	-6.18024	
1988.94	-5.77155	
1988.77	-5.56739	
1988.60	-5.42466	
1988.44	-5.41914	
1988.27	-5.80727	
1988.10	-6.17312	
1987.94	-5.81684	
1987.77	-5.44114	
1987.60	-5.29542	
1987.44	-5.25044	
1987.27	-5.54866	
1987.10	-5.76558	
1986.94	-5.53174	
1986.77	-5.33213	
1986.60	-5.23595	
1986.44	-5.35262	
1986.27	-5.78159	
1986.10	-6.05889	
1985.94	-5.64774	
1985.77	-5.46076	
1985.60	-5.43447	
1985.44	-5.67058	
1985.27	-6.04337	
1985.10	-6.12184	
1984.94	-5.83838	
1984.77	-5.71305	
1984.60	-5.66898	
1984.44	-5.78786	
1984.27	-6.03661	
1984.10	-6.02922	
1983.94	-5.59059	
1983.77	-5.28864	
1983.60	-5.28039	
1983.44	-5.41352	
1983.27	-5.70455	
1983.10	-5.90179	
1982.94	-5.68082	
1982.77	-5.25239	
1982.61	-5.29439	
1982.44	-5.52769	
1982.27	-5.87952	
1982.11	-5.99172	
1981.94	-5.66223	
1981.77	-5.30764	
1981.61	-5.34250	
1981.44	-5.52803	
1981.27	-5.74011	
1981.11	-5.80015	
1980.94	-5.76223	
1980.77	-5.64602	
1980.61	-5.53548	
1980.44	-5.57620	
1980.27	-5.76542	
1980.11	-5.95605	
1979.94	-5.64282	
1979.77	-5.41835	
