Okinawa 10 Year Coral Bleaching Stable Isotope Data 
----------------------------------------------------------------------- 
               World Data Center for Paleoclimatology, Boulder 
                                  and 
                     NOAA Paleoclimatology Program 
----------------------------------------------------------------------- 
NOTE: Please cite original reference when using these data, 
plus the data file URL and date accessed. 

NAME OF DATA SET: Okinawa 10 Year Coral Bleaching Stable Isotope Data 
LAST UPDATE: 3/2012 (Original receipt by WDC Paleo) 
CONTRIBUTORS: Rosenfeld, M., A. Shemesh, R. Yam, K. Sakai, 
and Y. Loya 
IGBP PAGES/WDCA CONTRIBUTION SERIES NUMBER: 2012-030 


WDC PALEO CONTRIBUTION SERIES CITATION: 
Rosenfeld, M., et al. 2012. 
Okinawa 10 Year Coral Bleaching Stable Isotope Data. 
IGBP PAGES/World Data Center for Paleoclimatology 
Data Contribution Series # 2012-030. 
NOAA/NCDC Paleoclimatology Program, Boulder CO, USA. 


ORIGINAL REFERENCE: 
Rosenfeld, M., A. Shemesh, R. Yam, K. Sakai, and Y. Loya. 2006. 
Impact of the 1998 bleaching event on d18O records of Okinawa corals. 
Marine Ecology Progress Series, Vol. 314, pp. 127-133. 
doi:10.3354/meps314127 
http://www.int-res.com/abstracts/meps/v314/p127-133/ 

ABSTRACT: 
Oxygen isotope compositions of Porites sp. were measured in order 
to examine the effect of the 1998 bleaching event on the skeletal 
record of 6 neighboring colonies from Sesoko Island, Okinawa, Japan. 
A d18Oc-SST dependency of 0.18‰/°C was calculated using a 10 yr 
record, well within accepted calibrations. The skeleton portion 
accreted during 1998 exhibited 0.3‰ enrichment in d18O, which differs 
from the depleted values expected during abnormally high SST conditions. 
Growth rate changed significantly during the bleaching event, 
and its manifestation in skeletal d18O masked the temperature signal. 
The d18O variance among the 6 colonies was noticeably higher during 
1998 in comparison with 1997 and 1999. A residual analysis revealed 
that 75% of the inter-annual variation of the d18O record is explained 
by variation in annual extension rate. The increase in d18O variance 
is proposed as a novel indicator for stressful environmental conditions. 



GEOGRAPHIC REGION: Western Pacific 
PERIOD OF RECORD: 1995 - 2000 AD 

FUNDING SOURCE: 
Japanese Ministry of Science, Education, Culture and Sports 



DATA FILE URLS: 
ftp://ftp.ncdc.noaa.gov/pub/data/paleo/coral/west_pacific/okinawa2006.txt 
ftp://ftp.ncdc.noaa.gov/pub/data/paleo/coral/west_pacific/okinawa2006.xls 



DESCRIPTION: 
Coral stable isotope (d18O and d13C) data at sub-monthly resolution 
from 6 corals collected near Sesoko Island, Okinawa, Japan. 
Data span the 1998 bleaching event. 

Sesoko Island, Okinawa, Japan: 26°38'N, 127°52'E 



DATA: 
1. Rosenfeld et al. 2006 Sesoko Island coral S10 Stable Isotope data
d13C and d18O, per mil VPDB

                 Resampled
Date                  Date         d13C         d18O
August-97            35657    -2.688593    -5.358169
August-97      35667.04124    -2.858309    -5.264745
September-97   35677.08247    -3.022495    -5.161244
September-97   35687.12371     -3.07406    -5.097517
September-97   35697.16495      -3.1358    -5.104919
October-97     35707.20619     -3.20534     -5.14081
October-97     35717.24742    -3.280365    -5.116137
October-97     35727.28866    -3.273481    -5.071998
November-97     35737.3299    -3.119054    -5.014102
November-97    35747.37113    -3.075376    -5.095287
November-97    35757.41237    -3.080556    -5.210582
December-97    35767.45361    -3.017566    -5.088853
December-97    35777.49485    -2.861553    -5.006051
December-97    35787.53608    -2.564565    -5.063333
January-98     35797.57732    -2.556851    -5.059099
January-98     35807.61856    -2.700393    -4.997834
January-98     35817.65979    -2.825875    -4.804919
February-98    35827.70103    -2.851905    -4.576313
February-98    35837.74227    -2.704286    -4.325393
February-98    35847.78351    -2.586695    -4.256462
March-98       35857.82474    -2.471826    -4.277338
March-98       35867.86598    -2.312444    -4.279178
March-98       35877.90722    -2.301505    -4.344193
April-98       35887.94845    -2.375012    -4.414685
April-98       35897.98969    -2.459088    -4.394707
April-98       35908.03093    -2.703917    -4.503359
May-98         35918.07217    -2.972965    -4.637802
May-98          35928.1134    -3.036618    -4.621923
May-98         35938.15464    -2.867397    -4.705842
June-98        35948.19588     -2.66579    -4.822945
June-98        35958.23711    -2.754232    -4.846078
June-98        35968.27835    -2.778125    -4.882855
July-98        35978.31959    -2.775773    -4.930157
July-98        35988.36083    -2.852909    -4.973363
July-98        35998.40206    -2.882459    -5.065037
August-98       36008.4433    -2.810675    -5.205444
August-98      36018.48454    -2.499983    -5.414927
August-98      36028.52577    -2.281563    -5.442235
August-98      36038.56701    -2.224507    -5.377922
September-98   36048.60825    -2.426868    -5.361081
September-98   36058.64949    -2.787844    -5.405816
September-98   36068.69072    -2.846497    -5.408407
October-98     36078.73196    -2.461489    -5.327004
October-98      36088.7732    -2.255055    -5.238032
October-98     36098.81443    -1.985217    -5.080977
November-98    36108.85567    -1.844032     -4.93213
November-98    36118.89691    -2.260255    -4.937771
November-98    36128.93814    -2.542853    -4.846341
December-98    36138.97938    -2.684376    -4.725969
December-98    36149.02062    -2.701834    -4.622413
December-98    36159.06186    -2.714986    -4.517806
January-99     36169.10309    -2.501223    -4.379126
January-99     36179.14433    -2.124641    -4.236694
January-99     36189.18557    -1.822154    -4.177186
February-99     36199.2268    -1.749309    -4.144796
February-99    36209.26804    -1.810124     -4.15452
February-99    36219.30928    -1.944165     -4.22785
March-99       36229.35052    -1.977759    -4.342067
March-99       36239.39175    -1.889314    -4.503131
March-99       36249.43299    -1.865668    -4.611879
April-99       36259.47423    -1.887472    -4.682005
April-99       36269.51546    -1.891422    -4.714678
