# WDC PALEO DATA SUBMISSION for PAGES 2k database
#
# Created 01 Mrz 2013 by Raphi Neukom based on WDC template from 21 Dec 2012 using make_NOAA_files.r
#-----------------------------------------------------------------------
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#-----------------------------------------------------------------------
# NOTE: Please cite original reference when using these data,
# plus the Online Resource and date accessed.
#
# Original_Source_URL: 
#
# Archive: Corals
#--------------------
# Contribution_Date
#	Date: 15-05-2013
#--------------------
# Title
#	Study_Name: Fiji 1F Coral SrCa and d18O
#--------------------
# Investigators
#	Investigators: Linsley, B.
#--------------------
# Description_and_Notes
#	Description: Uploaded by R. Neukom, data obtained from original authors
#--------------------
# Publication
#	Authors: Linsley, B.; Wellington, G.; Schrag, D.; Ren, L.; Salinger, J.; Tudhope, A.
#	Published_Date_or_Year: 2004
#	Published_Title: Geochemical evidence from corals for changes in the amplitude and spatial pattern of South Pacific interdecadal climate variability over the last 300 years.
#	Journal_Name: Climate Dynamics
#	Volume: 22
#	Issue: 
#	Pages: 01. Nov
#--------------------
# Funding_Agency 
#--------------------
# Site_Information 
#	Site_Name: Fiji 1F
#	Location: Ocean>Pacific Ocean
#	Region: PAGES Australasia 2k
#	Country: Fiji
#	Northernmost_Latitude: -16.82
#	Southernmost_Latitude: -16.82
#	Easternmost_Longitude: 179.23
#	Westernmost_Longitude: 179.23
#	Elevation: -10
#--------------------
# Data_Collection
#	Collection_Name: Coral SrCa adn d18O for PAGES Australasia 2k regional reconstructions
#	Earliest_Year: 1780
#	Most_Recent_Year: 1997
#	Time_Unit: AD
#	Notes: These are SONDJF seasonal averages. Raw data can be obtained from original authors
#--------------------
#  Species
#--------------------
# Chronology: 
#--------------------
# Variables
# Short_name  What,Material,Error,Units, Anomaly_period,Archive,Details,Method,Data_type
## age_AD	age, , ,AD, ,corals, ,,N
## Fiji_1F_SrCa_SONDJF	Coral SrCa,coral,,Sr/Ca ratio,,coral,,,N
## Fiji_1F_d18O_SONDJF	Coral SrCa,coral,,per mil ,,coral,,,N
#--------------------
# Data
# Missing values: NA
age_AD	Fiji_1F_SrCa_SONDJF	Fiji_1F_d18O_SONDJF
1780	NA	NA
1781	NA	NA
1782	9.259	-4.627
1783	9.260	-4.649
1784	9.262	-4.553
1785	9.298	-4.822
1786	9.237	-4.728
1787	9.248	-4.627
1788	9.272	-4.519
1789	9.288	-4.531
1790	9.285	-4.618
1791	9.270	-4.638
1792	9.285	-4.810
1793	9.309	-4.746
1794	9.319	-4.754
1795	9.305	-4.821
1796	9.297	-4.895
1797	9.267	-4.879
1798	9.296	-4.891
1799	9.344	-4.816
1800	9.311	-4.730
1801	9.263	-4.781
1802	9.276	-4.768
1803	9.319	-4.530
1804	9.267	-4.733
1805	9.234	-5.003
1806	9.260	-4.896
1807	9.210	-5.012
1808	9.245	-4.803
1809	9.320	-4.749
1810	9.304	-4.656
1811	9.344	-4.580
1812	9.252	-4.873
1813	9.253	-4.920
1814	9.241	-4.906
1815	9.316	-4.700
1816	9.271	-4.704
1817	9.264	-4.803
1818	9.267	-4.757
1819	9.272	-5.081
1820	9.273	-4.974
1821	9.311	-4.685
1822	9.272	-4.901
1823	9.284	-4.820
1824	9.329	-4.714
1825	9.258	-4.905
1826	9.240	-5.023
1827	9.236	-4.960
1828	9.244	-4.799
1829	9.215	-5.007
1830	9.251	-4.926
1831	9.249	-4.889
1832	9.289	-4.726
1833	9.341	-4.447
1834	9.295	-4.746
1835	9.366	-4.584
1836	9.328	-4.756
1837	9.341	-4.830
1838	9.311	-4.768
1839	9.318	-4.673
1840	9.338	-4.839
1841	9.331	-4.791
1842	9.295	-4.912
1843	9.270	-4.810
1844	9.314	-4.712
1845	9.329	-4.683
1846	9.371	-4.595
1847	9.324	-4.822
1848	9.294	-4.920
1849	9.261	-4.876
1850	9.299	-4.561
1851	9.265	-4.835
1852	9.229	-4.797
1853	9.286	-4.653
1854	9.286	-4.642
1855	9.323	-4.728
1856	9.294	-4.787
1857	9.283	-4.823
1858	9.301	-4.725
1859	9.269	-4.904
1860	9.271	-4.915
1861	9.241	-4.966
1862	9.285	-4.706
1863	9.268	-4.712
1864	9.273	-4.705
1865	9.342	-4.522
1866	9.371	-4.429
1867	9.345	-4.553
1868	9.318	-4.659
1869	9.320	-4.656
1870	9.299	-4.898
1871	9.304	-4.691
