year,d18O
2012,-2.57
2011,-2.6521782
2010,-2.5355445
2009,-2.7586138
2008,-2.7866337
2007,-2.4424752
2006,-2.6474261
2005,-2.6134652
2004,-2.5233664
2003,-2.5043564
2002,-2.480198
2001,-2.4615841
2000,-2.4426734
1999,-2.0998017
1998,-2.5616833
1997,-2.1984158
1996,-2.1442575
1995,-1.971386
1994,-1.9951486
1993,-2.3648515
1992,-2.2433663
1991,-2.2820792
1990,-2.3165345
1989,-2.6504953
1988,-1.8758417
1987,-1.869604
1986,-2.1474258
1985,-2.0284158
1984,-2.3515843
1983,-2.2608911
1982,-2.3852475
1981,-2.2349505
1980,-2.5161387
1979,-2.0869309
1978,-1.9110888
1977,-2.3613861
1976,-1.973168
1975,-1.9752477
1974,-2.4173268
1973,-2.4324752
1972,-2.8425743
1971,-2.6826733
1970,-2.3197029
1969,-2.6642575
1968,-2.4046537
1967,-2.0654455
1966,-1.8160394
1965,-2.8158423
1964,-2.5545541
1963,-2.4302971
1962,-2.3269307
1961,-2.0651485
1960,-1.8601979
1959,-2.3026733
1958,-2.4128711
1957,-2.4125746
1956,-2.2587129
1955,-2.2440593
1954,-2.1819802
1953,-1.9391089
1952,-1.7959406
1951,-2.1171287
1950,-2.2387129
1949,-2.041188
1948,-2.5242573
1947,-2.5139606
1946,-2.1477228
1945,-2.0246534
1944,-2.2224753
1943,-2.5411882
1942,-2.3945544
1941,-3.0984159
1940,-2.7032673
1939,-2.4829704
1938,-2.2506929
1937,-2.2645547
1936,-1.9409901
1935,-2.009901
1934,-2.2640595
1933,-2.4814852
1932,-2.2337624
1931,-2.0158416
1930,-1.8658415
1929,-2.2669307
1928,-2.1154457
1927,-2.1353463
1926,-2.2740594
1925,-2.0861386
1924,-3.4515848
1923,-3.5534652
1922,-2.6119801
1921,-2.3250495
1920,-1.89099
1919,-2.4191089
1918,-2.5637623
1917,-2.6156436
1916,-2.4891089
1915,-2.6174259
1914,-2.640495
1913,-2.5258416
1912,-2.5820792
1911,-2.89
1910,-2.4564357
1909,-2.1530692
1908,-2.5567326
1907,-2.6596039
1906,-2.5615842
1905,-2.6613863
1904,-2.7360396
1903,-2.6424752
1902,-2.3715841
1901,-2.6964356
1900,-2.5242574
1899,-2.7151485
1898,-2.889901
1897,-2.6894061
1896,-2.4208911
1895,-2.5477229
1894,-2.530198
1893,-2.6577228
1892,-2.7540594
1891,-2.5443564
1890,-1.9716831
1889,-2.2900991
1888,-2.2207919
1887,-2.5986139
1886,-2.5252475
1885,-2.5774258
1884,-2.5930693
1883,-2.2479207
1882,-2.7773268
1881,-2.4624752
1880,-2.1235643
1879,-2.4349505
1878,-2.5169306
1877,-2.7843565
1876,-2.4980198
1875,-2.4231685
1874,-2.500396
1873,-2.4981188
1872,-2.5530693
1871,-2.569604
