,lat,lon,elevation,species,d18o,d18o_anom,geometry,ocean_temp_anom,year
0,32.0,-64.0,-16,Diploria labyrinthiformis,-3.553,0.09532718894009262,POINT (-64 32),-0.02,1880
1,24.917,-80.757778,-5,Solenastrea bournoni,-2.47,0.12172839506172828,POINT (-80.757778 24.917),-0.02,1880
2,32.0,-64.0,-16,Diploria labyrinthiformis,-3.265,0.15307798165137587,POINT (-64 32),-0.02,1880
3,25.38,-80.17,-10,Montastraea faveolata,-3.26,0.30152542372881364,POINT (-80.17 25.38),-0.02,1880
4,-23.15,43.58,-1.1,Porites lobata,-4.59,-0.1644164193867459,POINT (43.58 -23.15),-0.02,1880
5,-28.4617,113.7683,-5,Porites lutea,-4.0667078285,-0.19130108640999977,POINT (113.7683 -28.4617),-0.02,1880
6,-23.142967,43.583067,-1.1,Porites sp.,-4.58,-0.1482184271104483,POINT (43.583067 -23.142967),-0.02,1880
7,-28.4617,113.7683,-5,Porites lutea,-4.043186510909091,-0.16795673186951188,POINT (113.7683 -28.4617),-0.02,1880
8,-12.65,45.1,,Porites solida,-4.955,-0.07024095607235115,POINT (45.1 -12.65),-0.02,1880
9,-4.616167,55.0,-7,Porites lutea,-4.505999999999999,0.21165777777777794,POINT (55 -4.616167),-0.02,1880
10,-3.0,40.0,-6,Porites lutea,-4.561,-0.17003092783505203,POINT (40 -3),-0.02,1880
11,-21.03,55.25,-12.3,Porites sp.,-4.153333333333333,0.12178252032520298,POINT (55.25 -21.03),-0.02,1880
12,-21.905,113.965,-3,Porites lutea,-4.62,-0.1036781609195403,POINT (113.965 -21.905),-0.02,1880
13,17.93457,67.00123,-5,Montastraea faviolata,-4.31,-0.09640316205533583,POINT (67.00123000000001 17.93457),-0.02,1880
14,27.85,34.32,-6,Porites sp.,-3.39,0.01536885245901587,POINT (34.32 27.85),-0.02,1880
15,29.42,34.97,-4.5,Porites sp.,-2.88,-0.15648780487804848,POINT (34.97 29.42),-0.02,1880
16,27.85,34.32,-6,Porites sp.,-3.3866666666666667,0.01819387755102042,POINT (34.32 27.85),-0.02,1880
17,-14.27,-169.55,,Porites sp.,-4.95871081925,-0.20039604561510238,POINT (-169.55 -14.27),-0.02,1880
18,-15.0,167.0,,Platygyra lamellina,-5.17,-0.21936781609195322,POINT (167 -15),-0.02,1880
