,year,avg_tree_ring_width,lat,long,elevation,tree_species,organism_group,temp_anom
568541,1880,223.5142857142857,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568542,1881,174.86111111111111,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568543,1882,261.1388888888889,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568544,1883,180.22222222222223,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568545,1884,239.3333333333333,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568546,1885,223.3333333333333,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568547,1886,269.69444444444446,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568548,1887,199.73684210526315,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568549,1888,256.3684210526316,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568550,1889,286.0,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568551,1890,239.84210526315792,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568552,1891,316.10526315789474,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568553,1892,168.6578947368421,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568554,1893,254.84210526315792,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568555,1894,239.15789473684208,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568556,1895,278.0526315789473,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568557,1896,280.8947368421053,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568558,1897,298.39473684210526,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568559,1898,273.0,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568560,1899,346.39473684210526,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568561,1900,301.7368421052632,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568562,1901,308.84210526315786,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568563,1902,267.5526315789473,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568564,1903,269.0,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568565,1904,299.2432432432432,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568566,1905,264.8918918918919,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568567,1906,320.97297297297297,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568568,1907,317.8378378378378,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568569,1908,309.8918918918919,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568570,1909,361.45945945945954,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568571,1910,320.0,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568572,1911,319.1081081081081,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568573,1912,246.0,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568574,1913,321.1081081081081,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568575,1914,340.4594594594595,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568576,1915,382.7027027027027,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568577,1916,430.5675675675676,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568578,1917,465.9189189189189,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568579,1918,489.02777777777777,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568580,1919,534.4166666666666,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568581,1920,458.3611111111112,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568582,1921,530.1388888888888,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568583,1922,469.8285714285714,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568584,1923,612.2571428571429,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568585,1924,512.9142857142857,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568586,1925,545.1428571428571,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568587,1926,611.0285714285715,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568588,1927,633.3428571428573,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568589,1928,630.3714285714286,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568590,1929,514.7428571428571,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568591,1930,573.0,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568592,1931,489.57142857142856,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568593,1932,454.0571428571429,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568594,1933,479.6285714285714,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568595,1934,489.8571428571428,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568596,1935,511.2,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568597,1936,491.8,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568598,1937,544.8,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568599,1938,450.28571428571433,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568600,1939,426.1142857142856,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568601,1940,379.7714285714285,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568602,1941,402.0571428571429,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
568603,1942,376.2,68.5167,-133.8667,2.0,Picea glauca (Moench) Voss,0,
