Identifier 1,Identifier 2,,d13C,Std.Dev.,d18O,"""interpolation"" by Jessica Ng",year,d18O avg,,Col 10,,,,,,,,,,,,,,
,,,permil V-PDB,,permil V-PDB,,2001,-3.1295,1977,-2.44788888888889,,,,,,,,,,,,,,
,,,,,,,2000,-3.05025,1978,-2.738,,,,,,,,,,,,,,
H-CLO-2,Halfar,,-0.423,0.011,-3.025,,1999,-2.77177777777778,1979,-2.8882,,,,,,,,,,,,,,
H-CLO-3,Halfar,,-0.521,0.007,-2.675,2002,1998,-2.84875,1980,-2.2795,,,,,,,,,,,,,,
H-CLO-4,Halfar,,-0.843,0.006,-2.592,2001.875,1997,-2.8518,1981,-2.4612,,,,,,,,,,,,,,
H-CLO-5,Halfar,,-1.408,0.019,-2.689,2001.75,1996,-2.772875,1982,-2.466,,,,,,,,,,,,,,
H-CLO-6,Halfar,,-1.478,0.009,-3.015,2001.625,1995,-2.8825,1983,-2.349,,,,,,,,,,,,,,
H-CLO-7,Halfar,,-0.784,0.026,-3.313,2001.5,1994,-2.79688888888889,1984,-2.06275,,,,,,,,,,,,,,
H-CLO-8,Halfar,,-0.339,0.017,-3.485,2001.375,1993,-2.4107,1985,-2.35375,,,,,,,,,,,,,,
H-CLO-9,Halfar,,-0.094,0.006,-3.579,2001.25,1992,-2.55533333333333,1986,-2.3105,,,,,,,,,,,,,,
H-CLO-10,Halfar,,-0.091,0.009,-3.4,2001.125,1991,-2.47177777777778,1987,-2.503875,,,,,,,,,,,,,,
H-CLO-11,Halfar,,-0.925,0.006,-2.963,2001,1990,-2.541,1988,-2.0985,,,,,,,,,,,,,,
H-CLO-12,Halfar,,-1.242,0.023,-2.761,2000.875,1989,-2.27525,1989,-2.27525,,,,,,,,,,,,,,
H-CLO-13,Halfar,,-0.98,0.012,-2.838,2000.75,1988,-2.0985,1990,-2.541,,,,,,,,,,,,,,
H-CLO-14,Halfar,,-0.755,0.011,-3.07,2000.625,1987,-2.503875,1991,-2.47177777777778,,,,,,,,,,,,,,
H-CLO-15,Halfar,,-0.242,0.009,-3.301,2000.5,1986,-2.3105,1992,-2.55533333333333,,,,,,,,,,,,,,
H-CLO-16,Halfar,,-0.132,0.012,-3.411,2000.375,1985,-2.35375,1993,-2.4107,,,,,,,,,,,,,,
H-CLO-17,Halfar,,-0.367,0.011,-3.369,2000.25,1984,-2.06275,1994,-2.79688888888889,,,,,,,,,,,,,,
H-CLO-18,Halfar,,-0.623,0.011,-3.007,2000.125,1983,-2.349,1995,-2.8825,,,,,,,,,,,,,,
H-CLO-19,Halfar,,-0.483,0.032,-2.645,2000,1982,-2.466,1996,-2.772875,,,,,,,,,,,,,,
H-CLO-20,Halfar,,-0.185,0.012,-2.342,1999.88888888889,1981,-2.4612,1997,-2.8518,,,,,,,,,,,,,,
H-CLO-21,Halfar,,0.332,0.013,-2.402,1999.77777777778,1980,-2.2795,1998,-2.84875,,,,,,,,,,,,,,
H-CLO-22,Halfar,,0.643,0.009,-2.703,1999.66666666667,1979,-2.8882,1999,-2.77177777777778,,,,,,,,,,,,,,
H-CLO-23,Halfar,,0.646,0.017,-2.85,1999.55555555556,1978,-2.738,2000,-3.05025,,,,,,,,,,,,,,
H-CLO-24,Halfar,,0.51,0.007,-2.973,1999.44444444444,1977,-2.44788888888889,2001,-3.1295,,,,,,,,,,,,,,
H-CLO-25,Halfar,,0.551,0.008,-3.033,1999.33333333333,1976,,,,,,,,,,,,,,,,,
H-CLO-26,Halfar,,0.628,0.013,-2.974,1999.22222222222,1975,,,,,,,,,,,,,,,,,
H-CLO-27,Halfar,,0.619,0.012,-2.898,1999.11111111111,1974,,,,,,,,,,,,,,,,,
H-CLO-28,Halfar,,0.696,0.008,-2.771,1999,1973,,,,,,,,,,,,,,,,,
H-CLO-29,Halfar,,0.518,0.007,-2.712,1998.75,1972,,,,,,,,,,,,,,,,,
H-CLO-30,Halfar,,0.385,0.008,-2.697,1998.5,,,,,,,,,,,,,,,,,,
H-CLO-31,Halfar,,0.319,0.01,-2.864,1998.25,,,,,,,,,,,,,,,,,,
H-CLO-32,Halfar,,0.702,0.008,-3.122,1998,,,,,,,,,,,,,,,,,,
H-CLO-33,Halfar,,0.823,0.019,-3.087,1997.8,,,,,,,,,,,,,,,,,,
H-CLO-34,Halfar,,0.827,0.011,-3.217,1997.6,,,,,,,,,,,,,,,,,,
H-Clo-35,Halfar,,0.708,0.005,-2.925,1997.4,,,,,,,,,,,,,,,,,,
H-Clo-36,Halfar,,0.927,0.006,-2.539,1997.2,,,,,,,,,,,,,,,,,,
H-Clo-37,Halfar,,0.804,0.005,-2.491,1997,,,,,,,,,,,,,,,,,,
H-Clo-38,Halfar,,0.934,0.017,-2.286,1996.875,,,,,,,,,,,,,,,,,,
H-Clo-39,Halfar,,0.828,0.004,-2.337,1996.75,,,,,,,,,,,,,,,,,,
H-Clo-40,Halfar,,0.519,0.012,-2.619,1996.625,,,,,,,,,,,,,,,,,,
H-Clo-41,Halfar,,0.176,0.003,-2.855,1996.5,,,,,,,,,,,,,,,,,,
H-Clo-42,Halfar,,0.022,0.016,-3.012,1996.375,,,,,,,,,,,,,,,,,,
H-Clo-43,Halfar,,0.152,0.017,-3.098,1996.25,,,,,,,,,,,,,,,,,,
H-Clo-44,Halfar,,0.266,0.008,-3.118,1996.125,,,,,,,,,,,,,,,,,,
H-Clo-45,Halfar,,0.128,0.008,-2.858,1996,,,,,,,,,,,,,,,,,,
H-Clo-46,Halfar,,0.076,0.015,-2.672,1995.75,,,,,,,,,,,,,,,,,,
H-Clo-47,Halfar,,-0.172,0.005,-2.774,1995.5,,,,,,,,,,,,,,,,,,
H-Clo-48,Halfar,,-0.303,0.025,-2.965,1995.25,,,,,,,,,,,,,,,,,,
H-Clo-49,Halfar,,-0.289,0.012,-3.119,1995,,,,,,,,,,,,,,,,,,
H-Clo-51,Halfar,,0.157,0.004,-2.912,1994.88888888889,,,,,,,,,,,,,,,,,,
H-Clo-52,Halfar,,0.565,0.003,-3.006,1994.77777777778,,,,,,,,,,,,,,,,,,
H-Clo-53,Halfar,,1.135,0.01,-2.944,1994.66666666667,,,,,,,,,,,,,,,,,,
H-Clo-54,Halfar,,1.304,0.013,-2.959,1994.55555555556,,,,,,,,,,,,,,,,,,
H-Clo-55,Halfar,,1.306,0.008,-3.013,1994.44444444444,,,,,,,,,,,,,,,,,,
H-Clo-56,Halfar,,1.407,0.011,-2.937,1994.33333333333,,,,,,,,,,,,,,,,,,
H-Clo-57,Halfar,,1.454,0.006,-2.592,1994.22222222222,,,,,,,,,,,,,,,,,,
