year,d18O
1982,-1.929963636
1983,-2.035966053
1984,-1.656481406
1985,-1.804476934
1986,-1.82248173
1987,-1.652813048
1988,-1.74920937
1989,-1.966723996
1990,-2.069824478
1991,-2.154072727
1992,-2.227677861
1993,-2.234864166
1994,-2.251325919
1995,-2.129296984
1996,-1.592754619
1997,-2.063745388
1998,-2.438900324
1999,-2.415910584
2000,-2.273426155
2001,-2.000885051
2002,-1.768156222
2003,-1.774477081
2004,-1.801891453
2005,-2.045915225
2006,-2.200303795
2007,-2.143646701
2008,-2.214012989
2009,-2.798343634
2010,-2.601652545
2011,-2.562203622
2012,-2.489814107
2013,-2.631523389
2014,-2.393648367
2015,-2.34
