,time (UTC),lev (meters),latitude (degrees_north),longitude (degrees_east),sst (degree_C),ssta (degree_C)
0,1866-09-15T00:00:00Z,0.0,6.0,180.0,29.406174,0.20183945
1,1866-09-15T00:00:00Z,0.0,6.0,182.0,29.31093,0.15836906
2,1866-10-15T00:00:00Z,0.0,6.0,180.0,29.188574,0.022781372
3,1866-10-15T00:00:00Z,0.0,6.0,182.0,29.091986,-0.0061397552
4,1866-11-15T00:00:00Z,0.0,6.0,180.0,28.825281,-0.14011383
5,1866-11-15T00:00:00Z,0.0,6.0,182.0,28.7351,-0.17202377
6,1866-12-15T00:00:00Z,0.0,6.0,180.0,28.300781,-0.2925949
7,1866-12-15T00:00:00Z,0.0,6.0,182.0,28.194326,-0.35273552
8,1867-01-15T00:00:00Z,0.0,6.0,180.0,27.864176,-0.4308262
9,1867-01-15T00:00:00Z,0.0,6.0,182.0,27.772884,-0.48070145
10,1867-02-15T00:00:00Z,0.0,6.0,180.0,27.825493,-0.40879822
11,1867-02-15T00:00:00Z,0.0,6.0,182.0,27.73938,-0.4520378
12,1867-03-15T00:00:00Z,0.0,6.0,180.0,28.063652,-0.20178413
13,1867-03-15T00:00:00Z,0.0,6.0,182.0,27.987854,-0.23893738
14,1867-04-15T00:00:00Z,0.0,6.0,180.0,28.407473,0.033597946
15,1867-04-15T00:00:00Z,0.0,6.0,182.0,28.335217,-0.0020942688
16,1867-05-15T00:00:00Z,0.0,6.0,180.0,28.772247,0.19812393
17,1867-05-15T00:00:00Z,0.0,6.0,182.0,28.699648,0.16400337
18,1867-06-15T00:00:00Z,0.0,6.0,180.0,28.870468,0.22642517
19,1867-06-15T00:00:00Z,0.0,6.0,182.0,28.808437,0.20693588
20,1867-07-15T00:00:00Z,0.0,6.0,180.0,29.120607,0.2353363
21,1867-07-15T00:00:00Z,0.0,6.0,182.0,29.049507,0.20873451
22,1867-08-15T00:00:00Z,0.0,6.0,180.0,29.403242,0.3446827
23,1867-08-15T00:00:00Z,0.0,6.0,182.0,29.33661,0.33336258
24,1867-09-15T00:00:00Z,0.0,6.0,180.0,29.386532,0.18219757
25,1867-09-15T00:00:00Z,0.0,6.0,182.0,29.305294,0.15273285
